ID;Woningkenmerken;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldElektriciteitsverbruik_5;Stadsverwarming_6
52;Totaal woningen;Verspr.h. ten noorden van het Eemskanaal;Verspreide huizen ten noorden van het Ee;Buurt     ;BU00090009;2100.0;4350.0;
53;Totaal woningen;Wijk 01 Oost;Wijk 01 Oost                            ;Wijk      ;WK000901  ;2100.0;3600.0;
54;Totaal woningen;Ten Post;Ten Post                                ;Buurt     ;BU00090100;2100.0;3500.0;
55;Totaal woningen;Winneweer (gedeeltelijk);Winneweer (gedeeltelijk)                ;Buurt     ;BU00090101;2100.0;3800.0;
56;Totaal woningen;Woltersum;Woltersum                               ;Buurt     ;BU00090102;1900.0;3350.0;
57;Totaal woningen;Wittewierum;Wittewierum                             ;Buurt     ;BU00090104;2350.0;4450.0;
58;Totaal woningen;Lellens;Lellens                                 ;Buurt     ;BU00090106;1800.0;4000.0;
59;Totaal woningen;Verspr.h. ten noorden van het Eemskanaal;Verspreide huizen ten noorden van het Ee;Buurt     ;BU00090109;2200.0;3700.0;
60;Totaal woningen;Delfzijl;Delfzijl                                ;Gemeente  ;GM0010    ;1750.0;3150.0;
61;Totaal woningen;Wijk 00 Stad;Wijk 00 Stad                            ;Wijk      ;WK001000  ;1600.0;2950.0;
62;Totaal woningen;Delfzijl-Centrum;Delfzijl-Centrum                        ;Buurt     ;BU00100000;1400.0;2050.0;
63;Totaal woningen;Farmsum;Farmsum                                 ;Buurt     ;BU00100001;1750.0;3200.0;
64;Totaal woningen;Delfzijl-Noord;Delfzijl-Noord                          ;Buurt     ;BU00100002;1550.0;2850.0;
65;Totaal woningen;Delfzijl-West;Delfzijl-West                           ;Buurt     ;BU00100003;1750.0;2800.0;
66;Totaal woningen;Fivelzigt;Fivelzigt                               ;Buurt     ;BU00100004;1700.0;3750.0;
67;Totaal woningen;Tuikwerd;Tuikwerd                                ;Buurt     ;BU00100005;1450.0;3300.0;
68;Totaal woningen;Wijk 01 Land;Wijk 01 Land                            ;Wijk      ;WK001001  ;2300.0;4050.0;
69;Totaal woningen;Meedhuizen;Meedhuizen                              ;Buurt     ;BU00100103;2300.0;3950.0;
70;Totaal woningen;Uitwierde;Uitwierde                               ;Buurt     ;BU00100104;2450.0;3800.0;
71;Totaal woningen;Verspr.h. Eemskanaal (ten zuiden);Verspreide huizen Eemskanaal (ten zuiden;Buurt     ;BU00100107;2250.0;4550.0;
72;Totaal woningen;Industrieterrein;Industrieterrein                        ;Buurt     ;BU00100108;;;
73;Totaal woningen;Verspreide huizen in het noorden;Verspreide huizen in het noorden        ;Buurt     ;BU00100109;;;
74;Totaal woningen;Wijk 02;Wijk 02                                 ;Wijk      ;WK001002  ;2100.0;3600.0;
75;Totaal woningen;Woldendorp;Woldendorp                              ;Buurt     ;BU00100200;2050.0;3550.0;
76;Totaal woningen;Termunten;Termunten                               ;Buurt     ;BU00100201;2050.0;3750.0;
77;Totaal woningen;Termunterzijl;Termunterzijl                           ;Buurt     ;BU00100202;2050.0;2900.0;
78;Totaal woningen;Borgsweer;Borgsweer                               ;Buurt     ;BU00100203;2150.0;4100.0;
79;Totaal woningen;Wagenborgen;Wagenborgen                             ;Buurt     ;BU00100205;2050.0;3500.0;
80;Totaal woningen;Verspreide huizen Wagenborgen;Verspreide huizen Wagenborgen           ;Buurt     ;BU00100207;2000.0;5000.0;
81;Totaal woningen;Verspreide huizen Termunten;Verspreide huizen Termunten             ;Buurt     ;BU00100209;2400.0;4300.0;
82;Totaal woningen;Wijk 03;Wijk 03                                 ;Wijk      ;WK001003  ;2100.0;3600.0;
83;Totaal woningen;Bierum;Bierum                                  ;Buurt     ;BU00100300;2150.0;3550.0;
84;Totaal woningen;Spijk;Spijk                                   ;Buurt     ;BU00100301;2050.0;3450.0;
85;Totaal woningen;Holwierde;Holwierde                               ;Buurt     ;BU00100302;2000.0;3550.0;
86;Totaal woningen;Godlinze;Godlinze                                ;Buurt     ;BU00100303;2100.0;3400.0;
87;Totaal woningen;Losdorp;Losdorp                                 ;Buurt     ;BU00100304;2100.0;3950.0;
