ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;45 Autohandel en reparatie;2005 1e kwartaal;107.5;-2.2
1;45 Autohandel en reparatie;2005 2e kwartaal;108.7;1.1
2;45 Autohandel en reparatie;2005 3e kwartaal;97.9;0.8
3;45 Autohandel en reparatie;2005 4e kwartaal;101.2;0.7
4;45 Autohandel en reparatie;2005;103.8;0.0
5;45 Autohandel en reparatie;2006 1e kwartaal;116.3;8.2
6;45 Autohandel en reparatie;2006 2e kwartaal;113.2;4.2
7;45 Autohandel en reparatie;2006 3e kwartaal;102.6;4.8
8;45 Autohandel en reparatie;2006 4e kwartaal;107.3;6.1
9;45 Autohandel en reparatie;2006;109.9;5.8
10;45 Autohandel en reparatie;2007 1e kwartaal;119.5;2.8
11;45 Autohandel en reparatie;2007 2e kwartaal;118.3;4.5
12;45 Autohandel en reparatie;2007 3e kwartaal;108.5;5.8
13;45 Autohandel en reparatie;2007 4e kwartaal;110.9;3.3
14;45 Autohandel en reparatie;2007;114.3;4.0
15;45 Autohandel en reparatie;2008 1e kwartaal;121.9;2.0
16;45 Autohandel en reparatie;2008 2e kwartaal;115.0;-2.8
17;45 Autohandel en reparatie;2008 3e kwartaal;103.6;-4.5
18;45 Autohandel en reparatie;2008 4e kwartaal;97.1;-12.4
19;45 Autohandel en reparatie;2008;109.4;-4.3
20;45 Autohandel en reparatie;2009 1e kwartaal;99.9;-18.1
21;45 Autohandel en reparatie;2009 2e kwartaal;93.6;-18.6
22;45 Autohandel en reparatie;2009 3e kwartaal;86.7;-16.4
23;45 Autohandel en reparatie;2009 4e kwartaal;88.9;-8.4
24;45 Autohandel en reparatie;2009;92.3;-15.7
25;45 Autohandel en reparatie;2010 1e kwartaal;101.4;1.5
26;45 Autohandel en reparatie;2010 2e kwartaal;101.2;8.1
27;45 Autohandel en reparatie;2010 3e kwartaal;96.1;10.9
28;45 Autohandel en reparatie;2010 4e kwartaal;101.3;14.0
29;45 Autohandel en reparatie;2010;100.0;8.4
30;45 Autohandel en reparatie;2011 1e kwartaal;113.4;11.8
31;45 Autohandel en reparatie;2011 2e kwartaal;110.7;9.4
32;45 Autohandel en reparatie;2011 3e kwartaal;101.1;5.2
33;45 Autohandel en reparatie;2011 4e kwartaal;103.1;1.7
34;45 Autohandel en reparatie;2011;107.1;7.1
35;45 Autohandel en reparatie;2012 1e kwartaal;109.1;-3.8
36;45 Autohandel en reparatie;2012 2e kwartaal;113.5;2.5
37;45 Autohandel en reparatie;2012 3e kwartaal;89.5;-11.5
38;45 Autohandel en reparatie;2012 4e kwartaal;92.8;-10.0
39;45 Autohandel en reparatie;2012;101.2;-5.5
40;45 Autohandel en reparatie;2013 1e kwartaal;91.4;-16.2
41;45 Autohandel en reparatie;2013 2e kwartaal;95.2;-16.1
42;45 Autohandel en reparatie;2013 3e kwartaal;87.6;-2.2
43;45 Autohandel en reparatie;2013 4e kwartaal ;105.5;13.8
44;45 Autohandel en reparatie;2013;94.9;-6.2
45;45 Autohandel en reparatie;2014 1e kwartaal;92.6;1.3
46;45 Autohandel en reparatie;2014 2e kwartaal;94.1;-1.2
47;45 Autohandel en reparatie;2014 3e kwartaal;87.1;-0.5
48;45 Autohandel en reparatie;2014 4e kwartaal;98.5;-6.6
49;45 Autohandel en reparatie;2014;93.1;-1.9
50;45 Autohandel en reparatie;2015 1e kwartaal;94.0;1.5
51;45 Autohandel en reparatie;2015 2e kwartaal;99.3;5.5
52;45 Autohandel en reparatie;2015 3e kwartaal;96.8;11.1
53;45 Autohandel en reparatie;2015 4e kwartaal;121.8;23.6
54;45 Autohandel en reparatie;2015;103.0;10.6
55;45 Autohandel en reparatie;2016 1e kwartaal;101.0;7.4
56;45 Autohandel en reparatie;2016 2e kwartaal;107.2;8.0
57;45 Autohandel en reparatie;2016 3e kwartaal;97.5;0.7
58;45 Autohandel en reparatie;2016 4e kwartaal;112.3;-7.7
59;45 Autohandel en reparatie;2016;104.5;1.5
60;45 Autohandel en reparatie;2017 1e kwartaal;109.5;8.4
61;45 Autohandel en reparatie;2017 2e kwartaal;112.5;5.0
62;45 Autohandel en reparatie;2017 3e kwartaal;101.2;3.8
63;45 Autohandel en reparatie;2017 4e kwartaal;113.0;0.6
64;45 Autohandel en reparatie;2017;109.1;4.4
65;451 Autohandel en reparatie;2005 1e kwartaal;113.3;-3.3
66;451 Autohandel en reparatie;2005 2e kwartaal;113.1;0.6
67;451 Autohandel en reparatie;2005 3e kwartaal;101.9;0.3
68;451 Autohandel en reparatie;2005 4e kwartaal;105.7;0.2
69;451 Autohandel en reparatie;2005;108.5;-0.6
70;451 Autohandel en reparatie;2006 1e kwartaal;122.8;8.4
71;451 Autohandel en reparatie;2006 2e kwartaal;117.3;3.7
72;451 Autohandel en reparatie;2006 3e kwartaal;106.4;4.4
73;451 Autohandel en reparatie;2006 4e kwartaal;110.6;4.7
74;451 Autohandel en reparatie;2006;114.3;5.3
75;451 Autohandel en reparatie;2007 1e kwartaal;125.6;2.3
76;451 Autohandel en reparatie;2007 2e kwartaal;122.5;4.4
77;451 Autohandel en reparatie;2007 3e kwartaal;112.9;6.1
78;451 Autohandel en reparatie;2007 4e kwartaal;114.5;3.5
79;451 Autohandel en reparatie;2007;118.9;4.0
80;451 Autohandel en reparatie;2008 1e kwartaal;127.7;1.6
81;451 Autohandel en reparatie;2008 2e kwartaal;118.1;-3.6
82;451 Autohandel en reparatie;2008 3e kwartaal;106.9;-5.3
83;451 Autohandel en reparatie;2008 4e kwartaal;98.9;-13.7
84;451 Autohandel en reparatie;2008;112.9;-5.1
