ID;ConsumptieveBestedingen;Perioden;Indexcijfer_1;Volumemutaties_2;VolumemutatiesKoopdaggecorrigeerd_3;Indexcijfers_4;Waardemutaties_5;Prijsmutaties_6
0;Binnenlandse consumptie huishoudens;2000;86.7;3.7;3.5;58.1;6.6;2.8
1;Binnenlandse consumptie huishoudens;2001;88.4;2.0;2.2;61.3;5.5;3.4
2;Binnenlandse consumptie huishoudens;2002;89.5;1.1;1.1;64.2;4.8;3.6
3;Binnenlandse consumptie huishoudens;2003;89.4;-0.1;-0.1;65.8;2.4;2.5
4;Binnenlandse consumptie huishoudens;2004;90.3;1.0;0.8;67.3;2.3;1.3
5;Binnenlandse consumptie huishoudens;2005;91.2;0.9;1.1;69.1;2.7;1.8
6;Binnenlandse consumptie huishoudens;2006;91.1;-0.1;0.0;71.0;2.6;2.7
7;Binnenlandse consumptie huishoudens;2007;92.8;1.9;1.9;73.9;4.1;2.2
8;Binnenlandse consumptie huishoudens;2008;93.3;0.5;0.3;76.1;3.0;2.4
9;Binnenlandse consumptie huishoudens;2009;91.2;-2.2;-2.1;73.6;-3.2;-1.0
10;Binnenlandse consumptie huishoudens;2010;91.6;0.4;0.4;75.1;2.0;1.5
11;Binnenlandse consumptie huishoudens;2011;92.2;0.7;0.6;77.6;3.3;2.6
12;Binnenlandse consumptie huishoudens;2012;91.6;-0.7;-0.8;77.7;0.1;0.9
13;Binnenlandse consumptie huishoudens;2013;91.2;-0.4;-0.3;78.9;1.6;2.0
14;Binnenlandse consumptie huishoudens;2014;91.9;0.8;0.8;80.3;1.8;0.9
15;Binnenlandse consumptie huishoudens;2015;94.1;2.4;2.4;82.4;2.6;0.1
16;Binnenlandse consumptie huishoudens;2016;95.7;1.7;1.5;84.4;2.4;0.8
17;Binnenlandse consumptie huishoudens;2017;98.0;2.4;2.7;88.2;4.5;2.0
18;Binnenlandse consumptie huishoudens;2018;100.7;2.7;2.7;92.4;4.8;2.0
19;Binnenlandse consumptie huishoudens;2019;102.1;1.4;1.4;96.0;3.8;2.4
20;Binnenlandse consumptie huishoudens;2000 januari;88.5;3.5;4.0;57.5;6.1;2.6
21;Binnenlandse consumptie huishoudens;2000 februari;85.4;5.8;3.9;55.7;8.7;2.6
22;Binnenlandse consumptie huishoudens;2000 maart;90.7;5.7;4.7;59.5;8.6;2.8
23;Binnenlandse consumptie huishoudens;2000 1e kwartaal;88.2;5.0;4.2;57.5;7.8;2.7
