ID;SBI93;Perioden;Omzet_1;VoortschrijdendeOmzet_2;Omzet_3;CumulatieveOmzet_4
0;50 Handel in en reparatie van auto's..;1995 1e kwartaal;;;;
1;50 Handel in en reparatie van auto's..;1995 2e kwartaal;;;;
2;50 Handel in en reparatie van auto's..;1995 3e kwartaal;;;;
3;50 Handel in en reparatie van auto's..;1995 4e kwartaal;;;;
4;50 Handel in en reparatie van auto's..;1995;;;;
5;50 Handel in en reparatie van auto's..;1996 1e kwartaal;;;;
6;50 Handel in en reparatie van auto's..;1996 2e kwartaal;;;;
7;50 Handel in en reparatie van auto's..;1996 3e kwartaal;;;;
8;50 Handel in en reparatie van auto's..;1996 4e kwartaal;;;;
9;50 Handel in en reparatie van auto's..;1996;;;;
10;50 Handel in en reparatie van auto's..;1997 1e kwartaal;;;;
11;50 Handel in en reparatie van auto's..;1997 2e kwartaal;;;;
12;50 Handel in en reparatie van auto's..;1997 3e kwartaal;;;;
13;50 Handel in en reparatie van auto's..;1997 4e kwartaal;;;;
14;50 Handel in en reparatie van auto's..;1997;;;;
15;50 Handel in en reparatie van auto's..;1998 1e kwartaal;;;;
16;50 Handel in en reparatie van auto's..;1998 2e kwartaal;;;;
17;50 Handel in en reparatie van auto's..;1998 3e kwartaal;;;;
18;50 Handel in en reparatie van auto's..;1998 4e kwartaal;;;;
19;50 Handel in en reparatie van auto's..;1998;;;;
20;50 Handel in en reparatie van auto's..;1999 1e kwartaal;;;;
21;50 Handel in en reparatie van auto's..;1999 2e kwartaal;;;;
22;50 Handel in en reparatie van auto's..;1999 3e kwartaal;;;;
23;50 Handel in en reparatie van auto's..;1999 4e kwartaal;;;;
24;50 Handel in en reparatie van auto's..;1999;;;;
25;50 Handel in en reparatie van auto's..;2000 1e kwartaal;;;;
26;50 Handel in en reparatie van auto's..;2000 2e kwartaal;;;;
27;50 Handel in en reparatie van auto's..;2000 3e kwartaal;;;;
28;50 Handel in en reparatie van auto's..;2000 4e kwartaal;;;;
29;50 Handel in en reparatie van auto's..;2000;;;;
30;50 Handel in en reparatie van auto's..;2001 1e kwartaal;;;;
31;50 Handel in en reparatie van auto's..;2001 2e kwartaal;;;;
32;50 Handel in en reparatie van auto's..;2001 3e kwartaal;;;;
33;50 Handel in en reparatie van auto's..;2001 4e kwartaal;;;;
34;50 Handel in en reparatie van auto's..;2001;;;;
35;50 Handel in en reparatie van auto's..;2002 1e kwartaal;;;;
36;50 Handel in en reparatie van auto's..;2002 2e kwartaal;;;;
37;50 Handel in en reparatie van auto's..;2002 3e kwartaal;;;;
38;50 Handel in en reparatie van auto's..;2002 4e kwartaal;;;;
39;50 Handel in en reparatie van auto's..;2002;;;;
40;50 Handel in en reparatie van auto's..;2003 1e kwartaal;106.0;;;
41;50 Handel in en reparatie van auto's..;2003 2e kwartaal;105.0;;;
42;50 Handel in en reparatie van auto's..;2003 3e kwartaal;95.0;;;
43;50 Handel in en reparatie van auto's..;2003 4e kwartaal;94.0;100.0;;
44;50 Handel in en reparatie van auto's..;2003;100.0;100.0;;
45;50 Handel in en reparatie van auto's..;2004 1e kwartaal;105.0;100.0;-0.9;-0.9
46;50 Handel in en reparatie van auto's..;2004 2e kwartaal;104.0;100.0;-0.5;-0.7
47;50 Handel in en reparatie van auto's..;2004 3e kwartaal;96.0;100.0;0.5;-0.3
48;50 Handel in en reparatie van auto's..;2004 4e kwartaal;99.0;101.0;5.3;1.0
49;50 Handel in en reparatie van auto's..;2004;101.0;101.0;1.0;1.0
50;50 Handel in en reparatie van auto's..;2005 1e kwartaal;104.0;101.0;-1.0;-1.0
51;50 Handel in en reparatie van auto's..;2005 2e kwartaal;107.0;101.0;2.4;0.7
