ID;Leeftijdklassen;BaansituatieBijStartWWUitkering;BaansituatieOpPeilmoment;WWSituatieOpPeilmoment;InstroomEnPeilmoment;Perioden;AllePersonenIngestroomdInDeWW_1;PersonenMetEenBaanVoorInstroom_2;PersonenMetAOZWVoorInstroom_3
0;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2009;369650.0;309950.0;36010.0
1;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2010;348170.0;291370.0;37700.0
2;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2011;346370.0;288440.0;41370.0
3;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2012;422410.0;358000.0;43040.0
4;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2013;502690.0;431480.0;45650.0
5;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2014;485860.0;410820.0;51700.0
6;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2015;450190.0;386110.0;45750.0
7;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2016;401610.0;342570.0;42380.0
8;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2017;348360.0;297360.0;39110.0
9;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2018;310790.0;262620.0;36980.0
10;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2019;305080.0;259350.0;35760.0
11;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2020;411690.0;362500.0;37370.0
12;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2021;291230.0;250740.0;34280.0
13;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;Op instroommoment;2022;221470.0;188190.0;28200.0
14;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2009;321690.0;268270.0;32760.0
15;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2010;299140.0;248600.0;33980.0
16;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2011;296030.0;244620.0;37070.0
17;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2012;368600.0;310970.0;38930.0
18;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2013;433300.0;370750.0;40860.0
19;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2014;412260.0;346460.0;46100.0
20;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2015;397670.0;340870.0;40840.0
21;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2016;359670.0;306720.0;37860.0
22;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2017;307940.0;262650.0;34790.0
23;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2018;272110.0;229650.0;32910.0
24;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2019;268440.0;227970.0;31820.0
25;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2020;369890.0;325670.0;33710.0
26;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2021;232160.0;197800.0;29430.0
27;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;1 maand na instroom in WW;2022;178670.0;150800.0;23760.0
28;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2009;293220.0;243570.0;30730.0
29;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2010;268810.0;222280.0;31510.0
30;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2011;265970.0;218820.0;34200.0
31;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2012;339360.0;285410.0;36600.0
32;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2013;394910.0;336950.0;37880.0
33;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2014;371920.0;311380.0;42530.0
34;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2015;365920.0;313270.0;37810.0
35;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2016;339300.0;289450.0;35490.0
36;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2017;289200.0;246710.0;32490.0
37;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2018;252370.0;212990.0;30530.0
38;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2019;248910.0;211430.0;29470.0
39;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2020;342630.0;301380.0;31390.0
40;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2021;212660.0;181050.0;27130.0
41;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;2 maanden na instroom in WW;2022;165310.0;139560.0;21930.0
42;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2009;216980.0;176410.0;25140.0
43;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2010;199880.0;161340.0;25910.0
44;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2011;203330.0;163500.0;28850.0
45;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2012;271100.0;224580.0;31440.0
46;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2013;311250.0;260960.0;32410.0
47;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2014;288230.0;236090.0;36310.0
48;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2015;292950.0;247700.0;32260.0
49;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2016;273400.0;230400.0;30220.0
50;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2017;227450.0;191240.0;27340.0
51;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2018;193520.0;160950.0;25100.0
52;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2019;189330.0;158720.0;23940.0
53;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2020;254630.0;221330.0;25050.0
54;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2021;166280.0;140210.0;22200.0
55;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;3 maanden na instroom in WW;2022;129030.0;107930.0;17950.0
56;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2009;193230.0;156020.0;22940.0
57;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2010;176350.0;141260.0;23530.0
58;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2011;179790.0;143570.0;26230.0
59;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2012;244620.0;201650.0;28860.0
60;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2013;280610.0;234220.0;29750.0
61;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2014;257240.0;209480.0;33080.0
62;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2015;266410.0;224950.0;29470.0
63;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2016;248310.0;208860.0;27680.0
64;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2017;202720.0;169910.0;24690.0
65;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2018;171690.0;142630.0;22410.0
66;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2019;168640.0;141030.0;21630.0
67;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2020;226870.0;196880.0;22600.0
68;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2021;143400.0;120420.0;19630.0
69;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;4 maanden na instroom in WW;2022;111220.0;92530.0;15870.0
70;Totaal;Totaal bij start van de WW-uitkering;Totaal;WW-uitkering;5 maanden na instroom in WW;2009;176230.0;141820.0;21230.0
