ID;Vakantiekenmerken;Perioden;TotaalAantalVakanties_1;GemiddeldeVakantieduur_2;Noordzeebadplaatsen_3;Watersportgebieden_4;VeluweEnVeluwerand_5;TwenteSallandEnVechtstreek_6;GroningseFrieseEnDrentseZandgronden_7;WestEnMiddenBrabant_8;OBrabantNMLimburgRijkVNijmegen_9;ZuidLimburg_10;OverigNederland_11;Friesland_12;Drenthe_13;Overijssel_14;Gelderland_15;NoordHolland_16;ZuidHolland_17;Zeeland_18;NoordBrabant_19;Limburg_20;OverigeProvincies_21;TotaalSeizoenrecreatieveLogiesvormen_22;CaravanVouwwagen_23;OverigeSeizoenrecreatieveLogiesvormen_24;TotaalToeristischeLogiesvormen_25;WoningVanAndereParticulier_26;Hotel_27;ZomerhuisjeVakantiebungalow_28;TentBungalowtent_29;CaravanVouwwagenCamper_30;JeugdherbergAndereGroepsaccommodatie_31;OverigeToeristischeLogiesvormen_32;Auto_33;TreinAutoslaaptrein_34;OverigeVervoermiddelen_35;TotaleUitgavenVoorVakanties_36;TotaalGemUitgavenPerVakantieganger_37;MetEigenVervoer_38;MetOverigVervoer_39
230;Trein, autoslaaptrein;2002;474.0;3.2;25.0;41.0;30.0;24.0;43.0;19.0;45.0;57.0;189.0;25.0;43.0;30.0;45.0;93.0;74.0;14.0;32.0;84.0;32.0;40.0;34.0;7.0;433.0;83.0;189.0;51.0;24.0;5.0;26.0;55.0;;474.0;;66.0;139.0;;
231;Trein, autoslaaptrein;2003;488.0;3.1;35.0;46.0;35.0;13.0;37.0;38.0;26.0;48.0;211.0;52.0;37.0;16.0;56.0;67.0;84.0;12.0;41.0;65.0;58.0;13.0;7.0;6.0;475.0;124.0;179.0;47.0;42.0;12.0;23.0;48.0;;;;63.0;130.0;;
232;Touringcar;2000;49.0;;6.0;9.0;0.0;;4.0;11.0;0.0;;;;;0.0;0.0;0.0;0.0;6.0;11.0;6.0;;0.0;0.0;0.0;49.0;;15.0;2.0;;;;;;;49.0;;;;
233;Touringcar;2001;70.0;;0.0;11.0;6.0;0.0;4.0;14.0;9.0;3.0;;19.0;4.0;0.0;6.0;3.0;2.0;0.0;14.0;12.0;10.0;0.0;0.0;0.0;70.0;;31.0;3.0;7.0;;;;;;70.0;;;;
234;Touringcar;2002;71.0;;4.0;4.0;15.0;0.0;4.0;12.0;4.0;6.0;22.0;3.0;4.0;0.0;18.0;12.0;0.0;2.0;12.0;10.0;10.0;0.0;0.0;0.0;71.0;0.0;32.0;3.0;3.0;0.0;31.0;2.0;;;71.0;;;;
235;Touringcar;2003;42.0;;3.0;8.0;3.0;3.0;2.0;10.0;5.0;0.0;8.0;4.0;;4.0;7.0;4.0;3.0;2.0;11.0;1.0;4.0;;;;42.0;;14.0;;1.0;;21.0;5.0;;;;;;;
236;Vliegtuig;2000;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;;0.0;;;;
237;Vliegtuig;2001;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;0.0;;;;
238;Vliegtuig;2002;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;;;;
239;Vliegtuig;2003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
240;Boot;2000;89.0;;0.0;76.0;0.0;;6.0;0.0;0.0;;;;;11.0;0.0;9.0;0.0;0.0;0.0;0.0;;76.0;0.0;76.0;14.0;;0.0;0.0;;;;;;;89.0;;;;
241;Boot;2001;43.0;;0.0;26.0;0.0;3.0;0.0;0.0;0.0;0.0;;5.0;0.0;24.0;5.0;3.0;6.0;0.0;0.0;0.0;0.0;32.0;0.0;32.0;11.0;;0.0;0.0;0.0;;;;;;43.0;;;;
242;Boot;2002;45.0;;1.0;18.0;0.0;0.0;1.0;4.0;0.0;0.0;20.0;18.0;1.0;0.0;0.0;15.0;0.0;0.0;4.0;0.0;6.0;21.0;0.0;21.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;;;45.0;;;;
243;Boot;2003;34.0;;0.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;12.0;9.0;0.0;0.0;1.0;15.0;4.0;0.0;3.0;0.0;2.0;10.0;;10.0;24.0;;;;4.0;;;20.0;;;;;;;
244;Veerboot, ferry;2000;37.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;0.0;0.0;8.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;37.0;;7.0;14.0;;;;;;;37.0;;;;
245;Veerboot, ferry;2001;23.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;21.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;;9.0;8.0;0.0;;;;;;23.0;;;;
246;Veerboot, ferry;2002;36.0;;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;29.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;7.0;29.0;0.0;5.0;18.0;2.0;4.0;0.0;0.0;;;36.0;;;;
247;Veerboot, ferry;2003;36.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;35.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;;3.0;33.0;9.0;8.0;3.0;2.0;5.0;0.0;6.0;;;;;;;
248;Overige vervoermiddelen;2000;36.0;;3.0;0.0;2.0;;10.0;0.0;5.0;;;;;5.0;2.0;3.0;0.0;0.0;5.0;0.0;;0.0;3.0;0.0;33.0;;4.0;0.0;;;;;;;36.0;;;;
249;Overige vervoermiddelen;2001;112.0;;20.0;0.0;0.0;6.0;5.0;3.0;14.0;7.0;;41.0;5.0;6.0;7.0;12.0;7.0;12.0;17.0;7.0;0.0;48.0;7.0;41.0;64.0;;0.0;21.0;28.0;;;;;;112.0;;;;
250;Overige vervoermiddelen;2002;244.0;;15.0;43.0;25.0;11.0;23.0;25.0;32.0;13.0;58.0;27.0;15.0;11.0;35.0;21.0;22.0;16.0;29.0;37.0;31.0;61.0;35.0;27.0;183.0;19.0;39.0;39.0;25.0;24.0;33.0;3.0;;;244.0;;;;
251;Overige vervoermiddelen;2003;196.0;;34.0;26.0;5.0;2.0;21.0;34.0;2.0;18.0;53.0;30.0;17.0;2.0;16.0;16.0;39.0;9.0;34.0;18.0;15.0;81.0;62.0;19.0;115.0;2.0;22.0;8.0;23.0;13.0;26.0;20.0;;;;;;;
252;Grootte reisgezelschap: 1 persoon;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;Grootte reisgezelschap: 1 persoon;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;Grootte reisgezelschap: 1 persoon;2002;511.0;;;;;;;;;;;;;;;;;;;;;109.0;67.0;41.0;400.0;111.0;144.0;44.0;10.0;48.0;17.0;24.0;;;;;;;
255;Grootte reisgezelschap: 1 persoon;2003;408.0;;;;;;;;;;;;;;;;;;;;;54.0;38.0;16.0;355.0;121.0;88.0;26.0;13.0;32.0;42.0;32.0;;;;;;;
256;Grootte reisgezelschap: 2 personen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;Grootte reisgezelschap: 2 personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;Grootte reisgezelschap: 2 personen;2002;3609.0;;;;;;;;;;;;;;;;;;;;;1658.0;1079.0;578.0;1960.0;166.0;1153.0;187.0;87.0;164.0;48.0;152.0;;;;;;;
259;Grootte reisgezelschap: 2 personen;2003;3478.0;;;;;;;;;;;;;;;;;;;;;1339.0;807.0;532.0;2139.0;211.0;1272.0;152.0;122.0;203.0;25.0;153.0;;;;;;;
260;Grootte reisgezelschap: 3 personen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;Grootte reisgezelschap: 3 personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;Grootte reisgezelschap: 3 personen;2002;825.0;;;;;;;;;;;;;;;;;;;;;413.0;189.0;225.0;415.0;33.0;114.0;116.0;38.0;35.0;23.0;55.0;;;;;;;
263;Grootte reisgezelschap: 3 personen;2003;784.0;;;;;;;;;;;;;;;;;;;;;374.0;166.0;208.0;410.0;63.0;121.0;84.0;50.0;47.0;12.0;33.0;;;;;;;
264;Grootte reisgezelschap: 4 personen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;Grootte reisgezelschap: 4 personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;Grootte reisgezelschap: 4 personen;2002;1603.0;;;;;;;;;;;;;;;;;;;;;610.0;423.0;186.0;995.0;74.0;281.0;339.0;107.0;117.0;0.0;77.0;;;;;;;
267;Grootte reisgezelschap: 4 personen;2003;1459.0;;;;;;;;;;;;;;;;;;;;;528.0;399.0;130.0;931.0;64.0;250.0;325.0;86.0;148.0;11.0;46.0;;;;;;;
268;Grootte reisgezelschap: 5 personen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;Grootte reisgezelschap: 5 personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;Grootte reisgezelschap: 5 personen;2002;609.0;;;;;;;;;;;;;;;;;;;;;195.0;115.0;81.0;413.0;26.0;34.0;201.0;37.0;88.0;3.0;27.0;;;;;;;
271;Grootte reisgezelschap: 5 personen;2003;582.0;;;;;;;;;;;;;;;;;;;;;173.0;122.0;52.0;409.0;17.0;47.0;199.0;46.0;77.0;0.0;24.0;;;;;;;
272;Grootte reisgezelschap: 6 personen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;Grootte reisgezelschap: 6 personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;Grootte reisgezelschap: 6 personen;2002;452.0;;;;;;;;;;;;;;;;;;;;;51.0;40.0;11.0;399.0;12.0;59.0;267.0;16.0;19.0;0.0;26.0;;;;;;;
275;Grootte reisgezelschap: 6 personen;2003;453.0;;;;;;;;;;;;;;;;;;;;;25.0;16.0;8.0;429.0;20.0;61.0;270.0;24.0;21.0;0.0;34.0;;;;;;;
276;Grootte reisgezelschap: 7 personen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;Grootte reisgezelschap: 7 personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;Grootte reisgezelschap: 7 personen;2002;211.0;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;210.0;5.0;25.0;146.0;8.0;11.0;3.0;14.0;;;;;;;
279;Grootte reisgezelschap: 7 personen;2003;256.0;;;;;;;;;;;;;;;;;;;;;13.0;5.0;8.0;243.0;8.0;25.0;148.0;19.0;14.0;6.0;25.0;;;;;;;
280;Grootte reisgezelschap: >7 personen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;Grootte reisgezelschap: >7 personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;Grootte reisgezelschap: >7 personen;2002;1690.0;;;;;;;;;;;;;;;;;;;;;33.0;3.0;29.0;1647.0;38.0;250.0;717.0;127.0;73.0;369.0;75.0;;;;;;;
283;Grootte reisgezelschap: >7 personen;2003;1642.0;;;;;;;;;;;;;;;;;;;;;20.0;1.0;19.0;1623.0;31.0;181.0;663.0;222.0;103.0;330.0;94.0;;;;;;;
284;Herfstperiode;2000;1269.0;3.2;201.0;189.0;115.0;;94.0;111.0;121.0;;;;;125.0;231.0;109.0;128.0;101.0;122.0;213.0;;326.0;151.0;175.0;943.0;;388.0;420.0;;;;;;;;;93.0;;
285;Herfstperiode;2001;1197.0;3.1;205.0;115.0;109.0;69.0;171.0;130.0;108.0;86.0;;94.0;153.0;90.0;199.0;117.0;62.0;117.0;169.0;170.0;27.0;419.0;252.0;167.0;778.0;;288.0;317.0;10.0;;;;;;;;82.0;;
286;Herfstperiode;2002;1357.0;3.2;162.0;170.0;186.0;99.0;107.0;132.0;102.0;122.0;279.0;108.0;105.0;114.0;245.0;108.0;123.0;115.0;149.0;198.0;92.0;175.0;64.0;111.0;1182.0;77.0;373.0;512.0;20.0;46.0;71.0;84.0;;;;;138.0;;
287;Herfstperiode;2003;1190.0;3.2;143.0;102.0;120.0;115.0;135.0;117.0;113.0;73.0;273.0;95.0;117.0;122.0;198.0;121.0;75.0;86.0;127.0;152.0;98.0;161.0;88.0;72.0;1029.0;96.0;362.0;376.0;21.0;46.0;73.0;55.0;;;;140.0;118.0;;
288;Kerstperiode;2000;432.0;3.3;59.0;42.0;60.0;;3.0;70.0;57.0;;;;;21.0;90.0;37.0;26.0;39.0;70.0;94.0;;59.0;35.0;24.0;373.0;;135.0;202.0;;;;;;;;;109.0;;
289;Kerstperiode;2001;472.0;3.2;72.0;45.0;31.0;30.0;45.0;64.0;40.0;46.0;;4.0;43.0;30.0;70.0;71.0;62.0;24.0;71.0;79.0;19.0;68.0;22.0;45.0;404.0;;139.0;194.0;0.0;;;;;;;;96.0;;
290;Kerstperiode;2002;746.0;3.2;115.0;71.0;56.0;33.0;67.0;68.0;88.0;67.0;180.0;27.0;62.0;36.0;104.0;108.0;71.0;44.0;82.0;127.0;84.0;75.0;12.0;63.0;671.0;83.0;244.0;260.0;0.0;4.0;45.0;35.0;;;;;135.0;;
291;Kerstperiode;2003;698.0;3.1;108.0;69.0;73.0;66.0;52.0;56.0;35.0;108.0;131.0;22.0;52.0;66.0;89.0;77.0;101.0;50.0;58.0;137.0;47.0;54.0;19.0;35.0;644.0;104.0;245.0;206.0;0.0;2.0;32.0;56.0;;;;81.0;116.0;;
292;Krokusperiode;2000;712.0;3.3;121.0;74.0;109.0;;42.0;117.0;93.0;;;;;28.0;152.0;46.0;81.0;40.0;119.0;103.0;;175.0;115.0;60.0;537.0;;167.0;337.0;;;;;;;;;91.0;;
293;Krokusperiode;2001;666.0;3.2;114.0;102.0;67.0;63.0;72.0;67.0;53.0;19.0;;28.0;65.0;67.0;162.0;62.0;55.0;63.0;77.0;58.0;29.0;145.0;49.0;96.0;521.0;;241.0;213.0;0.0;;;;;;;;103.0;;
294;Krokusperiode;2002;926.0;3.2;115.0;79.0;123.0;67.0;69.0;58.0;145.0;59.0;212.0;31.0;61.0;73.0;156.0;113.0;104.0;56.0;75.0;179.0;78.0;112.0;41.0;71.0;814.0;51.0;288.0;362.0;12.0;7.0;47.0;47.0;;;;;133.0;;
295;Krokusperiode;2003;947.0;3.3;123.0;113.0;98.0;78.0;105.0;97.0;80.0;52.0;202.0;50.0;98.0;90.0;133.0;95.0;106.0;63.0;110.0;109.0;93.0;108.0;68.0;40.0;839.0;87.0;294.0;326.0;10.0;11.0;63.0;48.0;;;;109.0;115.0;;
296;Paasperiode;2000;1276.0;3.1;198.0;191.0;115.0;;76.0;237.0;144.0;;;;;62.0;223.0;105.0;131.0;107.0;246.0;143.0;;712.0;535.0;177.0;564.0;;151.0;236.0;;;;;;;;;62.0;;
297;Paasperiode;2001;1056.0;3.2;139.0;242.0;88.0;29.0;99.0;144.0;106.0;38.0;;51.0;94.0;62.0;212.0;77.0;112.0;72.0;182.0;115.0;77.0;593.0;452.0;141.0;463.0;;144.0;177.0;0.0;;;;;;;;61.0;;
298;Paasperiode;2002;1334.0;3.2;156.0;137.0;146.0;111.0;139.0;209.0;129.0;66.0;240.0;85.0;125.0;122.0;199.0;103.0;120.0;84.0;243.0;157.0;95.0;589.0;450.0;139.0;745.0;70.0;225.0;252.0;9.0;60.0;74.0;53.0;;;;;86.0;;
299;Paasperiode;2003;1073.0;3.2;150.0;134.0;147.0;62.0;69.0;154.0;90.0;47.0;220.0;82.0;64.0;68.0;209.0;95.0;88.0;95.0;164.0;118.0;89.0;342.0;254.0;88.0;731.0;45.0;243.0;256.0;24.0;57.0;54.0;53.0;;;;100.0;93.0;;
300;Voorseizoen;2000;3050.0;3.2;326.0;583.0;272.0;;363.0;462.0;228.0;;;;;238.0;482.0;185.0;310.0;266.0;503.0;274.0;;1800.0;1223.0;577.0;1250.0;;299.0;342.0;;;;;;;;;54.0;;
301;Voorseizoen;2001;3194.0;3.1;392.0;693.0;257.0;228.0;331.0;312.0;293.0;134.0;;351.0;288.0;405.0;502.0;184.0;274.0;292.0;429.0;342.0;126.0;1905.0;1201.0;704.0;1289.0;;339.0;306.0;194.0;;;;;;;;58.0;;
302;Voorseizoen;2002;2734.0;3.1;342.0;484.0;288.0;215.0;192.0;307.0;205.0;122.0;578.0;216.0;166.0;240.0;418.0;297.0;285.0;201.0;377.0;267.0;266.0;1195.0;807.0;388.0;1539.0;48.0;386.0;341.0;250.0;239.0;164.0;112.0;;;;;76.0;;
303;Voorseizoen;2003;2606.0;3.2;328.0;474.0;280.0;207.0;225.0;271.0;218.0;100.0;503.0;210.0;195.0;220.0;412.0;241.0;236.0;252.0;308.0;267.0;266.0;974.0;626.0;348.0;1632.0;86.0;352.0;379.0;297.0;310.0;127.0;80.0;;;;202.0;78.0;;
304;Hoogseizoen;2000;1495.0;3.0;198.0;325.0;110.0;;172.0;174.0;96.0;;;;;109.0;171.0;136.0;148.0;188.0;229.0;95.0;;761.0;441.0;320.0;734.0;;300.0;68.0;;;;;;;;;60.0;;
305;Hoogseizoen;2001;2004.0;3.0;305.0;559.0;168.0;101.0;142.0;126.0;124.0;65.0;;164.0;123.0;213.0;324.0;191.0;229.0;296.0;223.0;135.0;106.0;1055.0;567.0;488.0;949.0;;354.0;99.0;207.0;;;;;;;;62.0;;
306;Hoogseizoen;2002;1276.0;3.1;187.0;245.0;113.0;84.0;105.0;122.0;65.0;77.0;278.0;98.0;87.0;97.0;173.0;198.0;154.0;126.0;133.0;125.0;85.0;532.0;291.0;241.0;744.0;84.0;268.0;85.0;108.0;108.0;27.0;64.0;;;;;81.0;;
307;Hoogseizoen;2003;1385.0;3.1;169.0;203.0;155.0;130.0;102.0;125.0;85.0;57.0;360.0;104.0;97.0;140.0;252.0;146.0;173.0;77.0;137.0;111.0;146.0;531.0;305.0;225.0;855.0;68.0;283.0;125.0;152.0;106.0;39.0;81.0;;;;113.0;81.0;;
308;Naseizoen;2000;929.0;2.9;149.0;167.0;71.0;;61.0;150.0;65.0;;;;;117.0;134.0;114.0;71.0;110.0;166.0;76.0;;548.0;338.0;210.0;381.0;;149.0;113.0;;;;;;;;;56.0;;
309;Naseizoen;2001;1079.0;3.0;170.0;238.0;88.0;80.0;56.0;144.0;97.0;47.0;;51.0;43.0;97.0;211.0;88.0;54.0;150.0;175.0;123.0;85.0;632.0;449.0;183.0;447.0;;108.0;174.0;55.0;;;;;;;;54.0;;
310;Naseizoen;2002;1137.0;3.1;131.0;217.0;103.0;65.0;122.0;127.0;89.0;56.0;225.0;83.0;103.0;78.0;153.0;149.0;141.0;87.0;149.0;118.0;75.0;391.0;253.0;139.0;745.0;53.0;275.0;205.0;31.0;91.0;35.0;55.0;;;;;105.0;;
311;Naseizoen;2003;1162.0;3.1;154.0;211.0;129.0;74.0;114.0;104.0;80.0;63.0;233.0;110.0;102.0;86.0;186.0;122.0;112.0;96.0;124.0;101.0;124.0;355.0;192.0;163.0;808.0;50.0;266.0;198.0;78.0;112.0;38.0;66.0;;;;105.0;90.0;;
