ID;Vakantiekenmerken;Perioden;TotaalAantalVakanties_1;GemiddeldeVakantieduur_2;Noordzeebadplaatsen_3;Watersportgebieden_4;VeluweEnVeluwerand_5;TwenteSallandEnVechtstreek_6;GroningseFrieseEnDrentseZandgronden_7;WestEnMiddenBrabant_8;OBrabantNMLimburgRijkVNijmegen_9;ZuidLimburg_10;OverigNederland_11;Friesland_12;Drenthe_13;Overijssel_14;Gelderland_15;NoordHolland_16;ZuidHolland_17;Zeeland_18;NoordBrabant_19;Limburg_20;OverigeProvincies_21;TotaalSeizoenrecreatieveLogiesvormen_22;CaravanVouwwagen_23;OverigeSeizoenrecreatieveLogiesvormen_24;TotaalToeristischeLogiesvormen_25;WoningVanAndereParticulier_26;Hotel_27;ZomerhuisjeVakantiebungalow_28;TentBungalowtent_29;CaravanVouwwagenCamper_30;JeugdherbergAndereGroepsaccommodatie_31;OverigeToeristischeLogiesvormen_32;Auto_33;TreinAutoslaaptrein_34;OverigeVervoermiddelen_35;TotaleUitgavenVoorVakanties_36;TotaalGemUitgavenPerVakantieganger_37;MetEigenVervoer_38;MetOverigVervoer_39
171;TL: tent, bungalowtent;2003;582.0;3.2;76.0;89.0;34.0;65.0;62.0;46.0;39.0;43.0;129.0;56.0;60.0;71.0;66.0;61.0;37.0;47.0;66.0;60.0;58.0;;;;;;;;;;;;;;;42.0;73.0;;
172;TL: caravan, vouwwagen;2000;351.0;;38.0;56.0;40.0;;20.0;46.0;67.0;;;;;37.0;55.0;18.0;13.0;24.0;91.0;25.0;;;;;351.0;;;;;351.0;;;;;;;;;
173;TL: caravan, vouwwagen;2001;356.0;;41.0;40.0;48.0;32.0;52.0;26.0;46.0;28.0;40.0;20.0;30.0;38.0;78.0;22.0;21.0;30.0;40.0;47.0;29.0;;;;356.0;;;;;356.0;;;;;;;;;
174;TL: caravan, vouwwagen;2002;509.0;3.3;88.0;50.0;53.0;47.0;82.0;27.0;39.0;28.0;95.0;30.0;64.0;48.0;99.0;31.0;33.0;81.0;40.0;49.0;33.0;;;;509.0;;;;;509.0;;;;;;28.0;54.0;;
175;TL: caravan, vouwwagen;2003;541.0;3.3;73.0;51.0;69.0;62.0;46.0;55.0;35.0;12.0;139.0;34.0;32.0;64.0;116.0;48.0;44.0;57.0;61.0;36.0;49.0;;;;;;;;;;;;;;;38.0;70.0;;
176;TL: camper;2000;27.0;;0.0;7.0;10.0;;1.0;0.0;0.0;;;;;7.0;10.0;4.0;0.0;0.0;0.0;0.0;;;;;27.0;;;;;27.0;;;;;;;;;
177;TL: camper;2001;36.0;;0.0;10.0;2.0;9.0;0.0;3.0;0.0;12.0;0.0;5.0;0.0;12.0;2.0;2.0;0.0;0.0;3.0;12.0;0.0;;;;36.0;;;;;36.0;;;;;;;;;
178;TL: camper;2002;46.0;;5.0;12.0;5.0;1.0;8.0;0.0;4.0;3.0;9.0;4.0;8.0;6.0;7.0;1.0;3.0;2.0;0.0;7.0;8.0;;;;46.0;;;;;46.0;;;;;;;;;
179;TL: camper;2003;103.0;;12.0;11.0;6.0;17.0;12.0;2.0;5.0;2.0;36.0;6.0;12.0;17.0;12.0;14.0;10.0;8.0;4.0;5.0;15.0;;;;;;;;;;;;;;;;;;
180;TL: boot;2000;75.0;;4.0;38.0;0.0;;0.0;0.0;0.0;;;;;0.0;0.0;14.0;0.0;5.0;0.0;0.0;;;;;75.0;;;;;;;75.0;;;;;;;
181;TL: boot;2001;56.0;;24.0;22.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;3.0;0.0;6.0;6.0;21.0;0.0;0.0;0.0;;;;56.0;;;;;;;56.0;;;;;;;
182;TL: boot;2002;90.0;;6.0;55.0;0.0;0.0;3.0;2.0;3.0;0.0;21.0;41.0;3.0;2.0;3.0;29.0;3.0;5.0;2.0;0.0;3.0;;;;90.0;;;;;;;90.0;;;;;;;
183;TL: boot;2003;65.0;;3.0;32.0;0.0;0.0;2.0;3.0;5.0;0.0;20.0;25.0;0.0;1.0;1.0;19.0;9.0;2.0;3.0;4.0;;;;;;;;;;;;;;;;;;;
184;TL: jeugdherberg of andere groepsacc.;2000;282.0;;25.0;31.0;16.0;;39.0;61.0;12.0;;;;;16.0;42.0;4.0;24.0;24.0;65.0;9.0;;;;;282.0;;;;;;282.0;;;;;;;;
