ID;OriginDestination;ResidualsProducts;HazardousNonHazardous;Periods;TotalWaste_1;ChemicalWaste_2;MetallicWaste_3;NonMetallicWaste_4;DiscardedMaterials_5;AnimalAndVegetableWaste_6;MixedWaste_7;Sludge_8;MineralWaste_9
0;Total private households;3;3;1990;;;;;;;;;
1;Total private households;3;3;1991;;;;;;;;;
2;Total private households;3;3;1992;;;;;;;;;
3;Total private households;3;3;1993;;;;;;;;;
4;Total private households;3;3;1994;;;;;;;;;
5;Total private households;3;3;1995;;;;;;;;;
6;Total private households;3;3;1996;;;;;;;;;
7;Total private households;3;3;1997;;;;;;;;;
8;Total private households;3;3;1998;;;;;;;;;
9;Total private households;3;3;1999;;;;;;;;;
10;Total private households;3;3;2000;;;;;;;;;
11;Total private households;3;3;2001;;;;;;;;;
12;Total private households;3;3;2002;9289.0;16.0;55.0;1781.0;395.0;1805.0;4734.0;0.0;504.0
13;Total private households;3;3;2003;9223.0;15.0;64.0;1813.0;384.0;1722.0;4648.0;0.0;576.0
14;Total private households;3;3;2004;9493.0;14.0;68.0;1916.0;373.0;1808.0;4700.0;0.0;614.0
15;Total private households;3;3;2005;9511.0;15.0;67.0;1933.0;352.0;1777.0;4760.0;0.0;607.0
16;Total private households;3;3;2006;9417.0;21.0;70.0;1976.0;300.0;1710.0;4768.0;0.0;571.0
17;Total private households;3;3;2007;9568.0;23.0;73.0;2109.0;278.0;1764.0;4704.0;0.0;617.0
18;Total private households;3;3;2008;9420.0;23.0;71.0;2100.0;285.0;1707.0;4667.0;0.0;567.0
19;Total private households;3;3;2009;9332.0;18.0;73.0;1971.0;369.0;1750.0;4582.0;0.0;568.0
20;Total private households;3;3;2010;9072.0;17.0;65.0;1983.0;371.0;1713.0;4560.0;0.0;363.0
21;Total private households;3;1;1990;;;;;;;;;
22;Total private households;3;1;1991;;;;;;;;;
23;Total private households;3;1;1992;;;;;;;;;
24;Total private households;3;1;1993;;;;;;;;;
25;Total private households;3;1;1994;;;;;;;;;
26;Total private households;3;1;1995;;;;;;;;;
27;Total private households;3;1;1996;;;;;;;;;
28;Total private households;3;1;1997;;;;;;;;;
29;Total private households;3;1;1998;;;;;;;;;
30;Total private households;3;1;1999;;;;;;;;;
31;Total private households;3;1;2000;;;;;;;;;
32;Total private households;3;1;2001;;;;;;;;;
33;Total private households;3;1;2002;331.0;15.0;0.0;0.0;303.0;0.0;0.0;0.0;13.0
34;Total private households;3;1;2003;324.0;15.0;0.0;0.0;293.0;0.0;0.0;0.0;16.0
35;Total private households;3;1;2004;310.0;13.0;0.0;0.0;282.0;0.0;0.0;0.0;15.0
36;Total private households;3;1;2005;287.0;15.0;0.0;0.0;260.0;0.0;0.0;0.0;12.0
37;Total private households;3;1;2006;245.0;21.0;0.0;0.0;213.0;0.0;0.0;0.0;11.0
38;Total private households;3;1;2007;217.0;23.0;0.0;0.0;183.0;0.0;0.0;0.0;12.0
39;Total private households;3;1;2008;221.0;23.0;0.0;0.0;187.0;0.0;0.0;0.0;10.0
40;Total private households;3;1;2009;;;;;;;;;
41;Total private households;3;1;2010;;;;;;;;;
42;Total private households;3;2;1990;;;;;;;;;
43;Total private households;3;2;1991;;;;;;;;;
44;Total private households;3;2;1992;;;;;;;;;
45;Total private households;3;2;1993;;;;;;;;;
46;Total private households;3;2;1994;;;;;;;;;
47;Total private households;3;2;1995;;;;;;;;;
48;Total private households;3;2;1996;;;;;;;;;
49;Total private households;3;2;1997;;;;;;;;;
50;Total private households;3;2;1998;;;;;;;;;
51;Total private households;3;2;1999;;;;;;;;;
52;Total private households;3;2;2000;;;;;;;;;
53;Total private households;3;2;2001;;;;;;;;;
54;Total private households;3;2;2002;8958.0;1.0;55.0;1781.0;91.0;1805.0;4734.0;0.0;491.0
55;Total private households;3;2;2003;8900.0;1.0;64.0;1813.0;91.0;1722.0;4648.0;0.0;560.0
56;Total private households;3;2;2004;9183.0;1.0;68.0;1916.0;91.0;1808.0;4700.0;0.0;600.0
57;Total private households;3;2;2005;9224.0;0.0;67.0;1933.0;92.0;1777.0;4760.0;0.0;595.0
58;Total private households;3;2;2006;9171.0;0.0;70.0;1976.0;87.0;1710.0;4768.0;0.0;560.0
59;Total private households;3;2;2007;9351.0;0.0;73.0;2109.0;95.0;1764.0;4704.0;0.0;605.0
60;Total private households;3;2;2008;9199.0;0.0;71.0;2100.0;98.0;1707.0;4667.0;0.0;557.0
61;Total private households;3;2;2009;;;;;;;;;
62;Total private households;3;2;2010;;;;;;;;;
63;Total private households;1;3;1990;;;;;;;;;
64;Total private households;1;3;1991;;;;;;;;;
65;Total private households;1;3;1992;;;;;;;;;
66;Total private households;1;3;1993;;;;;;;;;
67;Total private households;1;3;1994;;;;;;;;;
68;Total private households;1;3;1995;;;;;;;;;
69;Total private households;1;3;1996;;;;;;;;;
70;Total private households;1;3;1997;;;;;;;;;
71;Total private households;1;3;1998;;;;;;;;;
72;Total private households;1;3;1999;;;;;;;;;
73;Total private households;1;3;2000;;;;;;;;;
74;Total private households;1;3;2001;;;;;;;;;
75;Total private households;1;3;2002;8829.0;11.0;21.0;1360.0;395.0;1805.0;4733.0;0.0;504.0
76;Total private households;1;3;2003;8878.0;10.0;11.0;1537.0;384.0;1722.0;4638.0;0.0;576.0
77;Total private households;1;3;2004;8915.0;12.0;13.0;1399.0;373.0;1808.0;4697.0;0.0;614.0
78;Total private households;1;3;2005;9079.0;15.0;17.0;1552.0;352.0;1777.0;4760.0;0.0;607.0
79;Total private households;1;3;2006;8667.0;21.0;15.0;1282.0;300.0;1710.0;4768.0;0.0;571.0
80;Total private households;1;3;2007;8825.0;23.0;18.0;1420.0;278.0;1764.0;4704.0;0.0;617.0
81;Total private households;1;3;2008;8685.0;23.0;14.0;1421.0;285.0;1707.0;4667.0;0.0;567.0
82;Total private households;1;3;2009;;;;;;;;;
83;Total private households;1;3;2010;;;;;;;;;
84;Total private households;1;1;1990;;;;;;;;;
85;Total private households;1;1;1991;;;;;;;;;
86;Total private households;1;1;1992;;;;;;;;;
87;Total private households;1;1;1993;;;;;;;;;
88;Total private households;1;1;1994;;;;;;;;;
89;Total private households;1;1;1995;;;;;;;;;
90;Total private households;1;1;1996;;;;;;;;;
91;Total private households;1;1;1997;;;;;;;;;
92;Total private households;1;1;1998;;;;;;;;;
93;Total private households;1;1;1999;;;;;;;;;
94;Total private households;1;1;2000;;;;;;;;;
95;Total private households;1;1;2001;;;;;;;;;
96;Total private households;1;1;2002;327.0;11.0;0.0;0.0;303.0;0.0;0.0;0.0;13.0
97;Total private households;1;1;2003;318.0;9.0;0.0;0.0;293.0;0.0;0.0;0.0;16.0
98;Total private households;1;1;2004;307.0;11.0;0.0;0.0;282.0;0.0;0.0;0.0;15.0
99;Total private households;1;1;2005;287.0;15.0;0.0;0.0;260.0;0.0;0.0;0.0;12.0
100;Total private households;1;1;2006;245.0;21.0;0.0;0.0;213.0;0.0;0.0;0.0;11.0
101;Total private households;1;1;2007;217.0;23.0;0.0;0.0;183.0;0.0;0.0;0.0;12.0
102;Total private households;1;1;2008;221.0;23.0;0.0;0.0;187.0;0.0;0.0;0.0;10.0
103;Total private households;1;1;2009;;;;;;;;;
104;Total private households;1;1;2010;;;;;;;;;
105;Total private households;1;2;1990;;;;;;;;;
106;Total private households;1;2;1991;;;;;;;;;
107;Total private households;1;2;1992;;;;;;;;;
108;Total private households;1;2;1993;;;;;;;;;
109;Total private households;1;2;1994;;;;;;;;;
110;Total private households;1;2;1995;;;;;;;;;
111;Total private households;1;2;1996;;;;;;;;;
112;Total private households;1;2;1997;;;;;;;;;
113;Total private households;1;2;1998;;;;;;;;;
114;Total private households;1;2;1999;;;;;;;;;
115;Total private households;1;2;2000;;;;;;;;;
116;Total private households;1;2;2001;;;;;;;;;
117;Total private households;1;2;2002;8503.0;1.0;21.0;1360.0;91.0;1805.0;4733.0;0.0;491.0
118;Total private households;1;2;2003;8559.0;1.0;11.0;1537.0;91.0;1722.0;4638.0;0.0;560.0
119;Total private households;1;2;2004;8608.0;1.0;13.0;1399.0;91.0;1808.0;4697.0;0.0;600.0
120;Total private households;1;2;2005;8793.0;0.0;17.0;1552.0;92.0;1777.0;4760.0;0.0;595.0
121;Total private households;1;2;2006;8422.0;0.0;15.0;1282.0;87.0;1710.0;4768.0;0.0;560.0
122;Total private households;1;2;2007;8608.0;0.0;18.0;1420.0;95.0;1764.0;4704.0;0.0;605.0
123;Total private households;1;2;2008;8464.0;0.0;14.0;1421.0;98.0;1707.0;4667.0;0.0;557.0
124;Total private households;1;2;2009;;;;;;;;;
