ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;NieuwePersonenautoS_28;NieuweVrachtautoS_29;NieuweAanhangwagensEnOpleggers_30;GebruiktePersonenautoS_31;GebruikteVrachtautoS_32;GebruikteAanhangwagensEnOpleggers_33;AccessoiresEnOnderdelen_34;MotorbrandstoffenEnOlie_35;Banden_36;OverigeHandelsactiviteiten_37;ReparatiesInclGebruikteOnderdelen_38;Verhuur_39;OperationalLease_40;UitbesteedWerk_41;OverigeDienstverlening_42;OntvangstenVoorUitleenEnSubsidie_43;TotaalPersoneelskosten_44;BrutoLonenEnSalarissen_45;SocialeLasten_46;Pensioenpremies_47;KostenUitzendkrachten_48;KostenIngeleendPersoneel_49;OverigePersoneelskosten_50;TotaalOverigeBedrijfslasten_51;TotaalHuisvestingskosten_52;BetaaldeHurenPachtenEDVanLeasing_53;OnroerendeZaakbelastingMilieuheffing_54;Energiekosten_55;ReparatieEnOnderhoudskosten_56;Verzekeringen_57;OverigeHuisvestingskosten_58;TotaalInventarisEnMachinekosten_59;BetaaldeHurenEnKostenVanOperLease_60;Onderhoudskosten_61;OverigeInventarisEnMachinekosten_62;TotaalAutokosten_63;BetaaldeHurenEnKostenVanOperLease_64;Brandstof_65;OverigeAutokosten_66;TotaalVerkoopkosten_67;ReclameEnAdvertentiekosten_68;ReisVerblijfsEnRepresentatiekosten_69;OverigeVerkoopkosten_70;TotaalAndereKosten_71;AccountantsEnAdviesdiensten_72;KantoorbenodigdhDrukwerkVakliteratuur_73;OverigeVerzekeringen_74;OverigeKostprijsverhogendeBelastingen_75;Communicatiekosten_76;Beheerskosten_77;OverigeAutomatiseringskosten_78;NogNietEerderGenoemdeBedrijfskosten_79;TotaalAantalWerkzamePersonen_80;WerknemersOpDeLoonlijst_81;WerknemersNietOpLoonlijst_82;OverigPersoneel_83;AantalVte_84;TotaalInvesteringen_85;TotaalMaterieleVasteActiva_86;Bedrijfsruimten_87;Vervoermiddelen_88;Computers_89;OverigeMachinesApparatenED_90;OverigeMaterieleVasteActiva_91;TotaalImmaterieleVasteActiva_92
0;Totaal SBI 50104;1996;129.8;20981;20925;2840;18080;56;20420;86.6;7.0;1.0;5.4;1098;318;58;98;233;391;561;-196;365;15.5;1.8;1.7;2.1;310.0;25.6;20925;40.0;1.4;0.0;32.7;0.2;0;6.1;4.9;0.3;0.8;11.0;0.5;0.8;0.8;0.5;0.7;1425;84.4;7.3;3.6;0.4;0.7;4.3;1098;318;58.8;2.8;18.3;11.3;2.7;6.2;58;6.9;42.6;50.5;98;22.1;22.1;66.1;233;65.1;9.5;25.5;391;15.1;8.7;13.2;4.9;11.4;16.9;6.0;23.8;734;83.5;16.0;0.5;675;443;99.3;21.0;55.2;2.0;12.1;8.9;0.7
1;Totaal SBI 50104;1997;132.2;22358;22299;3213;19084;59;21746;86.9;6.8;1.1;5.2;1130;343;60;104;247;375;612;-178;434;15.2;1.9;1.9;2.4;327.7;26.0;22299;40.0;1.6;0.0;33.4;0.2;0;5.0;4.4;0.4;0.6;12.1;0.4;0.8;0.7;0.3;0.9;1484;84.3;7.3;3.8;0.4;0.8;4.2;1130;343;58.5;2.9;18.2;11.5;2.6;6.3;60;7.3;39.5;53.3;104;20.6;20.6;68.9;247;64.6;8.9;26.6;375;16.4;10.0;13.7;1.2;12.4;17.0;6.2;23.1;735;84.7;14.9;0.4;680;542;99.0;17.2;52.0;1.9;12.7;15.1;1.0
2;Totaal SBI 50104;1998;129.6;24683;24602;3287;21314;81;24039;87.0;6.8;1.1;5.1;1228;362;65;111;269;421;644;-136;508;15.0;1.8;2.1;2.1;;;24602;42.2;1.2;0.0;32.6;0.2;0;5.4;4.1;0.3;0.7;11.2;0.4;0.8;0.6;0.3;1.2;1631;81.7;9.8;4.4;0.5;0.4;4.3;1228;362;;;;;;;65;;;;111;;;;269;;;;421;;;;;;;;;727;84.2;15.5;0.3;669;518;95.6;16.5;47.6;2.1;15.0;14.3;4.4
3;Totaal SBI 50104;1999;125.9;27355;27279;3482;23797;76;26560;87.5;6.4;1.1;5.0;1319;405;73;121;294;425;795;-166;629;14.8;2.1;2.3;2.3;;;27279;43.7;1.3;0.0;32.4;0.2;0;5.4;3.1;0.3;0.7;10.7;0.0;0.2;0.6;0.7;1.0;1711;80.1;10.8;4.4;0.5;0.7;4.4;1319;405;;;;;;;73;;;;121;;;;294;;;;425;;;;;;;;;772;81.6;17.8;0.6;711;623;99.4;10.1;62.5;3.8;12.2;10.8;0.6
4;Tot 250 000 euro;1996;56.7;589;584;171;414;5;515;77.3;5.8;3.2;13.7;70;25;3;8;9;25;74;-7;67;31.9;11.3;11.4;2.5;81.4;14.9;584;4.1;0.0;0.0;54.4;1.4;0;6.3;1.3;0.4;2.9;26.5;0.4;0.0;1.5;0.7;0.6;30;84.8;7.7;4.4;0.9;0.2;2.5;70;25;61.3;3.5;18.9;7.6;3.6;5.0;3;7.5;43.5;49.0;8;30.6;30.6;43.2;9;82.0;3.9;14.1;25;27.4;7.1;15.8;1.2;12.7;3.1;2.1;30.5;77;32.8;66.8;0.4;72;14;99.9;23.3;16.0;3.3;25.6;31.8;0.1
5;Tot 250 000 euro;1997;54.0;526;521;166;355;5;464;76.6;6.5;3.0;13.9;65;23;4;8;8;22;62;-7;55;31.8;10.6;10.4;2.6;79.1;15.2;521;4.9;0.0;0.0;54.6;0.1;0;6.0;1.2;0.5;0.8;30.1;0.4;0.0;0.9;0.4;2.0;30;87.7;6.4;4.4;0.1;0.0;3.3;65;23;61.4;2.8;19.5;8.1;3.3;4.9;4;6.3;45.4;48.3;8;31.9;31.9;37.9;8;85.5;3.9;10.5;22;29.2;7.9;16.2;4.4;13.4;2.1;0.6;26.1;69;34.0;65.1;0.9;66;14;95.8;24.4;22.8;1.6;35.5;11.6;4.2
6;Tot 250 000 euro;1998;56.1;589;584;200;384;5;515;77.5;5.4;2.9;14.2;73;26;5;9;8;25;73;-6;67;31.6;11.3;11.4;4.5;;;584;2.8;0.0;0.1;55.6;0.1;0;5.0;0.6;0.2;1.4;32.8;0.2;0.0;0.5;0.7;1.5;28;84.5;9.7;3.9;0.4;0.0;3.0;73;26;;;;;;;5;;;;9;;;;8;;;;25;;;;;;;;;77;25.2;74.1;0.8;73;26;99.6;52.0;7.5;1.4;13.9;24.9;0.4
7;Tot 250 000 euro;1999;54.7;768;761;260;500;7;674;78.0;4.7;3.1;14.1;95;35;6;13;11;30;94;-9;85;30.9;11.2;11.1;2.7;;;761;4.2;0.1;0.1;55.9;0.1;0;3.7;0.6;0.1;1.0;33.2;0.0;0.0;0.0;0.3;1.2;32;82.5;8.1;4.6;2.0;0.2;3.9;95;35;;;;;;;6;;;;13;;;;11;;;;30;;;;;;;;;99;27.3;71.8;0.9;95;21;100.0;16.7;34.3;3.4;24.4;21.2;0.0
8;250 000 tot 500 000 euro;1996;16.5;621;616;146;470;5;574;79.2;9.5;2.0;9.3;53;17;2;6;9;19;48;-7;41;26.3;6.7;6.6;1.9;151.4;21.7;616;9.6;0.0;0.1;53.5;0.0;0;5.6;5.2;0.3;2.2;21.7;0.1;0.2;1.2;0.5;1.1;54;81.6;7.3;8.0;0.4;0.4;3.5;53;17;49.9;4.9;22.8;11.7;4.5;6.2;2;11.2;49.2;39.6;6;23.1;23.1;50.7;9;78.3;10.1;11.5;19;22.1;8.6;13.4;1.7;13.2;10.1;2.8;28.1;48;68.1;30.8;1.1;41;12;100.0;13.3;8.0;3.0;29.6;46.0;0.0
9;250 000 tot 500 000 euro;1997;20.2;721;716;190;526;5;654;79.3;8.4;2.3;10.0;66;20;2;7;12;25;66;-9;57;27.6;8.3;8.0;1.5;138.8;17.6;716;8.0;0.2;0.1;58.7;0.0;0;3.9;1.1;0.5;1.0;25.2;0.2;0.0;0.8;0.4;1.5;55;83.5;9.1;3.0;0.3;0.3;5.2;66;20;55.0;3.4;20.8;10.5;3.8;6.4;2;4.1;57.0;38.9;7;24.1;24.1;54.7;12;79.5;6.9;13.6;25;21.7;7.4;13.4;2.7;12.4;9.9;2.2;30.2;54;63.3;36.1;0.6;52;11;99.3;19.1;16.1;3.0;34.5;26.6;0.7
