ID;LeeftijdVoertuig;Brandstofsoort;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6;TotaalGemiddeldJaarkilometrage_7;GemiddeldJaarkilometrageInNederland_8;GemiddeldJaarkilometrageInBuitenland_9;NederlandseBestelautoSInGebruik_10
0;Totaal;Totaal;2018;17961.2;17224.8;736.4;17961.2;17224.8;736.4;18249;17500;748;984253
1;Totaal;Totaal;2019;18438.8;17664.4;774.4;18438.8;17664.4;774.4;18215;17450;765;1012266
2;Totaal;Totaal;2020;17904.7;17170.6;734.1;17904.7;17170.6;734.1;17523;16804;718;1021808
3;Totaal;Totaal;2021;18635.9;17890.4;745.4;18635.9;17890.4;745.4;17779;17068;711;1048211
4;Totaal;Totaal;2022;18940.9;18183.2;757.6;18940.9;18183.2;757.6;17783;17072;711;1065091
5;Totaal;Totaal;2023;19101.9;18337.8;764.1;19101.9;18337.8;764.1;17470;16771;699;1093426
6;Totaal;Benzine;2018;167.5;160.6;6.9;167.5;160.6;6.9;6079;5830;249;27547
7;Totaal;Benzine;2019;185.2;177.5;7.8;185.2;177.5;7.8;6427;6157;270;28819
8;Totaal;Benzine;2020;188.0;180.3;7.7;188.0;180.3;7.7;6232;5977;256;30165
9;Totaal;Benzine;2021;216.0;207.3;8.6;216.0;207.3;8.6;6531;6270;261;33067
10;Totaal;Benzine;2022;240.2;230.6;9.6;240.2;230.6;9.6;6829;6556;273;35169
11;Totaal;Benzine;2023;277.0;266.0;11.1;277.0;266.0;11.1;7406;7110;296;37408
12;Totaal;Diesel;2018;17450.8;16735.3;715.5;17450.8;16735.3;715.5;18718;17950;767;932315
13;Totaal;Diesel;2019;17867.0;17116.6;750.4;17867.0;17116.6;750.4;18687;17902;785;956104
14;Totaal;Diesel;2020;17316.2;16606.2;710.0;17316.2;16606.2;710.0;18019;17280;739;960986
15;Totaal;Diesel;2021;17962.7;17244.2;718.5;17962.7;17244.2;718.5;18322;17589;733;980396
16;Totaal;Diesel;2022;18149.3;17423.4;726.0;18149.3;17423.4;726.0;18348;17614;734;989170
17;Totaal;Diesel;2023;18123.9;17398.9;725.0;18123.9;17398.9;725.0;18063;17341;723;1003367
18;Totaal;LPG/overige;2018;343.0;328.9;14.1;343.0;328.9;14.1;14061;13484;576;24391
19;Totaal;LPG/overige;2019;386.6;370.4;16.2;386.6;370.4;16.2;14140;13546;594;27343
20;Totaal;LPG/overige;2020;400.4;384.0;16.4;400.4;384.0;16.4;13062;12526;536;30657
21;Totaal;LPG/overige;2021;457.2;438.9;18.3;457.2;438.9;18.3;13158;12631;526;34748
22;Totaal;LPG/overige;2022;551.4;529.3;22.1;551.4;529.3;22.1;13530;12989;541;40752
23;Totaal;LPG/overige;2023;700.9;672.9;28.0;700.9;672.9;28.0;13313;12781;533;52651
24;0 jaar;Totaal;2018;1203.1;1153.7;49.3;1203.1;1153.7;49.3;15467;14833;634;77783
25;0 jaar;Totaal;2019;1204.9;1154.3;50.6;1204.9;1154.3;50.6;16152;15474;678;74598
26;0 jaar;Totaal;2020;915.5;877.9;37.5;915.5;877.9;37.5;15331;14703;629;59713
27;0 jaar;Totaal;2021;1005.0;964.8;40.2;1005.0;964.8;40.2;15147;14541;606;66347
28;0 jaar;Totaal;2022;768.5;737.8;30.7;768.5;737.8;30.7;13511;12970;540;56883
29;0 jaar;Totaal;2023;907.2;870.9;36.3;907.2;870.9;36.3;13493;12953;540;67232
30;0 jaar;Benzine;2018;7.8;7.5;0.3;7.8;7.5;0.3;7440;7135;305;1049
31;0 jaar;Benzine;2019;10.8;10.4;0.5;10.8;10.4;0.5;9123;8740;383;1187
32;0 jaar;Benzine;2020;6.0;5.8;0.2;6.0;5.8;0.2;8076;7745;331;743
33;0 jaar;Benzine;2021;7.8;7.5;0.3;7.8;7.5;0.3;7112;6828;284;1094
34;0 jaar;Benzine;2022;8.9;8.6;0.4;8.9;8.6;0.4;8100;7776;324;1102
35;0 jaar;Benzine;2023;15.5;14.9;0.6;15.5;14.9;0.6;8759;8409;350;1772
36;0 jaar;Diesel;2018;1163.1;1115.4;47.7;1163.1;1115.4;47.7;15613;14973;640;74494
37;0 jaar;Diesel;2019;1160.8;1112.1;48.8;1160.8;1112.1;48.8;16428;15738;690;70664
38;0 jaar;Diesel;2020;879.9;843.8;36.1;879.9;843.8;36.1;15771;15124;647;55792
39;0 jaar;Diesel;2021;953.8;915.6;38.2;953.8;915.6;38.2;15702;15074;628;60739
40;0 jaar;Diesel;2022;708.8;680.5;28.4;708.8;680.5;28.4;14163;13597;567;50048
41;0 jaar;Diesel;2023;797.9;766.0;31.9;797.9;766.0;31.9;14636;14051;585;54519
42;0 jaar;LPG/overige;2018;32.2;30.8;1.3;32.2;30.8;1.3;14358;13769;589;2240
43;0 jaar;LPG/overige;2019;33.2;31.8;1.4;33.2;31.8;1.4;12098;11590;508;2747
44;0 jaar;LPG/overige;2020;29.6;28.4;1.2;29.6;28.4;1.2;9311;8929;382;3178
45;0 jaar;LPG/overige;2021;43.5;41.7;1.7;43.5;41.7;1.7;9625;9240;385;4514
46;0 jaar;LPG/overige;2022;50.8;48.7;2.0;50.8;48.7;2.0;8855;8501;354;5733
47;0 jaar;LPG/overige;2023;93.7;89.9;3.7;93.7;89.9;3.7;8564;8221;343;10941
48;1 jaar;Totaal;2018;2073.5;1988.5;85.0;2073.5;1988.5;85.0;27548;26419;1129;75268
49;1 jaar;Totaal;2019;2293.8;2197.4;96.3;2293.8;2197.4;96.3;28513;27315;1198;80447
50;1 jaar;Totaal;2020;2099.1;2013.0;86.1;2099.1;2013.0;86.1;26966;25860;1106;77843
51;1 jaar;Totaal;2021;1668.4;1601.7;66.7;1668.4;1601.7;66.7;26877;25802;1075;62075
52;1 jaar;Totaal;2022;1830.2;1757.0;73.2;1830.2;1757.0;73.2;26264;25213;1051;69686
53;1 jaar;Totaal;2023;1599.7;1535.7;64.0;1599.7;1535.7;64.0;26588;25524;1064;60167
54;1 jaar;Benzine;2018;9.0;8.6;0.4;9.0;8.6;0.4;13403;12854;550;672
55;1 jaar;Benzine;2019;16.9;16.2;0.7;16.9;16.2;0.7;15341;14696;644;1100
56;1 jaar;Benzine;2020;17.1;16.4;0.7;17.1;16.4;0.7;14086;13509;578;1216
57;1 jaar;Benzine;2021;11.4;11.0;0.5;11.4;11.0;0.5;14566;13983;583;783
58;1 jaar;Benzine;2022;16.2;15.5;0.6;16.2;15.5;0.6;14062;13500;562;1149
59;1 jaar;Benzine;2023;17.7;17.0;0.7;17.7;17.0;0.7;15688;15061;628;1130
60;1 jaar;Diesel;2018;2006.2;1924.0;82.3;2006.2;1924.0;82.3;27740;26603;1137;72323
61;1 jaar;Diesel;2019;2219.4;2126.2;93.2;2219.4;2126.2;93.2;28814;27604;1210;77024
62;1 jaar;Diesel;2020;2022.3;1939.4;82.9;2022.3;1939.4;82.9;27432;26307;1125;73719
63;1 jaar;Diesel;2021;1596.6;1532.8;63.9;1596.6;1532.8;63.9;27475;26376;1099;58112
64;1 jaar;Diesel;2022;1718.4;1649.6;68.7;1718.4;1649.6;68.7;26925;25848;1077;63820
65;1 jaar;Diesel;2023;1473.1;1414.1;58.9;1473.1;1414.1;58.9;27842;26728;1114;52908
66;1 jaar;LPG/overige;2018;58.3;55.9;2.4;58.3;55.9;2.4;25628;24578;1051;2273
67;1 jaar;LPG/overige;2019;57.5;55.1;2.4;57.5;55.1;2.4;24770;23729;1040;2323
68;1 jaar;LPG/overige;2020;59.7;57.3;2.4;59.7;57.3;2.4;20530;19688;842;2908
69;1 jaar;LPG/overige;2021;60.4;57.9;2.4;60.4;57.9;2.4;18980;18221;759;3180
70;1 jaar;LPG/overige;2022;95.7;91.9;3.8;95.7;91.9;3.8;20288;19477;812;4717
71;1 jaar;LPG/overige;2023;108.9;104.6;4.4;108.9;104.6;4.4;17770;17059;711;6129
72;2 jaar;Totaal;2018;1969.6;1888.9;80.8;1969.6;1888.9;80.8;26860;25758;1101;73330
73;2 jaar;Totaal;2019;2026.1;1941.0;85.1;2026.1;1941.0;85.1;26421;25312;1110;76684
74;2 jaar;Totaal;2020;2036.2;1952.7;83.5;2036.2;1952.7;83.5;24827;23809;1018;82014
75;2 jaar;Totaal;2021;2048.2;1966.2;81.9;2048.2;1966.2;81.9;25441;24423;1018;80507
76;2 jaar;Totaal;2022;1642.1;1576.5;65.7;1642.1;1576.5;65.7;25736;24707;1029;63806
77;2 jaar;Totaal;2023;1823.2;1750.3;72.9;1823.2;1750.3;72.9;25421;24404;1017;71721
78;2 jaar;Benzine;2018;7.1;6.8;0.3;7.1;6.8;0.3;11827;11342;485;600
79;2 jaar;Benzine;2019;8.2;7.8;0.3;8.2;7.8;0.3;12368;11848;519;661
80;2 jaar;Benzine;2020;11.5;11.0;0.5;11.5;11.0;0.5;13334;12788;547;859
81;2 jaar;Benzine;2021;15.4;14.7;0.6;15.4;14.7;0.6;12814;12301;513;1198
82;2 jaar;Benzine;2022;11.0;10.6;0.4;11.0;10.6;0.4;13571;13028;543;814
83;2 jaar;Benzine;2023;17.4;16.7;0.7;17.4;16.7;0.7;14268;13698;571;1221
84;2 jaar;Diesel;2018;1926.7;1847.7;79.0;1926.7;1847.7;79.0;27055;25946;1109;71213
85;2 jaar;Diesel;2019;1962.6;1880.2;82.4;1962.6;1880.2;82.4;26638;25519;1119;73678
86;2 jaar;Diesel;2020;1970.6;1889.8;80.8;1970.6;1889.8;80.8;25096;24067;1029;78525
87;2 jaar;Diesel;2021;1975.4;1896.3;79.0;1975.4;1896.3;79.0;25904;24868;1036;76257
88;2 jaar;Diesel;2022;1572.7;1509.8;62.9;1572.7;1509.8;62.9;26331;25277;1053;59728
89;2 jaar;Diesel;2023;1708.7;1640.3;68.3;1708.7;1640.3;68.3;26022;24981;1041;65663
90;2 jaar;LPG/overige;2018;35.8;34.4;1.5;35.8;34.4;1.5;23636;22667;969;1517
91;2 jaar;LPG/overige;2019;55.3;52.9;2.3;55.3;52.9;2.3;23572;22582;990;2345
92;2 jaar;LPG/overige;2020;54.1;51.9;2.2;54.1;51.9;2.2;20566;19722;843;2630
