ID;AreasCivilEngineeringWorks;Periods;InputPriceIndices_1;ChangesComparedTo1YearPreviously_2
0;42/43: Civil engineering works;2005 January;98;
1;42/43: Civil engineering works;2005 April;99;
2;42/43: Civil engineering works;2005 July;100;
3;42/43: Civil engineering works;2005 October;102;
4;42/43: Civil engineering works;2006 January;102;4.5
5;42/43: Civil engineering works;2006 April;104;4.3
6;42/43: Civil engineering works;2006 July;105;4.4
7;42/43: Civil engineering works;2006 October;104;2.7
8;42/43: Civil engineering works;2007 January;105;2.4
9;42/43: Civil engineering works;2007 April;106;2.2
10;42/43: Civil engineering works;2007 July;108;2.8
11;42/43: Civil engineering works;2007 October;108;3.8
12;42/43: Civil engineering works;2008 January;111;5.7
13;42/43: Civil engineering works;2008 April;113;6.3
14;42/43: Civil engineering works;2008 July;118;9.3
15;42/43: Civil engineering works;2008 October;116;6.9
16;42/43: Civil engineering works;2009 January;112;0.9
17;42/43: Civil engineering works;2009 April;111;-1.4
18;42/43: Civil engineering works;2009 July;112;-5.0
19;42/43: Civil engineering works;2009 October;112;-3.1
20;42/43: Civil engineering works;2010 January;113;1.6
21;42/43: Civil engineering works;2010 April;116;4.1
22;42/43: Civil engineering works;2010 July;116;3.5
23;42/43: Civil engineering works;2010 October;116;3.3
24;42/43: Civil engineering works;2011 January;118;4.3
25;42/43: Civil engineering works;2011 April;120;3.9
26;42/43: Civil engineering works;2011 July;120;3.9
27;42/43: Civil engineering works;2011 October;120;3.8
28;42/43: Civil engineering works;2012 January;122;3.1
29;42/43: Civil engineering works;2012 April;123;2.5
30;42/43: Civil engineering works;2012 July;123;2.5
31;42/43: Civil engineering works;2012 October;124;3.0
32;42/43: Civil engineering works;2013 January;124;1.7
33;42/43: Civil engineering works;2013 April;123;0.2
34;42/43: Civil engineering works;2013 July;123;0.0
35;42/43: Civil engineering works;2013 October;123;-0.7
36;"42111: Road construction; brick paving";2005 January;99;
37;"42111: Road construction; brick paving";2005 April;100;
38;"42111: Road construction; brick paving";2005 July;100;
39;"42111: Road construction; brick paving";2005 October;101;
40;"42111: Road construction; brick paving";2006 January;102;3.5
41;"42111: Road construction; brick paving";2006 April;102;2.7
42;"42111: Road construction; brick paving";2006 July;103;2.5
43;"42111: Road construction; brick paving";2006 October;102;1.3
44;"42111: Road construction; brick paving";2007 January;103;1.0
45;"42111: Road construction; brick paving";2007 April;104;1.5
46;"42111: Road construction; brick paving";2007 July;105;2.2
47;"42111: Road construction; brick paving";2007 October;105;2.8
48;"42111: Road construction; brick paving";2008 January;107;3.8
49;"42111: Road construction; brick paving";2008 April;109;4.4
50;"42111: Road construction; brick paving";2008 July;111;5.8
51;"42111: Road construction; brick paving";2008 October;110;5.0
52;"42111: Road construction; brick paving";2009 January;111;3.6
53;"42111: Road construction; brick paving";2009 April;111;2.4
54;"42111: Road construction; brick paving";2009 July;112;0.6
55;"42111: Road construction; brick paving";2009 October;112;1.3
56;"42111: Road construction; brick paving";2010 January;113;1.7
57;"42111: Road construction; brick paving";2010 April;114;2.1
58;"42111: Road construction; brick paving";2010 July;114;1.8
59;"42111: Road construction; brick paving";2010 October;114;1.8
60;"42111: Road construction; brick paving";2011 January;115;1.9
61;"42111: Road construction; brick paving";2011 April;116;2.1
62;"42111: Road construction; brick paving";2011 July;116;2.1
63;"42111: Road construction; brick paving";2011 October;116;2.2
64;"42111: Road construction; brick paving";2012 January;117;2.1
65;"42111: Road construction; brick paving";2012 April;118;2.1
66;"42111: Road construction; brick paving";2012 July;118;1.9
67;"42111: Road construction; brick paving";2012 October;119;2.6
68;"42111: Road construction; brick paving";2013 January;119;1.1
69;"42111: Road construction; brick paving";2013 April;119;0.4
70;"42111: Road construction; brick paving";2013 July;119;0.3
71;"42111: Road construction; brick paving";2013 October;118;-0.7
