ID;BewerkingsEnVerwerkingsmethode;Sbi93;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalProcesafhankelijkAfval_2;TotaalOrganisch_3;PapierKarton_4;Hout_5;Kunststoffen_6;OrganischBiologisch_7;OverigOrganisch_8;TotaalAnorganisch_9;FerroMetalen_10;NonFerroMetalen_11;SteenachtigMateriaal_12;OverigAnorganisch_13;TotaalSlib_14;OrganischBiologischSlib_15;AnorganischSlib_16;OverigSlib_17;GevaarlijkAfval_18;OverigGescheiden_19;GemengdAangeboden_20;TotaalProcesonafhankelijkAfval_21;TotaalOrganisch_22;PapierKarton_23;Hout_24;Kunststoffen_25;OverigOrganisch_26;TotaalAnorganisch_27;FerroMetalen_28;NonFerroMetalen_29;SteenachtigMateriaal_30;OverigAnorganisch_31;OverigGescheiden_32;GemengdAangeboden_33;Hergebruik_34;EindverwerkingTotaal_35;Storten_36;Verbranden_37;ScheidenAchteraf_38;Anders_39;Hergebruik_40;EindverwerkingTotaal_41;Storten_42;Verbranden_43;ScheidenAchteraf_44;Anders_45;TotaalBedrijfsafvalstoffen_46;ProcesafhankelijkAfvalTotaal_47;k_19Werknemers_48;k_1019Werknemers_49;k_2049Werknemers_50;k_5099Werknemers_51;k_100199Werknemers_52;k_200499Werknemers_53;k_500OfMeerWerknemers_54;ProcesonafhankelijkAfvalTotaal_55;k_19Werknemers_56;k_1019Werknemers_57;k_2049Werknemers_58;k_5099Werknemers_59;k_100199Werknemers_60;k_200499Werknemers_61;k_500OfMeerWerknemers_62
0;Totaal hergebruik en eindverwerking;C t/m E Nijverheid (geen bouwnijverheid);1994;9507;8611;3955;432;313;93;3084;35;2562;465;68;1790;588;1430;373;295;762;359;;287;895;215.0;161.0;31.0;23.0;1.0;165.0;106.0;10.0;0.0;48.0;122;390;6067.0;2526.0;1947.0;518.0;46.0;15.0;384.0;508.0;298.0;132.0;77.0;0.0;9507;8611;;354.0;422.0;479.0;931.0;1681.0;4744.0;895;;47.0;89.0;81.0;96.0;160.0;423.0
1;Totaal hergebruik en eindverwerking;C t/m E Nijverheid (geen bouwnijverheid);1996;10225;9171;3870;444;273;112;3032;9;3018;391;72;2123;433;1146;234;30;878;387;;749;1055;270.0;181.0;46.0;36.0;6.0;301.0;134.0;6.0;0.0;159.0;119;366;6382.0;2790.0;2131.0;543.0;51.0;65.0;570.0;485.0;244.0;144.0;97.0;0.0;10225;9171;;651.0;652.0;522.0;1143.0;1988.0;4215.0;1055;;48.0;113.0;76.0;135.0;136.0;547.0
2;Totaal hergebruik en eindverwerking;C t/m E Nijverheid (geen bouwnijverheid);1998;11185;9920;3970;498;312;158;2962;40;3372;498;74;2327;471;1419;184;260;975;432;115.0;611;1265;303.0;173.0;87.0;33.0;8.0;236.0;98.0;10.0;16.0;112.0;344;382;6995.0;2924.0;2141.0;681.0;93.0;3.0;781.0;483.0;183.0;178.0;122.0;0.0;11185;9920;;612.0;706.0;588.0;1262.0;2011.0;4740.0;1265;;53.0;84.0;103.0;100.0;177.0;748.0
3;Totaal hergebruik en eindverwerking;C t/m E Nijverheid (geen bouwnijverheid);2000;20642;19710;8752;584;350;208;7595;15;7784;730;74;4795;2178;1671;89;392;1189;659;165.0;678;932;312.0;185.0;79.0;35.0;12.0;192.0;90.0;7.0;3.0;91.0;160;268;17216.0;2493.0;1383.0;795.0;175.0;140.0;530.0;403.0;132.0;151.0;112.0;8.0;20642;19710;;504.0;844.0;1324.0;1715.0;6313.0;9011.0;932;;44.0;105.0;79.0;107.0;147.0;450.0
4;Totaal hergebruik en eindverwerking;C t/m E Nijverheid (geen bouwnijverheid);2001;20796;19895;9078;620;497;186;7735;40;7732;682;77;4754;2220;1587;94;394;1098;602;154.0;742;901;327.0;196.0;81.0;35.0;15.0;224.0;90.0;7.0;3.0;123.0;41;310;17232.0;2662.0;1311.0;1054.0;199.0;98.0;526.0;375.0;158.0;166.0;43.0;8.0;20796;19895;;;;;;;;901;;;;;;;
5;Totaal hergebruik en eindverwerking;C t/m E Nijverheid (geen bouwnijverheid);2002;20296;19348;8319;609;411;168;7061;70;8018;738;105;5029;2148;1741;85;364;1291;448;255.0;566;948;380.0;231.0;96.0;39.0;13.0;295.0;91.0;10.0;1.0;192.0;38;235;16520.0;2828.0;1184.0;1449.0;102.0;93.0;636.0;312.0;110.0;144.0;54.0;4.0;20296;19348;490.0;615.0;1046.0;880.0;1571.0;6013.0;8734.0;948;54.0;43.0;80.0;92.0;110.0;194.0;374.0
6;Totaal hergebruik en eindverwerking;C t/m E Nijverheid (geen bouwnijverheid);2003;19675;18642;8047;602;402;174;6806;63;7559;701;103;4883;1872;1634;83;360;1191;582;264.0;556;1033;372.0;226.0;94.0;38.0;14.0;395.0;91.0;10.0;1.0;293.0;37;230;15979.0;2664.0;1124.0;1336.0;118.0;86.0;728.0;305.0;107.0;141.0;53.0;4.0;19675;18642;;;;;;;;1033;;;;;;;
7;Totaal hergebruik en eindverwerking;C Delfstoffenwinning;1994;178;161;0;0;0;0;0;0;73;3;0;112;139;88;0;88;0;0;;1;17;1.0;1.0;0.0;0.0;0.0;8.0;7.0;0.0;0.0;0.0;1;7;0.0;161.0;154.0;0.0;7.0;0.0;9.0;8.0;4.0;4.0;0.0;0.0;178;161;;0.0;5.0;0.0;0.0;0.0;156.0;17;;0.0;3.0;3.0;0.0;2.0;8.0
8;Totaal hergebruik en eindverwerking;C Delfstoffenwinning;1996;285;150;0;0;0;0;0;0;148;0;0;83;65;0;0;0;0;0;;1;135;2.0;0.0;1.0;0.0;0.0;129.0;21.0;0.0;0.0;108.0;0;4;37.0;112.0;73.0;0.0;0.0;39.0;131.0;5.0;1.0;4.0;0.0;0.0;285;150;;14.0;1.0;17.0;1.0;30.0;86.0;135;;0.0;2.0;2.0;0.0;1.0;131.0
9;Totaal hergebruik en eindverwerking;C Delfstoffenwinning;1998;268;111;0;0;0;0;0;0;86;0;0;56;29;22;0;22;0;0;0.0;3;157;1.0;0.0;1.0;0.0;0.0;10.0;10.0;0.0;0.0;0.0;139;6;33.0;78.0;75.0;2.0;1.0;0.0;147.0;10.0;5.0;3.0;2.0;0.0;268;111;;0.0;46.0;13.0;2.0;16.0;34.0;157;;0.0;1.0;0.0;1.0;1.0;154.0
