ID;Geslacht;Leeftijd;BurgerlijkeStaat;Regio;Bewoners_1
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederland;7935565.0
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Groningen (provincie);392436.0
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Friesland;399659.0
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Drenthe;222432.0
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Overijssel;520788.0
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Gelderland;829293.0
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Utrecht (provincie);406960.0
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Noord-Holland;1509587.0
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Zuid-Holland;1957578.0
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Zeeland;247606.0
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Noord-Brabant;898386.0
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Limburg;550840.0
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Gemeenten met meer dan 100000 inwoners;2161741.0
13;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Gemeenten met 50001 - 100000 inwoners;794275.0
14;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Gemeenten met 20001 - 50000 inwoners;909519.0
15;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Gemeenten met 10001 - 20000 inwoners;1178525.0
16;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Gemeenten met 5001 - 10000 inwoners;1206889.0
17;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Gemeenten met 2001 - 5000 inwoners;1218855.0
18;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Gemeenten met 1001 - 2000 inwoners;348525.0
19;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Gemeenten met 501 - 1000 inwoners;106191.0
20;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Gemeenten met 500 of minder inwoners;11045.0
