ID;HerkomstBestemming;Afvalsoorten;Perioden;Afval_1
0;A-U Alle economische activiteiten;Totaal afval;2008;
1;A-U Alle economische activiteiten;Totaal afval;2010;
2;A-U Alle economische activiteiten;Totaal afval;2012;50396.0
3;A-U Alle economische activiteiten;Totaal afval;2014;50393.0
4;A-U Alle economische activiteiten;Totaal afval;2016;51478.0
5;A-U Alle economische activiteiten;Totaal afval;2018;52275.0
6;A-U Alle economische activiteiten;Totaal afval;2020;50526.0
7;A-U Alle economische activiteiten;Totaal afval;2022;49999.0
8;A-U Alle economische activiteiten;Chemisch afval;2008;
9;A-U Alle economische activiteiten;Chemisch afval;2010;
10;A-U Alle economische activiteiten;Chemisch afval;2012;2049.0
11;A-U Alle economische activiteiten;Chemisch afval;2014;2037.0
12;A-U Alle economische activiteiten;Chemisch afval;2016;2157.0
13;A-U Alle economische activiteiten;Chemisch afval;2018;2061.0
14;A-U Alle economische activiteiten;Chemisch afval;2020;1922.0
15;A-U Alle economische activiteiten;Chemisch afval;2022;1986.0
16;A-U Alle economische activiteiten;Totaal recyclebaar afval;2008;
17;A-U Alle economische activiteiten;Totaal recyclebaar afval;2010;
18;A-U Alle economische activiteiten;Totaal recyclebaar afval;2012;5701.0
19;A-U Alle economische activiteiten;Totaal recyclebaar afval;2014;5796.0
20;A-U Alle economische activiteiten;Totaal recyclebaar afval;2016;5737.0
21;A-U Alle economische activiteiten;Totaal recyclebaar afval;2018;5970.0
22;A-U Alle economische activiteiten;Totaal recyclebaar afval;2020;6479.0
23;A-U Alle economische activiteiten;Totaal recyclebaar afval;2022;6409.0
24;A-U Alle economische activiteiten;IJzerafval;2008;
25;A-U Alle economische activiteiten;IJzerafval;2010;
26;A-U Alle economische activiteiten;IJzerafval;2012;1125.0
27;A-U Alle economische activiteiten;IJzerafval;2014;1229.0
28;A-U Alle economische activiteiten;IJzerafval;2016;1030.0
29;A-U Alle economische activiteiten;IJzerafval;2018;1288.0
30;A-U Alle economische activiteiten;IJzerafval;2020;1431.0
31;A-U Alle economische activiteiten;IJzerafval;2022;1431.0
32;A-U Alle economische activiteiten;Ander metaalafval;2008;
33;A-U Alle economische activiteiten;Ander metaalafval;2010;
34;A-U Alle economische activiteiten;Ander metaalafval;2012;232.0
35;A-U Alle economische activiteiten;Ander metaalafval;2014;275.0
36;A-U Alle economische activiteiten;Ander metaalafval;2016;217.0
37;A-U Alle economische activiteiten;Ander metaalafval;2018;222.0
38;A-U Alle economische activiteiten;Ander metaalafval;2020;253.0
39;A-U Alle economische activiteiten;Ander metaalafval;2022;271.0
40;A-U Alle economische activiteiten;Gemengd metaalafval;2008;
41;A-U Alle economische activiteiten;Gemengd metaalafval;2010;
42;A-U Alle economische activiteiten;Gemengd metaalafval;2012;378.0
43;A-U Alle economische activiteiten;Gemengd metaalafval;2014;416.0
44;A-U Alle economische activiteiten;Gemengd metaalafval;2016;499.0
45;A-U Alle economische activiteiten;Gemengd metaalafval;2018;491.0
46;A-U Alle economische activiteiten;Gemengd metaalafval;2020;512.0
47;A-U Alle economische activiteiten;Gemengd metaalafval;2022;595.0
48;A-U Alle economische activiteiten;Glasafval;2008;
49;A-U Alle economische activiteiten;Glasafval;2010;
50;A-U Alle economische activiteiten;Glasafval;2012;238.0
51;A-U Alle economische activiteiten;Glasafval;2014;240.0
52;A-U Alle economische activiteiten;Glasafval;2016;265.0
53;A-U Alle economische activiteiten;Glasafval;2018;232.0
54;A-U Alle economische activiteiten;Glasafval;2020;236.0
55;A-U Alle economische activiteiten;Glasafval;2022;299.0
56;A-U Alle economische activiteiten;Papierafval;2008;
57;A-U Alle economische activiteiten;Papierafval;2010;
58;A-U Alle economische activiteiten;Papierafval;2012;1306.0
59;A-U Alle economische activiteiten;Papierafval;2014;1278.0
60;A-U Alle economische activiteiten;Papierafval;2016;1326.0
61;A-U Alle economische activiteiten;Papierafval;2018;1216.0
62;A-U Alle economische activiteiten;Papierafval;2020;1213.0
63;A-U Alle economische activiteiten;Papierafval;2022;1240.0
64;A-U Alle economische activiteiten;Rubberafval;2008;
65;A-U Alle economische activiteiten;Rubberafval;2010;
66;A-U Alle economische activiteiten;Rubberafval;2012;40.0
67;A-U Alle economische activiteiten;Rubberafval;2014;58.0
68;A-U Alle economische activiteiten;Rubberafval;2016;46.0
69;A-U Alle economische activiteiten;Rubberafval;2018;73.0
70;A-U Alle economische activiteiten;Rubberafval;2020;71.0
71;A-U Alle economische activiteiten;Rubberafval;2022;73.0
72;A-U Alle economische activiteiten;Plasticafval;2008;
73;A-U Alle economische activiteiten;Plasticafval;2010;
74;A-U Alle economische activiteiten;Plasticafval;2012;388.0
75;A-U Alle economische activiteiten;Plasticafval;2014;344.0
76;A-U Alle economische activiteiten;Plasticafval;2016;384.0
77;A-U Alle economische activiteiten;Plasticafval;2018;390.0
78;A-U Alle economische activiteiten;Plasticafval;2020;417.0
79;A-U Alle economische activiteiten;Plasticafval;2022;390.0
80;A-U Alle economische activiteiten;Houtafval;2008;
81;A-U Alle economische activiteiten;Houtafval;2010;
82;A-U Alle economische activiteiten;Houtafval;2012;1961.0
83;A-U Alle economische activiteiten;Houtafval;2014;1937.0
84;A-U Alle economische activiteiten;Houtafval;2016;1952.0
85;A-U Alle economische activiteiten;Houtafval;2018;2023.0
86;A-U Alle economische activiteiten;Houtafval;2020;2303.0
87;A-U Alle economische activiteiten;Houtafval;2022;2071.0
88;A-U Alle economische activiteiten;Textielafval;2008;
89;A-U Alle economische activiteiten;Textielafval;2010;
90;A-U Alle economische activiteiten;Textielafval;2012;33.0
91;A-U Alle economische activiteiten;Textielafval;2014;19.0
92;A-U Alle economische activiteiten;Textielafval;2016;17.0
93;A-U Alle economische activiteiten;Textielafval;2018;34.0
94;A-U Alle economische activiteiten;Textielafval;2020;43.0
95;A-U Alle economische activiteiten;Textielafval;2022;39.0
96;A-U Alle economische activiteiten;Overig recyclebaar afval;2008;
97;A-U Alle economische activiteiten;Overig recyclebaar afval;2010;
98;A-U Alle economische activiteiten;Overig recyclebaar afval;2012;0.0
99;A-U Alle economische activiteiten;Overig recyclebaar afval;2014;0.0
100;A-U Alle economische activiteiten;Overig recyclebaar afval;2016;0.0
101;A-U Alle economische activiteiten;Overig recyclebaar afval;2018;1.0
102;A-U Alle economische activiteiten;Overig recyclebaar afval;2020;0.0
103;A-U Alle economische activiteiten;Overig recyclebaar afval;2022;0.0
104;A-U Alle economische activiteiten;Afgedankt materiaal;2008;
105;A-U Alle economische activiteiten;Afgedankt materiaal;2010;
106;A-U Alle economische activiteiten;Afgedankt materiaal;2012;145.0
107;A-U Alle economische activiteiten;Afgedankt materiaal;2014;176.0
108;A-U Alle economische activiteiten;Afgedankt materiaal;2016;196.0
