ID;AfzetInvoerEnVerbruik;ProductenPRODCOM;Perioden;ProducentenprijsindexPPI_1;MaandmutatiePPI_2;JaarmutatiePPI_3
84;Totaal afzetprijzen;B Winning van delfstoffen;2018 juli;103.6;1.8;21.4
85;Totaal afzetprijzen;B Winning van delfstoffen;2018 augustus;104.3;0.7;26.1
86;Totaal afzetprijzen;B Winning van delfstoffen;2018 september;109.3;4.8;28.1
87;Totaal afzetprijzen;B Winning van delfstoffen;2018 oktober;116.4;6.5;31.2
88;Totaal afzetprijzen;B Winning van delfstoffen;2018 november;110.1;-5.4;22.2
89;Totaal afzetprijzen;B Winning van delfstoffen;2018 december;107.1;-2.7;15.0
90;Totaal afzetprijzen;B Winning van delfstoffen;2018;102.2;;15.6
91;Totaal afzetprijzen;B Winning van delfstoffen;2019 januari;105.7;-1.4;9.3
92;Totaal afzetprijzen;B Winning van delfstoffen;2019 februari;105.7;0.0;13.5
93;Totaal afzetprijzen;B Winning van delfstoffen;2019 maart;94.3;-10.8;0.0
94;Totaal afzetprijzen;B Winning van delfstoffen;2019 april;89.2;-5.3;-4.3
95;Totaal afzetprijzen;B Winning van delfstoffen;2019 mei;;;
96;Totaal afzetprijzen;B Winning van delfstoffen;2019 juni;82.5;;-18.9
97;Totaal afzetprijzen;B Winning van delfstoffen;2019 juli;78.6;-4.8;-24.1
98;Totaal afzetprijzen;B Winning van delfstoffen;2019 augustus;77.8;-1.0;-25.5
99;Totaal afzetprijzen;B Winning van delfstoffen;2019 september;;;
100;Totaal afzetprijzen;B Winning van delfstoffen;2019 oktober;86.3;;-25.8
101;Totaal afzetprijzen;B Winning van delfstoffen;2019 november;87.8;1.7;-20.3
102;Totaal afzetprijzen;B Winning van delfstoffen;2019 december;90.2;2.8;-15.8
103;Totaal afzetprijzen;B Winning van delfstoffen;2019;88.8;;-13.2
104;Totaal afzetprijzen;B Winning van delfstoffen;2020 januari;89.2;-1.2;-15.6
105;Totaal afzetprijzen;B Winning van delfstoffen;2020 februari;82.8;-7.2;-21.7
106;Totaal afzetprijzen;B Winning van delfstoffen;2020 maart;73.4;-11.3;-22.1
107;Totaal afzetprijzen;B Winning van delfstoffen;2020 april;69.8;-4.9;-21.8
108;Totaal afzetprijzen;B Winning van delfstoffen;2020 mei;64.3;-7.9;
109;Totaal afzetprijzen;B Winning van delfstoffen;2020 juni;61.7;-3.9;-25.2
110;Totaal afzetprijzen;B Winning van delfstoffen;2020 juli;60.7;-1.7;-22.8
111;Totaal afzetprijzen;B Winning van delfstoffen;2020 augustus;62.0;2.1;-20.3
112;Totaal afzetprijzen;B Winning van delfstoffen;2020 september;70.2;13.3;
113;Totaal afzetprijzen;B Winning van delfstoffen;2020 oktober;73.4;4.5;-15.0
114;Totaal afzetprijzen;B Winning van delfstoffen;2020 november;78.4;6.9;-10.7
115;Totaal afzetprijzen;B Winning van delfstoffen;2020 december;78.9;0.6;-12.6
116;Totaal afzetprijzen;B Winning van delfstoffen;2020;72.1;;-18.8
117;Totaal afzetprijzen;B Winning van delfstoffen;2021 januari;83.4;5.7;-6.5
118;Totaal afzetprijzen;B Winning van delfstoffen;2021 februari;90.8;8.8;9.6
119;Totaal afzetprijzen;B Winning van delfstoffen;2021 maart;86.9;-4.2;18.4
120;Totaal afzetprijzen;B Winning van delfstoffen;2021 april;87.9;1.0;25.9
121;Totaal afzetprijzen;B Winning van delfstoffen;2021 mei;96.4;9.7;49.9
122;Totaal afzetprijzen;B Winning van delfstoffen;2021 juni;106.1;10.1;71.8
123;Totaal afzetprijzen;B Winning van delfstoffen;2021 juli;120.2;13.3;98.1
124;Totaal afzetprijzen;B Winning van delfstoffen;2021 augustus;135.1;12.4;117.9
125;Totaal afzetprijzen;B Winning van delfstoffen;2021 september;147.4;9.2;109.9
126;Totaal afzetprijzen;B Winning van delfstoffen;2021 oktober;174.0;18.0;137.1
127;Totaal afzetprijzen;B Winning van delfstoffen;2021 november;195.2;12.2;149.0
128;Totaal afzetprijzen;B Winning van delfstoffen;2021 december;194.0;-0.6;145.9
129;Totaal afzetprijzen;B Winning van delfstoffen;2021;126.4;;75.5
130;Totaal afzetprijzen;B Winning van delfstoffen;2022 januari;221.4;14.1;165.5
131;Totaal afzetprijzen;B Winning van delfstoffen;2022 februari;203.8;-8.0;124.6
132;Totaal afzetprijzen;B Winning van delfstoffen;2022 maart;213.8;4.9;145.9
133;Totaal afzetprijzen;B Winning van delfstoffen;2022 april;269.7;26.1;207.0
134;Totaal afzetprijzen;B Winning van delfstoffen;2022 mei;236.8;-12.2;145.7
135;Totaal afzetprijzen;B Winning van delfstoffen;2022 juni;241.6;2.0;127.8
136;Totaal afzetprijzen;B Winning van delfstoffen;2022 juli;276.3;14.3;129.8
137;Totaal afzetprijzen;B Winning van delfstoffen;2022 augustus;372.3;34.8;175.7
138;Totaal afzetprijzen;B Winning van delfstoffen;2022 september;447.7;20.2;203.6
139;Totaal afzetprijzen;B Winning van delfstoffen;2022 oktober;429.6;-4.0;146.9
140;Totaal afzetprijzen;B Winning van delfstoffen;2022 november;400.1;-6.8;105.0
141;Totaal afzetprijzen;B Winning van delfstoffen;2022 december ;349.4;-12.7;80.1
142;Totaal afzetprijzen;B Winning van delfstoffen;2022;305.2;;141.4
143;Totaal afzetprijzen;B Winning van delfstoffen;2023 januari;334.8;-4.2;51.2
144;Totaal afzetprijzen;B Winning van delfstoffen;2023 februari;334.6;0.0;64.2
145;Totaal afzetprijzen;B Winning van delfstoffen;2023 maart;295.2;-11.8;38.1
146;Totaal afzetprijzen;B Winning van delfstoffen;2023 april;237.1;-19.7;-12.1
147;Totaal afzetprijzen;B Winning van delfstoffen;2023 mei;213.1;-10.1;-10.0
148;Totaal afzetprijzen;B Winning van delfstoffen;2023 juni;212.1;-0.5;-12.2
149;Totaal afzetprijzen;B Winning van delfstoffen;2023 juli;204.8;-3.5;-25.9
150;Totaal afzetprijzen;B Winning van delfstoffen;2023 augustus;200.8;-1.9;-46.1
151;Totaal afzetprijzen;B Winning van delfstoffen;2023 september;217.1;8.1;-51.5
152;Totaal afzetprijzen;B Winning van delfstoffen;2023 oktober;209.0;-3.7;-51.3
153;Totaal afzetprijzen;B Winning van delfstoffen;2023 november;230.1;10.1;-42.5
154;Totaal afzetprijzen;B Winning van delfstoffen;2023 december;236.9;2.9;-32.2
155;Totaal afzetprijzen;B Winning van delfstoffen;2023;243.8;;-20.1
156;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 januari;;;
157;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 februari;;;
158;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 maart;;;
159;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 april;;;
160;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 mei;;;
161;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 juni;;;
162;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 juli;;;
163;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 augustus;;;
164;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 september;;;
165;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 oktober;;;
166;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 november;;;
167;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 december;;;
168;Totaal afzetprijzen;05 Steenkool en bruinkool;2012;;;
169;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 januari;;;
170;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 februari;;;
171;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 maart;;;
172;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 april;;;
173;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 mei;;;
174;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 juni;;;
175;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 juli;;;
176;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 augustus;;;
177;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 september;;;
178;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 oktober;;;
179;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 november;;;
180;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 december;;;
181;Totaal afzetprijzen;05 Steenkool en bruinkool;2013;;;
182;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 januari;;;
183;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 februari;;;
184;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 maart;;;
185;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 april;;;
186;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 mei;;;
187;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 juni;;;
188;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 juli;;;
189;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 augustus;;;
190;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 september;;;
191;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 oktober;;;
192;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 november;;;
193;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 december;;;
194;Totaal afzetprijzen;05 Steenkool en bruinkool;2014;;;
195;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 januari;;;
196;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 februari;;;
197;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 maart;;;
