ID;Energiedragers;Perioden;GemiddeldeKostenPerGigajoule_1
0;Steenkool;1990;1.87
1;Steenkool;1991;1.94
2;Steenkool;1992;1.85
3;Steenkool;1993;1.49
4;Steenkool;1994;1.47
5;Steenkool;1995;1.43
6;Steenkool;1996;1.39
7;Steenkool;1997;1.53
8;Steenkool;1998;1.56
9;Steenkool;1999;1.41
10;Steenkool;2000;1.69
11;Steenkool;2001;1.62
12;Steenkool;2002;2.49
13;Steenkool;2003;2.21
14;Steenkool;2004;2.02
15;Steenkool;2005;1.71
16;Steenkool;2006;2.43
17;Cokesovencokes;1990;6.87
18;Cokesovencokes;1991;7.1
19;Cokesovencokes;1992;6.77
20;Cokesovencokes;1993;5.45
21;Cokesovencokes;1994;4.75
22;Cokesovencokes;1995;4.75
23;Cokesovencokes;1996;4.65
24;Cokesovencokes;1997;4.48
25;Cokesovencokes;1998;5.0
26;Cokesovencokes;1999;4.64
27;Cokesovencokes;2000;5.23
28;Cokesovencokes;2001;6.06
29;Cokesovencokes;2002;5.86
30;Cokesovencokes;2003;5.3
31;Cokesovencokes;2004;6.69
32;Cokesovencokes;2005;11.02
33;Cokesovencokes;2006;6.78
34;Zware stookolie;1990;2.78
35;Zware stookolie;1991;2.63
36;Zware stookolie;1992;2.63
37;Zware stookolie;1993;2.63
38;Zware stookolie;1994;2.6
39;Zware stookolie;1995;2.59
40;Zware stookolie;1996;2.76
41;Zware stookolie;1997;2.71
42;Zware stookolie;1998;2.17
43;Zware stookolie;1999;2.26
44;Zware stookolie;2000;4.33
45;Zware stookolie;2001;4.34
46;Zware stookolie;2002;3.52
47;Zware stookolie;2003;4.35
48;Zware stookolie;2004;5.69
49;Zware stookolie;2005;8.13
50;Zware stookolie;2006;9.03
51;Gasolie en lichte stookolie;1990;6.53
52;Gasolie en lichte stookolie;1991;6.64
53;Gasolie en lichte stookolie;1992;6.42
54;Gasolie en lichte stookolie;1993;6.52
55;Gasolie en lichte stookolie;1994;6.21
56;Gasolie en lichte stookolie;1995;6.16
57;Gasolie en lichte stookolie;1996;7.22
58;Gasolie en lichte stookolie;1997;7.75
59;Gasolie en lichte stookolie;1998;7.37
60;Gasolie en lichte stookolie;1999;8.51
61;Gasolie en lichte stookolie;2000;12.72
62;Gasolie en lichte stookolie;2001;11.57
63;Gasolie en lichte stookolie;2002;12.76
64;Gasolie en lichte stookolie;2003;13.14
65;Gasolie en lichte stookolie;2004;14.87
66;Gasolie en lichte stookolie;2005;17.74
67;Gasolie en lichte stookolie;2006;19.39
68;Elektriciteit;1990;11.93
69;Elektriciteit;1991;12.37
70;Elektriciteit;1992;12.18
71;Elektriciteit;1993;12.42
72;Elektriciteit;1994;12.51
73;Elektriciteit;1995;12.73
74;Elektriciteit;1996;12.77
75;Elektriciteit;1997;12.99
76;Elektriciteit;1998;12.98
77;Elektriciteit;1999;13.06
78;Elektriciteit;2000;14.2
79;Elektriciteit;2001;14.23
80;Elektriciteit;2002;14.06
81;Elektriciteit;2003;14.03
82;Elektriciteit;2004;14.2
83;Elektriciteit;2005;15.55
84;Elektriciteit;2006;18.58
85;Aardgas;1990;3.23
86;Aardgas;1991;3.24
87;Aardgas;1992;3.1
88;Aardgas;1993;3.02
89;Aardgas;1994;3.01
90;Aardgas;1995;3.24
91;Aardgas;1996;3.34
92;Aardgas;1997;3.63
93;Aardgas;1998;3.54
94;Aardgas;1999;3.26
95;Aardgas;2000;4.61
96;Aardgas;2001;5.28
97;Aardgas;2002;4.84
98;Aardgas;2003;5.18
99;Aardgas;2004;4.96
100;Aardgas;2005;6.03
101;Aardgas;2006;7.66
