ID;BedrijfstakkenBranchesSBI2008;Perioden;Waarde_1;VoortschrijdendJaargemiddeldeWaarde_2;Prijs_3;VoortschrijdendJaargemiddeldePrijs_4;Volume_5;VoortschrijdendJaargemiddeldeVolume_6;Waarde_7;CumulatieveWaarde_8;Prijs_9;CumulatievePrijs_10;Volume_11;CumulatiefVolume_12
0;I Horeca;1993 januari;;;;;;;;;;;;
1;I Horeca;1993 februari;;;;;;;;;;;;
2;I Horeca;1993 maart;;;;;;;;;;;;
3;I Horeca;1993 1e kwartaal;;;;;;;;;;;;
4;I Horeca;1993 april;;;;;;;;;;;;
5;I Horeca;1993 mei;;;;;;;;;;;;
6;I Horeca;1993 juni;;;;;;;;;;;;
7;I Horeca;1993 2e kwartaal;;;;;;;;;;;;
8;I Horeca;1993 juli;;;;;;;;;;;;
9;I Horeca;1993 augustus;;;;;;;;;;;;
10;I Horeca;1993 september;;;;;;;;;;;;
11;I Horeca;1993 3e kwartaal;;;;;;;;;;;;
12;I Horeca;1993 oktober;;;;;;;;;;;;
13;I Horeca;1993 november;;;;;;;;;;;;
14;I Horeca;1993 december;;;;;;;;;;;;
15;I Horeca;1993 4e kwartaal;;;;;;;;;;;;
16;I Horeca;1993;;;;;;;;;;;;
17;I Horeca;1994 januari;;;;;;;;;;;;
18;I Horeca;1994 februari;;;;;;;;;;;;
19;I Horeca;1994 maart;;;;;;;;;;;;
20;I Horeca;1994 1e kwartaal;58.0;;;;;;;;;;;
21;I Horeca;1994 april;;;;;;;;;;;;
22;I Horeca;1994 mei;;;;;;;;;;;;
23;I Horeca;1994 juni;;;;;;;;;;;;
24;I Horeca;1994 2e kwartaal;71.0;;;;;;;;;;;
25;I Horeca;1994 juli;;;;;;;;;;;;
26;I Horeca;1994 augustus;;;;;;;;;;;;
27;I Horeca;1994 september;;;;;;;;;;;;
28;I Horeca;1994 3e kwartaal;72.0;;;;;;;;;;;
29;I Horeca;1994 oktober;;;;;;;;;;;;
30;I Horeca;1994 november;;;;;;;;;;;;
31;I Horeca;1994 december;;;;;;;;;;;;
32;I Horeca;1994 4e kwartaal;63.0;66.0;;;;;;;;;;
33;I Horeca;1994;66.0;66.0;;;;;;;;;;
34;I Horeca;1995 januari;;;;;;;;;;;;
35;I Horeca;1995 februari;;;;;;;;;;;;
36;I Horeca;1995 maart;;;;;;;;;;;;
37;I Horeca;1995 1e kwartaal;59.0;66.0;;;;;2.0;2.0;;;;
38;I Horeca;1995 april;;;;;;;;;;;;
39;I Horeca;1995 mei;;;;;;;;;;;;
40;I Horeca;1995 juni;;;;;;;;;;;;
41;I Horeca;1995 2e kwartaal;74.0;67.0;;;;;3.6;2.9;;;;
42;I Horeca;1995 juli;;;;;;;;;;;;
43;I Horeca;1995 augustus;;;;;;;;;;;;
44;I Horeca;1995 september;;;;;;;;;;;;
45;I Horeca;1995 3e kwartaal;75.0;68.0;;;;;4.1;3.3;;;;
46;I Horeca;1995 oktober;;;;;;;;;;;;
47;I Horeca;1995 november;;;;;;;;;;;;
48;I Horeca;1995 december;;;;;;;;;;;;
49;I Horeca;1995 4e kwartaal;65.0;68.0;;;;;2.4;3.1;;;;
50;I Horeca;1995;68.0;68.0;;;;;3.1;3.1;;;;
51;I Horeca;1996 januari;;;;;;;;;;;;
52;I Horeca;1996 februari;;;;;;;;;;;;
53;I Horeca;1996 maart;;;;;;;;;;;;
54;I Horeca;1996 1e kwartaal;61.0;69.0;;;;;2.8;2.8;;;;
55;I Horeca;1996 april;;;;;;;;;;;;
56;I Horeca;1996 mei;;;;;;;;;;;;
57;I Horeca;1996 juni;;;;;;;;;;;;
58;I Horeca;1996 2e kwartaal;76.0;69.0;;;;;3.7;3.3;;;;
59;I Horeca;1996 juli;;;;;;;;;;;;
60;I Horeca;1996 augustus;;;;;;;;;;;;
61;I Horeca;1996 september;;;;;;;;;;;;
62;I Horeca;1996 3e kwartaal;78.0;70.0;;;;;3.4;3.3;;;;
63;I Horeca;1996 oktober;;;;;;;;;;;;
64;I Horeca;1996 november;;;;;;;;;;;;
65;I Horeca;1996 december;;;;;;;;;;;;
66;I Horeca;1996 4e kwartaal;70.0;71.0;;;;;8.0;4.5;;;;
67;I Horeca;1996;71.0;71.0;;;;;4.5;4.5;;;;
68;I Horeca;1997 januari;;;;;;;;;;;;
