ID;PersonalCharacteristics;Periods;OnceAWeekOrMore_1;TwiceAMonth_2;OnceAMonth_3;LessThanOnceAMonth_4;HardlyEver_5;EveningsAtHomePerWeek1529Yrs_6;OnceAWeekOrMore_7;OnceInAFortnight_8;LessThanOnceInAFortnight_9;Never_10;OnceAWeekOrMore_11;TwiceAMonth_12;OnceAMonth_13;LessThanOnceAMonth_14;HardlyEver_15;Yes_16;Sometimes_17;No_18;Yes_19;Sometimes_20;No_21;Yes_22;Sometimes_23;No_24;Yes_25;Sometimes_26;No_27;Yes_28;Sometimes_29;No_30;Yes_31;Sometimes_32;No_33;HaveEnoughGirlFriends1217Yrs_34;SometimesBulliedAtSchoolTheStreet_35;OftenBullied_36;NotOften_37;OftenFeelsLonely1217Yrs_38;ExtremelyPleased_39;VeryPleased_40;Pleased_41;RatherPleased_42;NotSoPleased_43;VeryHappy_44;Happy_45;NotHappyNotUnhappy_46;NotVeryHappy_47;Unhappy_48;ExtremelyPleased_49;VeryPleased_50;Pleased_51;RatherPleased_52;NotSoPleased_53;PleasedWithPartner_54;PleasedWithFamily_55;PleasedWithFinancialSituation_56;PleasedWithEducation_57;PleasedWithSociety_58;TotalParticipantsVolunteerWork_59;OrganisedVolunteerWork_60;YouthWork_61;School_62;CareNursing_63;SportsClub_64;HobbyClub_65;CulturalSociety_66;ReligiousPhilosophicalOrganisation_67;LabourOrganisation_68;PoliticalOrganisation_69;OtherOrganisations_70;VolunteerAid_71;Always_72;Usually_73;Sometimes_74;HardlyEver_75;Never_76;More_77;AlrightAsItIs_78;Less_79;Not_80;NotApplicable_81;More_82;AlrightAsItIs_83;Less_84;Not_85;NotApplicable_86;More_87;AlrightAsItIs_88;Less_89;Not_90;NotApplicable_91;NoDenomination_92;RomanCatholic_93;ProtestantChurchOfTheNetherlands_94;DutchReformed_95;Calvinist_96;OtherDenominations_97;OnceAWeekOrMore_98;TwiceOrThreeTimesAMonth_99;OnceAMonth_100;LessThanOnceAMonth_101;HardlyEver_102
0;Total personal characteristics;1997;82.0;9.0;5.0;3.0;2.0;4.0;67.0;11.0;14.0;8.0;77.0;11.0;6.0;3.0;3.0;92.0;6.0;2.0;3.0;9.0;89.0;94.0;4.0;2.0;87.0;10.0;3.0;71.0;5.0;24.0;20.0;17.0;64.0;;;;;;12.0;35.0;44.0;7.0;2.0;21.0;68.0;9.0;2.0;0.0;8.0;32.0;47.0;9.0;4.0;;;;;;60.0;46.0;4.0;9.0;8.0;12.0;5.0;5.0;9.0;4.0;1.0;8.0;31.0;;;;;;;;;;;;;;;;;;;;;39.0;32.0;;14.0;7.0;8.0;14.0;5.0;5.0;11.0;66.0
1;Total personal characteristics;1998;82.0;9.0;5.0;2.0;2.0;;67.0;10.0;16.0;8.0;78.0;11.0;7.0;2.0;2.0;92.0;6.0;2.0;3.0;8.0;89.0;94.0;4.0;2.0;88.0;9.0;3.0;69.0;6.0;26.0;20.0;16.0;65.0;;;;;;11.0;36.0;44.0;7.0;2.0;21.0;68.0;8.0;2.0;1.0;10.0;33.0;45.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;59.0;44.0;4.0;9.0;6.0;14.0;6.0;5.0;9.0;3.0;1.0;8.0;31.0;;;;;;;;;;;;;;;;;;;;;41.0;31.0;;14.0;7.0;8.0;13.0;5.0;5.0;10.0;67.0
2;Total personal characteristics;1999;83.0;9.0;5.0;2.0;2.0;;66.0;11.0;15.0;7.0;78.0;10.0;6.0;2.0;2.0;92.0;6.0;2.0;3.0;9.0;89.0;94.0;4.0;2.0;87.0;10.0;3.0;71.0;5.0;24.0;19.0;17.0;64.0;;;;;;12.0;37.0;42.0;7.0;2.0;21.0;68.0;9.0;2.0;0.0;9.0;33.0;47.0;9.0;3.0;9.0;8.0;8.0;7.0;7.0;60.0;45.0;4.0;9.0;7.0;14.0;5.0;5.0;8.0;4.0;2.0;7.0;32.0;61.0;32.0;5.0;1.0;2.0;15.0;45.0;3.0;37.0;;17.0;49.0;12.0;21.0;;9.0;59.0;23.0;9.0;;41.0;31.0;;13.0;7.0;8.0;13.0;5.0;5.0;10.0;67.0
3;Total personal characteristics;2000;83.0;8.0;5.0;2.0;2.0;;66.0;11.0;14.0;8.0;79.0;11.0;6.0;2.0;2.0;94.0;5.0;1.0;3.0;10.0;88.0;94.0;4.0;2.0;89.0;9.0;2.0;71.0;6.0;23.0;18.0;19.0;63.0;;;;;;12.0;37.0;42.0;7.0;2.0;21.0;68.0;8.0;2.0;0.0;9.0;33.0;46.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;60.0;45.0;4.0;9.0;7.0;14.0;5.0;5.0;9.0;4.0;1.0;7.0;35.0;60.0;33.0;5.0;1.0;1.0;15.0;48.0;4.0;33.0;;29.0;46.0;7.0;18.0;;9.0;62.0;21.0;7.0;;41.0;31.0;;13.0;7.0;8.0;12.0;5.0;5.0;10.0;68.0
4;Total personal characteristics;2001;84.0;8.0;4.0;2.0;2.0;4.0;67.0;10.0;15.0;7.0;79.0;10.0;6.0;2.0;2.0;92.0;6.0;1.0;3.0;8.0;89.0;94.0;4.0;2.0;88.0;9.0;2.0;71.0;7.0;22.0;18.0;19.0;64.0;95.0;18.0;2.0;16.0;4.0;12.0;37.0;42.0;6.0;2.0;21.0;69.0;8.0;2.0;0.0;8.0;34.0;47.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;59.0;43.0;5.0;9.0;8.0;13.0;5.0;5.0;9.0;3.0;1.0;6.0;33.0;60.0;33.0;5.0;1.0;1.0;16.0;47.0;4.0;33.0;;14.0;52.0;13.0;20.0;;10.0;62.0;21.0;7.0;;41.0;30.0;;14.0;7.0;9.0;12.0;5.0;5.0;10.0;68.0
5;Total personal characteristics;2002;85.0;7.0;4.0;2.0;2.0;;69.0;11.0;13.0;7.0;79.0;10.0;6.0;2.0;2.0;93.0;5.0;1.0;3.0;8.0;89.0;94.0;4.0;2.0;88.0;9.0;3.0;71.0;6.0;23.0;18.0;18.0;64.0;;;;;;12.0;37.0;42.0;7.0;2.0;21.0;67.0;9.0;3.0;0.0;8.0;35.0;45.0;9.0;4.0;9.0;8.0;8.0;7.0;6.0;60.0;42.0;5.0;8.0;8.0;12.0;4.0;5.0;9.0;3.0;1.0;7.0;35.0;62.0;32.0;4.0;1.0;1.0;13.0;44.0;4.0;12.0;27.0;13.0;48.0;12.0;4.0;22.0;9.0;64.0;19.0;4.0;3.0;41.0;31.0;;13.0;7.0;9.0;12.0;5.0;5.0;10.0;69.0
6;Total personal characteristics;2003;85.0;8.0;4.0;2.0;1.0;4.0;70.0;10.0;13.0;7.0;79.0;10.0;6.0;2.0;2.0;92.0;6.0;2.0;3.0;9.0;88.0;94.0;4.0;2.0;87.0;10.0;3.0;72.0;6.0;23.0;17.0;21.0;62.0;95.0;16.0;2.0;14.0;6.0;12.0;37.0;42.0;7.0;2.0;21.0;67.0;8.0;3.0;1.0;8.0;34.0;46.0;9.0;4.0;9.0;8.0;7.0;7.0;6.0;60.0;42.0;4.0;8.0;7.0;14.0;5.0;5.0;8.0;2.0;1.0;7.0;34.0;61.0;32.0;6.0;1.0;1.0;13.0;43.0;3.0;11.0;31.0;14.0;45.0;13.0;5.0;23.0;10.0;63.0;20.0;5.0;3.0;42.0;30.0;;13.0;6.0;9.0;12.0;5.0;4.0;9.0;71.0
7;Total personal characteristics;2004;85.0;7.0;4.0;2.0;2.0;;71.0;10.0;13.0;7.0;80.0;10.0;5.0;2.0;2.0;93.0;5.0;2.0;3.0;8.0;89.0;94.0;4.0;2.0;88.0;10.0;3.0;72.0;6.0;22.0;18.0;18.0;63.0;;;;;;12.0;37.0;43.0;6.0;2.0;20.0;68.0;9.0;3.0;1.0;7.0;33.0;47.0;8.0;4.0;9.0;8.0;7.0;7.0;6.0;60.0;43.0;4.0;9.0;8.0;13.0;4.0;5.0;8.0;2.0;1.0;7.0;35.0;62.0;32.0;5.0;1.0;1.0;13.0;41.0;4.0;9.0;33.0;15.0;45.0;12.0;4.0;25.0;10.0;67.0;17.0;4.0;3.0;42.0;30.0;3.0;11.0;6.0;9.0;11.0;4.0;4.0;9.0;72.0
8;Total personal characteristics;2005;86.0;7.0;4.0;2.0;1.0;;71.0;11.0;13.0;6.0;80.0;9.0;6.0;2.0;3.0;93.0;6.0;2.0;2.0;8.0;89.0;94.0;4.0;2.0;88.0;9.0;3.0;73.0;6.0;22.0;16.0;20.0;63.0;;;;;;11.0;38.0;43.0;6.0;2.0;20.0;67.0;9.0;3.0;1.0;8.0;32.0;48.0;9.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.0;29.0;5.0;10.0;5.0;10.0;12.0;4.0;4.0;9.0;71.0
9;Total personal characteristics;2006;87.0;7.0;3.0;2.0;1.0;;69.0;9.0;16.0;6.0;81.0;9.0;5.0;2.0;2.0;93.0;5.0;2.0;3.0;7.0;90.0;95.0;4.0;2.0;89.0;9.0;2.0;72.0;5.0;23.0;18.0;20.0;63.0;;;;;;9.0;40.0;45.0;5.0;2.0;20.0;69.0;8.0;2.0;0.0;8.0;33.0;46.0;9.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.0;30.0;5.0;9.0;4.0;10.0;11.0;4.0;4.0;9.0;72.0
