ID;RegioSSituatie2013;Perioden;TotaleBevolking_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarOfOuder_4;Mannen_5;Vrouwen_6;Levendgeborenen_7;Overledenen_8;Immigratie_9;EmigratieInclusiefCorrecties_10;VestigersUitAndereGemeente_11;VertrekkersNaarAndereGemeente_12
0;Nederland;2014;16824.2;3847.8;10052.4;2924.0;8323.6;8500.5;176.6;142.9;152.0;139.1;612.4;612.4
1;Nederland;2015;16870.7;3824.1;10036.8;3009.9;8345.9;8524.8;178.1;144.6;153.5;137.4;616.9;616.9
2;Nederland;2016;16920.2;3812.9;10017.5;3089.8;8369.6;8550.7;179.4;146.3;155.4;135.6;622.3;622.3
3;Nederland;2017;16973.1;3800.6;10006.9;3165.5;8395.6;8577.5;181.2;148.0;157.4;133.4;627.7;627.7
4;Nederland;2018;17030.2;3792.2;9992.8;3245.3;8424.0;8606.2;182.5;149.7;157.3;134.0;633.2;633.2
5;Nederland;2019;17086.4;3776.5;9988.6;3321.3;8452.2;8634.2;183.8;151.5;156.7;134.3;638.1;638.1
6;Nederland;2020;17141.1;3762.1;9981.3;3397.7;8479.3;8661.8;184.9;153.2;155.6;134.4;642.8;642.8
7;Nederland;2021;17193.9;3742.9;9977.5;3473.6;8505.4;8688.5;186.1;155.1;154.4;134.3;647.2;647.2
8;Nederland;2022;17245.1;3728.3;9965.1;3551.7;8530.4;8714.7;186.9;157.0;153.3;134.0;651.0;651.0
9;Nederland;2023;17294.4;3715.9;9948.2;3630.2;8554.6;8739.8;187.6;159.0;153.2;133.9;654.5;654.5
10;Nederland;2024;17342.4;3705.0;9927.2;3710.1;8578.0;8764.3;188.5;161.0;153.2;134.0;657.8;657.8
11;Nederland;2025;17389.1;3702.0;9894.4;3792.7;8600.6;8788.5;189.0;163.2;153.3;134.1;661.2;661.2
12;Nederland;2026;17434.1;3704.9;9855.4;3873.8;8621.9;8812.2;189.3;165.5;153.4;134.2;664.7;664.7
13;Nederland;2027;17477.1;3710.6;9808.8;3957.6;8642.6;8834.5;189.7;167.7;153.5;134.4;668.3;668.3
14;Nederland;2028;17518.1;3719.7;9758.3;4040.0;8662.0;8856.1;189.9;170.0;153.5;134.6;670.3;670.3
15;Nederland;2029;17557.0;3725.8;9708.2;4122.9;8680.2;8876.8;190.1;172.3;153.7;134.7;671.4;671.4
