ID;Perioden;Prijsindex_1;OntwikkelingTOVEenJaarEerder_2;Prijsindex_3;OntwikkelingTOVEenJaarEerder_4
0;2012 1e kwartaal;107.2;;109.0;
1;2012 2e kwartaal;109.7;;111.5;
2;2012 3e kwartaal;106.4;;108.2;
3;2012 4e kwartaal;106.9;;106.9;
4;2012;107.5;;108.9;
5;2013 1e kwartaal;109.7;2.3;109.7;0.6
6;2013 2e kwartaal;104.2;-5.0;104.2;-6.6
7;2013 3e kwartaal;103.1;-3.1;103.1;-4.7
8;2013 4e kwartaal;102.8;-3.8;102.8;-3.8
9;2013;104.9;-2.4;104.9;-3.6
10;2014 1e kwartaal;98.7;-10.0;98.7;-10.0
11;2014 2e kwartaal;100.4;-3.6;100.4;-3.6
12;2014 3e kwartaal;102.7;-0.4;102.7;-0.4
13;2014 4e kwartaal;101.1;-1.7;101.1;-1.7
14;2014;100.7;-4.0;100.7;-4.0
15;2015 1e kwartaal;101.1;2.5;101.1;2.5
16;2015 2e kwartaal;102.9;2.5;102.9;2.5
17;2015 3e kwartaal;98.1;-4.4;98.1;-4.4
18;2015 4e kwartaal;97.8;-3.3;97.8;-3.3
19;2015;100.0;-0.7;100.0;-0.7
20;2016 1e kwartaal;97.3;-3.8;97.3;-3.8
21;2016 2e kwartaal;99.3;-3.6;99.3;-3.6
22;2016 3e kwartaal;101.7;3.6;101.7;3.6
23;2016 4e kwartaal;101.7;4.0;101.7;4.0
24;2016;100.0;0.0;100.0;0.0
25;2017 1e kwartaal;103.3;6.2;103.3;6.2
26;2017 2e kwartaal;106.7;7.5;106.7;7.5
27;2017 3e kwartaal;105.6;3.9;105.6;3.9
28;2017 4e kwartaal;109.4;7.6;109.4;7.6
29;2017;106.2;6.3;106.2;6.3
30;2018 1e kwartaal;111.9;8.3;111.9;8.3
31;2018 2e kwartaal;112.7;5.6;112.7;5.6
32;2018 3e kwartaal;115.7;9.6;115.7;9.6
33;2018 4e kwartaal;121.3;10.9;121.3;10.9
34;2018;115.4;8.6;115.4;8.6
35;2019 1e kwartaal;122.0;9.0;122.0;9.0
36;2019 2e kwartaal;120.5;6.9;120.5;6.9
37;2019 3e kwartaal;124.4;7.5;124.4;7.5
38;2019 4e kwartaal;128.2;5.7;128.2;5.7
39;2019;123.8;7.3;123.8;7.3
40;2020 1e kwartaal;128.1;5.0;128.1;5.0
41;2020 2e kwartaal;129.3;7.3;129.3;7.3
42;2020 3e kwartaal;127.6;2.6;127.6;2.6
43;2020 4e kwartaal;131.6;2.7;131.6;2.7
44;2020;129.2;4.4;129.2;4.4
45;2021 1e kwartaal;131.4;2.6;131.4;2.6
46;2021 2e kwartaal;133.2;3.0;133.2;3.0
47;2021 3e kwartaal;135.3;6.0;135.3;6.0
48;2021 4e kwartaal;137.1;4.1;137.1;4.1
49;2021;134.2;3.9;134.2;3.9
50;2022 1e kwartaal;137.3;4.4;137.3;4.4
51;2022 2e kwartaal;142.1;6.7;142.1;6.7
52;2022 3e kwartaal;148.3;9.7;148.3;9.7
53;2022 4e kwartaal;146.1;6.6;146.1;6.6
54;2022;143.4;6.9;143.4;6.9
55;2023 1e kwartaal;156.1;13.7;156.1;13.7
56;2023 2e kwartaal;161.3;13.5;161.3;13.5
57;2023 3e kwartaal;164.1;10.7;164.1;10.7
58;2023 4e kwartaal;168.9;15.6;168.9;15.6
59;2023;162.6;13.4;162.6;13.4
