ID;Geslacht;Kenmerken;Perioden;TotaalBaanvinders_1;k_1JaarGeledenGewerkt_2;VoorhScholierStudentSchoolverlater_3;VoorheenWerkzaam_4;VoorheenArbeidsongeschikt_5;Herintreder_6;OverigeBaanvinders_7;Baanwisselaars_8;TotaalOnbenutArbeidsaanbod_9;k_1JaarGeledenGewerkt_10;VoorhScholierStudentSchoolverlater_11;VoorheenWerkzaam_12;VoorheenArbeidsongeschikt_13;Herintreder_14;OverigOnbenutArbeidsaanbod_15
0;Mannen en vrouwen;10002;2001;;;;;;;;;;;;;;;
1;Mannen en vrouwen;10002;2002;;;;;;;;;;;;;;;
2;Mannen en vrouwen;10002;2003;935.0;410.0;244.0;135.0;13.0;46.0;87.0;379.0;755.0;162.0;161.0;132.0;67.0;124.0;109.0
3;Mannen en vrouwen;10002;2004;836.0;349.0;216.0;131.0;13.0;36.0;90.0;319.0;861.0;161.0;185.0;177.0;73.0;140.0;126.0
4;Mannen en vrouwen;10002;2005;858.0;346.0;217.0;151.0;12.0;31.0;102.0;314.0;904.0;152.0;188.0;189.0;72.0;141.0;161.0
5;Mannen en vrouwen;10002;2006;986.0;412.0;240.0;165.0;14.0;41.0;114.0;378.0;822.0;122.0;171.0;186.0;72.0;142.0;128.0
6;Mannen en vrouwen;10002;2007;1138.0;488.0;287.0;172.0;17.0;53.0;122.0;455.0;734.0;94.0;163.0;156.0;72.0;128.0;121.0
7;Mannen en vrouwen;10002;2008;1195.0;538.0;295.0;167.0;16.0;56.0;123.0;501.0;657.0;97.0;154.0;130.0;63.0;113.0;101.0
8;Mannen en vrouwen;10002;2009;1017.0;456.0;248.0;151.0;15.0;42.0;105.0;427.0;763.0;165.0;173.0;151.0;60.0;110.0;104.0
9;Mannen en vrouwen;10002;2010;927.0;372.0;236.0;164.0;12.0;38.0;105.0;327.0;825.0;183.0;182.0;179.0;61.0;117.0;103.0
10;Mannen en vrouwen;10002;2011;951.0;347.0;264.0;201.0;11.0;33.0;96.0;304.0;817.0;152.0;181.0;206.0;69.0;112.0;98.0
11;Mannen en vrouwen;10002;2012;907.0;324.0;254.0;189.0;14.0;31.0;95.0;289.0;928.0;176.0;202.0;239.0;77.0;122.0;111.0
12;Mannen en vrouwen;10002;2013;844.0;282.0;250.0;177.0;11.0;25.0;99.0;242.0;1158.0;225.0;253.0;303.0;89.0;143.0;145.0
13;Mannen en vrouwen;15550;2001;;;;;;;;;;;;;;;
14;Mannen en vrouwen;15550;2002;;;;;;;;;;;;;;;
15;Mannen en vrouwen;15550;2003;321.0;80.0;192.0;24.0;;;26.0;68.0;178.0;24.0;123.0;12.0;;;17.0
16;Mannen en vrouwen;15550;2004;291.0;66.0;172.0;23.0;;;29.0;58.0;210.0;26.0;141.0;16.0;;;24.0
17;Mannen en vrouwen;15550;2005;294.0;65.0;170.0;26.0;;;32.0;55.0;208.0;22.0;141.0;17.0;;;26.0
18;Mannen en vrouwen;15550;2006;319.0;73.0;184.0;27.0;;;35.0;64.0;185.0;18.0;131.0;12.0;;;22.0
19;Mannen en vrouwen;15550;2007;352.0;77.0;219.0;24.0;;;32.0;68.0;174.0;15.0;128.0;9.0;;;20.0
20;Mannen en vrouwen;15550;2008;369.0;87.0;225.0;23.0;;;34.0;75.0;164.0;17.0;120.0;9.0;;;17.0
21;Mannen en vrouwen;15550;2009;329.0;77.0;193.0;25.0;;;34.0;68.0;201.0;27.0;136.0;14.0;;;22.0
22;Mannen en vrouwen;15550;2010;304.0;64.0;184.0;26.0;;;29.0;52.0;205.0;24.0;142.0;16.0;;;21.0
23;Mannen en vrouwen;15550;2011;322.0;63.0;204.0;28.0;;;26.0;52.0;181.0;19.0;132.0;12.0;;;15.0
24;Mannen en vrouwen;15550;2012;314.0;62.0;198.0;28.0;;;24.0;52.0;206.0;20.0;150.0;15.0;;;18.0
25;Mannen en vrouwen;15550;2013;287.0;49.0;187.0;25.0;;;25.0;41.0;261.0;27.0;186.0;21.0;;;25.0
26;Mannen en vrouwen;20940;2001;;;;;;;;;;;;;;;
27;Mannen en vrouwen;20940;2002;;;;;;;;;;;;;;;
28;Mannen en vrouwen;20940;2003;287.0;153.0;53.0;50.0;2.0;4.0;25.0;144.0;173.0;51.0;38.0;32.0;11.0;16.0;24.0
29;Mannen en vrouwen;20940;2004;258.0;134.0;44.0;45.0;2.0;5.0;28.0;125.0;186.0;45.0;43.0;42.0;12.0;17.0;26.0
30;Mannen en vrouwen;20940;2005;270.0;130.0;47.0;55.0;3.0;4.0;31.0;121.0;186.0;40.0;47.0;37.0;13.0;16.0;35.0
31;Mannen en vrouwen;20940;2006;319.0;165.0;56.0;55.0;4.0;6.0;34.0;152.0;154.0;32.0;41.0;32.0;11.0;13.0;25.0
32;Mannen en vrouwen;20940;2007;356.0;186.0;68.0;56.0;3.0;4.0;39.0;176.0;128.0;23.0;35.0;24.0;12.0;12.0;22.0
33;Mannen en vrouwen;20940;2008;361.0;194.0;70.0;53.0;3.0;4.0;36.0;184.0;111.0;25.0;34.0;18.0;8.0;9.0;16.0
34;Mannen en vrouwen;20940;2009;302.0;161.0;55.0;49.0;3.0;4.0;31.0;154.0;141.0;41.0;37.0;26.0;8.0;9.0;19.0
35;Mannen en vrouwen;20940;2010;279.0;133.0;52.0;53.0;3.0;4.0;33.0;121.0;150.0;45.0;40.0;31.0;8.0;8.0;18.0
36;Mannen en vrouwen;20940;2011;284.0;123.0;59.0;64.0;4.0;3.0;30.0;110.0;162.0;41.0;48.0;36.0;10.0;8.0;19.0
37;Mannen en vrouwen;20940;2012;269.0;114.0;56.0;61.0;5.0;2.0;31.0;103.0;186.0;46.0;52.0;47.0;11.0;8.0;22.0
38;Mannen en vrouwen;20940;2013;263.0;106.0;63.0;56.0;3.0;2.0;33.0;91.0;230.0;54.0;67.0;55.0;12.0;10.0;32.0
39;Mannen en vrouwen;20950;2001;;;;;;;;;;;;;;;
40;Mannen en vrouwen;20950;2002;;;;;;;;;;;;;;;
41;Mannen en vrouwen;20950;2003;199.0;112.0;;35.0;4.0;26.0;21.0;107.0;194.0;44.0;;36.0;24.0;61.0;29.0
42;Mannen en vrouwen;20950;2004;175.0;94.0;;38.0;5.0;19.0;19.0;86.0;222.0;43.0;;50.0;26.0;68.0;35.0
43;Mannen en vrouwen;20950;2005;178.0;93.0;;40.0;5.0;18.0;22.0;87.0;236.0;41.0;;53.0;26.0;68.0;47.0
44;Mannen en vrouwen;20950;2006;209.0;110.0;;46.0;5.0;22.0;25.0;103.0;209.0;32.0;;51.0;24.0;71.0;31.0
45;Mannen en vrouwen;20950;2007;251.0;140.0;;48.0;7.0;30.0;27.0;132.0;174.0;25.0;;39.0;22.0;61.0;28.0
46;Mannen en vrouwen;20950;2008;264.0;156.0;;44.0;6.0;32.0;26.0;149.0;147.0;25.0;;30.0;18.0;51.0;23.0
47;Mannen en vrouwen;20950;2009;213.0;127.0;;41.0;5.0;22.0;19.0;120.0;165.0;43.0;;33.0;18.0;47.0;24.0
48;Mannen en vrouwen;20950;2010;186.0;98.0;;45.0;3.0;20.0;21.0;88.0;179.0;46.0;;44.0;15.0;52.0;22.0
49;Mannen en vrouwen;20950;2011;186.0;91.0;;55.0;3.0;18.0;19.0;80.0;173.0;36.0;;53.0;20.0;46.0;19.0
50;Mannen en vrouwen;20950;2012;170.0;82.0;;47.0;4.0;16.0;21.0;74.0;196.0;42.0;;54.0;23.0;53.0;24.0
51;Mannen en vrouwen;20950;2013;153.0;69.0;;47.0;4.0;12.0;20.0;61.0;235.0;58.0;;67.0;24.0;57.0;29.0
52;Mannen en vrouwen;20960;2001;;;;;;;;;;;;;;;
53;Mannen en vrouwen;20960;2002;;;;;;;;;;;;;;;
54;Mannen en vrouwen;20960;2003;102.0;54.0;;20.0;5.0;13.0;11.0;50.0;142.0;31.0;;33.0;22.0;34.0;22.0
55;Mannen en vrouwen;20960;2004;89.0;45.0;;19.0;5.0;10.0;11.0;41.0;165.0;33.0;;41.0;24.0;42.0;25.0
56;Mannen en vrouwen;20960;2005;90.0;46.0;;23.0;3.0;7.0;12.0;41.0;178.0;31.0;;50.0;20.0;45.0;33.0
57;Mannen en vrouwen;20960;2006;108.0;54.0;;27.0;3.0;11.0;14.0;48.0;174.0;26.0;;51.0;24.0;44.0;29.0
58;Mannen en vrouwen;20960;2007;137.0;70.0;;31.0;5.0;15.0;17.0;65.0;157.0;20.0;;43.0;23.0;42.0;29.0
59;Mannen en vrouwen;20960;2008;151.0;81.0;;33.0;5.0;16.0;16.0;76.0;141.0;19.0;;36.0;21.0;40.0;24.0
60;Mannen en vrouwen;20960;2009;133.0;75.0;;26.0;6.0;13.0;13.0;70.0;152.0;34.0;;38.0;20.0;41.0;19.0
61;Mannen en vrouwen;20960;2010;121.0;61.0;;30.0;4.0;10.0;15.0;53.0;173.0;42.0;;47.0;21.0;42.0;21.0
62;Mannen en vrouwen;20960;2011;122.0;56.0;;40.0;2.0;9.0;15.0;50.0;179.0;36.0;;55.0;21.0;43.0;23.0
63;Mannen en vrouwen;20960;2012;117.0;53.0;;37.0;3.0;11.0;14.0;47.0;196.0;42.0;;63.0;23.0;43.0;25.0
64;Mannen en vrouwen;20960;2013;105.0;44.0;;35.0;3.0;8.0;14.0;38.0;248.0;50.0;;85.0;30.0;51.0;32.0
65;Mannen en vrouwen;20970;2001;;;;;;;;;;;;;;;
66;Mannen en vrouwen;20970;2002;;;;;;;;;;;;;;;
67;Mannen en vrouwen;20970;2003;26.0;12.0;;6.0;;3.0;5.0;10.0;69.0;13.0;;19.0;9.0;11.0;16.0
68;Mannen en vrouwen;20970;2004;22.0;10.0;;5.0;;2.0;4.0;9.0;78.0;15.0;;26.0;10.0;12.0;16.0
69;Mannen en vrouwen;20970;2005;26.0;12.0;;7.0;;2.0;5.0;11.0;95.0;17.0;;32.0;12.0;12.0;21.0
70;Mannen en vrouwen;20970;2006;30.0;11.0;;10.0;;2.0;6.0;10.0;101.0;15.0;;40.0;13.0;13.0;20.0
71;Mannen en vrouwen;20970;2007;41.0;16.0;;13.0;;4.0;7.0;14.0;101.0;11.0;;41.0;14.0;12.0;23.0
72;Mannen en vrouwen;20970;2008;49.0;20.0;;13.0;;4.0;11.0;17.0;94.0;11.0;;37.0;14.0;12.0;20.0
73;Mannen en vrouwen;20970;2009;39.0;16.0;;10.0;;3.0;9.0;15.0;104.0;19.0;;40.0;13.0;13.0;19.0
74;Mannen en vrouwen;20970;2010;38.0;17.0;;11.0;2.0;3.0;7.0;14.0;118.0;25.0;;42.0;16.0;15.0;21.0
75;Mannen en vrouwen;20970;2011;38.0;14.0;;14.0;2.0;2.0;6.0;12.0;121.0;20.0;;50.0;16.0;14.0;20.0
76;Mannen en vrouwen;20970;2012;38.0;14.0;;16.0;;2.0;5.0;12.0;143.0;27.0;;59.0;18.0;18.0;22.0
77;Mannen en vrouwen;20970;2013;35.0;13.0;;13.0;;2.0;6.0;11.0;184.0;37.0;;75.0;21.0;24.0;27.0
78;Mannen en vrouwen;21590;2001;;;;;;;;;;;;;;;
79;Mannen en vrouwen;21590;2002;;;;;;;;;;;;;;;
80;Mannen en vrouwen;21590;2003;143.0;61.0;33.0;25.0;3.0;5.0;16.0;55.0;162.0;38.0;27.0;38.0;27.0;9.0;24.0
81;Mannen en vrouwen;21590;2004;124.0;51.0;27.0;25.0;3.0;3.0;15.0;46.0;171.0;39.0;25.0;47.0;23.0;11.0;25.0
82;Mannen en vrouwen;21590;2005;135.0;56.0;28.0;28.0;2.0;4.0;16.0;50.0;185.0;32.0;27.0;53.0;26.0;15.0;32.0
83;Mannen en vrouwen;21590;2006;162.0;68.0;35.0;33.0;4.0;4.0;19.0;62.0;161.0;26.0;23.0;52.0;22.0;12.0;27.0
84;Mannen en vrouwen;21590;2007;192.0;85.0;39.0;34.0;4.0;6.0;24.0;78.0;149.0;22.0;21.0;44.0;24.0;11.0;27.0
85;Mannen en vrouwen;21590;2008;197.0;92.0;40.0;34.0;4.0;5.0;22.0;84.0;134.0;21.0;21.0;38.0;24.0;9.0;21.0
86;Mannen en vrouwen;21590;2009;164.0;73.0;35.0;29.0;4.0;4.0;19.0;67.0;158.0;37.0;25.0;43.0;21.0;11.0;22.0
87;Mannen en vrouwen;21590;2010;159.0;63.0;34.0;33.0;4.0;4.0;20.0;54.0;171.0;39.0;25.0;52.0;22.0;12.0;21.0
88;Mannen en vrouwen;21590;2011;162.0;55.0;36.0;43.0;4.0;3.0;21.0;46.0;188.0;35.0;25.0;66.0;26.0;12.0;23.0
