ID;Perioden;TotaleBevolking_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarOfOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarOfOuder_7;DemografischeDruk_8;Levendgeborenen_9;TotaalVruchtbaarheidscijfer_10;Overledenen_11;LevensverwachtingMannen_12;LevensverwachtingVrouwen_13;Immigratie_14;EmigratieInclSaldoAdmCorrecties_15;MigratiesaldoInclSaldoAdmCorr_16
0;2001;15987075;3908053;9904521;2174501;24.4;62.0;13.6;0.614;202284.0;1.7;139439.0;75.75;80.71;134890.0;81409.0;53481.0
1;2002;16103401;3938485;9964547;2200369;24.5;61.9;13.7;0.616;200941.0;1.71;139956.0;75.97;80.86;135013.0;83027.0;51986.0
2;2003;16216372;3971742;10018584;2226043;24.5;61.8;13.7;0.619;199413.0;1.72;140919.0;76.16;80.96;134515.0;84413.0;50102.0
3;2004;16324969;4004138;10062259;2258574;24.5;61.6;13.8;0.622;197676.0;1.73;141790.0;76.36;81.07;133815.0;85512.0;48303.0
4;2005;16429158;4029039;10107148;2292968;24.5;61.5;14.0;0.625;195798.0;1.75;143546.0;76.47;81.15;132752.0;86543.0;46209.0
5;2006;16527619;4047888;10148858;2330873;24.5;61.4;14.1;0.629;194012.0;1.76;145570.0;76.55;81.22;131981.0;87472.0;44509.0
6;2007;16620571;4058853;10199025;2362694;24.4;61.4;14.2;0.63;;;;;;;;
