ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;AVD_5;CDA_6;CU_7;D66_8;Conserv_9;DN_10;GL_11;LN_12;LPF_13;Veldhoen_14;NCPN_15;PvdA_16;PvdT_17;PvdD_18;Ratelband_19;SGP_20;SP_21;VIP_22;VVD_23;AVD_24;CDA_25;CU_26;D66_27;Conserv_28;DN_29;GL_30;LN_31;LPF_32;Veldhoen_33;NCPN_34;PvdA_35;PvdT_36;PvdD_37;Ratelband_38;SGP_39;SP_40;VIP_41;VVD_42;LandsdeelCode_43;ProvincieCode_44;KamerkieskringCode_45;CoropCode_46;GemeenteCode_47
0;Nederland;12076711;80.0;9666602;9654475;990.0;2763480;204694;393333;2521.0;7271.0;495802;38894;549975;296.0;4854;2631363;13845;47754.0;9045;150305;609723;1623.0;1728707;0.0;28.6;2.1;4.1;0.0;0.1;5.1;0.4;5.7;0.0;0.1;27.3;0.1;0.5;0.1;1.6;6.3;0.0;17.9; ;  ;  ;  ;    
1;Aa en Hunze;19461;86.3;16795;16777;;2490;142;708;5.0;1.0;774;53;642;;2;6953;17;68.0;16;10;788;;4108;;14.8;0.8;4.2;0.0;0.0;4.6;0.3;3.8;;0.0;41.4;0.1;0.4;0.1;0.1;4.7;;24.5;1;22;00;07;1680
2;Aalburg;8685;87.4;7588;7582;1.0;3118;510;76;1.0;0.0;89;23;352;;1;857;16;32.0;5;1466;233;0.0;802;0.0;41.1;6.7;1.0;0.0;0.0;1.2;0.3;4.6;;0.0;11.3;0.2;0.4;0.1;19.3;3.1;0.0;10.6;4;30;00;34;0738
3;Aalsmeer;17298;84.8;14671;14657;0.0;5138;269;638;7.0;1.0;511;64;861;;4;2548;19;61.0;13;53;536;;3934;0.0;35.1;1.8;4.4;0.0;0.0;3.5;0.4;5.9;;0.0;17.4;0.1;0.4;0.1;0.4;3.7;;26.8;3;27;00;23;0358
4;Aalten;13896;85.7;11903;11898;1.0;5935;331;291;4.0;11.0;448;25;365;;2;2545;14;42.0;11;24;600;;1249;0.0;49.9;2.8;2.4;0.0;0.1;3.8;0.2;3.1;;0.0;21.4;0.1;0.4;0.1;0.2;5.0;;10.5;2;25;00;14;0197
5;Ter Aar;6644;86.1;5719;5712;1.0;2666;54;193;2.0;1.0;196;31;342;;0;768;6;23.0;2;53;196;1.0;1177;0.0;46.7;0.9;3.4;0.0;0.0;3.4;0.5;6.0;;0.0;13.4;0.1;0.4;0.0;0.9;3.4;0.0;20.6;3;28;00;28;0480
6;Abcoude;6202;91.1;5648;5644;0.0;1637;77;437;3.0;1.0;283;11;244;;2;1076;3;16.0;4;47;228;1.0;1574;0.0;29.0;1.4;7.7;0.1;0.0;5.0;0.2;4.3;;0.0;19.1;0.1;0.3;0.1;0.8;4.0;0.0;27.9;3;26;00;17;0305
7;Achtkarspelen;21382;83.5;17858;17846;0.0;7411;1235;225;;0.0;448;85;640;;3;5535;26;50.0;11;144;750;;1283;0.0;41.5;6.9;1.3;;0.0;2.5;0.5;3.6;;0.0;31.0;0.1;0.3;0.1;0.8;4.2;;7.2;1;21;00;04;0059
8;Alblasserdam;13436;83.6;11229;11220;2.0;2967;608;226;2.0;8.0;239;31;661;2.0;9;3170;15;45.0;12;1266;482;2.0;1473;0.0;26.4;5.4;2.0;0.0;0.1;2.1;0.3;5.9;0.0;0.1;28.3;0.1;0.4;0.1;11.3;4.3;0.0;13.1;3;28;00;30;0482
9;Albrandswaard;13830;85.5;11819;11799;0.0;3171;181;491;6.0;2.0;309;60;1360;1.0;6;2398;12;74.0;15;120;470;0.0;3123;0.0;26.9;1.5;4.2;0.1;0.0;2.6;0.5;11.5;0.0;0.1;20.3;0.1;0.6;0.1;1.0;4.0;0.0;26.5;3;28;00;29;0613
10;Alkemade;10748;86.4;9285;9283;2.0;3971;27;341;2.0;2.0;364;48;575;;1;1507;23;33.0;14;14;376;2.0;1981;0.0;42.8;0.3;3.7;0.0;0.0;3.9;0.5;6.2;;0.0;16.2;0.2;0.4;0.2;0.2;4.1;0.0;21.3;3;28;00;25;0483
11;Alkmaar;69528;78.6;54645;54570;14.0;10902;572;2754;;137.0;4332;287;2977;;38;17845;84;334.0;65;43;4697;;9489;0.0;20.0;1.0;5.0;;0.3;7.9;0.5;5.5;;0.1;32.7;0.2;0.6;0.1;0.1;8.6;;17.4;3;27;00;19;0361
12;Almelo;52689;77.6;40909;40871;;12044;942;1282;16.0;;1636;166;1826;;22;14319;79;;34;112;2448;;5945;;29.5;2.3;3.1;0.0;;4.0;0.4;4.5;;0.1;35.0;0.2;;0.1;0.3;6.0;;14.5;2;23;00;12;0141
13;Almere;112149;76.2;85413;85318;15.0;13459;1255;4409;;54.0;4804;518;7259;;55;26133;122;541.0;125;90;5334;;21145;0.0;15.8;1.5;5.2;;0.1;5.6;0.6;8.5;;0.1;30.6;0.1;0.6;0.1;0.1;6.3;;24.8;2;24;00;40;0034
14;Alphen aan den Rijn;52995;80.1;42453;42380;4.0;11830;1177;2046;14.0;12.0;2192;168;2424;;16;9597;68;224.0;37;476;2388;8.0;9699;0.0;27.9;2.8;4.8;0.0;0.0;5.2;0.4;5.7;;0.0;22.6;0.2;0.5;0.1;1.1;5.6;0.0;22.9;3;28;00;28;0484
15;Alphen-Chaam;7052;86.5;6098;6097;2.0;2884;8;162;2.0;0.0;188;12;322;;0;938;14;22.0;5;1;298;0.0;1239;0.0;47.3;0.1;2.7;0.0;0.0;3.1;0.2;5.3;;0.0;15.4;0.2;0.4;0.1;0.0;4.9;0.0;20.3;4;30;00;34;1723
16;Ambt Montfort;8572;77.7;6659;6656;;2926;9;154;3.0;3.0;242;26;331;;2;1647;15;53.0;8;0;347;;890;;44.0;0.1;2.3;0.0;0.0;3.6;0.4;5.0;;0.0;24.7;0.2;0.8;0.1;0.0;5.2;;13.4;4;31;00;38;1679
17;Ameland;2652;91.9;2436;2436;0.0;982;15;60;;0.0;92;19;116;;1;573;5;8.0;3;1;113;;448;0.0;40.3;0.6;2.5;;0.0;3.8;0.8;4.8;;0.0;23.5;0.2;0.3;0.1;0.0;4.6;;18.4;1;21;00;04;0060
18;Amerongen;5414;86.7;4694;4690;0.0;1531;153;188;3.0;0.0;156;13;239;;2;867;12;24.0;4;403;176;0.0;919;0.0;32.6;3.3;4.0;0.1;0.0;3.3;0.3;5.1;;0.0;18.5;0.3;0.5;0.1;8.6;3.8;0.0;19.6;3;26;00;17;0306
19;Amersfoort;94763;81.7;77423;77353;9.0;18581;3418;4034;19.0;45.0;5561;273;3080;;36;20792;80;315.0;41;606;5484;10.0;14969;0.0;24.0;4.4;5.2;0.0;0.1;7.2;0.4;4.0;;0.0;26.9;0.1;0.4;0.1;0.8;7.1;0.0;19.4;3;26;08;17;0307
20;Amstelveen;57525;84.2;48461;48417;4.0;11065;411;3482;21.0;21.0;2816;146;2311;;14;11645;47;277.0;37;72;2498;;13550;0.0;22.9;0.8;7.2;0.0;0.0;5.8;0.3;4.8;;0.0;24.1;0.1;0.6;0.1;0.1;5.2;;28.0;3;27;10;23;0362
