ID;RegioS;Perioden;TotaalRDUitgaven_1;Bedrijven_2;HogerOnderwijsinstellingen_3;Researchinstellingen_4;TotaalArbeidsjaren_5;Bedrijven_6;HogerOnderwijsinstellingen_7;Researchinstellingen_8
0;Nederland;2002;8747.0;4543;3040.0;1164.0;91555.0;47034;30800.0;13721.0
1;Nederland;2003;9147.0;4804;3127.0;1216.0;90147.0;44485;31370.0;14292.0
2;Nederland;2005;9772.0;5169;3387.0;1216.0;93602.0;48587;32309.0;12706.0
3;Nederland;2007;10342.0;5495;3588.0;1259.0;93786.0;49246;32400.0;12140.0
4;Nederland;2009;10408.0;4900;4181.0;1327.0;87874.0;42336;34122.0;11416.0
5;Noord-Nederland (LD);2002;;208;;;;2262;;
6;Noord-Nederland (LD);2003;607.0;278;;;5460.0;2232;;
7;Noord-Nederland (LD);2005;583.0;231;;;5564.0;2273;;
8;Noord-Nederland (LD);2007;589.0;245;;;5353.0;2354;;
9;Noord-Nederland (LD);2009;665.0;250;;;5286.0;2026;;
10;Oost-Nederland (LD);2002;;708;;;;8855;;
11;Oost-Nederland (LD);2003;1654.0;690;;;18107.0;8208;;
12;Oost-Nederland (LD);2005;1734.0;686;;;18095.0;8157;;
13;Oost-Nederland (LD);2007;1756.0;712;;;17885.0;8416;;
14;Oost-Nederland (LD);2009;1890.0;837;;;17605.0;8686;;
15;West-Nederland (LD);2002;;1623;;750.0;;17982;;9190.0
16;West-Nederland (LD);2003;4340.0;1699;1838.0;804.0;44540.0;16130;18825.0;9586.0
17;West-Nederland (LD);2005;4416.0;1673;1956.0;786.0;43942.0;16727;18659.0;8556.0
18;West-Nederland (LD);2007;4992.0;2040;2082.0;871.0;45064.0;17814;18744.0;8507.0
19;West-Nederland (LD);2009;5225.0;1825;2512.0;889.0;43127.0;15299;20081.0;7747.0
20;Zuid-Nederland (LD);2002;;2004;;;;17934;;
21;Zuid-Nederland (LD);2003;2546.0;2138;;;22034.0;17914;;
22;Zuid-Nederland (LD);2005;3039.0;2579;;;25999.0;21431;;
23;Zuid-Nederland (LD);2007;3006.0;2499;;;25484.0;20662;;
24;Zuid-Nederland (LD);2009;2628.0;1988;;;21856.0;16325;;
25;Groningen (PV);2002;;76;;;;777;;
26;Groningen (PV);2003;366.0;48;;;3674.0;604;;
27;Groningen (PV);2005;386.0;56;;;3864.0;756;;
28;Groningen (PV);2007;374.0;34;;;3369.0;418;;
29;Groningen (PV);2009;474.0;76;;;3719.0;614;;
30;Friesland (PV);2002;;86;;;;923;;
31;Friesland (PV);2003;118.0;117;;;968.0;946;;
32;Friesland (PV);2005;115.0;111;;;1071.0;1018;;
33;Friesland (PV);2007;115.0;113;;;1034.0;1013;;
34;Friesland (PV);2009;139.0;134;;;1048.0;990;;
35;Drenthe (PV);2002;;46;;;;562;;
36;Drenthe (PV);2003;123.0;113;;;817.0;682;;
37;Drenthe (PV);2005;82.0;64;;;629.0;499;;
38;Drenthe (PV);2007;100.0;98;;;949.0;923;;
39;Drenthe (PV);2009;52.0;41;;;519.0;423;;
40;Overijssel (PV);2002;;242;;;;3630;;
41;Overijssel (PV);2003;393.0;206;;;4862.0;3009;;
42;Overijssel (PV);2005;375.0;162;;;4494.0;2446;;
43;Overijssel (PV);2007;488.0;244;;;5464.0;3372;;
44;Overijssel (PV);2009;527.0;295;;;5517.0;3638;;
45;Flevoland (PV);2002;;31;;;;367;;
46;Flevoland (PV);2003;119.0;40;;;1329.0;455;;
47;Flevoland (PV);2005;139.0;61;;;1474.0;731;;
48;Flevoland (PV);2007;157.0;76;;;1724.0;970;;
49;Flevoland (PV);2009;154.0;58;;;1467.0;646;;
50;Gelderland (PV);2002;;435;;;;4858;;
51;Gelderland (PV);2003;1142.0;444;;;11916.0;4744;;
52;Gelderland (PV);2005;1220.0;463;;;12127.0;4979;;
53;Gelderland (PV);2007;1111.0;391;;;10698.0;4075;;
54;Gelderland (PV);2009;1210.0;484;;;10620.0;4402;;
55;Utrecht (PV);2002;;218;;;;2613;;
56;Utrecht (PV);2003;870.0;221;;;8895.0;2121;;
57;Utrecht (PV);2005;928.0;272;;;9301.0;2921;;
58;Utrecht (PV);2007;1032.0;368;;;9701.0;3488;;
59;Utrecht (PV);2009;1005.0;206;;;8420.0;1880;;
60;Noord-Holland (PV);2002;;744;;;;7468;;
61;Noord-Holland (PV);2003;1595.0;747;;;16655.0;6970;;
62;Noord-Holland (PV);2005;1505.0;572;;;15403.0;5921;;
63;Noord-Holland (PV);2007;1748.0;701;;;16367.0;6436;;
64;Noord-Holland (PV);2009;1839.0;658;;;15318.0;5759;;
65;Zuid-Holland (PV);2002;;577;;;;7143;;
66;Zuid-Holland (PV);2003;1798.0;660;;;18181.0;6310;;
67;Zuid-Holland (PV);2005;1925.0;776;;;18665.0;7367;;
68;Zuid-Holland (PV);2007;2147.0;910;;;18159.0;7115;;
69;Zuid-Holland (PV);2009;2305.0;895;;;18841.0;7226;;
70;Zeeland (PV);2002;;83;;;;757;;
71;Zeeland (PV);2003;77.0;71;;;810.0;729;;
72;Zeeland (PV);2005;58.0;53;;;573.0;518;;
73;Zeeland (PV);2007;66.0;61;;;838.0;774;;
74;Zeeland (PV);2009;76.0;66;;;549.0;433;;
75;Noord-Brabant (PV);2002;;1677;;;;14235;;
76;Noord-Brabant (PV);2003;1894.0;1672;;;16004.0;13729;;
77;Noord-Brabant (PV);2005;2353.0;2099;;;19128.0;16527;;
78;Noord-Brabant (PV);2007;2443.0;2165;;;20009.0;17345;;
79;Noord-Brabant (PV);2009;2025.0;1635;;;16755.0;13287;;
80;Limburg (PV);2002;;327;;;;3700;;
81;Limburg (PV);2003;652.0;466;;;6030.0;4185;;
82;Limburg (PV);2005;687.0;481;;;6869.0;4903;;
83;Limburg (PV);2007;563.0;333;;;5475.0;3317;;
84;Limburg (PV);2009;603.0;354;;;5101.0;3038;;
