ID;BatenLastenSaldo;Perioden;TotaalFunctiesNaBestemming_1;TotaalAlgemeenBestuur_2;Bestuursorganen_3;BestuursondersteuningCollegeVanBEnW_4;Burgerzaken_5;BatenSecretarielegesBurgerzaken_6;BestuurlijkeSamenwerking_7;BestuursondersteuningRaadEnRekenkamer_8;TotaalOpenbareOrdeEnVeiligheid_9;BrandweerEnRampenbestrijding_10;OpenbareOrdeEnVeiligheid_11;TotaalVerkeerVervoerEnWaterstaat_12;WegenStratenEnPleinen_13;VerkeersmaatregelenTeLand_14;OpenbaarVervoer_15;Parkeren_16;BatenParkeerbelasting_17;Zeehavens_18;BinnenhavensEnWaterwegen_19;Veerdiensten_20;Luchtvaart_21;WaterkeringAfwateringEnLandaanw_22;TotaalEconomischeZaken_23;HandelEnAmbacht_24;BatenMarktgelden_25;Industrie_26;Nutsbedrijven_27;AgrarischeProductieEnOntginning_28;OverigeAgrarZakenJachtEnVisserij_29;TotaalOnderwijs_30;OpenbBasisonderwijsExOnderwHuisv_31;OpenbBasisonderwijsOnderwHuisv_32;BijzOnderwijsExclOnderwijshuisv_33;BijzOnderwijsOnderwijshuisvesting_34;OpenbVrtgSpecOnderwExHuisv_35;OpenbVrtgSpecOnderwHuisv_36;BijzVrtgSpecOnderwExHuisv_37;BijzVrtgSpecOnderwHuisv_38;OpenbVoortgOnderwijsExHuisv_39;OpenbVoortgOnderwijsHuisv_40;BijzVoortgOnderwijsExHuisv_41;BijzVoortgOnderwijsHuisv_42;GemeenschappBEnLVHOnderwijs_43;Volwasseneneducatie_44;TotaalCultuurEnRecreatie_45;OpenbaarBibliotheekwerk_46;VormingsEnOntwikkelingswerk_47;Sport_48;GroeneSportveldenEnTerreinen_49;Kunst_50;OudheidkundeMusea_51;Natuurbescherming_52;OpenbaarGroenEnOpenluchtrecreatie_53;OverigeRecreatieveVoorzieningen_54;TotaalSocVoorzEnMaatschDnstverl_55;Bijstandsverlening_56;Werkgelegenheid_57;InkomensvoorzieningenVanuitHetRijk_58;OverigeSocialeZekerheidsregelingRijk_59;GemeentelijkMinimabeleid_60;MaatschappBegeleidingEnAdvies_61;Vreemdelingen_62;HuishoudelijkeVerzorging_63;SociaalCultureelWerk_64;Tehuizen_65;Kinderdagopvang_66;DagopvangGehandicapten_67;VoorzieningenGehandicapten_68;TotaalVolksgezondheidEnMilieu_69;Ambulancevervoer_70;Verpleeginrichtingen_71;OpenbareGezondheidszorg_72;CentraJeugdGezinJeugdgezondh_73;CentraVoorJeugdEnGezinOndWMO_74;AfvalverwijderingEnVerwerking_75;RioleringGecombineerd_76;Milieubeheer_77;Lijkbezorging_78;BatenReinigingsrechtenEnAfvalstofheff_79;BatenRioolheffingGecombineerd_80;BatenRioolheffingHuishoudelijkBedrijf_81;BatenRioolheffingGrondEnHemelwater_82;HuishoudelijkBedrijfsafvalwater_83;Hemelwater_84;Grondwater_85;BatenBegraafplaatsrechten_86;TotaalRuimtelijkeOrdEnVolkshuisv_87;RuimtelijkeOrdening_88;WoningexploitatieWoningbouw_89;StadsEnDorpsvernieuwing_90;OverigeVolkshuisvesting_91;Bouwvergunningen_92;Bouwgrondexploitatie_93;TotaalFinancieringEnAlgDekkingsmid_94;TotaalGemeentelijkeFunctiesVoorBest_95;TotaalFinancEnAlgDekkingNaBest_96;GeldleningenEnUitzettingen1Jaar_97;OverigeFinancieleMiddelen_98;GeldleningenEnUitzettingen1Jaar_99;AlgemeneUitkeringGemeentefonds_100;AlgemeneBatenEnLasten_101;UitvoeringWetWOZ_102;BatenOnroerendeZaakbelastingGebr_103;BatenOnroerendeZaakbelastingEigenaren_104;BatenRoerWoonEnBedrijfsrBelast_105;BatenBaatbelasting_106;BatenForensenbelasting_107;BatenToeristenbelasting_108;BatenHondenbelasting_109;BatenReclamebelasting_110;BatenPrecariobelasting_111;LastenHeffingEnInvorderGemBelast_112;LastenverlichtingRijk_113;SaldoVanKostenplaatsen_114;SaldoVdRekBatEnLastVoorBest_115;MutatiesReservesIvmHFunctie09_116;SaldoVdRekBatEnLastNaBest_117
0;Baten;2004;7570;1386;24;1362;0;0;0;0;340;339;1;1733;494;379;851;0;0;8;0;0;0;0;231;175;;36;15;4;0;170;2;0;0;0;6;0;0;0;129;0;0;0;15;19;135;10;27;0;0;6;17;0;75;0;2340;57;2053;0;0;0;222;0;;6;0;1;0;0;903;44;0;364;0;0;352;3;139;1;0;0;;;;;;;271;15;70;1;44;0;143;52;7561;61;4;10;0;15.0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1
1;Baten;2005;8762;293;18;254;0;0;21;0;375;374;1;1390;215;179;962;0;0;33;0;1;0;0;258;215;;21;13;8;0;162;2;0;2;0;5;0;0;0;129;0;0;0;7;17;159;11;25;0;0;0;32;0;89;1;2984;0;2544;0;85;7;228;63;;0;0;0;0;57;2427;134;0;1697;55;3;379;3;157;0;0;0;;;;;;;372;153;26;12;27;0;154;236;8656;342;5;29;18;16.0;15;0;0;0;0;0;0;0;0;0;0;11;0;6;135;146;95
2;Baten;2006;7311;84;16;46;0;0;22;0;313;310;3;1361;134;119;1058;0;0;44;2;1;0;4;295;250;;25;14;6;0;162;1;0;2;0;7;0;0;0;95;25;1;0;9;23;163;11;23;0;0;0;34;0;91;3;3265;294;2469;9;129;10;266;3;;1;0;0;0;85;1102;116;0;343;127;2;325;3;154;0;32;0;;;;;;;392;63;45;7;14;0;262;100;7238;174;1;26;7;9.0;34;0;0;0;0;0;0;0;0;0;1;12;0;10;0;74;0
3;Baten;2007;7860;70;19;31;0;0;19;0;434;431;3;1422;198;119;1050;0;0;46;2;1;0;7;422;376;;28;14;3;0;107;3;0;0;0;7;0;0;0;50;25;0;0;10;11;186;12;22;0;0;3;34;0;109;5;3407;404;2424;41;86;26;189;100;4.0;1;0;5;0;125;1258;176;3;361;119;133;242;4;192;0;28;0;;;;;;;346;71;25;9;29;0;212;148;7799;209;8;32;13;9.0;61;0;0;0;0;0;0;0;0;0;1;18;0;6;0;61;0
4;Baten;2008;7508;87;29;47;0;0;12;0;489;365;124;1415;187;115;1060;0;0;45;2;2;0;4;278;261;0.0;14;3;0;0;71;3;0;0;0;5;0;0;0;46;0;0;0;13;4;147;13;24;0;1;1;35;0;68;6;3304;356;2394;10;117;28;197;6;101.0;4;0;1;0;90;1179;162;0;301;131;119;175;0;267;0;25;0;0.0;0.0;0.0;0.0;0.0;0.0;294;138;23;6;20;0;107;170;7436;242;14;36;15;7.0;93;1;0;0;0;0;0;0;0;0;0;3;0;0;0;72;0
5;Lasten;2004;7570;1396;25;1371;0;0;0;0;337;336;1;1738;497;378;855;0;0;8;0;0;0;0;235;177;;38;15;5;0;171;2;0;0;0;6;0;0;0;128;0;0;0;16;20;137;11;25;0;0;6;18;0;76;0;2341;56;2051;0;0;0;226;0;;6;0;1;0;0;910;49;0;368;0;0;348;3;142;1;0;0;;;;;;;279;25;66;1;44;0;143;17;7561;26;4;1;0;1.0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;6;15;0
6;Lasten;2005;8762;289;17;250;0;0;22;1;378;376;1;1430;252;185;959;0;0;33;0;1;0;0;257;213;;23;14;7;0;159;2;0;2;0;4;0;0;0;119;8;1;0;7;17;161;12;25;0;0;3;31;0;88;2;3004;0;2562;0;84;7;289;3;;0;0;0;0;57;2562;130;0;1835;65;4;367;3;158;0;0;0;;;;;;;383;172;32;11;27;0;142;33;8656;139;1;5;2;;4;0;0;0;0;0;0;0;0;0;0;12;0;9;0;106;0
7;Lasten;2006;7311;79;15;42;0;0;23;0;329;324;4;1377;154;123;1059;0;0;36;1;1;0;4;284;250;;14;14;6;0;162;1;0;2;0;6;0;0;0;85;34;1;0;9;23;151;12;23;0;0;1;33;0;78;3;3266;289;2470;9;126;12;265;3;;1;0;0;0;92;1078;114;0;315;144;4;346;3;152;0;0;0;;;;;;;401;70;39;6;18;0;269;110;7238;183;1;11;4;0.0;17;0;0;0;0;0;0;0;0;0;0;12;0;18;46;83;36
8;Lasten;2007;7860;79;23;37;0;0;19;0;434;419;15;1445;230;105;1064;0;0;38;1;1;0;7;401;370;;14;15;3;0;105;3;0;0;0;7;0;0;0;47;27;0;0;10;11;168;12;22;0;0;0;34;0;95;5;3373;406;2413;34;84;33;204;85;4.0;1;0;4;0;105;1215;167;0;330;138;106;286;3;186;0;0;0;;;;;;;339;75;44;9;25;0;185;240;7799;301;1;12;5;0.0;33;0;0;0;0;0;0;0;0;0;0;18;0;30;140;102;99
9;Lasten;2008;7508;95;27;52;0;0;16;0;480;360;119;1448;236;121;1041;0;0;45;1;2;0;4;299;265;0.0;17;14;3;0;73;3;0;0;0;5;0;0;0;43;1;0;0;17;4;133;13;24;0;1;1;35;0;55;5;3279;366;2364;11;116;35;217;7;85.0;4;0;1;0;72;1171;161;0;276;149;121;186;0;277;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;297;127;23;7;23;0;118;162;7436;234;10;15;10;0.0;67;3;0;0;0;0;0;0;0;0;0;1;0;19;37;75;34
