ID;Persoonskenmerken;Perioden;EenKeerPerWeekOfVaker_1;TweeKeerPerMaand_2;EenKeerPerMaand_3;MinderDanEenKeerPerMaand_4;ZeldenOfNooit_5;AantalAvondenPerWeekThuis1529Jr_6;EenKeerPerWeekOfVaker_7;EenKeerPerTweeWeken_8;MinderDanEenKeerPerTweeWeken_9;Nooit_10;EenKeerPerWeekOfVaker_11;TweeKeerPerMaand_12;EenKeerPerMaand_13;MinderDanEenKeerPerMaand_14;ZeldenOfNooit_15;Ja_16;Soms_17;Nee_18;Ja_19;Soms_20;Nee_21;Ja_22;Soms_23;Nee_24;Ja_25;Soms_26;Nee_27;Ja_28;Soms_29;Nee_30;Ja_31;Soms_32;Nee_33;HeeftGenoegVriendenInnen1217Jaar_34;WordtWelEensGepestOpSchoolStraat_35;WordtVaakGepest_36;ValtWelMee_37;VoeltZichVaakAlleen1217Jaar_38;BuitengewoonTevreden_39;ZeerTevreden_40;Tevreden_41;TamelijkTevreden_42;NietZoTevreden_43;ErgGelukkig_44;Gelukkig_45;NietGelukkigNietOngelukkig_46;NietZoGelukkig_47;Ongelukkig_48;BuitengewoonTevreden_49;ZeerTevreden_50;Tevreden_51;TamelijkTevreden_52;NietZoTevreden_53;TevredenheidMetPartner_54;TevredenheidMetGezin_55;TevredenheidMetFinancien_56;TevredenheidMetOpleiding_57;TevredenheidMetSamenleving_58;TotaalParticipantenVrijwilligerswerk_59;GeorganiseerdVrijwilligerswerk_60;Jeugdwerk_61;School_62;VerzorgingVerpleging_63;Sportvereniging_64;Hobbyvereniging_65;CultureleVereniging_66;LevensbeschouwelijkeOrganisatie_67;Arbeidsorganisatie_68;PolitiekeOrganisatie_69;AndereOrganisaties_70;InformeleHulp_71;Altijd_72;Meestal_73;Soms_74;Zelden_75;Nooit_76;Meer_77;Evenveel_78;Minder_79;Niet_80;NietVanToepassing_81;Meer_82;Evenveel_83;Minder_84;Niet_85;NietVanToepassing_86;Meer_87;Evenveel_88;Minder_89;Niet_90;NietVanToepassing_91;GeenKerkelijkeGezindte_92;RoomsKatholiek_93;ProtestantseKerkInNederland_94;NederlandsHervormd_95;Gereformeerd_96;OverigeKerkelijkeGezindte_97;EenKeerPerWeekOfVaker_98;TweeTotDrieKeerPerMaand_99;EenKeerPerMaand_100;MinderDanEenKeerPerMaand_101;ZeldenOfNooit_102
0;Totaal persoonskenmerken;1997;82.0;9.0;5.0;3.0;2.0;4.0;67.0;11.0;14.0;8.0;77.0;11.0;6.0;3.0;3.0;92.0;6.0;2.0;3.0;9.0;89.0;94.0;4.0;2.0;87.0;10.0;3.0;71.0;5.0;24.0;20.0;17.0;64.0;;;;;;12.0;35.0;44.0;7.0;2.0;21.0;68.0;9.0;2.0;0.0;8.0;32.0;47.0;9.0;4.0;;;;;;60.0;46.0;4.0;9.0;8.0;12.0;5.0;5.0;9.0;4.0;1.0;8.0;31.0;;;;;;;;;;;;;;;;;;;;;39.0;32.0;;14.0;7.0;8.0;14.0;5.0;5.0;11.0;66.0
1;Totaal persoonskenmerken;1998;82.0;9.0;5.0;2.0;2.0;;67.0;10.0;16.0;8.0;78.0;11.0;7.0;2.0;2.0;92.0;6.0;2.0;3.0;8.0;89.0;94.0;4.0;2.0;88.0;9.0;3.0;69.0;6.0;26.0;20.0;16.0;65.0;;;;;;11.0;36.0;44.0;7.0;2.0;21.0;68.0;8.0;2.0;1.0;10.0;33.0;45.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;59.0;44.0;4.0;9.0;6.0;14.0;6.0;5.0;9.0;3.0;1.0;8.0;31.0;;;;;;;;;;;;;;;;;;;;;41.0;31.0;;14.0;7.0;8.0;13.0;5.0;5.0;10.0;67.0
2;Totaal persoonskenmerken;1999;83.0;9.0;5.0;2.0;2.0;;66.0;11.0;15.0;7.0;78.0;10.0;6.0;2.0;2.0;92.0;6.0;2.0;3.0;9.0;89.0;94.0;4.0;2.0;87.0;10.0;3.0;71.0;5.0;24.0;19.0;17.0;64.0;;;;;;12.0;37.0;42.0;7.0;2.0;21.0;68.0;9.0;2.0;0.0;9.0;33.0;47.0;9.0;3.0;9.0;8.0;8.0;7.0;7.0;60.0;45.0;4.0;9.0;7.0;14.0;5.0;5.0;8.0;4.0;2.0;7.0;32.0;61.0;32.0;5.0;1.0;2.0;15.0;45.0;3.0;37.0;;17.0;49.0;12.0;21.0;;9.0;59.0;23.0;9.0;;41.0;31.0;;13.0;7.0;8.0;13.0;5.0;5.0;10.0;67.0
3;Totaal persoonskenmerken;2000;83.0;8.0;5.0;2.0;2.0;;66.0;11.0;14.0;8.0;79.0;11.0;6.0;2.0;2.0;94.0;5.0;1.0;3.0;10.0;88.0;94.0;4.0;2.0;89.0;9.0;2.0;71.0;6.0;23.0;18.0;19.0;63.0;;;;;;12.0;37.0;42.0;7.0;2.0;21.0;68.0;8.0;2.0;0.0;9.0;33.0;46.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;60.0;45.0;4.0;9.0;7.0;14.0;5.0;5.0;9.0;4.0;1.0;7.0;35.0;60.0;33.0;5.0;1.0;1.0;15.0;48.0;4.0;33.0;;29.0;46.0;7.0;18.0;;9.0;62.0;21.0;7.0;;41.0;31.0;;13.0;7.0;8.0;12.0;5.0;5.0;10.0;68.0
4;Totaal persoonskenmerken;2001;84.0;8.0;4.0;2.0;2.0;4.0;67.0;10.0;15.0;7.0;79.0;10.0;6.0;2.0;2.0;92.0;6.0;1.0;3.0;8.0;89.0;94.0;4.0;2.0;88.0;9.0;2.0;71.0;7.0;22.0;18.0;19.0;64.0;95.0;18.0;2.0;16.0;4.0;12.0;37.0;42.0;6.0;2.0;21.0;69.0;8.0;2.0;0.0;8.0;34.0;47.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;59.0;43.0;5.0;9.0;8.0;13.0;5.0;5.0;9.0;3.0;1.0;6.0;33.0;60.0;33.0;5.0;1.0;1.0;16.0;47.0;4.0;33.0;;14.0;52.0;13.0;20.0;;10.0;62.0;21.0;7.0;;41.0;30.0;;14.0;7.0;9.0;12.0;5.0;5.0;10.0;68.0
5;Totaal persoonskenmerken;2002;85.0;7.0;4.0;2.0;2.0;;69.0;11.0;13.0;7.0;79.0;10.0;6.0;2.0;2.0;93.0;5.0;1.0;3.0;8.0;89.0;94.0;4.0;2.0;88.0;9.0;3.0;71.0;6.0;23.0;18.0;18.0;64.0;;;;;;12.0;37.0;42.0;7.0;2.0;21.0;67.0;9.0;3.0;0.0;8.0;35.0;45.0;9.0;4.0;9.0;8.0;8.0;7.0;6.0;60.0;42.0;5.0;8.0;8.0;12.0;4.0;5.0;9.0;3.0;1.0;7.0;35.0;62.0;32.0;4.0;1.0;1.0;13.0;44.0;4.0;12.0;27.0;13.0;48.0;12.0;4.0;22.0;9.0;64.0;19.0;4.0;3.0;41.0;31.0;;13.0;7.0;9.0;12.0;5.0;5.0;10.0;69.0
6;Totaal persoonskenmerken;2003;85.0;8.0;4.0;2.0;1.0;4.0;70.0;10.0;13.0;7.0;79.0;10.0;6.0;2.0;2.0;92.0;6.0;2.0;3.0;9.0;88.0;94.0;4.0;2.0;87.0;10.0;3.0;72.0;6.0;23.0;17.0;21.0;62.0;95.0;16.0;2.0;14.0;6.0;12.0;37.0;42.0;7.0;2.0;21.0;67.0;8.0;3.0;1.0;8.0;34.0;46.0;9.0;4.0;9.0;8.0;7.0;7.0;6.0;60.0;42.0;4.0;8.0;7.0;14.0;5.0;5.0;8.0;2.0;1.0;7.0;34.0;61.0;32.0;6.0;1.0;1.0;13.0;43.0;3.0;11.0;31.0;14.0;45.0;13.0;5.0;23.0;10.0;63.0;20.0;5.0;3.0;42.0;30.0;;13.0;6.0;9.0;12.0;5.0;4.0;9.0;71.0
7;Totaal persoonskenmerken;2004;85.0;7.0;4.0;2.0;2.0;;71.0;10.0;13.0;7.0;80.0;10.0;5.0;2.0;2.0;93.0;5.0;2.0;3.0;8.0;89.0;94.0;4.0;2.0;88.0;10.0;3.0;72.0;6.0;22.0;18.0;18.0;63.0;;;;;;12.0;37.0;43.0;6.0;2.0;20.0;68.0;9.0;3.0;1.0;7.0;33.0;47.0;8.0;4.0;9.0;8.0;7.0;7.0;6.0;60.0;43.0;4.0;9.0;8.0;13.0;4.0;5.0;8.0;2.0;1.0;7.0;35.0;62.0;32.0;5.0;1.0;1.0;13.0;41.0;4.0;9.0;33.0;15.0;45.0;12.0;4.0;25.0;10.0;67.0;17.0;4.0;3.0;42.0;30.0;3.0;11.0;6.0;9.0;11.0;4.0;4.0;9.0;72.0
8;Totaal persoonskenmerken;2005;86.0;7.0;4.0;2.0;1.0;;71.0;11.0;13.0;6.0;80.0;9.0;6.0;2.0;3.0;93.0;6.0;2.0;2.0;8.0;89.0;94.0;4.0;2.0;88.0;9.0;3.0;73.0;6.0;22.0;16.0;20.0;63.0;;;;;;11.0;38.0;43.0;6.0;2.0;20.0;67.0;9.0;3.0;1.0;8.0;32.0;48.0;9.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.0;29.0;5.0;10.0;5.0;10.0;12.0;4.0;4.0;9.0;71.0
9;Totaal persoonskenmerken;2006;87.0;7.0;3.0;2.0;1.0;;69.0;9.0;16.0;6.0;81.0;9.0;5.0;2.0;2.0;93.0;5.0;2.0;3.0;7.0;90.0;95.0;4.0;2.0;89.0;9.0;2.0;72.0;5.0;23.0;18.0;20.0;63.0;;;;;;9.0;40.0;45.0;5.0;2.0;20.0;69.0;8.0;2.0;0.0;8.0;33.0;46.0;9.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.0;30.0;5.0;9.0;4.0;10.0;11.0;4.0;4.0;9.0;72.0
