ID;Gebieden;AantalWoningen_1;AantalBewoners_2;AantalWoningen_3;AantalBewoners_4;AantalWoningen_5;AantalBewoners_6;AantalWoningen_7;AantalVertrekken_8;AantalBewoners_9;AantalWoningen_10;AantalBewoners_11;AantalWoningen_12;AantalBewoners_13;AantalWoningen_14;AantalBewoners_15;AantalWoningen_16;AantalVertrekken_17;AantalBewoners_18;AantalWoningen_19;AantalBewoners_20;AantalWoningen_21;AantalBewoners_22;AantalWoningen_23;AantalBewoners_24;AantalWoningen_25;AantalBewoners_26;Pagina_27
0;Nederland;307937;1172014;1421;5662;306516;1166352;334355;668710;1497353;251;1158;28907;118593;305197;1377602;65;311;3176;14873;46165;212432;141977;704405;191383;574149;932021;WS 52
1;Groningen (prv.);34857;139250;407;1549;34450;137701;15650;31300;72574;65;335;1445;6712;14140;65527;16;79;150;754;851;4246;5262;26356;6279;18837;31435;WS 46
2;Friesland;48237;189013;384;1567;47853;187446;15977;31954;72752;34;187;1490;6672;14453;65893;10;46;112;487;874;4329;5702;28201;6698;20094;33063;WS 40
3;Drenthe;18853;87017;272;1228;18581;85789;5846;11692;30650;13;55;393;2048;5440;28547;3;22;37;184;234;1174;1707;9610;1981;5943;10990;WS 50
4;Overijssel;20547;84312;93;412;20454;83900;22735;45470;108936;16;66;2121;9084;20598;99786;7;28;386;1941;2331;11473;8325;44252;11049;33147;57694;WS 42
5;Gelderland;26969;109718;56;224;26913;109499;37593;75186;178705;7;36;3345;14811;34241;163858;1;2;355;1762;4370;21329;15799;82481;20525;61575;105574;WS 12
6;Utrecht (prv.);10522;37997;8;15;10514;37982;18800;37600;80018;10;32;1562;6092;17228;73894;1;5;175;832;1821;8205;7835;39078;9832;29496;48420;WS 28
7;Noordholland;46340;154447;108;392;46232;154055;67752;135504;286104;37;145;6638;23863;61077;262096;8;28;684;3129;17148;74801;29493;137772;47333;141999;215730;WS 24
8;Zuidholland;61114;221003;73;219;61041;220784;84175;168350;375923;54;229;8602;34747;75519;340947;13;71;919;4096;13856;63581;28790;141896;43578;130734;209644;WS 16
9;Zeeland;16240;62123;1;2;16239;62121;15723;31446;72932;1;7;1048;5162;14674;67763;1;3;74;346;1246;6151;5462;27847;6783;20349;34347;WS 26
10;Noordbrabant;19945;75086;16;51;19929;75035;38249;76498;170041;12;57;1742;7279;36495;162705;3;17;204;951;2456;12219;22741;115011;25404;76212;128198;WS  6
