ID;Perioden;TotaalOprichtingen_1;Nijverheid_2;Handel_3;Dienstverlening_4;TotaalWerkzamePersonen_5;Nijverheid_6;Handel_7;Dienstverlening_8
0;1995 1e kwartaal;8.9;1.8;2.9;4.2;14.8;3.4;4.8;6.6
1;1995 2e kwartaal;8.5;1.8;3.0;3.7;14.1;3.0;5.0;6.1
2;1995 3e kwartaal;7.0;1.4;2.3;3.3;12.2;3.3;4.0;4.8
3;1995 4e kwartaal;8.2;1.5;2.8;3.9;13.5;2.8;4.3;6.4
4;1995;32.5;6.5;10.9;15.1;54.6;12.5;18.2;23.9
5;1996 1e kwartaal;9.4;1.9;3.0;4.5;16.6;3.7;5.4;7.5
6;1996 2e kwartaal;9.0;2.2;2.7;4.1;15.2;4.0;4.5;6.7
7;1996 3e kwartaal;7.3;1.5;2.2;3.5;12.5;2.7;3.8;6.0
8;1996 4e kwartaal;8.0;1.7;2.5;3.8;14.6;3.4;4.2;7.0
9;1996;33.6;7.3;10.3;16.0;58.9;13.8;17.9;27.2
10;1997 1e kwartaal;7.7;1.6;2.1;4.0;13.4;2.9;3.8;6.7
11;1997 2e kwartaal;8.7;2.1;2.6;4.0;14.7;3.0;4.3;7.5
12;1997 3e kwartaal;6.6;1.5;1.8;3.3;11.6;2.4;3.4;5.7
13;1997 4e kwartaal;7.7;1.6;2.3;3.8;13.7;3.0;4.0;6.7
14;1997;30.6;6.8;8.9;15.0;53.3;11.3;15.4;26.6
15;1998 1e kwartaal;8.8;1.9;2.6;4.4;14.6;3.4;4.4;6.8
16;1998 2e kwartaal;8.2;1.9;2.3;4.0;12.3;2.6;3.3;6.4
17;1998 3e kwartaal;5.9;1.4;1.5;3.1;10.0;2.1;2.2;5.6
18;1998 4e kwartaal;6.8;1.6;1.9;3.4;10.1;2.3;2.9;5.0
19;1998;29.8;6.8;8.2;14.9;47.1;10.4;12.8;23.8
20;1999 1e kwartaal;8.1;1.8;1.9;4.4;15.2;3.6;3.2;8.4
21;1999 2e kwartaal;8.5;2.0;2.1;4.4;14.1;3.1;4.0;7.1
22;1999 3e kwartaal;6.4;1.6;1.6;3.2;11.7;2.5;2.8;6.4
23;1999 4e kwartaal;7.6;1.7;1.7;4.1;13.1;3.1;3.2;6.8
24;1999;30.5;7.2;7.3;16.1;54.1;12.2;13.1;28.8
25;2000 1e kwartaal;10.2;2.6;2.0;5.6;17.7;4.0;3.4;10.3
26;2000 2e kwartaal;8.7;2.6;1.8;4.3;15.5;4.4;3.3;7.8
27;2000 3e kwartaal;8.1;2.0;1.7;4.3;12.9;3.2;2.6;7.2
28;2000 4e kwartaal;9.1;2.4;1.8;4.9;15.0;3.8;3.0;8.3
29;2000;36.0;9.7;7.3;19.0;61.1;15.3;12.2;33.6
30;2001 1e kwartaal;10.8;3.0;2.3;5.6;16.9;4.2;3.6;9.1
31;2001 2e kwartaal;8.9;2.7;1.8;4.3;13.0;3.5;2.9;6.6
32;2001 3e kwartaal;7.9;2.2;1.7;4.0;11.5;2.9;2.6;5.9
33;2001 4e kwartaal;7.4;1.8;1.7;3.9;10.8;2.4;2.6;5.8
34;2001;35.0;9.8;7.5;17.8;52.3;13.1;11.8;27.5
35;2002 1e kwartaal;8.8;2.1;2.2;4.5;14.8;3.5;3.8;7.5
36;2002 2e kwartaal;8.3;2.1;1.9;4.2;12.6;3.1;3.0;6.5
37;2002 3e kwartaal;7.8;1.9;1.9;4.0;12.6;2.8;3.2;6.6
38;2002 4e kwartaal;7.9;1.8;2.1;3.9;11.6;2.6;3.1;5.8
39;2002;32.8;8.0;8.1;16.6;51.5;12.0;13.0;26.5
40;2003 1e kwartaal;8.5;1.8;2.2;4.5;12.4;2.5;3.3;6.7
41;2003 2e kwartaal;8.0;1.9;2.2;3.9;11.8;2.7;3.1;5.9
42;2003 3e kwartaal;7.0;1.5;1.8;3.8;10.9;2.1;2.7;6.1
43;2003 4e kwartaal;7.5;1.6;2.0;3.8;10.8;2.4;2.9;5.5
44;2003;31.0;6.8;8.2;15.9;45.9;9.7;12.0;24.2
45;2004 1e kwartaal;9.0;1.9;2.5;4.7;13.9;2.6;3.9;7.4
46;2004 2e kwartaal;8.3;2.0;2.3;4.0;12.4;2.9;3.4;6.1
47;2004 3e kwartaal;7.4;1.8;1.9;3.8;10.7;2.3;2.9;5.5
48;2004 4e kwartaal;8.6;1.9;2.3;4.4;12.2;2.6;3.4;6.2
49;2004;33.4;7.5;9.1;16.9;49.2;10.4;13.6;25.2
50;2005 1e kwartaal;11.7;2.8;3.1;5.8;16.6;3.6;4.6;8.4
51;2005 2e kwartaal;10.3;2.8;2.6;4.9;14.4;3.5;3.8;7.0
