ID;LeeftijdVoertuig;BrandstofsoortVoertuig;Perioden;KilometersNederlandsePersonenautoS_1;GemiddeldJaarkilometrage_2;NederlandsePersonenautoSInGebruik_3
0;Totaal;Totaal;2018;120338.8;13198;9117964
1;Totaal;Totaal;2019;121231.5;13060;9282552
2;Totaal;Totaal;2020;99650.6;10660;9348088
3;Totaal;Totaal;2021;105424.8;11115;9484581
4;Totaal;Totaal;2022;114616.7;12024;9532220
5;Totaal;Totaal;2023;119551.6;12353;9677567
6;Totaal;Benzine/overige;2018;84311.5;11170;7548173
7;Totaal;Benzine/overige;2019;87812.1;11264;7795575
8;Totaal;Benzine/overige;2020;75925.3;9504;7988971
9;Totaal;Benzine/overige;2021;83633.0;10138;8249714
10;Totaal;Benzine/overige;2022;93749.4;11141;8414993
11;Totaal;Benzine/overige;2023;101612.0;11707;8679774
12;Totaal;Diesel;2018;33958.0;23635;1436783
13;Totaal;Diesel;2019;31583.5;23129;1365564
14;Totaal;Diesel;2020;22354.2;17931;1246646
15;Totaal;Diesel;2021;20438.2;18117;1128107
16;Totaal;Diesel;2022;19481.7;19205;1014417
17;Totaal;Diesel;2023;16572.0;18474;897054
18;Totaal;LPG;2018;2069.2;15557;133007
19;Totaal;LPG;2019;1836.0;15122;121413
20;Totaal;LPG;2020;1371.0;12190;112472
21;Totaal;LPG;2021;1353.6;12679;106761
22;Totaal;LPG;2022;1385.6;13477;102811
23;Totaal;LPG;2023;1367.6;13575;100740
24;0 jaar;Totaal;2018;5450.2;12296;443263
25;0 jaar;Totaal;2019;5307.8;11884;446631
26;0 jaar;Totaal;2020;2821.4;8013;352115
27;0 jaar;Totaal;2021;3116.3;9548;326377
28;0 jaar;Totaal;2022;3173.9;10099;314267
29;0 jaar;Totaal;2023;4304.2;11664;369020
30;0 jaar;Benzine/overige;2018;4063.3;10565;384587
31;0 jaar;Benzine/overige;2019;4535.1;10979;413080
32;0 jaar;Benzine/overige;2020;2571.3;7638;336663
33;0 jaar;Benzine/overige;2021;2980.3;9407;316817
34;0 jaar;Benzine/overige;2022;3071.8;10003;307094
35;0 jaar;Benzine/overige;2023;4220.6;11643;362508
36;0 jaar;Diesel;2018;1371.5;23792;57644
37;0 jaar;Diesel;2019;763.5;23118;33025
38;0 jaar;Diesel;2020;236.7;17597;13450
39;0 jaar;Diesel;2021;115.4;15756;7327
40;0 jaar;Diesel;2022;79.9;16362;4881
41;0 jaar;Diesel;2023;59.0;14218;4148
42;0 jaar;LPG;2018;15.4;14954;1031
43;0 jaar;LPG;2019;9.2;17537;526
44;0 jaar;LPG;2020;13.4;6695;2002
45;0 jaar;LPG;2021;20.5;9190;2233
46;0 jaar;LPG;2022;22.3;9713;2292
47;0 jaar;LPG;2023;24.6;10387;2364
48;1 jaar;Totaal;2018;8889.4;19774;449563
49;1 jaar;Totaal;2019;9747.3;20020;486880
50;1 jaar;Totaal;2020;7745.8;15755;491641
51;1 jaar;Totaal;2021;6554.9;16274;402783
52;1 jaar;Totaal;2022;6971.5;18465;377560
53;1 jaar;Totaal;2023;6893.0;19101;360864
54;1 jaar;Benzine/overige;2018;5978.1;16271;367408
55;1 jaar;Benzine/overige;2019;7376.3;17390;424165
56;1 jaar;Benzine/overige;2020;6698.6;14711;455360
57;1 jaar;Benzine/overige;2021;6091.5;15831;384788
58;1 jaar;Benzine/overige;2022;6695.2;18306;365740
59;1 jaar;Benzine/overige;2023;6679.5;18957;352347
60;1 jaar;Diesel;2018;2879.5;35627;80823
61;1 jaar;Diesel;2019;2344.2;38031;61640
62;1 jaar;Diesel;2020;1035.5;28990;35719
63;1 jaar;Diesel;2021;426.3;26739;15944
64;1 jaar;Diesel;2022;228.9;24136;9482
65;1 jaar;Diesel;2023;163.9;26650;6149
66;1 jaar;LPG;2018;31.8;23888;1332
67;1 jaar;LPG;2019;26.8;24926;1075
68;1 jaar;LPG;2020;11.6;20723;562
69;1 jaar;LPG;2021;37.1;18073;2051
70;1 jaar;LPG;2022;47.4;20290;2338
71;1 jaar;LPG;2023;49.6;20960;2368
72;2 jaar;Totaal;2018;8093.0;18909;428006
73;2 jaar;Totaal;2019;8914.4;19091;466949
74;2 jaar;Totaal;2020;7626.6;15074;505955
75;2 jaar;Totaal;2021;8561.0;16396;522128
