ID;Vervoerstromen;Goederensoort;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometer_2;VervoerdeContainers_3
46;Totaal;03 Metaalertsen en andere delfstoffen...;2008;113284.0;14419.0;
47;Totaal;03 Metaalertsen en andere delfstoffen...;2009;87693.0;10528.0;
48;Totaal;03 Metaalertsen en andere delfstoffen...;2010;113011.0;13985.0;
49;Totaal;03 Metaalertsen en andere delfstoffen...;2011;113577.0;14123.0;
50;Totaal;03 Metaalertsen en andere delfstoffen...;2012;104458.0;13012.0;
51;Totaal;03 Metaalertsen en andere delfstoffen...;2013;101799.0;12766.0;
52;Totaal;03 Metaalertsen en andere delfstoffen...;2014;104622.0;12717.0;
53;Totaal;03 Metaalertsen en andere delfstoffen...;2015;104578.0;12870.0;
54;Totaal;03 Metaalertsen en andere delfstoffen...;2016;104104.0;12789.0;
55;Totaal;03 Metaalertsen en andere delfstoffen...;2017;105077.0;12875.0;
56;Totaal;03 Metaalertsen en andere delfstoffen...;2018;105422.0;12424.0;
57;Totaal;03 Metaalertsen en andere delfstoffen...;2019;91453.0;11435.0;
58;Totaal;03 Metaalertsen en andere delfstoffen...;2020;90681.0;11302.0;
59;Totaal;03 Metaalertsen en andere delfstoffen...;2021;90360.0;11230.0;
60;Totaal;04 Voedings- en genotmiddelen;2007;16845.0;2269.0;
61;Totaal;04 Voedings- en genotmiddelen;2008;17753.0;2387.0;
62;Totaal;04 Voedings- en genotmiddelen;2009;14854.0;1934.0;
63;Totaal;04 Voedings- en genotmiddelen;2010;15274.0;1909.0;
64;Totaal;04 Voedings- en genotmiddelen;2011;14330.0;1844.0;
65;Totaal;04 Voedings- en genotmiddelen;2012;15076.0;1944.0;
66;Totaal;04 Voedings- en genotmiddelen;2013;15790.0;2064.0;
67;Totaal;04 Voedings- en genotmiddelen;2014;15465.0;1943.0;
68;Totaal;04 Voedings- en genotmiddelen;2015;19587.0;2508.0;
69;Totaal;04 Voedings- en genotmiddelen;2016;18509.0;2376.0;
70;Totaal;04 Voedings- en genotmiddelen;2017;18951.0;2423.0;
71;Totaal;04 Voedings- en genotmiddelen;2018;19698.0;2555.0;
72;Totaal;04 Voedings- en genotmiddelen;2019;19178.0;2490.0;
73;Totaal;04 Voedings- en genotmiddelen;2020;20170.0;2660.0;
74;Totaal;04 Voedings- en genotmiddelen;2021;19721.0;2607.0;
75;Totaal;"05 Textiel en textielproducten; leder...";2007;134.0;19.0;
76;Totaal;"05 Textiel en textielproducten; leder...";2008;154.0;22.0;
77;Totaal;"05 Textiel en textielproducten; leder...";2009;69.0;11.0;
78;Totaal;"05 Textiel en textielproducten; leder...";2010;112.0;16.0;
79;Totaal;"05 Textiel en textielproducten; leder...";2011;144.0;21.0;
80;Totaal;"05 Textiel en textielproducten; leder...";2012;151.0;24.0;
81;Totaal;"05 Textiel en textielproducten; leder...";2013;173.0;28.0;
82;Totaal;"05 Textiel en textielproducten; leder...";2014;185.0;29.0;
83;Totaal;"05 Textiel en textielproducten; leder...";2015;125.0;20.0;
84;Totaal;"05 Textiel en textielproducten; leder...";2016;123.0;21.0;
85;Totaal;"05 Textiel en textielproducten; leder...";2017;93.0;14.0;
86;Totaal;"05 Textiel en textielproducten; leder...";2018;165.0;25.0;
87;Totaal;"05 Textiel en textielproducten; leder...";2019;149.0;24.0;
88;Totaal;"05 Textiel en textielproducten; leder...";2020;96.0;15.0;
89;Totaal;"05 Textiel en textielproducten; leder...";2021;285.0;42.0;
90;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2007;4073.0;722.0;
91;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2008;3974.0;680.0;
92;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2009;3346.0;571.0;
93;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2010;4330.0;713.0;
94;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2011;3845.0;645.0;
95;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2012;3620.0;633.0;
96;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2013;3569.0;641.0;
97;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2014;3209.0;601.0;
98;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2015;3150.0;615.0;
99;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2016;3003.0;587.0;
100;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2017;3157.0;589.0;
101;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2018;2805.0;525.0;
102;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2019;2547.0;480.0;
103;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2020;2642.0;481.0;
104;Totaal;06 Hout, hout- en kurkwaren (m.u.v. m...;2021;4386.0;711.0;
105;Totaal;07 Cokes en geraffineerde aardoliepro...;2007;76982.0;8340.0;
106;Totaal;07 Cokes en geraffineerde aardoliepro...;2008;69998.0;8460.0;
107;Totaal;07 Cokes en geraffineerde aardoliepro...;2009;65642.0;7915.0;
108;Totaal;07 Cokes en geraffineerde aardoliepro...;2010;70724.0;9184.0;
109;Totaal;07 Cokes en geraffineerde aardoliepro...;2011;71739.0;9241.0;
110;Totaal;07 Cokes en geraffineerde aardoliepro...;2012;75750.0;9850.0;
111;Totaal;07 Cokes en geraffineerde aardoliepro...;2013;75662.0;9812.0;
112;Totaal;07 Cokes en geraffineerde aardoliepro...;2014;76512.0;9790.0;
113;Totaal;07 Cokes en geraffineerde aardoliepro...;2015;77723.0;9824.0;
114;Totaal;07 Cokes en geraffineerde aardoliepro...;2016;81894.0;10349.0;
115;Totaal;07 Cokes en geraffineerde aardoliepro...;2017;81528.0;10188.0;
116;Totaal;07 Cokes en geraffineerde aardoliepro...;2018;76096.0;9545.0;
117;Totaal;07 Cokes en geraffineerde aardoliepro...;2019;81919.0;10055.0;
118;Totaal;07 Cokes en geraffineerde aardoliepro...;2020;79859.0;9559.0;
119;Totaal;07 Cokes en geraffineerde aardoliepro...;2021;83904.0;9920.0;
120;Totaal;08 Chemische producten en synthetisch...;2007;30812.0;4711.0;
121;Totaal;08 Chemische producten en synthetisch...;2008;28859.0;4456.0;
122;Totaal;08 Chemische producten en synthetisch...;2009;24932.0;3873.0;
123;Totaal;08 Chemische producten en synthetisch...;2010;28511.0;4373.0;
124;Totaal;08 Chemische producten en synthetisch...;2011;28297.0;4348.0;
125;Totaal;08 Chemische producten en synthetisch...;2012;30772.0;4717.0;
126;Totaal;08 Chemische producten en synthetisch...;2013;32093.0;4882.0;
127;Totaal;08 Chemische producten en synthetisch...;2014;33773.0;5110.0;
128;Totaal;08 Chemische producten en synthetisch...;2015;32479.0;4869.0;
129;Totaal;08 Chemische producten en synthetisch...;2016;34023.0;5032.0;
130;Totaal;08 Chemische producten en synthetisch...;2017;34651.0;5098.0;
131;Totaal;08 Chemische producten en synthetisch...;2018;35838.0;5082.0;
132;Totaal;08 Chemische producten en synthetisch...;2019;41359.0;5730.0;
133;Totaal;08 Chemische producten en synthetisch...;2020;40365.0;5661.0;
134;Totaal;08 Chemische producten en synthetisch...;2021;42353.0;5821.0;
135;Totaal;09 Overige niet-metaalhoudende minera...;2007;5159.0;776.0;
136;Totaal;09 Overige niet-metaalhoudende minera...;2008;4835.0;748.0;
137;Totaal;09 Overige niet-metaalhoudende minera...;2009;4091.0;647.0;
138;Totaal;09 Overige niet-metaalhoudende minera...;2010;4971.0;786.0;
139;Totaal;09 Overige niet-metaalhoudende minera...;2011;4549.0;735.0;
140;Totaal;09 Overige niet-metaalhoudende minera...;2012;4216.0;675.0;
141;Totaal;09 Overige niet-metaalhoudende minera...;2013;4292.0;659.0;
142;Totaal;09 Overige niet-metaalhoudende minera...;2014;6067.0;900.0;
143;Totaal;09 Overige niet-metaalhoudende minera...;2015;5427.0;846.0;
144;Totaal;09 Overige niet-metaalhoudende minera...;2016;5015.0;765.0;
145;Totaal;09 Overige niet-metaalhoudende minera...;2017;5020.0;763.0;
146;Totaal;09 Overige niet-metaalhoudende minera...;2018;5151.0;747.0;
147;Totaal;09 Overige niet-metaalhoudende minera...;2019;5173.0;757.0;
148;Totaal;09 Overige niet-metaalhoudende minera...;2020;4989.0;727.0;
149;Totaal;09 Overige niet-metaalhoudende minera...;2021;5070.0;743.0;
150;Totaal;"10 Metalen in primaire vorm; producte...";2007;14180.0;2444.0;
151;Totaal;"10 Metalen in primaire vorm; producte...";2008;12596.0;2202.0;
152;Totaal;"10 Metalen in primaire vorm; producte...";2009;8373.0;1484.0;
153;Totaal;"10 Metalen in primaire vorm; producte...";2010;11227.0;1993.0;
154;Totaal;"10 Metalen in primaire vorm; producte...";2011;12675.0;2162.0;
155;Totaal;"10 Metalen in primaire vorm; producte...";2012;11932.0;2021.0;
156;Totaal;"10 Metalen in primaire vorm; producte...";2013;11640.0;1993.0;
157;Totaal;"10 Metalen in primaire vorm; producte...";2014;11694.0;1998.0;
158;Totaal;"10 Metalen in primaire vorm; producte...";2015;12180.0;2134.0;
159;Totaal;"10 Metalen in primaire vorm; producte...";2016;12082.0;2080.0;
160;Totaal;"10 Metalen in primaire vorm; producte...";2017;13525.0;2306.0;
161;Totaal;"10 Metalen in primaire vorm; producte...";2018;12691.0;2183.0;
162;Totaal;"10 Metalen in primaire vorm; producte...";2019;13284.0;2209.0;
163;Totaal;"10 Metalen in primaire vorm; producte...";2020;12278.0;1975.0;
164;Totaal;"10 Metalen in primaire vorm; producte...";2021;17186.0;2664.0;
165;Totaal;11 Machines, apparaten en werktuigen,...;2007;474.0;75.0;
166;Totaal;11 Machines, apparaten en werktuigen,...;2008;547.0;82.0;
167;Totaal;11 Machines, apparaten en werktuigen,...;2009;388.0;57.0;
168;Totaal;11 Machines, apparaten en werktuigen,...;2010;537.0;84.0;
169;Totaal;11 Machines, apparaten en werktuigen,...;2011;501.0;82.0;
170;Totaal;11 Machines, apparaten en werktuigen,...;2012;394.0;58.0;
171;Totaal;11 Machines, apparaten en werktuigen,...;2013;340.0;51.0;
172;Totaal;11 Machines, apparaten en werktuigen,...;2014;426.0;57.0;
173;Totaal;11 Machines, apparaten en werktuigen,...;2015;466.0;60.0;
174;Totaal;11 Machines, apparaten en werktuigen,...;2016;374.0;49.0;
175;Totaal;11 Machines, apparaten en werktuigen,...;2017;519.0;62.0;
176;Totaal;11 Machines, apparaten en werktuigen,...;2018;648.0;78.0;
177;Totaal;11 Machines, apparaten en werktuigen,...;2019;1602.0;230.0;
178;Totaal;11 Machines, apparaten en werktuigen,...;2020;1407.0;211.0;
179;Totaal;11 Machines, apparaten en werktuigen,...;2021;1450.0;227.0;
180;Totaal;12 Transportmiddelen;2007;497.0;89.0;
181;Totaal;12 Transportmiddelen;2008;503.0;90.0;
182;Totaal;12 Transportmiddelen;2009;328.0;60.0;
183;Totaal;12 Transportmiddelen;2010;491.0;83.0;
184;Totaal;12 Transportmiddelen;2011;553.0;90.0;
185;Totaal;12 Transportmiddelen;2012;550.0;91.0;
186;Totaal;12 Transportmiddelen;2013;569.0;96.0;
187;Totaal;12 Transportmiddelen;2014;1167.0;169.0;
188;Totaal;12 Transportmiddelen;2015;1092.0;169.0;
189;Totaal;12 Transportmiddelen;2016;869.0;162.0;
190;Totaal;12 Transportmiddelen;2017;760.0;139.0;
191;Totaal;12 Transportmiddelen;2018;651.0;116.0;
192;Totaal;12 Transportmiddelen;2019;552.0;98.0;
193;Totaal;12 Transportmiddelen;2020;486.0;68.0;
194;Totaal;12 Transportmiddelen;2021;424.0;64.0;
195;Totaal;"13 Meubelen; overige industrieproduct...";2007;8.0;1.0;
196;Totaal;"13 Meubelen; overige industrieproduct...";2008;19.0;2.0;
197;Totaal;"13 Meubelen; overige industrieproduct...";2009;16.0;2.0;
198;Totaal;"13 Meubelen; overige industrieproduct...";2010;53.0;3.0;
199;Totaal;"13 Meubelen; overige industrieproduct...";2011;45.0;4.0;
200;Totaal;"13 Meubelen; overige industrieproduct...";2012;122.0;5.0;
201;Totaal;"13 Meubelen; overige industrieproduct...";2013;54.0;3.0;
202;Totaal;"13 Meubelen; overige industrieproduct...";2014;56.0;8.0;
203;Totaal;"13 Meubelen; overige industrieproduct...";2015;66.0;10.0;
204;Totaal;"13 Meubelen; overige industrieproduct...";2016;40.0;6.0;
205;Totaal;"13 Meubelen; overige industrieproduct...";2017;42.0;6.0;
206;Totaal;"13 Meubelen; overige industrieproduct...";2018;41.0;7.0;
207;Totaal;"13 Meubelen; overige industrieproduct...";2019;18.0;3.0;
208;Totaal;"13 Meubelen; overige industrieproduct...";2020;23.0;2.0;
209;Totaal;"13 Meubelen; overige industrieproduct...";2021;15.0;2.0;
210;Totaal;"14 Secundaire grondstoffen; gemeentel...";2007;5982.0;925.0;
211;Totaal;"14 Secundaire grondstoffen; gemeentel...";2008;5501.0;822.0;
212;Totaal;"14 Secundaire grondstoffen; gemeentel...";2009;5488.0;865.0;
213;Totaal;"14 Secundaire grondstoffen; gemeentel...";2010;8312.0;1203.0;
214;Totaal;"14 Secundaire grondstoffen; gemeentel...";2011;8630.0;1225.0;
215;Totaal;"14 Secundaire grondstoffen; gemeentel...";2012;8310.0;1205.0;
216;Totaal;"14 Secundaire grondstoffen; gemeentel...";2013;8271.0;1239.0;
217;Totaal;"14 Secundaire grondstoffen; gemeentel...";2014;9838.0;1382.0;
218;Totaal;"14 Secundaire grondstoffen; gemeentel...";2015;4897.0;752.0;
219;Totaal;"14 Secundaire grondstoffen; gemeentel...";2016;5450.0;876.0;
220;Totaal;"14 Secundaire grondstoffen; gemeentel...";2017;5232.0;788.0;
221;Totaal;"14 Secundaire grondstoffen; gemeentel...";2018;5530.0;791.0;
222;Totaal;"14 Secundaire grondstoffen; gemeentel...";2019;5189.0;768.0;
223;Totaal;"14 Secundaire grondstoffen; gemeentel...";2020;6184.0;913.0;
224;Totaal;"14 Secundaire grondstoffen; gemeentel...";2021;6282.0;947.0;
225;Totaal;15 Brieven, pakketten;2007;0.0;0.0;
226;Totaal;15 Brieven, pakketten;2008;0.0;0.0;
227;Totaal;15 Brieven, pakketten;2009;0.0;0.0;
228;Totaal;15 Brieven, pakketten;2010;0.0;0.0;
229;Totaal;15 Brieven, pakketten;2011;0.0;0.0;
230;Totaal;15 Brieven, pakketten;2012;0.0;0.0;
231;Totaal;15 Brieven, pakketten;2013;0.0;0.0;
232;Totaal;15 Brieven, pakketten;2014;0.0;0.0;
233;Totaal;15 Brieven, pakketten;2015;0.0;0.0;
234;Totaal;15 Brieven, pakketten;2016;0.0;0.0;
235;Totaal;15 Brieven, pakketten;2017;0.0;0.0;
236;Totaal;15 Brieven, pakketten;2018;0.0;0.0;
237;Totaal;15 Brieven, pakketten;2019;0.0;0.0;
238;Totaal;15 Brieven, pakketten;2020;0.0;0.0;
239;Totaal;15 Brieven, pakketten;2021;0.0;0.0;
240;Totaal;16 Uitrusting en materiaal voor het v...;2007;2865.0;393.0;1444.0
241;Totaal;16 Uitrusting en materiaal voor het v...;2008;3077.0;404.0;1551.0
242;Totaal;16 Uitrusting en materiaal voor het v...;2009;3294.0;417.0;1661.0
243;Totaal;16 Uitrusting en materiaal voor het v...;2010;3494.0;437.0;1749.0
244;Totaal;16 Uitrusting en materiaal voor het v...;2011;3533.0;466.0;1781.0
245;Totaal;16 Uitrusting en materiaal voor het v...;2012;3677.0;497.0;1852.0
246;Totaal;16 Uitrusting en materiaal voor het v...;2013;3721.0;512.0;1877.0
247;Totaal;16 Uitrusting en materiaal voor het v...;2014;4126.0;573.0;2086.0
248;Totaal;16 Uitrusting en materiaal voor het v...;2015;4132.0;575.0;2090.0
249;Totaal;16 Uitrusting en materiaal voor het v...;2016;3822.0;539.0;1938.0
250;Totaal;16 Uitrusting en materiaal voor het v...;2017;3825.0;531.0;1944.0
251;Totaal;16 Uitrusting en materiaal voor het v...;2018;3704.0;492.0;1883.0
252;Totaal;16 Uitrusting en materiaal voor het v...;2019;3375.0;430.0;1715.0
253;Totaal;16 Uitrusting en materiaal voor het v...;2020;3320.0;411.0;1693.0
254;Totaal;16 Uitrusting en materiaal voor het v...;2021;3416.0;415.0;1745.0
255;Totaal;17 Vervoerde goederen in het kader va...;2007;30.0;3.0;
256;Totaal;17 Vervoerde goederen in het kader va...;2008;27.0;2.0;
257;Totaal;17 Vervoerde goederen in het kader va...;2009;34.0;2.0;
258;Totaal;17 Vervoerde goederen in het kader va...;2010;0.0;0.0;
259;Totaal;17 Vervoerde goederen in het kader va...;2011;0.0;0.0;
260;Totaal;17 Vervoerde goederen in het kader va...;2012;0.0;0.0;
261;Totaal;17 Vervoerde goederen in het kader va...;2013;0.0;0.0;
262;Totaal;17 Vervoerde goederen in het kader va...;2014;0.0;0.0;
263;Totaal;17 Vervoerde goederen in het kader va...;2015;0.0;0.0;
264;Totaal;17 Vervoerde goederen in het kader va...;2016;332.0;30.0;
265;Totaal;17 Vervoerde goederen in het kader va...;2017;214.0;19.0;
266;Totaal;17 Vervoerde goederen in het kader va...;2018;150.0;7.0;
267;Totaal;17 Vervoerde goederen in het kader va...;2019;24.0;3.0;
268;Totaal;17 Vervoerde goederen in het kader va...;2020;21.0;2.0;
269;Totaal;17 Vervoerde goederen in het kader va...;2021;54.0;4.0;
270;Totaal;18 Gegroepeerde goederen: diverse soo...;2007;5344.0;654.0;
271;Totaal;18 Gegroepeerde goederen: diverse soo...;2008;5933.0;741.0;
272;Totaal;18 Gegroepeerde goederen: diverse soo...;2009;5797.0;735.0;
273;Totaal;18 Gegroepeerde goederen: diverse soo...;2010;3696.0;401.0;
274;Totaal;18 Gegroepeerde goederen: diverse soo...;2011;6400.0;702.0;
275;Totaal;18 Gegroepeerde goederen: diverse soo...;2012;3068.0;345.0;
276;Totaal;18 Gegroepeerde goederen: diverse soo...;2013;3132.0;385.0;
277;Totaal;18 Gegroepeerde goederen: diverse soo...;2014;3405.0;519.0;
278;Totaal;18 Gegroepeerde goederen: diverse soo...;2015;2955.0;382.0;
279;Totaal;18 Gegroepeerde goederen: diverse soo...;2016;2825.0;375.0;
280;Totaal;18 Gegroepeerde goederen: diverse soo...;2017;2942.0;358.0;
281;Totaal;18 Gegroepeerde goederen: diverse soo...;2018;2976.0;359.0;
282;Totaal;18 Gegroepeerde goederen: diverse soo...;2019;6608.0;885.0;
283;Totaal;18 Gegroepeerde goederen: diverse soo...;2020;4697.0;506.0;
284;Totaal;18 Gegroepeerde goederen: diverse soo...;2021;4285.0;408.0;
285;Totaal;19 Niet identificeerbare goederen: go...;2007;33876.0;4770.0;2432.0
286;Totaal;19 Niet identificeerbare goederen: go...;2008;32453.0;4411.0;2335.0
287;Totaal;19 Niet identificeerbare goederen: go...;2009;26819.0;3491.0;1939.0
288;Totaal;19 Niet identificeerbare goederen: go...;2010;38456.0;5062.0;2572.0
289;Totaal;19 Niet identificeerbare goederen: go...;2011;39981.0;5455.0;2747.0
290;Totaal;19 Niet identificeerbare goederen: go...;2012;41400.0;5768.0;2893.0
291;Totaal;19 Niet identificeerbare goederen: go...;2013;42417.0;6007.0;3037.0
292;Totaal;19 Niet identificeerbare goederen: go...;2014;44542.0;6346.0;3209.0
293;Totaal;19 Niet identificeerbare goederen: go...;2015;43095.0;6195.0;3171.0
294;Totaal;19 Niet identificeerbare goederen: go...;2016;45568.0;6607.0;3329.0
295;Totaal;19 Niet identificeerbare goederen: go...;2017;48772.0;6991.0;3553.0
296;Totaal;19 Niet identificeerbare goederen: go...;2018;46762.0;6500.0;3415.0
297;Totaal;19 Niet identificeerbare goederen: go...;2019;48710.0;6285.0;3569.0
