ID;Sex;Age;Nationality;Periods;UnaccompaniedForeignMinor_1
0;Total male and female;10000;Total;2008;725
1;Total male and female;10000;Total;2009;1040
2;Total male and female;10000;Total;2010;700
3;Total male and female;10000;Total;2011;485
4;Total male and female;10000;Total;2012;380
5;Total male and female;10000;Total;2013;310
6;Total male and female;10000;Total;2014;960
7;Total male and female;10000;Total;2015;3860
8;Total male and female;10000;Total;2016;1705
9;Total male and female;10000;Total;2017;1180
10;Total male and female;10000;Total;2018;1225
11;Total male and female;10000;Total;2019;1045
12;Total male and female;10000;Total;2020;985
13;Total male and female;10000;Total;2021;2190
14;Total male and female;10000;Total;2022;4205
15;Total male and female;10000;Total;2023;5805
16;Total male and female;10000;Afghan;2008;95
17;Total male and female;10000;Afghan;2009;0
18;Total male and female;10000;Afghan;2010;0
19;Total male and female;10000;Afghan;2011;260
20;Total male and female;10000;Afghan;2012;145
21;Total male and female;10000;Afghan;2013;60
22;Total male and female;10000;Afghan;2014;30
23;Total male and female;10000;Afghan;2015;535
24;Total male and female;10000;Afghan;2016;195
25;Total male and female;10000;Afghan;2017;65
26;Total male and female;10000;Afghan;2018;30
27;Total male and female;10000;Afghan;2019;55
28;Total male and female;10000;Afghan;2020;45
29;Total male and female;10000;Afghan;2021;85
30;Total male and female;10000;Afghan;2022;145
31;Total male and female;10000;Afghan;2023;100
32;Total male and female;10000;Albanian;2008;0
33;Total male and female;10000;Albanian;2009;0
34;Total male and female;10000;Albanian;2010;0
35;Total male and female;10000;Albanian;2011;0
36;Total male and female;10000;Albanian;2012;0
37;Total male and female;10000;Albanian;2013;0
38;Total male and female;10000;Albanian;2014;5
39;Total male and female;10000;Albanian;2015;25
40;Total male and female;10000;Albanian;2016;40
41;Total male and female;10000;Albanian;2017;30
42;Total male and female;10000;Albanian;2018;30
43;Total male and female;10000;Albanian;2019;10
44;Total male and female;10000;Albanian;2020;5
45;Total male and female;10000;Albanian;2021;0
46;Total male and female;10000;Albanian;2022;5
47;Total male and female;10000;Albanian;2023;0
48;Total male and female;10000;Algerian;2008;0
49;Total male and female;10000;Algerian;2009;0
50;Total male and female;10000;Algerian;2010;0
51;Total male and female;10000;Algerian;2011;0
52;Total male and female;10000;Algerian;2012;5
53;Total male and female;10000;Algerian;2013;5
54;Total male and female;10000;Algerian;2014;0
55;Total male and female;10000;Algerian;2015;5
56;Total male and female;10000;Algerian;2016;60
57;Total male and female;10000;Algerian;2017;55
58;Total male and female;10000;Algerian;2018;55
59;Total male and female;10000;Algerian;2019;70
60;Total male and female;10000;Algerian;2020;60
61;Total male and female;10000;Algerian;2021;70
62;Total male and female;10000;Algerian;2022;70
63;Total male and female;10000;Algerian;2023;80
64;Total male and female;10000;Chinese;2008;50
65;Total male and female;10000;Chinese;2009;10
66;Total male and female;10000;Chinese;2010;20
67;Total male and female;10000;Chinese;2011;10
68;Total male and female;10000;Chinese;2012;0
69;Total male and female;10000;Chinese;2013;5
70;Total male and female;10000;Chinese;2014;5
71;Total male and female;10000;Chinese;2015;0
72;Total male and female;10000;Chinese;2016;0
73;Total male and female;10000;Chinese;2017;5
74;Total male and female;10000;Chinese;2018;0
75;Total male and female;10000;Chinese;2019;0
76;Total male and female;10000;Chinese;2020;0
77;Total male and female;10000;Chinese;2021;0
78;Total male and female;10000;Chinese;2022;0
79;Total male and female;10000;Chinese;2023;5
80;Total male and female;10000;Eritrean;2008;20
81;Total male and female;10000;Eritrean;2009;40
82;Total male and female;10000;Eritrean;2010;25
83;Total male and female;10000;Eritrean;2011;10
84;Total male and female;10000;Eritrean;2012;10
85;Total male and female;10000;Eritrean;2013;35
86;Total male and female;10000;Eritrean;2014;530
87;Total male and female;10000;Eritrean;2015;1240
88;Total male and female;10000;Eritrean;2016;775
89;Total male and female;10000;Eritrean;2017;480
90;Total male and female;10000;Eritrean;2018;430
91;Total male and female;10000;Eritrean;2019;110
92;Total male and female;10000;Eritrean;2020;80
93;Total male and female;10000;Eritrean;2021;235
94;Total male and female;10000;Eritrean;2022;605
95;Total male and female;10000;Eritrean;2023;1030
96;Total male and female;10000;Ethiopian;2008;5
97;Total male and female;10000;Ethiopian;2009;5
98;Total male and female;10000;Ethiopian;2010;5
99;Total male and female;10000;Ethiopian;2011;5
100;Total male and female;10000;Ethiopian;2012;0
101;Total male and female;10000;Ethiopian;2013;5
102;Total male and female;10000;Ethiopian;2014;5
103;Total male and female;10000;Ethiopian;2015;10
104;Total male and female;10000;Ethiopian;2016;45
105;Total male and female;10000;Ethiopian;2017;10
106;Total male and female;10000;Ethiopian;2018;0
107;Total male and female;10000;Ethiopian;2019;5
108;Total male and female;10000;Ethiopian;2020;0
109;Total male and female;10000;Ethiopian;2021;15
110;Total male and female;10000;Ethiopian;2022;50
111;Total male and female;10000;Ethiopian;2023;100
112;Total male and female;10000;Gambian;2008;0
