ID;Aardolieproducten;Perioden;TotaalAanbod_1;TotaleProductie_2;Raffinaderijen_3;PetrochemischeIndustrie_4;Groothandel_5;Invoer_6;Uitvoer_7;Bunkers_8;Voorraadmutatie_9;TotaalVerbruik_10;TotaalVoorOmzettingInOlieproducten_11;Raffinaderijen_12;PetrochemischeIndustrie_13;Groothandel_14;TotaalFinaalVerbruikAndereOmzetting_15;RaffinaderijenBrandstof_16;PetrochemischeIndustrieBrandstof_17;PetrochemischeIndustrieGrondstof_18;Visserij_19;VervoerEnOverig_20;Beginvoorraad_21;Eindvoorraad_22;Voorraadmutatie_23
0;Totaal aardolieproducten;1946;;;;;;;;;;;;;;;;;;;;;;;
1;Totaal aardolieproducten;1947;;;;;;;;;;;;;;;;;;;;;;;
2;Totaal aardolieproducten;1948;;;;;;;;;;;;;;;;;;;;;;;
3;Totaal aardolieproducten;1949;;;;;;;;;;;;;;;;;;;;;;;
4;Totaal aardolieproducten;1950;;;;;;;;;;;;;;;;;;;;;;;
5;Totaal aardolieproducten;1951;;;;;;;;;;;;;;;;;;;;;;;
6;Totaal aardolieproducten;1952;;;;;;;;;;;;;;;;;;;;;;;
7;Totaal aardolieproducten;1953;;;;;;;;;;;;;;;;;;;;;;;
8;Totaal aardolieproducten;1954;;;;;;;;;;;;;;;;;;;;;;;
9;Totaal aardolieproducten;1955;;;;;;;;;;;;;;;;;;;;;;;
10;Totaal aardolieproducten;1956;;;;;;;;;;;;;;;;;;;;;;;
11;Totaal aardolieproducten;1957;;;;;;;;;;;;;;;;;;;;;;;
12;Totaal aardolieproducten;1958;;;;;;;;;;;;;;;;;;;;;;;
13;Totaal aardolieproducten;1959;;;;;;;;;;;;;;;;;;;;;;;
14;Totaal aardolieproducten;1960;;;;;;;;;;;;;;;;;;;;;;;
15;Totaal aardolieproducten;1961;;;;;;;;;;;;;;;;;;;76.0;;;;
16;Totaal aardolieproducten;1962;;;;;;;;;;;;;;;;;;;78.0;;;;
17;Totaal aardolieproducten;1963;;;;;;;;;;;;;;;;;;;76.0;;;;
18;Totaal aardolieproducten;1964;;;;;;;;;;;;;;;;;;;76.0;;;;
19;Totaal aardolieproducten;1965;;;;;;;;;;;;;;;;;;;76.0;;;;
20;Totaal aardolieproducten;1966;;;;;;;;;;;;;;;;;;;73.0;;;;
21;Totaal aardolieproducten;1967;;;;;;;;;;;;;;;;;;;90.0;;;;
22;Totaal aardolieproducten;1968;;;;;;;;;;;;;;;;;;;93.0;;;;
23;Totaal aardolieproducten;1969;;;;;;;;;;;;;;;;;;;90.0;;;;
24;Totaal aardolieproducten;1970;;;;;;;;;;;;;;;;;;;70.0;;;;
25;Totaal aardolieproducten;1971;;;;;;;;;;;;;;;;;;;81.0;;;;
26;Totaal aardolieproducten;1972;;;;;;;;;;;;;;;;;;;75.0;;;;
27;Totaal aardolieproducten;1973;;;;;;;;;;;;;;;;;;;85.0;;;;
28;Totaal aardolieproducten;1974;;;;;;;;;;;;;;;;;;;71.0;;;;
29;Totaal aardolieproducten;1975;;;;;;;;;;;;;;;;;;;77.0;;;;
30;Totaal aardolieproducten;1976;;;;;;;;;;;;;;;;;;;57.0;;;;
31;Totaal aardolieproducten;1977;;;;;;;;;;;;;;;;;;;57.0;;;;
32;Totaal aardolieproducten;1978;;60517.0;58213.0;2304.0;;13228.0;32008.0;12151.0;;29358.0;3348.0;1044.0;2304.0;;26010.0;2994.0;1653.0;5941.0;24.0;15398.0;;;
33;Totaal aardolieproducten;1979;;65457.0;60826.0;4631.0;;19231.0;37888.0;10885.0;;35436.0;5428.0;795.0;4633.0;;30008.0;3238.0;1747.0;6102.0;31.0;18890.0;;;
34;Totaal aardolieproducten;1980;34596.0;57238.0;52779.0;4459.0;;28547.0;40955.0;10445.0;211.0;34597.0;6901.0;2452.0;4448.0;;27696.0;3001.0;1457.0;5142.0;39.0;18057.9;9910.0;9699.0;211.0
35;Totaal aardolieproducten;1981;36307.0;51379.0;44303.0;7075.0;;32769.0;39718.0;9997.0;1874.0;36307.0;10844.0;3776.0;7068.0;;25463.0;2725.0;1622.0;3916.0;51.0;17148.85;10566.0;8692.0;1874.0
36;Totaal aardolieproducten;1982;34916.0;53401.0;45731.0;7670.0;;36399.0;45854.0;9848.0;818.0;34916.0;14087.0;6395.0;7692.0;;20830.0;2973.0;1348.0;3028.0;39.0;13442.18;8718.0;7901.0;818.0
37;Totaal aardolieproducten;1983;35518.0;59326.0;50763.0;8563.0;;36447.0;50833.0;9266.0;-156.0;35518.0;15906.0;7408.0;8499.0;;19612.0;2746.0;1329.0;4019.0;44.0;11475.13;7901.0;8057.0;-156.0
38;Totaal aardolieproducten;1984;34236.0;62059.0;52524.0;9535.0;;32456.0;51466.0;8663.0;-150.0;34236.0;14514.0;5431.0;9083.0;;19723.0;2721.0;1205.0;3732.0;99.0;11965.79;8057.0;8207.0;-150.0
39;Totaal aardolieproducten;1985;32225.0;55593.0;48596.0;6997.0;;36931.0;50920.0;9926.0;548.0;32225.0;13193.0;6127.0;7066.0;;19033.0;2457.0;1183.0;3869.0;125.0;11398.97;8577.0;8029.0;548.0
40;Totaal aardolieproducten;1986;38549.0;67277.0;59079.0;8198.0;;39548.0;55898.0;10972.0;-1407.0;38549.0;17519.0;9276.0;8243.0;;21030.0;2761.0;1046.0;5005.0;142.0;12075.26;8029.0;9436.0;-1407.0
41;Totaal aardolieproducten;1987;37276.0;67440.0;57288.0;10153.0;;34506.0;55555.0;10872.0;1757.0;37276.0;16107.0;5908.0;10200.0;;21168.0;3090.0;1157.0;5011.0;137.0;11773.05;9436.0;7679.0;1757.0
42;Totaal aardolieproducten;1988;40612.0;72499.0;61659.0;10840.0;;34483.0;54173.0;12040.0;-157.0;40612.0;18505.0;7596.0;10910.0;;22107.0;3190.0;1252.0;4855.0;176.0;12634.13;7679.0;7836.0;-157.0
43;Totaal aardolieproducten;1989;40863.0;72944.0;61537.0;11408.0;;38111.0;57807.0;11809.0;-576.0;40863.0;19048.0;7555.0;11493.0;;21815.0;3369.0;1224.0;4711.0;146.0;12364.23;7836.0;8413.0;-576.0
44;Totaal aardolieproducten;1990;26970.0;54797.0;49280.0;3054.0;2464.0;38818.0;54369.0;12500.0;223.0;26970.0;5427.0;958.0;2032.0;2437.0;21543.0;3226.0;1949.0;3826.0;374.0;12168.09;8266.0;8043.0;223.0
45;Totaal aardolieproducten;1991;26211.0;57966.0;53049.0;2874.0;2043.0;35397.0;53532.0;12850.0;-770.0;26211.0;4745.0;974.0;1824.0;1948.0;21466.0;3352.0;1768.0;3587.0;365.0;12517.25;8043.0;8814.0;-770.0
46;Totaal aardolieproducten;1992;25742.0;58916.0;54802.0;2785.0;1328.0;30379.0;50807.0;13112.0;366.0;25742.0;3910.0;854.0;1791.0;1264.0;21833.0;3240.0;1780.0;3656.0;352.0;12803.51;8814.0;8448.0;366.0
47;Totaal aardolieproducten;1993;25224.0;59448.0;55512.0;2694.0;1242.0;31619.0;52767.0;12826.0;-250.0;25224.0;3771.0;1146.0;1419.0;1206.0;21453.0;3436.0;1701.0;2940.0;354.0;13022.35;8448.0;8697.0;-250.0
48;Totaal aardolieproducten;1994;26625.0;60258.0;55148.0;2853.0;2258.0;29622.0;49559.0;13230.0;-466.0;26625.0;4571.0;1040.0;1573.0;1958.0;22054.0;3490.0;1699.0;3461.0;365.0;13037.41;8697.0;9163.0;-466.0
49;Totaal aardolieproducten;1995;27245.0;63902.0;59066.0;2991.0;1845.0;28215.0;53023.0;13368.0;1519.0;27245.0;4486.0;941.0;1791.0;1754.0;22759.0;3420.0;1781.0;4032.0;415.0;13110.97;9163.0;7644.0;1519.0
50;Totaal aardolieproducten;1996;28481.0;65880.0;60528.0;3120.0;2232.0;30238.0;53559.0;13984.0;-93.0;28481.0;5196.0;1113.0;1973.0;2110.0;23285.0;3330.0;1925.0;4275.0;401.0;13354.13;7644.0;7738.0;-93.0
51;Totaal aardolieproducten;1997;28160.0;65047.0;60121.0;3245.0;1681.0;35359.0;56846.0;15047.0;-354.0;28160.0;4703.0;1124.0;2060.0;1519.0;23457.0;2981.0;1958.0;4452.0;414.0;13652.05;7738.0;8091.0;-354.0
52;Totaal aardolieproducten;1998;28304.0;66614.0;61632.0;3173.0;1809.0;33249.0;56321.0;15208.0;-29.0;28304.0;5241.0;1453.0;2008.0;1779.0;23064.0;2876.0;1932.0;4375.0;415.0;13466.33;8091.0;8121.0;-29.0
53;Totaal aardolieproducten;1999;28634.0;63390.0;58064.0;3288.0;2038.0;35434.0;55938.0;15824.0;1571.0;28634.0;5690.0;1741.0;2027.0;1922.0;22944.0;2614.0;1568.0;4254.0;425.0;14082.14;8121.0;6550.0;1571.0
54;Totaal aardolieproducten;2000;28544.0;63623.0;58533.0;3349.0;1741.0;42752.0;59904.0;16518.0;-1409.0;28544.0;5722.0;2073.0;1940.0;1709.0;22822.0;2684.0;1397.0;4357.0;413.0;13971.99;6550.0;7959.0;-1409.0
55;Totaal aardolieproducten;2001;29105.0;63529.0;58082.0;3504.0;1943.0;44365.0;61746.0;17675.0;632.0;29105.0;5637.0;1681.0;2072.0;1884.0;23468.0;2644.0;1605.0;4420.0;406.0;14391.7;7959.0;7326.0;632.0
56;Totaal aardolieproducten;2002;31600.0;61014.0;53512.0;3971.0;3531.0;49083.0;61424.0;17690.0;617.0;31600.0;7992.0;2282.0;2225.0;3484.0;23609.0;2402.0;1876.0;4632.0;340.0;14359.82;7326.0;6709.0;617.0
57;Totaal aardolieproducten;2003;33481.0;63492.0;56125.0;4246.0;3121.0;47675.0;60652.0;16760.0;-274.0;33481.0;7488.0;1697.0;2794.0;2997.0;25994.0;2507.0;2003.0;6202.0;309.0;14972.79;6709.0;6983.0;-274.0
58;Totaal aardolieproducten;2004;34747.0;67124.0;58190.0;4226.0;4708.0;55440.0;68822.0;18206.0;-789.0;34747.0;8930.0;1641.0;2769.0;4520.0;25817.0;2643.0;1910.0;6207.0;293.0;14763.68;6983.0;7773.0;-789.0
59;Totaal aardolieproducten;2005;35430.0;68404.0;58743.0;3863.0;5798.0;61900.0;74837.0;19360.0;-677.0;35430.0;9668.0;1749.0;2401.0;5518.0;25761.0;2666.0;1865.0;5940.0;287.0;15002.92;7773.0;8450.0;-677.0
60;Totaal aardolieproducten;2006;35992.0;67643.0;57409.0;3812.0;6423.0;69099.0;79911.0;20474.0;-365.0;35992.0;10559.0;2218.0;2223.0;6119.0;25433.0;2522.0;2428.0;5471.0;272.0;14740.71;8450.0;8815.0;-365.0
61;Totaal aardolieproducten;2007;37273.0;67155.0;56258.0;4105.0;6792.0;65516.0;75234.0;20913.0;750.0;37273.0;10726.0;1520.0;2710.0;6496.0;26547.0;2826.0;2634.0;6240.0;237.0;14609.43;8815.0;8064.0;750.0
62;Totaal aardolieproducten;2008;35185.0;66440.0;56571.0;3644.0;6225.0;70157.0;79568.0;20275.0;-1569.0;35185.0;9863.0;1789.0;2287.0;5787.0;25321.0;2641.0;2270.0;5500.0;217.0;14693.02;8064.0;9633.0;-1569.0
63;Totaal aardolieproducten;2009;35848.0;66494.0;55322.0;3748.0;7425.0;77027.0;89042.0;18219.0;-412.0;35848.0;11252.0;1819.0;2498.0;6936.0;24596.0;2181.0;2207.0;5952.0;205.0;14050.93;9633.0;10045.0;-412.0
