ID;EconomischeActiviteit;TotaalWerknemers_1;k_19Werknemers_2;k_1099Werknemers_3;k_100499Werknemers_4;k_500OfMeerWerknemers_5;TotaalWerknemers_6;k_19Werknemers_7;k_1099Werknemers_8;k_100499Werknemers_9;k_500OfMeerWerknemers_10;TotaalWerknemers_11;k_19Werknemers_12;k_1099Werknemers_13;k_100499Werknemers_14;k_500OfMeerWerknemers_15;TotaalWerknemers_16;k_19Werknemers_17;k_1099Werknemers_18;k_100499Werknemers_19;k_500OfMeerWerknemers_20;TotaalWerknemers_21;k_19Werknemers_22;k_1099Werknemers_23;k_100499Werknemers_24;k_500OfMeerWerknemers_25;TotaleStructuur_26;DirectLoon_27;BijzondereBeloningen_28;LoonVoorNietGewerkteTijd_29;LoonInNatura_30;PremieWAO_31;PremieZFW_32;PremieWW_33;Pensioenpremies_34;OverigePremies_35;LoonBijZiekte_36;Ontslagvergoedingen_37;TegemoetkomingZiektekosten_38;Opleidingskosten_39;OverigeUitgaven_40;Subsidies_41;PotentieleArbeidsduur_42;VerlofurenEnUrenVanFeestdagen_43;ZiekteUrenEnKortVerzuim_44;GewerkteUrenExclOverwerkuren_45;GewerkteUren_46
0;0;246.4;25.4;57.4;50.5;113.1;46.2;38.0;43.2;47.9;49.5;27.16;21.72;24.53;28.25;29.95;22.98;18.65;21.14;23.81;24.98;1701;1751;1762.0;1698.0;1653.0;100;57.1;8.9;8.6;1.3;4.5;2.1;1.3;7.6;0.4;3.1;1.3;1.4;1.2;2.1;-0.9;100;12.0;5.9;82.1;85.4
1;1;2.4;1.0;1.1;;;35.8;33.2;36.4;;;20.36;18.91;20.49;;;17.67;16.43;17.91;;;1759;1756;1776.0;;;100;62.0;6.4;8.8;1.0;4.9;3.6;2.2;7.5;0.9;1.9;0.3;0.1;0.2;0.9;-1.0;100;11.9;3.7;84.4;88.2
2;2;0.7;0.0;;;;82.2;51.6;;;;46.23;27.36;;;;39.78;24.44;;;;1778;1886;;;;100;54.3;11.4;7.9;0.8;3.0;0.7;1.1;12.7;0.2;1.8;0.7;3.4;1.1;1.4;-0.4;100;11.9;4.7;83.4;87.4
3;3;36.5;2.1;9.9;10.9;13.5;46.7;35.7;42.1;49.6;50.8;27.5;20.58;24.26;29.01;30.87;23.31;17.59;20.78;24.56;25.88;1697;1732;1735.0;1710.0;1644.0;100;57.2;9.3;8.7;0.9;4.5;2.5;1.3;9.0;0.4;3.1;0.6;1.1;0.7;1.5;-0.9;100;12.4;5.6;82.0;86.1
4;4;1.8;0.0;;;;64.9;59.2;;;;39.07;34.28;;;;32.38;29.17;;;;1662;1727;;;;100;55.9;8.9;8.9;1.8;3.5;0.1;0.6;10.2;0.0;3.2;1.9;2.6;1.2;1.4;-0.3;100;12.9;5.7;81.3;83.7
5;5;16.1;2.6;7.2;3.1;3.2;46.0;37.9;44.3;50.6;55.5;26.44;22.06;25.47;29.13;31.52;22.83;19.05;22.03;25.14;27.11;1739;1720;1740.0;1736.0;1762.0;100;58.1;6.7;9.2;2.8;4.4;2.5;2.0;6.6;1.6;2.8;0.3;1.0;0.9;1.4;-0.2;100;12.1;5.8;82.1;84.8
6;6;32.6;6.8;12.4;5.8;7.5;40.2;36.3;41.4;47.6;37.4;22.91;20.82;23.45;27.27;21.41;19.79;17.83;20.26;23.27;18.77;1753;1745;1766.0;1745.0;1745.0;100;57.8;9.3;8.2;1.9;4.4;2.8;1.4;7.8;0.5;2.4;0.6;0.8;0.6;2.2;-0.6;100;11.6;5.0;83.4;87.4
7;7;3.5;1.0;1.3;0.4;0.8;29.2;25.2;30.4;29.7;33.1;16.7;14.3;17.33;17.74;18.73;14.27;12.35;14.89;14.79;15.82;1749;1761;1752.0;1672.0;1765.0;100;64.0;6.3;8.7;0.6;5.4;4.3;1.6;4.1;0.9;1.9;0.2;0.3;0.3;2.4;-0.9;100;11.4;3.7;84.9;85.9
8;8;16.4;1.2;4.3;2.7;8.2;45.5;38.6;43.1;45.9;47.9;25.13;19.76;21.49;24.86;28.91;21.24;17.36;18.81;20.97;23.69;1810;1954;2006.0;1845.0;1658.0;100;58.9;8.3;8.4;1.0;4.5;2.7;1.5;8.2;0.3;2.9;0.9;0.7;0.5;1.8;-0.5;100;12.1;6.0;81.9;89.3
9;9;14.9;1.4;1.5;1.3;10.7;69.3;54.9;56.8;68.0;74.4;41.34;30.28;31.46;40.11;45.72;34.96;26.53;27.53;33.65;38.17;1677;1813;1804.0;1695.0;1627.0;100;48.8;14.2;7.6;2.9;3.5;1.2;0.6;12.1;0.1;2.7;1.5;1.5;1.5;2.2;-0.3;100;12.4;5.6;82.0;84.9
10;K Verhuur en zakelijke dienstverlening;39.4;6.0;11.3;7.5;14.7;46.8;45.7;47.5;48.4;46.0;26.63;26.11;26.75;27.25;26.45;22.94;22.3;23.25;23.73;22.6;1757;1751;1775.0;1777.0;1738.0;100;58.5;9.0;8.6;2.3;4.4;2.2;2.4;6.0;0.4;2.4;1.0;0.7;1.0;2.3;-1.2;100;12.0;5.2;82.8;86.4
11;"L Openbaar bestuur;sociale verzekeringen";25.6;0.0;0.7;3.8;21.2;54.9;56.0;50.2;49.9;56.0;34.39;33.56;31.46;31.49;35.07;28.42;28.97;26.33;26.14;28.93;1595;1670;1596.0;1586.0;1597.0;100;53.3;8.6;8.1;0.3;4.1;0.2;0.4;8.8;0.0;4.1;5.4;3.3;2.2;2.3;-1.2;100;11.7;7.6;80.7;83.1
12;M Onderwijs;18.7;0.2;2.2;6.9;9.4;51.6;44.6;48.2;49.7;54.1;31.09;25.83;28.9;30.25;32.45;25.56;21.93;24.05;24.71;26.71;1659;1728;1669.0;1642.0;1668.0;100;56.2;8.3;8.8;0.2;4.4;0.2;0.5;8.1;0.0;3.1;2.4;4.2;1.7;2.3;-0.3;100;12.2;5.9;82.0;82.2
13;N Gezondheids- en welzijnszorg;29.6;1.5;2.5;5.2;20.4;41.1;39.1;40.1;39.6;41.8;25.92;23.37;24.93;25.15;26.46;21.09;19.74;20.7;20.44;21.42;1587;1674;1608.0;1573.0;1581.0;100;59.1;8.4;9.1;0.4;5.5;3.2;0.3;5.1;0.2;4.7;0.4;0.9;2.0;2.4;-1.6;100;12.1;7.7;80.3;81.6
14;O Cultuur, recreatie en ov.dienstverl.;8.1;1.6;2.7;2.2;1.6;41.3;29.8;41.5;48.4;49.8;23.83;17.2;24.18;28.21;27.81;20.61;14.79;20.81;24.29;24.68;1733;1732;1718.0;1714.0;1792.0;100;59.6;8.3;9.0;1.1;4.5;2.2;1.6;6.4;0.4;3.0;0.5;1.5;0.6;2.3;-1.0;100;12.2;5.3;82.4;87.1
