ID;BedrijfstakBranchesSBI2008;Perioden;Werknemer_1;WerkzamePersoon_2;Werknemer_3;WerkzamePersoon_4;Totaal_5;NettoOmzet_6;OverigeBedrijfsopbrengsten_7;Totaal_8;InkoopwaardeOmzet_9;Totaal_10;Brutolonen_11;Totaal_12;SocialeVerzekeringspremiesWerkgever_13;PremiesPensioenVutInkoopsommen_14;OverigeSocialeLasten_15;OverigePersoneleKosten_16;Totaal_17;KostenEnergieverbruik_18;Huisvestingskosten_19;KostenApparatuurEnInventaris_20;KostenVervoermiddelen_21;Verkoopkosten_22;Communicatiekosten_23;KostenVanOverigeDiensten_24;NietEerderGenoemdeBedrijfskosten_25;AfschrijvingenOpVasteActiva_26;Bedrijfsresultaat_27;SaldoFinancieleBatenEnLasten_28;SaldoVoorzieningen_29;SaldoBuitengewoneBatenEnLasten_30;ResultaatVoorBelastingen_31
0;H Vervoer en opslag;2009;396.7;498.2;317.1;379.9;67748.0;64269.0;3479.0;64015.0;18923.0;18440.0;12761.0;2828.0;1568.0;1260.0;184.0;2667.0;21875.0;380.0;1956.0;741.0;10535.0;927.0;330.0;3742.0;3264.0;4776.0;3733.0;-765.0;194.0;100.0;3262.0
1;H Vervoer en opslag;2010;388.6;497.1;309.2;379.6;70894.0;67318.0;3576.0;66136.0;20254.0;18313.0;12739.0;2809.0;1591.0;1217.0;132.0;2633.0;22848.0;374.0;1877.0;719.0;11580.0;955.0;299.0;3773.0;3272.0;4722.0;4759.0;-421.0;-106.0;78.0;4310.0
2;H Vervoer en opslag;2011;393.6;505.5;314.6;388.4;75485.0;71874.0;3611.0;70537.0;22083.0;19277.0;13266.0;3060.0;1683.0;1377.0;128.0;2823.0;24368.0;364.0;2002.0;762.0;12896.0;982.0;316.0;3779.0;3268.0;4809.0;4948.0;-336.0;193.0;-147.0;4658.0
3;H Vervoer en opslag;2012;389.6;497.1;310.9;384.2;77031.0;73540.0;3491.0;72802.0;22349.0;19706.0;13494.0;3234.0;1835.0;1399.0;121.0;2857.0;25748.0;381.0;2128.0;737.0;13852.0;999.0;310.0;4066.0;3275.0;5000.0;4229.0;-589.0;649.0;113.0;4402.0
4;H Vervoer en opslag;2013;385.7;490.0;305.3;382.8;78593.0;75243.0;3350.0;73781.0;23913.0;19857.0;13529.0;3371.0;1812.0;1559.0;129.0;2828.0;25064.0;390.0;2131.0;708.0;13409.0;1072.0;295.0;3427.0;3633.0;4948.0;4812.0;-1412.0;260.0;555.0;4215.0
5;49 Vervoer over land;2009;197.7;235.9;160.6;186.3;25046.0;23336.0;1710.0;24066.0;6023.0;8394.0;5964.0;1379.0;787.0;592.0;68.0;984.0;7960.0;113.0;554.0;210.0;4892.0;193.0;150.0;784.0;1064.0;1689.0;980.0;-306.0;-81.0;112.0;705.0
6;49 Vervoer over land;2010;196.0;232.6;160.6;188.9;26135.0;24488.0;1648.0;24882.0;6459.0;8508.0;6013.0;1431.0;826.0;605.0;60.0;1005.0;8257.0;114.0;547.0;191.0;5244.0;194.0;136.0;716.0;1116.0;1658.0;1253.0;-217.0;-26.0;112.0;1122.0
7;49 Vervoer over land;2011;198.0;234.6;164.1;194.5;27935.0;26244.0;1691.0;26305.0;6849.0;8898.0;6272.0;1488.0;875.0;613.0;58.0;1080.0;8892.0;112.0;601.0;202.0;5839.0;221.0;136.0;680.0;1101.0;1667.0;1630.0;-198.0;-13.0;78.0;1496.0
8;49 Vervoer over land;2012;193.3;228.3;160.1;188.6;27718.0;26154.0;1565.0;26390.0;6870.0;8880.0;6245.0;1549.0;905.0;644.0;47.0;1040.0;9036.0;106.0;601.0;189.0;5998.0;208.0;125.0;717.0;1092.0;1605.0;1329.0;-190.0;453.0;285.0;1876.0
9;49 Vervoer over land;2013;187.9;226.8;155.2;186.7;27510.0;26170.0;1339.0;26133.0;7236.0;8892.0;6213.0;1555.0;903.0;652.0;51.0;1073.0;8511.0;105.0;562.0;194.0;5789.0;208.0;120.0;788.0;745.0;1494.0;1377.0;-138.0;130.0;-50.0;1319.0
10;491-492 Vervoer per spoor;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;491-492 Vervoer per spoor;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;491-492 Vervoer per spoor;2011;12.3;12.4;11.4;11.5;2456.0;2295.0;161.0;2317.0;130.0;705.0;523.0;94.0;79.0;15.0;0.0;88.0;1323.0;1.0;51.0;3.0;800.0;29.0;15.0;75.0;350.0;159.0;140.0;2.0;-1.0;4.0;144.0
13;491-492 Vervoer per spoor;2012;12.9;12.9;12.0;12.0;2521.0;2377.0;144.0;2593.0;137.0;776.0;565.0;105.0;87.0;18.0;0.0;105.0;1531.0;2.0;48.0;1.0;938.0;36.0;16.0;107.0;383.0;150.0;-72.0;-61.0;460.0;208.0;535.0
14;491-492 Vervoer per spoor;2013;13.3;13.2;12.0;12.3;2561.0;2418.0;143.0;2673.0;398.0;801.0;598.0;107.0;84.0;22.0;0.0;96.0;1328.0;2.0;47.0;2.0;982.0;36.0;17.0;190.0;52.0;147.0;-113.0;-46.0;150.0;-114.0;-123.0
15;493 Personenvervoer over de weg;2009;67.0;82.2;47.1;56.2;4779.0;3305.0;1474.0;4586.0;742.0;2228.0;1531.0;358.0;182.0;176.0;23.0;315.0;1279.0;17.0;98.0;48.0;727.0;54.0;29.0;88.0;220.0;337.0;193.0;-78.0;18.0;10.0;144.0
16;493 Personenvervoer over de weg;2010;71.1;85.4;50.9;61.6;5044.0;3680.0;1364.0;4777.0;743.0;2328.0;1618.0;396.0;212.0;185.0;23.0;292.0;1393.0;16.0;106.0;38.0;810.0;62.0;30.0;72.0;260.0;312.0;267.0;-54.0;-8.0;20.0;225.0
17;493 Personenvervoer over de weg;2011;67.3;82.3;49.2;61.6;5293.0;3903.0;1389.0;4923.0;792.0;2340.0;1640.0;379.0;204.0;175.0;23.0;297.0;1440.0;19.0;97.0;51.0;911.0;84.0;29.0;70.0;179.0;351.0;370.0;-50.0;-1.0;16.0;334.0
18;493 Personenvervoer over de weg;2012;66.3;80.4;47.8;58.4;5055.0;3756.0;1299.0;4757.0;708.0;2358.0;1654.0;425.0;227.0;198.0;9.0;271.0;1377.0;17.0;102.0;38.0;919.0;66.0;24.0;69.0;143.0;314.0;298.0;-49.0;0.0;9.0;259.0
19;493 Personenvervoer over de weg;2013;63.5;79.5;46.0;57.9;5144.0;4071.0;1073.0;4845.0;744.0;2416.0;1698.0;432.0;230.0;202.0;14.0;273.0;1353.0;17.0;82.0;30.0;893.0;71.0;25.0;65.0;170.0;332.0;299.0;-49.0;-8.0;19.0;261.0
20;4932 Vervoer per taxi;2009;36.5;44.5;21.9;27.5;1648.0;1633.0;15.0;1497.0;287.0;734.0;547.0;113.0;72.0;41.0;3.0;70.0;381.0;6.0;27.0;11.0;223.0;10.0;15.0;28.0;60.0;96.0;151.0;-18.0;1.0;0.0;134.0
21;4932 Vervoer per taxi;2010;37.8;46.8;23.6;30.2;1847.0;1833.0;14.0;1634.0;303.0;786.0;579.0;123.0;79.0;44.0;3.0;80.0;448.0;5.0;28.0;13.0;246.0;13.0;16.0;29.0;98.0;97.0;213.0;-11.0;0.0;7.0;210.0
22;4932 Vervoer per taxi;2011;35.4;46.7;22.4;31.4;1884.0;1876.0;8.0;1643.0;280.0;812.0;583.0;125.0;81.0;45.0;3.0;101.0;445.0;5.0;24.0;15.0;278.0;16.0;18.0;30.0;59.0;105.0;241.0;-12.0;0.0;10.0;239.0
23;4932 Vervoer per taxi;2012;36.2;46.6;22.4;29.7;1874.0;1856.0;18.0;1683.0;285.0;829.0;604.0;136.0;88.0;48.0;5.0;84.0;469.0;6.0;30.0;19.0;306.0;11.0;16.0;23.0;58.0;101.0;190.0;-11.0;1.0;15.0;195.0
24;4932 Vervoer per taxi;2013;33.4;44.8;21.1;29.4;1899.0;1891.0;8.0;1711.0;284.0;850.0;608.0;149.0;95.0;54.0;3.0;90.0;474.0;6.0;27.0;16.0;319.0;12.0;14.0;23.0;57.0;102.0;188.0;-11.0;-1.0;7.0;183.0
25;494 Goederenvervoer over de weg;2009;117.6;140.3;101.3;117.5;17588.0;17464.0;124.0;17026.0;5168.0;5468.0;3910.0;936.0;534.0;402.0;44.0;579.0;5286.0;82.0;409.0;125.0;3323.0;104.0;105.0;619.0;520.0;1104.0;562.0;-172.0;-10.0;69.0;449.0
26;494 Goederenvervoer over de weg;2010;112.2;134.1;97.9;115.3;18324.0;18186.0;139.0;17567.0;5611.0;5483.0;3868.0;948.0;543.0;405.0;36.0;632.0;5376.0;82.0;393.0;115.0;3536.0;104.0;89.0;536.0;521.0;1097.0;758.0;-118.0;-10.0;88.0;718.0
27;494 Goederenvervoer over de weg;2011;118.2;139.7;103.3;121.1;19810.0;19669.0;141.0;18869.0;5905.0;5837.0;4099.0;1010.0;591.0;420.0;34.0;694.0;6017.0;80.0;449.0;118.0;4126.0;108.0;91.0;532.0;514.0;1109.0;941.0;-128.0;-9.0;57.0;861.0
