ID;SalesAndConsumption;SBI93;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4;WeightFactor_5;IndexNumbers_6;MonthOnMonthDevelopment_7;YearOnYearDevelopment_8
0;Total sales;C MINING AND QUARRYING;2000 January;11442;82.0;;;11442;82.0;;
1;Total sales;C MINING AND QUARRYING;2000 February;11442;83.7;2.0;;11442;83.7;2.0;
2;Total sales;C MINING AND QUARRYING;2000 March;11442;84.8;1.3;;11442;84.8;1.3;
3;Total sales;C MINING AND QUARRYING;2000 April;11442;93.7;10.5;;11442;93.7;10.5;
4;Total sales;C MINING AND QUARRYING;2000 May;11442;97.5;4.0;;11442;97.5;4.0;
5;Total sales;C MINING AND QUARRYING;2000 June;11442;98.3;0.9;;11442;98.3;0.9;
6;Total sales;C MINING AND QUARRYING;2000 July;11442;105.3;7.1;;11442;105.3;7.1;
7;Total sales;C MINING AND QUARRYING;2000 August;11442;106.7;1.3;;11442;106.7;1.3;
8;Total sales;C MINING AND QUARRYING;2000 September;11442;108.6;1.8;;11442;108.6;1.8;
9;Total sales;C MINING AND QUARRYING;2000 October;11442;112.5;3.6;;11442;112.5;3.6;
10;Total sales;C MINING AND QUARRYING;2000 November;11442;113.2;0.6;;11442;113.2;0.6;
11;Total sales;C MINING AND QUARRYING;2000 December;11442;113.7;0.4;;11442;113.7;0.4;
12;Total sales;C MINING AND QUARRYING;2000;11442;100.0;;;11442;100.0;;
13;Total sales;C MINING AND QUARRYING;2001 January;11442;118.7;4.5;44.8;11442;118.7;4.5;44.8
14;Total sales;C MINING AND QUARRYING;2001 February;11442;122.6;3.3;46.5;11442;122.6;3.3;46.5
15;Total sales;C MINING AND QUARRYING;2001 March;11442;122.5;-0.1;44.5;11442;122.5;-0.1;44.5
16;Total sales;C MINING AND QUARRYING;2001 April;11442;117.2;-4.3;25.1;11442;117.2;-4.3;25.1
17;Total sales;C MINING AND QUARRYING;2001 May;11442;118.4;1.0;21.5;11442;118.4;1.0;21.5
18;Total sales;C MINING AND QUARRYING;2001 June;11442;120.0;1.3;22.0;11442;120.0;1.3;22.0
19;Total sales;C MINING AND QUARRYING;2001 July;11442;117.4;-2.1;11.5;11442;117.4;-2.1;11.5
