ID;Perioden;OutputBasisprijzen_1;Totaal_2;Totaal_3;ZaaiEnPantgoedGeleverdDoorAnder_4;ZaaiEnPlantgoedGekochtBuitenDe_5;Totaal_6;Elektriciteit_7;Gas_8;AndereBrandstoffen_9;Andere_10;Totaal_11;MeststoffenGeleverdDoorAndereLand_12;MeststoffenGekochtBuitenDeBedrijf_13;FytosanitaireProductenEnPesticiden_14;UitgavenVoorVeeartsen_15;Totaal_16;VeevoederGeleverdDoorAndereLandbo_17;VeevoederGekochtBuitenDeBedrijfst_18;VeevoederGeproduceerdEnVerbruiktO_19;OnderhoudVanMateriaal_20;OnderhoudVanGebouwen_21;Landbouwdiensten_22;IndirectGemetenDienstenVanFinanci_23;AndereGoederenEnDiensten_24;BrutoToegevoegdeWaardeBasisprijzen_25;Totaal_26;Werktuigen_27;Bouwwerken_28;Aanplantingen_29;Andere_30;NettoToegevoegdeWaardeBasisprijzen_31;OutputBasisprijzen_32;Totaal_33;Totaal_34;ZaaiEnPantgoedGeleverdDoorAnder_35;ZaaiEnPlantgoedGekochtBuitenDe_36;Totaal_37;Elektriciteit_38;Gas_39;AndereBrandstoffen_40;Andere_41;Totaal_42;MeststoffenGeleverdDoorAndereLand_43;MeststoffenGekochtBuitenDeBedrijf_44;FytosanitaireProductenEnPesticiden_45;UitgavenVoorVeeartsen_46;Totaal_47;VeevoederGeleverdDoorAndereLandbo_48;VeevoederGekochtBuitenDeBedrijfst_49;VeevoederGeproduceerdEnVerbruiktO_50;OnderhoudVanMateriaal_51;OnderhoudVanGebouwen_52;Landbouwdiensten_53;IndirectGemetenDienstenVanFinanci_54;AndereGoederenEnDiensten_55;BrutoToegevoegdeWaardeBasisprijzen_56;Totaal_57;Werktuigen_58;Bouwwerken_59;Aanplantingen_60;Andere_61;NettoToegevoegdeWaardeBasisprijzen_62;OutputBasisprijzen_63;Totaal_64;Totaal_65;ZaaiEnPantgoedGeleverdDoorAnder_66;ZaaiEnPlantgoedGekochtBuitenDe_67;Totaal_68;Elektriciteit_69;Gas_70;AndereBrandstoffen_71;Andere_72;Totaal_73;MeststoffenGeleverdDoorAndereLand_74;MeststoffenGekochtBuitenDeBedrijf_75;FytosanitaireProductenEnPesticiden_76;UitgavenVoorVeeartsen_77;Totaal_78;VeevoederGeleverdDoorAndereLandbo_79;VeevoederGekochtBuitenDeBedrijfst_80;VeevoederGeproduceerdEnVerbruiktO_81;OnderhoudVanMateriaal_82;OnderhoudVanGebouwen_83;Landbouwdiensten_84;IndirectGemetenDienstenVanFinanci_85;AndereGoederenEnDiensten_86;BrutoToegevoegdeWaardeBasisprijzen_87;Totaal_88;Werktuigen_89;Bouwwerken_90;Aanplantingen_91;Andere_92;NettoToegevoegdeWaardeBasisprijzen_93;OutputBasisprijzen_94;Totaal_95;Totaal_96;ZaaiEnPantgoedGeleverdDoorAnder_97;ZaaiEnPlantgoedGekochtBuitenDe_98;Totaal_99;Elektriciteit_100;Gas_101;AndereBrandstoffen_102;Andere_103;Totaal_104;MeststoffenGeleverdDoorAndereLand_105;MeststoffenGekochtBuitenDeBedrijf_106;FytosanitaireProductenEnPesticiden_107;UitgavenVoorVeeartsen_108;Totaal_109;VeevoederGeleverdDoorAndereLandbo_110;VeevoederGekochtBuitenDeBedrijfst_111;VeevoederGeproduceerdEnVerbruiktO_112;OnderhoudVanMateriaal_113;OnderhoudVanGebouwen_114;Landbouwdiensten_115;IndirectGemetenDienstenVanFinanci_116;AndereGoederenEnDiensten_117;BrutoToegevoegdeWaardeBasisprijzen_118;Totaal_119;Werktuigen_120;Bouwwerken_121;Aanplantingen_122;Andere_123;NettoToegevoegdeWaardeBasisprijzen_124;NettoToegevoegdeWaardeBasisprijzen_125;NietProductgebondenBelastingen_126;NietProductgebondenSubsidies_127;Landbouwinkomen_128;BeloningVanWerknemers_129;ExploitatieoverschotGemengdInkomen_130;NettoToegevoegdeWaardeBasisprijzen_131;NietProductgebondenBelastingen_132;NietProductgebondenSubsidies_133;Landbouwinkomen_134;BeloningVanWerknemers_135;ExploitatieoverschotGemengdInkomen_136;NettoToegevoegdeWaardeBasisprijzen_137;NietProductgebondenBelastingen_138;NietProductgebondenSubsidies_139;Landbouwinkomen_140;BeloningVanWerknemers_141;ExploitatieoverschotGemengdInkomen_142;NettoToegevoegdeWaardeBasisprijzen_143;NietProductgebondenBelastingen_144;NietProductgebondenSubsidies_145;Landbouwinkomen_146;BeloningVanWerknemers_147;ExploitatieoverschotGemengdInkomen_148;ExploitatieoverschotGemengdInkomen_149;BetaaldePachtED_150;BetaaldeRente_151;OntvangenRente_152;InkomenUitBedrijfsuitoefening_153;Totaal_154;Werknemers_155;Zelfstandigen_156;Inkomensindex2021100_157;MutatieTOVVoorafgaandJaar_158
0;1995;19845;10821;894;556.0;338.0;872;195.0;462.0;195.0;20.0;304;;304;260;201;4850;1002.0;3463.0;385.0;483;164;1081;56;1656;9025;2093;984.0;817.0;63.0;229.0;6931;25158;16722;1315;1118.0;368.0;1894.0;335.0;983.0;597.0;45.0;635;;635;329;332;7761;1435.0;5748.0;601.0;808;221;1739;51;2226;8098;3295;1302.0;1522.0;85.0;398.0;4863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78.9;64.7;68.0;49.7;91.7;46.0;58.3;47.1;32.6;44.1;47.9;;47.9;79.2;60.4;62.5;69.8;60.2;64.1;59.8;74.4;62.2;109.4;74.4;111.4;63.5;75.6;53.7;74.5;57.7;142.5;6931;283;385;7033;1398;5635;4863;383.0;997.0;5565.0;;;;;;;;;142.5;73.8;38.6;126.4;;;5635;326;1100;41;4250;189;61;128;114.3;
1;1996;20326;11631;943;559.0;384.0;1061;259.0;558.0;218.0;26.0;299;;299;272;210;5273;1115.0;3763.0;395.0;483;172;1087;55;1776;8695;2117;967.0;842.0;67.0;240.0;6579;25136;17386;1344;1072.0;415.0;2202.0;429.0;1120.0;644.0;60.0;604;;604;343;339;8024;1442.0;6052.0;563.0;800;230;1724;53;2371;7696;3281;1292.0;1513.0;87.0;401.0;4556;-0.1;4.0;2.2;-4.1;12.7;16.2;28.1;13.9;7.9;35.3;-4.9;;-4.9;4.5;2.0;3.4;0.5;5.3;-6.2;-0.9;4.0;-0.8;4.4;6.5;-5.0;-0.4;-0.8;-0.6;2.9;0.8;-6.3;80.9;66.9;70.2;52.2;92.4;48.2;60.4;49.8;33.8;43.0;49.5;;49.5;79.2;62.1;65.7;77.3;62.2;70.2;60.3;74.9;63.0;103.5;74.9;113.0;64.5;74.9;55.6;77.1;60.0;144.4;6579;259;528;6847;1463;5384;4556;359.0;1364.0;5344.0;;;-6.3;-6.3;36.8;-4.0;;;144.4;72.3;38.7;128.1;;;5384;336;1037;36;4047;194;61;132;107.1;-6.3
2;1997;21354;11678;984;565.0;419.0;1083;289.0;552.0;214.0;28.0;294;;294;324;225;4926;939.0;3601.0;385.0;517;183;1177;52;1912;9676;2143;972.0;849.0;72.0;251.0;7533;26165;17582;1401;1088.0;449.0;2084.0;474.0;987.0;588.0;64.0;616;;616;399;350;7826;1458.0;5710.0;664.0;845;240;1854;54;2508;8317;3271;1292.0;1492.0;90.0;405.0;5046;4.1;1.1;4.2;1.5;8.2;-5.3;10.4;-11.9;-8.7;5.3;2.1;;2.1;16.2;3.3;-2.5;1.1;-5.6;17.8;5.6;4.6;7.5;2.5;5.8;8.1;-0.3;0.0;-1.4;3.8;1.2;10.8;81.6;66.4;70.3;52.0;93.3;52.0;61.0;56.0;36.4;44.0;47.8;;47.8;81.3;64.2;62.9;64.4;63.1;58.0;61.2;76.1;63.5;96.0;76.2;116.3;65.5;75.2;56.9;79.4;61.9;149.3;7533;266;419;7685;1515;6170;5046;359.0;1155.0;5833.0;;;10.8;0.1;-15.3;9.1;;;149.3;74.1;36.3;131.8;;;6170;347;1004;35;4855;194;63;131;117.1;9.3
3;1998;20441;11739;1127;610.0;516.0;1104;325.0;569.0;182.0;28.0;280;;280;351;237;4564;805.0;3409.0;351.0;562;184;1194;53;2083;8702;2169;973.0;861.0;69.0;266.0;6533;25837;18044;1461;992.0;548.0;2194.0;549.0;1008.0;585.0;64.0;615;;615;412;361;7776;1379.0;5717.0;689.0;910;241;1863;63;2728;7823;3275;1299.0;1474.0;94.0;413.0;4659;-1.3;2.6;4.3;-8.8;22.1;5.3;15.9;2.2;-0.4;0.0;-0.2;;-0.2;3.4;3.1;-0.6;-5.4;0.1;3.8;7.7;0.2;0.5;15.0;8.8;-5.9;0.1;0.5;-1.2;4.0;1.9;-7.7;79.1;65.1;77.1;61.5;94.2;50.3;59.2;56.5;31.0;43.3;45.6;;45.6;85.1;65.8;58.7;58.3;59.6;50.9;61.8;76.5;64.1;84.7;76.4;111.2;66.2;74.9;58.4;73.6;64.3;140.2;6533;259;432;6706;1576;5130;4659;352.0;1161.0;5401.0;;;-7.7;-1.9;0.5;-7.4;;;140.2;73.6;37.2;124.2;;;5130;366;1007;33;3790;190;64;127;101.7;-13.1
4;1999;20270;11993;1248;615.0;633.0;1126;358.0;538.0;204.0;25.0;227;;227;380;240;4382;907.0;3127.0;348.0;613;200;1284;61;2232;8277;2225;981.0;879.0;75.0;290.0;6052;27056;18630;1647;992.0;700.0;2223.0;578.0;1007.0;583.0;62.0;521;;521;442;362;7636;1393.0;5609.0;639.0;964;260;1945;70;3010;8347;3297;1312.0;1460.0;98.0;429.0;5064;4.7;3.2;12.7;0.0;27.7;1.3;5.1;-0.1;-0.4;-2.9;-15.3;;-15.3;7.2;0.3;-1.8;1.0;-1.9;-7.2;5.9;7.8;4.4;12.2;10.3;6.7;0.7;1.0;-0.9;4.2;3.7;8.7;74.9;64.4;75.8;62.0;90.4;50.6;62.0;53.4;35.0;40.9;43.7;;43.7;86.0;66.3;57.4;65.1;55.7;54.5;63.6;76.8;66.0;87.6;74.2;99.2;67.5;74.8;60.2;76.4;67.6;119.5;6052;257;639;6434;1666;4768;5064;358.0;1049.0;5821.0;;;8.7;1.7;-9.7;7.8;;;119.5;71.8;60.9;110.5;;;4768;370;997;39;3441;193;66;127;95.0;-6.6
5;2000;21572;12722;1326;608.0;718.0;1287;364.0;621.0;272.0;30.0;260;;260;395;240;4392;917.0;3127.0;349.0;650;208;1371;71;2521;8851;2348;1014.0;927.0;83.0;324.0;6502;27502;18962;1972;1039.0;941.0;2217.0;572.0;1024.0;555.0;66.0;520;;520;458;355;7369;1388.0;5354.0;625.0;1006;262;2002;73;3072;8468;3355;1339.0;1462.0;102.0;450.0;5132;1.6;1.8;19.7;4.7;34.4;-0.3;-1.0;1.7;-4.8;6.8;-0.1;;-0.1;3.8;-1.9;-3.5;-0.3;-4.5;-2.2;4.3;0.8;2.9;4.1;2.1;1.5;1.8;2.1;0.1;4.3;5.0;1.3;78.4;67.1;67.2;58.5;76.3;58.0;63.7;60.6;49.0;46.2;50.0;;50.0;86.1;67.5;59.6;66.0;58.4;55.9;64.7;79.4;68.5;97.6;82.1;104.5;70.0;75.7;63.4;81.0;72.1;126.7;6502;272;452;6682;1759;4923;5132;365.0;1126.0;5932.0;;;1.3;2.0;7.4;1.9;;;126.7;74.6;40.2;112.6;;;4923;401;1019;58;3560;187;67;119;98.9;4.1
6;2001;22653;13607;1331;654.0;677.0;1372;374.0;711.0;252.0;35.0;274;;274;374;260;4615;1038.0;3181.0;396.0;687;214;1527;58;2895;9046;2474;1050.0;980.0;89.0;355.0;6572;27027;19308;1833;1021.0;831.0;2241.0;579.0;1053.0;536.0;68.0;475;;475;420;371;7118;1373.0;5122.0;617.0;1043;266;2152;78;3524;7890;3415;1382.0;1458.0;105.0;464.0;4622;-1.7;1.8;-7.1;-1.7;-11.7;1.1;1.3;2.8;-3.5;3.5;-8.6;;-8.6;-8.4;4.6;-3.4;-1.1;-4.3;-1.3;3.7;1.6;7.5;7.5;14.7;-6.8;1.8;3.2;-0.3;2.6;3.2;-9.9;83.8;70.5;72.6;64.1;81.4;61.2;64.6;67.5;47.1;50.8;57.6;;57.6;89.0;70.2;64.8;75.6;62.1;64.2;65.9;80.5;71.0;74.1;82.1;114.7;72.4;76.0;67.2;85.6;76.3;142.2;6572;321;541;6791;1840;4951;4622;407.0;1273.0;5383.0;;;-9.9;11.4;13.0;-9.3;;;142.2;79.0;42.5;126.2;;;4951;433;1068;75;3525;180;68;111;100.0;1.1
7;2002;22557;13950;1404;688.0;717.0;1312;400.0;646.0;231.0;35.0;254;;254;417;252;4538;1126.0;2981.0;431.0;671;220;1757;70;3056;8607;2575;1096.0;1014.0;94.0;372.0;6032;27216;19520;1899;992.0;913.0;2204.0;610.0;1011.0;506.0;67.0;464;;464;460;348;6901;1434.0;4827.0;611.0;1004;269;2372;79;3670;7898;3432;1411.0;1438.0;105.0;468.0;4620;0.7;1.1;3.6;-2.9;9.8;-1.6;5.3;-3.9;-5.4;-1.4;-2.4;;-2.4;9.4;-6.3;-3.0;4.5;-5.8;-0.9;-3.7;0.9;10.2;0.2;4.1;0.1;0.5;2.1;-1.4;0.5;0.8;0.0;82.9;71.5;74.0;69.3;78.5;59.5;65.6;63.9;45.6;52.1;54.7;;54.7;90.6;72.3;65.7;78.5;61.8;70.5;66.8;81.9;74.1;89.5;83.3;109.0;75.0;77.7;70.5;89.1;79.5;130.6;6032;322;374;6084;1980;4105;4620;406.0;969.0;5279.0;;;0.0;-0.3;-23.9;-1.9;;;130.6;79.4;38.6;115.3;;;4105;465;1089;93;2644;178;69;109;87.0;-13.0
8;2003;22508;13748;1366;653.0;713.0;1405;427.0;716.0;226.0;36.0;271;;271;427;257;4263;1056.0;2835.0;372.0;664;223;1719;82;3070;8760;2612;1091.0;1044.0;98.0;379.0;6148;27204;19113;1822;959.0;870.0;2240.0;624.0;1036.0;496.0;69.0;484;;484;469;349;6688;1416.0;4685.0;557.0;980;272;2261;75;3625;8155;3440;1415.0;1448.0;105.0;463.0;4830;0.0;-2.1;-4.0;-3.4;-4.7;1.6;2.3;2.4;-2.0;2.8;4.5;;4.5;2.1;0.4;-3.1;-1.3;-3.0;-8.8;-2.4;1.1;-4.7;-4.1;-1.2;3.3;0.2;0.3;0.7;-0.1;-1.1;4.5;82.7;71.9;75.0;68.1;81.9;62.7;68.5;69.1;45.6;52.1;56.0;;56.0;91.1;73.5;63.7;74.6;60.5;66.7;67.7;82.1;76.1;109.0;84.7;107.4;75.9;77.1;72.1;93.1;81.8;127.3;6148;292;538;6394;2017;4377;4830;362.0;1368.0;5680.0;;;4.5;-10.7;41.1;7.6;;;127.3;80.5;39.3;112.6;;;4377;497;1110;112;2882;173;67;106;92.3;6.0
9;2004;22575;14437;1331;580.0;751.0;1434;439.0;694.0;267.0;35.0;281;;281;473;275;4715;1172.0;3060.0;483.0;702;235;1759;81;3152;8138;2666;1107.0;1091.0;93.0;375.0;5472;28706;19978;1817;915.0;901.0;2320.0;647.0;1069.0;521.0;70.0;487;;487;500;368;6985;1459.0;4827.0;663.0;1012;282;2234;77;4017;8733;3464;1418.0;1486.0;105.0;450.0;5303;5.5;4.5;-0.3;-4.5;3.6;3.6;3.7;3.2;5.0;1.8;0.6;;0.6;6.6;5.2;4.4;3.1;3.0;19.0;3.2;3.9;-1.2;2.7;10.8;7.1;0.7;0.2;2.6;-0.3;-2.8;9.8;78.6;72.3;73.3;63.3;83.4;61.8;67.9;65.0;51.2;49.6;57.7;;57.7;94.6;74.7;67.5;80.3;63.4;72.8;69.3;83.2;78.7;104.2;78.5;93.2;77.0;78.1;73.4;88.4;83.4;103.2;5472;292;530;5709;2003;3707;5303;357.0;1577.0;6293.0;;;9.8;-1.5;15.3;10.8;;;103.2;81.9;33.6;90.7;;;3707;517;1045;102;2247;168;66;102;83.8;-9.1
