ID;Cilinderinhoud;LeeftijdVoertuig;Perioden;Jaarkilometrage_1
0;Totaal cilinderinhoud;Totaal alle leeftijden;2003;3781
1;Totaal cilinderinhoud;Totaal alle leeftijden;2004;4149
2;Totaal cilinderinhoud;< 1 jaar;2003;6746
3;Totaal cilinderinhoud;< 1 jaar;2004;5501
4;Totaal cilinderinhoud;1 en 2 jaar;2003;8051
5;Totaal cilinderinhoud;1 en 2 jaar;2004;7932
6;Totaal cilinderinhoud;3 en 4 jaar;2003;6076
7;Totaal cilinderinhoud;3 en 4 jaar;2004;6719
8;Totaal cilinderinhoud;5 en 6 jaar;2003;5141
9;Totaal cilinderinhoud;5 en 6 jaar;2004;5591
10;Totaal cilinderinhoud;7 en 8 jaar;2003;4533
11;Totaal cilinderinhoud;7 en 8 jaar;2004;4754
12;Totaal cilinderinhoud;9 en 10 jaar;2003;4259
13;Totaal cilinderinhoud;9 en 10 jaar;2004;4217
14;Totaal cilinderinhoud;meer dan 10 jaar;2003;2621
15;Totaal cilinderinhoud;meer dan 10 jaar;2004;3191
16;t/m 750 cc;Totaal alle leeftijden;2003;3185
17;t/m 750 cc;Totaal alle leeftijden;2004;3463
18;t/m 750 cc;< 1 jaar;2003;6051
19;t/m 750 cc;< 1 jaar;2004;4146
20;t/m 750 cc;1 en 2 jaar;2003;7255
21;t/m 750 cc;1 en 2 jaar;2004;6506
22;t/m 750 cc;3 en 4 jaar;2003;5223
23;t/m 750 cc;3 en 4 jaar;2004;5418
24;t/m 750 cc;5 en 6 jaar;2003;4413
25;t/m 750 cc;5 en 6 jaar;2004;4487
26;t/m 750 cc;7 en 8 jaar;2003;4002
27;t/m 750 cc;7 en 8 jaar;2004;4123
28;t/m 750 cc;9 en 10 jaar;2003;3759
29;t/m 750 cc;9 en 10 jaar;2004;3727
30;t/m 750 cc;meer dan 10 jaar;2003;2445
31;t/m 750 cc;meer dan 10 jaar;2004;2952
32;meer dan 750 cc;Totaal alle leeftijden;2003;4834
33;meer dan 750 cc;Totaal alle leeftijden;2004;5310
34;meer dan 750 cc;< 1 jaar;2003;7313
35;meer dan 750 cc;< 1 jaar;2004;6753
36;meer dan 750 cc;1 en 2 jaar;2003;8677
37;meer dan 750 cc;1 en 2 jaar;2004;9014
38;meer dan 750 cc;3 en 4 jaar;2003;6870
39;meer dan 750 cc;3 en 4 jaar;2004;7883
40;meer dan 750 cc;5 en 6 jaar;2003;5815
41;meer dan 750 cc;5 en 6 jaar;2004;6593
42;meer dan 750 cc;7 en 8 jaar;2003;5191
43;meer dan 750 cc;7 en 8 jaar;2004;5400
44;meer dan 750 cc;9 en 10 jaar;2003;5042
45;meer dan 750 cc;9 en 10 jaar;2004;4904
46;meer dan 750 cc;meer dan 10 jaar;2003;3071
47;meer dan 750 cc;meer dan 10 jaar;2004;3773
