ID;Banen;VerwachtEffectOpDeWerkgelegenheid;InternationaleVerplaatsingIn20012006_1;PlannenIntVerplaatsingIn20072009_2;InternationaleVerplaatsingIn20012006_3;PlannenIntVerplaatsingIn20072009_4
0;1;0;628;209;100;100
1;1;1;11;11;2;5
2;1;2;168;61;27;29
3;1;3;142;81;23;39
4;1;4;115;17;18;8
5;1;5;192;39;31;19
6;2;0;628;209;100;100
7;2;1;43;49;7;23
8;2;2;161;92;26;44
9;2;3;111;39;18;19
10;2;4;119;20;19;10
11;2;5;194;9;31;4
12;3;0;628;209;100;100
13;3;1;16;9;3;4
14;3;2;149;24;24;11
15;3;3;143;100;23;48
16;3;4;123;55;20;26
17;3;5;197;21;31;10
18;4;0;628;209;100;100
19;4;1;31;6;5;3
20;4;2;111;43;18;21
21;4;3;172;94;27;45
22;4;4;113;50;18;24
23;4;5;201;16;32;8
