ID;Perioden;AantalWoninghypotheken_1;AantalTransacties_2;OversluitingenEnTweedeHypotheken_3
0;1995 1e kwartaal;68;48;20
1;1995 2e kwartaal;82;54;28
2;1995 3e kwartaal;86;55;31
3;1995 4e kwartaal;114;67;47
4;1996 1e kwartaal;101;53;48
5;1996 2e kwartaal;122;64;58
6;1996 3e kwartaal;110;68;42
7;1996 4e kwartaal;137;73;64
8;1997 1e kwartaal;106;55;51
9;1997 2e kwartaal;152;71;81
10;1997 3e kwartaal;129;76;53
11;1997 4e kwartaal;149;79;70
12;1998 1e kwartaal;108;55;53
13;1998 2e kwartaal;145;71;74
14;1998 3e kwartaal;142;71;71
15;1998 4e kwartaal;182;83;99
16;1999 1e kwartaal;137;61;76
17;1999 2e kwartaal;176;71;105
18;1999 3e kwartaal;183;75;108
19;1999 4e kwartaal;170;85;85
20;2000 1e kwartaal;114;56;58
21;2000 2e kwartaal;125;67;58
22;2000 3e kwartaal;125;65;60
23;2000 4e kwartaal;147;81;66
24;2001 1e kwartaal;100;53;47
25;2001 2e kwartaal;120;64;56
26;2001 3e kwartaal;124;67;57
27;2001 4e kwartaal;137;81;56
28;2002 1e kwartaal;115;57;58
29;2002 2e kwartaal;127;64;63
30;2002 3e kwartaal;124;68;56
31;2002 4e kwartaal;134;78;56
32;2003 1e kwartaal;106;51;55
33;2003 2e kwartaal;134;60;74
34;2003 3e kwartaal;139;65;74
35;2003 4e kwartaal;161;74;87
