ID;Geslacht;Persoonskenmerken;RegioS;WmoClientenGebruikWlz2019Totaal_1;WmoClienten2018InstroomWlz2019_2;SamenloopWmoWlz2018Wlz2019_3;WmoClientenGebruikWlz2019Totaal_4;WmoClienten2018InstroomWlzIn2019_5;SamenloopWmoWlz2018WlzIn2019_6;WmoClientenGebruikWlz2019Totaal_7;WmoClienten2018InstroomWlzIn2019_8;SamenloopWmoWlz2018WlzIn2019_9
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aa en Hunze;245.0;70.0;170.0;18.52;5.41;13.11;11.0;3.0;8.0
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalburg;160.0;25.0;135.0;22.13;3.18;18.95;15.0;2.0;13.0
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalsmeer;;;;;;;;;
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalten;250.0;85.0;165.0;16.46;5.66;10.8;11.0;4.0;7.0
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Achtkarspelen;290.0;70.0;220.0;16.76;4.1;12.66;13.0;3.0;10.0
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alblasserdam;210.0;50.0;160.0;18.19;4.4;13.79;13.0;3.0;10.0
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Albrandswaard;275.0;50.0;225.0;22.45;3.95;18.5;13.0;2.0;11.0
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alkmaar;965.0;225.0;740.0;15.37;3.62;11.76;11.0;2.0;8.0
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almelo;415.0;225.0;190.0;9.74;5.28;4.46;7.0;4.0;3.0
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almere;1515.0;350.0;1160.0;15.86;3.68;12.18;9.0;2.0;7.0
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen aan den Rijn;715.0;205.0;510.0;19.97;5.7;14.27;8.0;2.0;6.0
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen-Chaam;70.0;20.0;50.0;19.77;5.52;14.24;8.0;2.0;6.0
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Altena;;;;;;;;;
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Ameland;30.0;5.0;25.0;15.38;2.88;12.5;11.0;2.0;9.0
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amersfoort;1525.0;340.0;1185.0;16.14;3.59;12.55;12.0;3.0;10.0
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amstelveen;;;;;;;;;
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amsterdam;7860.0;1695.0;6165.0;12.52;2.7;9.81;10.0;2.0;8.0
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Apeldoorn;2530.0;445.0;2085.0;24.01;4.24;19.77;19.0;3.0;15.0
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Appingedam;;;;;;;;;
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Arnhem;1935.0;390.0;1550.0;16.19;3.24;12.95;15.0;3.0;12.0
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Assen;925.0;210.0;715.0;19.36;4.38;14.98;17.0;4.0;13.0
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Asten;255.0;40.0;215.0;24.52;3.93;20.59;18.0;3.0;15.0
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Baarle-Nassau;60.0;15.0;45.0;17.73;4.36;13.37;10.0;3.0;8.0
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Baarn;605.0;60.0;545.0;34.32;3.36;30.96;29.0;3.0;26.0
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Barendrecht;495.0;105.0;385.0;21.21;4.6;16.61;13.0;3.0;10.0
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Barneveld;520.0;95.0;425.0;26.02;4.76;21.25;12.0;2.0;10.0
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bedum;;;;;;;;;
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beek (L.);215.0;55.0;160.0;19.04;4.96;14.08;15.0;4.0;11.0
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beekdaelen;;;;;;;;;
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beemster;135.0;20.0;120.0;29.12;3.85;25.27;17.0;2.0;15.0
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beesel;110.0;40.0;70.0;16.8;5.86;10.94;10.0;3.0;6.0
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bellingwedde;;;;;;;;;
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Berg en Dal;440.0;105.0;335.0;21.29;5.12;16.18;15.0;4.0;11.0
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergeijk;175.0;45.0;130.0;19.35;5.03;14.32;11.0;3.0;8.0
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergen (L.);80.0;25.0;55.0;12.31;4.15;8.15;7.0;2.0;5.0
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergen (NH.);575.0;105.0;470.0;32.32;5.95;26.37;22.0;4.0;18.0
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergen op Zoom;;;;;;;;;
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Berkelland;370.0;140.0;235.0;17.06;6.37;10.68;10.0;4.0;6.0
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bernheze;380.0;75.0;305.0;24.71;4.81;19.9;15.0;3.0;12.0
39;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Best;220.0;70.0;155.0;16.09;4.93;11.16;9.0;3.0;6.0
40;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beuningen;;;;;;;;;
41;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beverwijk;435.0;105.0;330.0;18.08;4.41;13.67;13.0;3.0;10.0
42;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;het Bildt;;;;;;;;;
43;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;De Bilt;465.0;115.0;350.0;20.61;5.08;15.54;13.0;3.0;10.0
44;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Binnenmaas;230.0;60.0;175.0;19.64;5.0;14.65;10.0;2.0;7.0
45;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bladel;;;;;;;;;
46;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Blaricum;30.0;10.0;20.0;14.43;4.64;9.79;3.0;1.0;2.0
47;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bloemendaal;415.0;65.0;345.0;29.0;4.63;24.37;22.0;3.0;18.0
48;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bodegraven-Reeuwijk;300.0;85.0;215.0;20.0;5.58;14.42;11.0;3.0;8.0
49;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boekel;145.0;35.0;115.0;30.31;7.01;23.3;17.0;4.0;13.0
50;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Ten Boer;115.0;20.0;95.0;25.45;4.24;21.21;19.0;3.0;16.0
51;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borger-Odoorn;310.0;75.0;235.0;16.13;3.82;12.3;14.0;3.0;11.0
52;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borne;240.0;65.0;175.0;16.57;4.39;12.19;13.0;3.0;9.0
53;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borsele;290.0;55.0;235.0;20.31;3.79;16.51;16.0;3.0;13.0
54;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boxmeer;;;;;;;;;
55;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boxtel;360.0;85.0;275.0;22.74;5.4;17.34;14.0;3.0;11.0
56;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Breda;2915.0;575.0;2340.0;19.72;3.88;15.85;19.0;4.0;15.0
57;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Brielle;220.0;35.0;185.0;20.74;3.2;17.53;15.0;2.0;13.0
58;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bronckhorst;455.0;135.0;325.0;21.9;6.39;15.51;15.0;4.0;11.0
59;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Brummen;280.0;60.0;220.0;20.04;4.25;15.79;16.0;3.0;12.0
60;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Brunssum;490.0;105.0;385.0;19.88;4.26;15.62;20.0;4.0;16.0
61;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bunnik;190.0;50.0;140.0;25.13;6.84;18.29;16.0;4.0;11.0
62;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bunschoten;285.0;50.0;235.0;28.37;5.09;23.28;17.0;3.0;14.0
63;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Buren;;;;;;;;;
64;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bussum;;;;;;;;;
65;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Capelle aan den IJssel;805.0;175.0;625.0;19.1;4.2;14.89;14.0;3.0;11.0
66;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Castricum;445.0;105.0;340.0;26.3;6.1;20.2;15.0;3.0;11.0
67;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Coevorden;;;;;;;;;
68;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Cranendonck;240.0;65.0;170.0;22.33;6.19;16.14;13.0;4.0;10.0
69;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Cromstrijen;110.0;20.0;90.0;19.86;3.9;15.96;10.0;2.0;8.0
70;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Cuijk;235.0;60.0;170.0;18.89;5.0;13.88;11.0;3.0;8.0
71;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Culemborg;80.0;35.0;45.0;10.12;4.32;5.8;4.0;2.0;2.0
72;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Dalfsen;270.0;65.0;210.0;20.53;4.77;15.76;12.0;3.0;9.0
73;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Dantumadiel;220.0;40.0;180.0;21.84;4.15;17.69;14.0;3.0;12.0
74;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Delft;1220.0;320.0;900.0;17.81;4.67;13.14;13.0;3.0;10.0
75;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Delfzijl;;;;;;;;;
76;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Deurne;480.0;65.0;410.0;18.37;2.54;15.83;18.0;2.0;15.0
