ID;Projectgrootte;DoorlooptijdVanGereedgekomenWoningen;RegioS;Perioden;GereedgekomenWoningen_1
0;0;1;Nederland;1995;11
1;0;1;Nederland;1996;10
2;0;1;Nederland;1997;10
3;0;1;Nederland;1998;9
4;0;1;Nederland;1999;6
5;0;1;Nederland;2000;8
6;0;1;Nederland;2001;9
7;0;1;Nederland;2002;11
8;0;1;Nederland;2003;11
9;0;1;Nederland;2004;11
10;0;1;Nederland;2005;10
11;0;1;Nederland;2006;8
12;0;1;Nederland;2007;8
13;0;1;Nederland;2008;8
14;0;1;Nederland;2009;8
15;0;1;Nederland;2010;7
16;0;1;Nederland;2011;7
17;0;1;Noord-Nederland (LD);1995;19
18;0;1;Noord-Nederland (LD);1996;18
19;0;1;Noord-Nederland (LD);1997;16
20;0;1;Noord-Nederland (LD);1998;20
21;0;1;Noord-Nederland (LD);1999;11
22;0;1;Noord-Nederland (LD);2000;11
23;0;1;Noord-Nederland (LD);2001;11
24;0;1;Noord-Nederland (LD);2002;13
25;0;1;Noord-Nederland (LD);2003;7
26;0;1;Noord-Nederland (LD);2004;16
27;0;1;Noord-Nederland (LD);2005;13
28;0;1;Noord-Nederland (LD);2006;10
29;0;1;Noord-Nederland (LD);2007;8
30;0;1;Noord-Nederland (LD);2008;11
31;0;1;Noord-Nederland (LD);2009;5
32;0;1;Noord-Nederland (LD);2010;11
33;0;1;Noord-Nederland (LD);2011;16
34;0;1;Oost-Nederland (LD);1995;12
35;0;1;Oost-Nederland (LD);1996;12
36;0;1;Oost-Nederland (LD);1997;11
37;0;1;Oost-Nederland (LD);1998;12
38;0;1;Oost-Nederland (LD);1999;4
39;0;1;Oost-Nederland (LD);2000;7
40;0;1;Oost-Nederland (LD);2001;8
41;0;1;Oost-Nederland (LD);2002;11
42;0;1;Oost-Nederland (LD);2003;13
43;0;1;Oost-Nederland (LD);2004;12
44;0;1;Oost-Nederland (LD);2005;13
45;0;1;Oost-Nederland (LD);2006;8
46;0;1;Oost-Nederland (LD);2007;12
47;0;1;Oost-Nederland (LD);2008;5
48;0;1;Oost-Nederland (LD);2009;6
49;0;1;Oost-Nederland (LD);2010;5
50;0;1;Oost-Nederland (LD);2011;7
51;0;1;West-Nederland (LD);1995;11
52;0;1;West-Nederland (LD);1996;7
53;0;1;West-Nederland (LD);1997;10
54;0;1;West-Nederland (LD);1998;7
55;0;1;West-Nederland (LD);1999;6
56;0;1;West-Nederland (LD);2000;8
57;0;1;West-Nederland (LD);2001;10
58;0;1;West-Nederland (LD);2002;10
59;0;1;West-Nederland (LD);2003;10
60;0;1;West-Nederland (LD);2004;11
61;0;1;West-Nederland (LD);2005;8
62;0;1;West-Nederland (LD);2006;7
63;0;1;West-Nederland (LD);2007;8
64;0;1;West-Nederland (LD);2008;9
65;0;1;West-Nederland (LD);2009;11
66;0;1;West-Nederland (LD);2010;9
67;0;1;West-Nederland (LD);2011;7
68;0;1;Zuid-Nederland (LD);1995;6
69;0;1;Zuid-Nederland (LD);1996;8
70;0;1;Zuid-Nederland (LD);1997;6
71;0;1;Zuid-Nederland (LD);1998;8
72;0;1;Zuid-Nederland (LD);1999;8
73;0;1;Zuid-Nederland (LD);2000;8
74;0;1;Zuid-Nederland (LD);2001;6
75;0;1;Zuid-Nederland (LD);2002;9
76;0;1;Zuid-Nederland (LD);2003;11
77;0;1;Zuid-Nederland (LD);2004;8
