ID;Overheidsfuncties;Perioden;LastenTotaal_1;BatenTotaal_2;OverdrachtenVanRijk_3;OverdrachtenVanGemeenten_4;InkomstenUitVerkopenAanGemeenten_5;OverigeInkomsten_6
0;0;1998;5362.77;5362.77;2328.35;612.6;416.12;2005.71
1;0;1999;5139.51;5139.51;2267.99;641.65;432.45;1798.33
2;0;2000;5867.0;5867.0;2447.0;867.0;294.0;2259.0
3;0;2001;6642.0;6642.0;2792.0;782.0;309.0;2760.0
4;0;2002;7024.0;7024.0;2973.0;744.15;329.14;2977.37
5;0;2003;6910.0;6910.0;2847.0;838.0;326.0;2899.0
6;100;1998;863.09;838.13;8.62;27.23;12.25;768.25
7;100;1999;827.69;816.35;7.27;21.78;0.45;807.73
8;100;2000;900.0;894.0;8.0;28.0;0.0;858.0
9;100;2001;990.0;983.0;9.0;24.0;0.0;950.0
10;100;2002;1129.0;1115.0;6.44;26.0;0.0;1082.12
11;100;2003;1364.0;1383.0;9.0;37.0;0.0;1335.0
12;101;1998;20.42;18.6;4.99;9.53;0.0;20.42
13;101;1999;31.31;34.94;1.82;2.72;0.0;13.61
14;101;2000;22.0;20.0;1.0;4.0;0.0;15.0
15;101;2001;22.0;19.0;0.0;3.0;0.0;16.0
16;101;2002;209.0;204.0;0.0;3.0;0.0;201.0
17;101;2003;253.0;253.0;0.0;4.0;0.0;248.0
18;102;1998;842.67;819.53;3.63;17.7;12.25;747.83
19;102;1999;796.38;781.41;5.45;19.06;0.45;794.12
20;102;2000;878.0;874.0;7.0;24.0;0.0;843.0
21;102;2001;968.0;964.0;9.0;21.0;0.0;934.0
22;102;2002;920.0;911.0;6.44;23.0;0.0;881.12
23;102;2003;1111.0;1130.0;9.0;33.0;0.0;1087.0
24;200;1998;99.82;89.85;10.44;32.22;4.99;34.48
25;200;1999;85.76;82.14;13.16;38.57;0.0;37.66
26;200;2000;95.0;86.0;18.0;39.0;1.0;28.0
27;200;2001;125.0;112.0;31.0;45.0;2.0;34.0
28;200;2002;164.0;142.0;35.0;56.0;1.2;50.0
29;200;2003;256.0;252.0;72.0;84.0;1.0;95.0
30;201;1998;0.45;0.0;0.0;0.0;0.0;0.0
31;201;1999;0.45;0.0;0.0;0.0;0.0;0.0
32;201;2000;0.0;0.0;0.0;0.0;0.0;0.0
33;201;2001;0.0;0.0;0.0;0.0;0.0;0.0
34;201;2002;1.0;0.0;0.0;0.0;0.0;0.0
35;201;2003;1.0;0.0;0.0;0.0;0.0;0.0
36;202;1998;98.92;88.94;10.44;32.22;4.54;34.03
37;202;1999;84.4;81.23;13.16;38.57;0.0;37.21
38;202;2000;94.0;85.0;18.0;39.0;1.0;27.0
39;202;2001;124.0;111.0;31.0;45.0;2.0;33.0
40;202;2002;161.0;140.0;35.0;56.0;1.2;48.0
41;202;2003;253.0;250.0;72.0;84.0;1.0;93.0
42;203;1998;0.45;0.91;0.0;0.0;0.45;0.45
43;203;1999;0.91;0.91;0.0;0.0;0.0;0.45
44;203;2000;1.0;1.0;0.0;0.0;0.0;1.0
45;203;2001;1.0;1.0;0.0;0.0;0.0;1.0
46;203;2002;2.0;2.0;0.0;0.0;0.0;2.0
47;203;2003;2.0;2.0;0.0;0.0;0.0;2.0
48;300;1998;920.26;914.82;752.82;6.81;14.52;32.22
49;300;1999;810.0;806.82;838.13;5.89;0.45;69.89
50;300;2000;1206.0;1202.0;922.0;41.0;0.0;237.0
51;300;2001;1233.0;1210.0;1086.0;22.0;0.0;101.0
52;300;2002;1333.13;1252.41;1108.83;10.38;0.0;132.66
53;300;2003;1225.0;1205.0;910.0;86.0;0.0;210.0
54;301;1998;31.76;34.94;26.77;3.63;0.0;6.81
55;301;1999;37.21;37.66;24.05;4.99;0.0;5.9
56;301;2000;267.0;268.0;137.0;5.0;0.0;125.0
57;301;2001;296.0;288.0;233.0;7.0;0.0;48.0
58;301;2002;250.0;175.0;107.43;7.38;0.0;60.0
59;301;2003;230.0;168.0;99.0;61.0;0.0;9.0
60;302;1998;134.77;127.06;83.95;3.18;13.16;-4.54
61;302;1999;98.47;95.75;97.56;0.45;0.0;28.59
62;302;2000;73.0;71.0;17.0;0.0;0.0;54.0
63;302;2001;41.0;34.0;6.0;1.0;0.0;26.0
64;302;2002;62.0;58.0;35.0;0.0;0.0;23.0
65;302;2003;57.0;56.0;32.0;0.0;0.0;24.0
66;303;1998;722.42;721.51;641.65;0.0;0.0;9.98
67;303;1999;652.54;651.63;716.07;0.45;0.0;4.99
68;303;2000;854.0;852.0;768.0;36.0;0.0;47.0
69;303;2001;884.0;876.0;847.0;14.0;0.0;15.0
70;303;2002;1020.99;1019.39;966.4;3.0;0.0;49.64
71;303;2003;938.0;981.0;779.0;25.0;0.0;177.0
72;304;1998;30.4;30.4;0.45;0.0;0.45;19.97
73;304;1999;20.87;20.87;0.45;0.0;0.45;29.5
74;304;2000;11.0;11.0;0.0;0.0;0.0;11.0
75;304;2001;11.0;11.0;0.0;0.0;0.0;11.0
76;304;2002;0.01;0.01;0.0;0.0;0.0;0.01
77;304;2003;0.0;0.0;0.0;0.0;0.0;0.0
78;305;1998;0.91;0.91;0.0;0.0;0.91;0.0
79;305;1999;0.91;0.91;0.0;0.0;0.0;0.91
80;305;2000;1.0;0.0;0.0;0.0;0.0;0.0
81;305;2001;1.0;1.0;0.0;0.0;0.0;1.0
82;305;2002;0.13;0.01;0.0;0.0;0.0;0.01
83;305;2003;0.0;0.0;0.0;0.0;0.0;0.0
84;400;1998;93.93;91.21;12.7;3.63;0.91;70.33
85;400;1999;91.22;88.04;25.87;8.17;5.9;50.37
86;400;2000;107.0;103.0;27.0;8.0;7.0;60.0
87;400;2001;589.0;587.0;89.0;5.0;1.0;492.0
88;400;2002;533.56;531.0;117.24;10.45;0.0;403.0
89;400;2003;402.0;398.0;118.0;3.0;0.0;277.0
90;401;1998;14.97;13.61;0.0;3.18;0.0;3.63
91;401;1999;8.17;7.26;0.0;6.81;0.45;5.9
92;401;2000;17.0;15.0;1.0;7.0;1.0;7.0
93;401;2001;477.0;476.0;70.0;4.0;1.0;401.0
94;401;2002;420.56;420.0;91.24;10.45;0.0;318.0
95;401;2003;318.0;360.0;97.0;3.0;0.0;260.0
96;402;1998;59.9;59.45;8.62;0.45;0.0;49.46
97;402;1999;59.45;58.54;25.87;0.0;0.0;33.13
98;402;2000;67.0;66.0;26.0;0.0;0.0;39.0
99;402;2001;54.0;53.0;14.0;1.0;0.0;38.0
100;402;2002;64.0;63.0;21.0;0.0;0.0;42.0
