ID;Bedrijfskenmerken;Perioden;OpenstaandeVacatures_1;OntstaneVacatures_2;VervuldeVacatures_3
0;A-U Alle economische activiteiten;1997 1e kwartaal;89.8;152.3;142.0
1;A-U Alle economische activiteiten;1997 2e kwartaal;101.7;190.4;178.5
2;A-U Alle economische activiteiten;1997 3e kwartaal;92.7;183.4;192.4
3;A-U Alle economische activiteiten;1997 4e kwartaal;116.2;189.1;165.6
4;A-U Alle economische activiteiten;1997 jaargem. /jaartotaal;;715.0;679.0
5;A-U Alle economische activiteiten;1998 1e kwartaal;134.2;220.1;202.3
6;A-U Alle economische activiteiten;1998 2e kwartaal;153.3;230.0;210.9
7;A-U Alle economische activiteiten;1998 3e kwartaal;129.7;208.1;231.7
8;A-U Alle economische activiteiten;1998 4e kwartaal;137.6;197.2;189.3
9;A-U Alle economische activiteiten;1998 jaargem. /jaartotaal;136.0;855.0;834.0
10;A-U Alle economische activiteiten;1999 1e kwartaal;158.8;241.3;220.7
11;A-U Alle economische activiteiten;1999 2e kwartaal;197.1;266.0;227.8
12;A-U Alle economische activiteiten;1999 3e kwartaal;171.1;216.7;242.6
13;A-U Alle economische activiteiten;1999 4e kwartaal;184.4;226.1;212.8
14;A-U Alle economische activiteiten;1999 jaargem. /jaartotaal;172.0;950.0;904.0
15;A-U Alle economische activiteiten;2000 1e kwartaal;216.6;283.9;251.7
16;A-U Alle economische activiteiten;2000 2e kwartaal;219.3;251.3;248.6
17;A-U Alle economische activiteiten;2000 3e kwartaal;184.2;228.9;264.0
18;A-U Alle economische activiteiten;2000 4e kwartaal;205.3;254.1;233.0
19;A-U Alle economische activiteiten;2000 jaargem. /jaartotaal;203.7;1018.0;997.0
20;A-U Alle economische activiteiten;2001 1e kwartaal;216.8;270.3;258.7
21;A-U Alle economische activiteiten;2001 2e kwartaal;219.4;274.0;271.4
22;A-U Alle economische activiteiten;2001 3e kwartaal;172.1;210.1;257.3
23;A-U Alle economische activiteiten;2001 4e kwartaal;165.3;194.4;201.3
24;A-U Alle economische activiteiten;2001 jaargem. /jaartotaal;198.4;949.0;989.0
25;A-U Alle economische activiteiten;2002 1e kwartaal;178.9;213.8;199.9
