ID;Gewassen;BiologischeBestrijders;Perioden;AantalBedrijvenMetToepassing_1;PercentageVanBedrijvenMetToepassing_2;GrootteOppervlakteMetToepassing_3;PercentageOppervlakteMetToepassing_4;Januari_5;Februari_6;Maart_7;April_8;Mei_9;Juni_10;Juli_11;Augustus_12;September_13;Oktober_14;November_15;December_16;Aantal_17;Januari_18;Februari_19;Maart_20;April_21;Mei_22;Juni_23;Juli_24;Augustus_25;September_26;Oktober_27;November_28;December_29;AantalPerBedrijf_30;DoseringPerBedrijf_31;AantalPerHa_32;DoseringPerHa_33;AandeelVanEenSoortPerGewas_34;AandeelVanEenGewasPerSoort_35
0;Totaal groenten onder glas;Totaal bestrijders;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Totaal groenten onder glas;Totaal bestrijders;1998;;;3002.0;99.2;53.7;86.4;91.1;84.6;78.9;61.4;44.8;19.9;12.2;1.4;0.7;3.8;4041042.0;21.0;24.0;11.5;6.5;7.7;9.8;8.7;4.0;5.1;0.3;0.0;1.5;;;1335.0;1346.3;100.0;100.0
2;Totaal groenten onder glas;Totaal bestrijders;2000;;;2946.0;99.8;46.4;78.4;88.1;81.6;84.2;63.8;40.6;25.0;9.1;0.9;0.8;3.9;4184236.0;23.1;20.2;11.7;9.1;12.2;10.6;3.0;5.9;2.1;0.1;0.0;2.1;;;1417.9;1420.5;100.0;100.0
3;Totaal groenten onder glas;Totaal bestrijders;2004;;;3064.0;93.1;40.2;68.4;73.4;70.9;57.5;47.4;23.6;13.7;5.9;1.6;2.3;1.4;5469443.0;17.1;24.7;13.9;7.8;7.6;11.5;4.6;7.4;5.5;0.0;0.1;0.0;;;1663.0;1785.3;100.0;100.0
4;Totaal groenten onder glas;Totaal bestrijders;2008;;;3428.0;93.3;44.4;62.3;73.5;69.0;60.2;47.2;24.8;14.7;6.7;1.3;0.5;11.0;4729279.0;24.9;18.9;17.7;12.1;4.4;3.9;4.2;4.5;3.7;0.3;0.0;5.4;;;1286.8;1379.7;100.0;100.0
5;Totaal groenten onder glas;Totaal bestrijders;2012;;;3267.0;83.5;51.5;68.9;69.5;62.9;54.5;42.1;28.0;18.6;12.7;7.0;6.9;12.7;5222847.0;18.2;15.7;17.9;7.3;6.8;7.3;4.1;10.5;10.6;0.4;0.1;1.0;;;1334.3;1598.7;100.0;100.0
6;Totaal groenten onder glas;Aaltjes tegen keverlarven (Kraussei);1995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;Totaal groenten onder glas;Aaltjes tegen keverlarven (Kraussei);1998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;Totaal groenten onder glas;Aaltjes tegen keverlarven (Kraussei);2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;Totaal groenten onder glas;Aaltjes tegen keverlarven (Kraussei);2004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;Totaal groenten onder glas;Aaltjes tegen keverlarven (Kraussei);2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;Totaal groenten onder glas;Aaltjes tegen keverlarven (Kraussei);2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;Totaal groenten onder glas;Aaltjes tegen kevers (Heterorhabditis);1995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;Totaal groenten onder glas;Aaltjes tegen kevers (Heterorhabditis);1998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;Totaal groenten onder glas;Aaltjes tegen kevers (Heterorhabditis);2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;Totaal groenten onder glas;Aaltjes tegen kevers (Heterorhabditis);2004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;Totaal groenten onder glas;Aaltjes tegen kevers (Heterorhabditis);2008;;;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;
