ID;Gemeenten;Perioden;Totaal_1;BedrijvenEnInstellingen_2;Overige_3
0;Amsterdam;1993;424;386;38
1;Amsterdam;1994;437;392;45
2;Amsterdam;1995;401;350;51
3;Amsterdam;1996;341;291;50
4;Amsterdam;1997;379;329;50
5;Amsterdam;1998;374;322;52
6;Amsterdam;1999;232;211;21
7;Rotterdam;1993;416;368;48
8;Rotterdam;1994;411;350;61
9;Rotterdam;1995;418;384;34
10;Rotterdam;1996;383;318;65
11;Rotterdam;1997;332;280;52
12;Rotterdam;1998;242;197;45
13;Rotterdam;1999;269;212;57
14;s-Gravenhage;1993;242;217;25
15;s-Gravenhage;1994;228;204;24
16;s-Gravenhage;1995;227;180;47
17;s-Gravenhage;1996;184;155;29
18;s-Gravenhage;1997;248;205;43
19;s-Gravenhage;1998;196;161;35
20;s-Gravenhage;1999;106;86;20
21;Utrecht;1993;104;91;13
22;Utrecht;1994;93;74;19
23;Utrecht;1995;83;75;8
24;Utrecht;1996;79;66;13
25;Utrecht;1997;73;62;11
26;Utrecht;1998;62;59;3
27;Utrecht;1999;63;58;5
28;Eindhoven;1993;146;129;17
29;Eindhoven;1994;95;86;9
30;Eindhoven;1995;82;70;12
31;Eindhoven;1996;109;90;19
32;Eindhoven;1997;92;63;29
33;Eindhoven;1998;74;58;16
34;Eindhoven;1999;55;48;7
35;Groningen;1993;67;59;8
36;Groningen;1994;79;68;11
37;Groningen;1995;70;56;14
38;Groningen;1996;73;57;16
39;Groningen;1997;88;73;15
40;Groningen;1998;68;52;16
41;Groningen;1999;64;50;14
42;Tilburg;1993;77;71;6
43;Tilburg;1994;78;67;11
44;Tilburg;1995;43;36;7
45;Tilburg;1996;59;46;13
46;Tilburg;1997;46;40;6
47;Tilburg;1998;71;55;16
48;Tilburg;1999;40;35;5
49;Apeldoorn;1993;35;28;7
50;Apeldoorn;1994;77;67;10
51;Apeldoorn;1995;68;50;18
52;Apeldoorn;1996;55;44;11
53;Apeldoorn;1997;47;37;10
54;Apeldoorn;1998;52;43;9
55;Apeldoorn;1999;62;58;4
56;Enschede;1993;90;76;14
57;Enschede;1994;88;71;17
58;Enschede;1995;61;52;9
59;Enschede;1996;71;55;16
60;Enschede;1997;88;60;28
61;Enschede;1998;65;48;17
62;Enschede;1999;55;44;11
63;Haarlem;1993;75;70;5
64;Haarlem;1994;72;56;16
65;Haarlem;1995;64;49;15
66;Haarlem;1996;52;43;9
67;Haarlem;1997;53;42;11
68;Haarlem;1998;49;39;10
69;Haarlem;1999;42;34;8
70;Nijmegen;1993;53;47;6
71;Nijmegen;1994;33;29;4
72;Nijmegen;1995;39;34;5
73;Nijmegen;1996;46;39;7
74;Nijmegen;1997;35;27;8
75;Nijmegen;1998;45;41;4
76;Nijmegen;1999;43;39;4
77;Arnhem;1993;66;58;8
78;Arnhem;1994;58;46;12
79;Arnhem;1995;48;39;9
80;Arnhem;1996;61;51;10
81;Arnhem;1997;50;35;15
82;Arnhem;1998;37;28;9
83;Arnhem;1999;35;32;3
84;Zaanstad;1993;46;39;7
85;Zaanstad;1994;69;57;12
86;Zaanstad;1995;45;41;4
87;Zaanstad;1996;38;31;7
88;Zaanstad;1997;42;35;7
89;Zaanstad;1998;34;27;7
90;Zaanstad;1999;24;23;1
91;Breda;1993;82;65;17
92;Breda;1994;82;68;14
93;Breda;1995;76;64;12
94;Breda;1996;45;41;4
95;Breda;1997;54;48;6
96;Breda;1998;52;49;3
97;Breda;1999;41;36;5
98;s-Hertogenbosch;1993;55;46;9
99;s-Hertogenbosch;1994;60;47;13
100;s-Hertogenbosch;1995;65;55;10
101;s-Hertogenbosch;1996;70;60;10
102;s-Hertogenbosch;1997;67;51;16
103;s-Hertogenbosch;1998;61;48;13
104;s-Hertogenbosch;1999;42;39;3
105;Maastricht;1993;35;29;6
106;Maastricht;1994;46;38;8
107;Maastricht;1995;46;40;6
108;Maastricht;1996;36;32;4
109;Maastricht;1997;21;17;4
110;Maastricht;1998;40;30;10
111;Maastricht;1999;31;30;1
112;Leiden;1993;56;46;10
113;Leiden;1994;36;34;2
114;Leiden;1995;37;32;5
115;Leiden;1996;30;27;3
116;Leiden;1997;42;39;3
117;Leiden;1998;32;29;3
118;Leiden;1999;26;21;5
119;Dordrecht;1993;53;46;7
120;Dordrecht;1994;62;53;9
121;Dordrecht;1995;52;39;13
122;Dordrecht;1996;64;52;12
123;Dordrecht;1997;36;28;8
124;Dordrecht;1998;53;40;13
125;Dordrecht;1999;37;31;6
126;Amersfoort;1993;41;34;7
127;Amersfoort;1994;53;46;7
128;Amersfoort;1995;49;42;7
129;Amersfoort;1996;29;24;5
130;Amersfoort;1997;27;23;4
131;Amersfoort;1998;28;23;5
132;Amersfoort;1999;25;24;1
133;Almere;1993;0;0;0
134;Almere;1994;0;0;0
135;Almere;1995;53;39;14
136;Almere;1996;52;34;18
137;Almere;1997;54;39;15
138;Almere;1998;61;37;24
139;Almere;1999;33;29;4
140;Zoetermeer;1993;32;27;5
141;Zoetermeer;1994;42;35;7
142;Zoetermeer;1995;50;43;7
143;Zoetermeer;1996;34;30;4
144;Zoetermeer;1997;28;24;4
145;Zoetermeer;1998;30;24;6
146;Zoetermeer;1999;16;14;2
147;Haarlemmermeer;1993;74;71;3
148;Haarlemmermeer;1994;72;64;8
149;Haarlemmermeer;1995;62;52;4
150;Haarlemmermeer;1996;54;49;5
151;Haarlemmermeer;1997;59;51;8
152;Haarlemmermeer;1998;59;52;7
153;Haarlemmermeer;1999;48;45;3
154;Zwolle;1993;0;0;0
155;Zwolle;1994;0;0;0
156;Zwolle;1995;36;32;4
157;Zwolle;1996;25;19;6
158;Zwolle;1997;28;23;5
159;Zwolle;1998;30;26;4
160;Zwolle;1999;22;21;1
161;Emmen;1993;0;0;0
162;Emmen;1994;0;0;0
163;Emmen;1995;0;0;0
164;Emmen;1996;0;0;0
165;Emmen;1997;0;0;0
166;Emmen;1998;0;0;0
167;Emmen;1999;33;26;7
168;Ede;1993;0;0;0
