ID;Periods;IndicesStocksOfFinishedGoods_1;YearOnYearChange_2
0;2018 January;105.1;
1;2018 February;106.5;
2;2018 March;104.3;
3;2018 1st quarter;105.3;
4;2018 April;105.0;
5;2018 May;107.6;
6;2018 June;105.1;
7;2018 2nd quarter;105.9;
8;2018 July;110.4;
9;2018 August;108.7;
10;2018 September;104.5;
11;2018 3rd quarter;107.9;
12;2018 October;109.3;
13;2018 November;106.0;
14;2018 December;104.3;
15;2018 4th quarter;106.5;
16;2018;106.4;
17;2019 January;111.0;5.6
18;2019 February;112.9;6.0
19;2019 March;114.4;9.7
20;2019 1st quarter;112.8;7.1
21;2019 April;111.0;5.7
22;2019 May;110.7;2.9
23;2019 June;111.8;6.4
24;2019 2nd quarter;111.2;5.0
25;2019 July;116.9;5.9
26;2019 August;119.8;10.2
27;2019 September;109.8;5.1
28;2019 3rd quarter;115.5;7.1
29;2019 October;114.9;5.1
30;2019 November;119.7;12.9
31;2019 December;103.0;-1.2
32;2019 4th quarter;112.5;5.6
33;2019;113.0;6.2
34;2020 January;103.0;-7.2
35;2020 February;103.6;-8.2
36;2020 March;99.3;-13.2
37;2020 1st quarter;102.0;-9.6
38;2020 April;102.2;-7.9
39;2020 May;106.9;-3.4
40;2020 June;104.4;-6.6
41;2020 2nd quarter;104.5;-6.0
42;2020 July;102.1;-12.7
43;2020 August;104.8;-12.5
44;2020 September;102.3;-6.8
45;2020 3rd quarter;103.1;-10.8
46;2020 October;100.5;-12.5
47;2020 November;102.3;-14.5
48;2020 December;100.5;-2.4
49;2020 4th quarter;101.1;-10.2
50;2020;102.7;-9.1
51;2021 January;98.6;-4.3
52;2021 February;99.5;-3.9
53;2021 March;99.7;0.5
54;2021 1st quarter;99.3;-2.6
55;2021 April;97.7;-4.4
56;2021 May;102.2;-4.4
57;2021 June;94.4;-9.6
58;2021 2nd quarter;98.1;-6.1
59;2021 July;101.0;-1.1
60;2021 August;102.1;-2.6
61;2021 September;99.3;-3.0
62;2021 3rd quarter;100.8;-2.2
63;2021 October;101.0;0.5
64;2021 November;101.3;-1.0
65;2021 December;103.2;2.6
66;2021 4th quarter;101.8;0.7
67;2021;100.0;-2.6
68;2022 January;103.3;4.8
69;2022 February;106.4;6.9
70;2022 March;103.8;4.1
71;2022 1st quarter;104.5;5.2
72;2022 April;104.3;6.7
73;2022 May;106.1;3.8
74;2022 June;108.8;15.2
75;2022 2nd quarter;106.4;8.4
76;2022 July;108.1;7.0
77;2022 August;112.2;9.9
78;2022 September;111.1;11.9
79;2022 3rd quarter;110.5;9.6
80;2022 October;113.1;12.0
81;2022 November;113.5;12.1
82;2022 December;111.1;7.7
83;2022 4th quarter;112.6;10.6
84;2022;108.5;8.5
85;2023 January;111.9;8.3
86;2023 February;114.1;7.2
87;2023 March;111.3;7.2
88;2023 1st quarter;112.4;7.6
89;2023 April;113.9;9.2
90;2023 May;113.6;7.1
91;2023 June;110.8;1.8
92;2023 2nd quarter;112.8;6.0
93;2023 July;113.1;4.6
94;2023 August;110.7;-1.3
95;2023 September;109.5;-1.4
96;2023 3rd quarter;111.1;0.6
97;2023 October;112.3;-0.7
98;2023 November;109.7;-3.3
99;2023 December;110.4;-0.6
100;2023 4th quarter;110.8;-1.6
101;2023;111.8;3.0
102;2024 January;109.2;-2.4
103;2024 February;109.2;-4.3
104;2024 March;110.1;-1.1
105;2024 1st quarter;109.5;-2.6
106;2024 April;112.0;-1.7
107;2024 May;111.7;-1.7
108;2024 June;111.7;0.8
109;2024 2nd quarter;111.8;-0.9
110;2024 July;112.0;-1.0
111;2024 August;112.5;1.6
112;2024 September;112.7;2.9
113;2024 3rd quarter;112.4;1.2
114;2024 October;113.1;0.7
115;2024 November;113.6;3.6
116;2024 December;110.6;0.2
117;2024 4th quarter;112.4;1.5
118;2024;111.5;-0.2
119;2025 January;114.6;4.9
