ID;Leeftijd;Perioden;TotaalParen_1;GeenKinderen_2;k_1Kind_3;k_2Kinderen_4;k_3OfMeerKinderen_5;TotaalEenouderhuishoudens_6;k_1Kind_7;k_2Kinderen_8;k_3OfMeerKinderen_9
0;Totaal over alle leeftijden;2009;4171137;2118386;740309;931874;380568;473623;281876;145666;46081
1;Totaal over alle leeftijden;2010;4183981;2137135;739199;931135;376512;480789;285705;148728;46356
2;Totaal over alle leeftijden;2011;4195544;2156258;738980;928763;371543;486957;289044;151380;46533
3;Totaal over alle leeftijden;2012;4206598;2175689;739484;925392;366033;492406;291963;153798;46645
4;Totaal over alle leeftijden;2013;4217411;2195306;740214;921537;360354;497218;294614;155910;46694
5;Totaal over alle leeftijden;2014;4228168;2213503;742031;918117;354517;501903;297327;157896;46680
6;Totaal over alle leeftijden;2015;4238465;2231576;743727;914533;348629;505858;299718;159565;46575
7;Totaal over alle leeftijden;2016;4248176;2248939;745866;910806;342565;509053;301683;160968;46402
8;Totaal over alle leeftijden;2017;4257278;2264721;748566;907432;336559;511862;303425;162275;46162
9;Totaal over alle leeftijden;2018;4265556;2279215;751522;904054;330765;514012;304805;163296;45911
10;Totaal over alle leeftijden;2019;4273041;2292136;755111;900568;325226;515684;305976;164070;45638
11;Totaal over alle leeftijden;2020;4279708;2303706;759441;896514;320047;516861;307052;164446;45363
12;Totaal over alle leeftijden;2021;4285562;2313839;763602;892497;315624;517662;308013;164560;45089
13;Totaal over alle leeftijden;2022;4290567;2321634;767322;889132;312479;518303;308888;164510;44905
14;Totaal over alle leeftijden;2023;4294519;2328351;769191;886744;310233;518506;309258;164473;44775
15;Totaal over alle leeftijden;2024;4297275;2333290;769962;885017;309006;518715;309572;164410;44733
16;Totaal over alle leeftijden;2025;4298620;2336787;768997;884569;308267;518454;309207;164513;44734
17;Totaal over alle leeftijden;2026;4298389;2338086;767071;885220;308012;518169;308795;164673;44701
18;Totaal over alle leeftijden;2027;4296531;2337099;764987;886493;307952;517823;308383;164796;44644
19;Totaal over alle leeftijden;2028;4292932;2333659;762351;888618;308304;517532;307875;165029;44628
20;Totaal over alle leeftijden;2029;4287646;2327744;759894;891225;308783;517369;307477;165267;44625
21;Totaal over alle leeftijden;2030;4280708;2319361;757806;894188;309353;517394;307208;165565;44621
22;Totaal over alle leeftijden;2031;4272213;2309301;755119;897560;310233;517309;306812;165850;44647
