ID;VrachtautoSEnTrekkersGewicht;Bouwjaren;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6;TotaalGemiddeldJaarkilometrage_7;GemiddeldJaarkilometrageInNederland_8;GemiddeldJaarkilometrageInBuitenland_9;NederlandseVrachtvoertuigenInGebruik_10
0;Vrachtauto's en trekkers voor oplegger;Totaal alle bouwjaren;2018;7252.8;6364.9;887.9;9231.2;6364.9;2866.3;59486.0;41015.0;18471.0;155183.0
1;Vrachtauto's en trekkers voor oplegger;Totaal alle bouwjaren;2019;7312.2;6405.5;906.7;9136.9;6405.5;2731.4;57702.0;40453.0;17249.0;158346.0
2;Vrachtauto's en trekkers voor oplegger;Totaal alle bouwjaren;2020;7282.8;6331.5;951.3;8925.6;6331.5;2594.1;57596.0;40857.0;16740.0;154968.0
3;Vrachtauto's en trekkers voor oplegger;Totaal alle bouwjaren;2021;7413.1;6446.2;966.9;9209.1;6446.2;2762.9;59277.0;41493.0;17784.0;155357.0
4;Vrachtauto's en trekkers voor oplegger;Totaal alle bouwjaren;2022;7628.8;6651.1;977.7;9220.2;6651.1;2569.1;57721.0;41638.0;16083.0;159738.0
5;Vrachtauto's en trekkers voor oplegger;Totaal alle bouwjaren;2023;7427.3;6452.0;975.3;8996.5;6452.0;2544.5;54658.0;39199.0;15459.0;164596.0
6;Vrachtauto's en trekkers voor oplegger;1900 tot 2000;2018;68.1;64.5;3.6;76.1;64.5;11.6;5841.0;4953.0;888.0;13030.0
7;Vrachtauto's en trekkers voor oplegger;1900 tot 2000;2019;54.8;52.3;2.6;60.0;52.3;7.7;5111.0;4453.0;657.0;11741.0
8;Vrachtauto's en trekkers voor oplegger;1900 tot 2000;2020;37.5;35.4;2.0;40.9;35.4;5.5;3927.0;3401.0;526.0;10424.0
9;Vrachtauto's en trekkers voor oplegger;1900 tot 2000;2021;33.9;32.1;1.7;37.1;32.1;5.0;3935.0;3406.0;529.0;9432.0
10;Vrachtauto's en trekkers voor oplegger;1900 tot 2000;2022;33.1;31.2;1.9;36.2;31.2;5.1;4102.0;3528.0;573.0;8830.0
11;Vrachtauto's en trekkers voor oplegger;1900 tot 2000;2023;30.4;28.9;1.5;32.7;28.9;3.8;3977.0;3517.0;460.0;8223.0
12;Vrachtauto's en trekkers voor oplegger;2000 tot 2005;2018;160.6;149.8;10.8;184.6;149.8;34.8;17052.0;13841.0;3211.0;10823.0
13;Vrachtauto's en trekkers voor oplegger;2000 tot 2005;2019;116.1;108.8;7.4;131.0;108.8;22.2;14046.0;11665.0;2381.0;9323.0
14;Vrachtauto's en trekkers voor oplegger;2000 tot 2005;2020;77.4;72.7;4.7;85.5;72.7;12.8;10832.0;9211.0;1622.0;7890.0
15;Vrachtauto's en trekkers voor oplegger;2000 tot 2005;2021;65.0;60.9;4.1;72.7;60.9;11.8;10788.0;9036.0;1752.0;6741.0
16;Vrachtauto's en trekkers voor oplegger;2000 tot 2005;2022;51.4;48.1;3.3;56.7;48.1;8.6;9411.0;7979.0;1432.0;6025.0
17;Vrachtauto's en trekkers voor oplegger;2000 tot 2005;2023;39.4;36.6;2.9;44.0;36.6;7.5;8162.0;6776.0;1387.0;5397.0
18;Vrachtauto's en trekkers voor oplegger;2005;2018;78.3;72.5;5.8;91.3;72.5;18.8;27850.0;22112.0;5738.0;3279.0
19;Vrachtauto's en trekkers voor oplegger;2005;2019;55.0;51.1;3.9;62.9;51.1;11.8;22466.0;18248.0;4218.0;2799.0
20;Vrachtauto's en trekkers voor oplegger;2005;2020;40.4;37.6;2.8;45.2;37.6;7.7;18454.0;15328.0;3126.0;2451.0
21;Vrachtauto's en trekkers voor oplegger;2005;2021;31.9;29.6;2.3;36.2;29.6;6.7;17573.0;14346.0;3227.0;2062.0
22;Vrachtauto's en trekkers voor oplegger;2005;2022;26.0;24.3;1.7;28.8;24.3;4.5;15936.0;13438.0;2498.0;1805.0
23;Vrachtauto's en trekkers voor oplegger;2005;2023;17.9;16.4;1.5;20.2;16.4;3.8;13034.0;10561.0;2472.0;1553.0
24;Vrachtauto's en trekkers voor oplegger;2006;2018;184.7;170.4;14.3;216.6;170.4;46.2;36066.0;28376.0;7689.0;6006.0
25;Vrachtauto's en trekkers voor oplegger;2006;2019;128.9;119.3;9.6;148.3;119.3;29.0;29358.0;23608.0;5750.0;5052.0
26;Vrachtauto's en trekkers voor oplegger;2006;2020;83.0;77.2;5.8;93.1;77.2;15.9;22455.0;18629.0;3826.0;4144.0
27;Vrachtauto's en trekkers voor oplegger;2006;2021;67.9;63.1;4.9;77.0;63.1;14.0;21468.0;17571.0;3898.0;3588.0
28;Vrachtauto's en trekkers voor oplegger;2006;2022;52.3;48.8;3.5;57.9;48.8;9.1;18490.0;15583.0;2907.0;3133.0
29;Vrachtauto's en trekkers voor oplegger;2006;2023;36.0;33.1;3.0;40.9;33.1;7.8;15015.0;12145.0;2870.0;2721.0
30;Vrachtauto's en trekkers voor oplegger;2007;2018;238.0;219.5;18.4;279.1;219.5;59.5;40820.0;32111.0;8709.0;6837.0
31;Vrachtauto's en trekkers voor oplegger;2007;2019;162.0;149.9;12.1;186.4;149.9;36.4;32444.0;26100.0;6344.0;5745.0
32;Vrachtauto's en trekkers voor oplegger;2007;2020;103.0;96.0;7.0;115.1;96.0;19.1;24734.0;20636.0;4098.0;4654.0
33;Vrachtauto's en trekkers voor oplegger;2007;2021;77.6;72.2;5.4;87.6;72.2;15.4;22296.0;18373.0;3923.0;3931.0
34;Vrachtauto's en trekkers voor oplegger;2007;2022;60.8;56.8;4.1;67.4;56.8;10.6;18910.0;15925.0;2986.0;3565.0
35;Vrachtauto's en trekkers voor oplegger;2007;2023;41.0;37.5;3.5;46.6;37.5;9.1;15261.0;12285.0;2976.0;3052.0
36;Vrachtauto's en trekkers voor oplegger;2008;2018;370.7;341.9;28.9;435.1;341.9;93.2;44445.0;34923.0;9522.0;9789.0
37;Vrachtauto's en trekkers voor oplegger;2008;2019;255.3;236.1;19.2;293.8;236.1;57.7;35646.0;28647.0;6999.0;8243.0
38;Vrachtauto's en trekkers voor oplegger;2008;2020;163.1;151.8;11.3;182.5;151.8;30.7;27387.0;22781.0;4606.0;6664.0
39;Vrachtauto's en trekkers voor oplegger;2008;2021;122.1;113.6;8.5;138.0;113.6;24.4;25122.0;20680.0;4442.0;5492.0
40;Vrachtauto's en trekkers voor oplegger;2008;2022;90.9;84.8;6.0;100.7;84.8;15.8;21132.0;17806.0;3326.0;4765.0
41;Vrachtauto's en trekkers voor oplegger;2008;2023;62.7;57.4;5.3;71.2;57.4;13.8;17067.0;13763.0;3304.0;4173.0
42;Vrachtauto's en trekkers voor oplegger;2009;2018;312.8;290.0;22.9;363.8;290.0;73.8;48321.0;38513.0;9808.0;7529.0
43;Vrachtauto's en trekkers voor oplegger;2009;2019;230.2;213.7;16.5;263.4;213.7;49.8;39710.0;32206.0;7504.0;6634.0
44;Vrachtauto's en trekkers voor oplegger;2009;2020;161.9;151.8;10.1;179.3;151.8;27.5;31814.0;26938.0;4876.0;5637.0
45;Vrachtauto's en trekkers voor oplegger;2009;2021;122.9;114.8;8.1;138.0;114.8;23.2;28774.0;23935.0;4840.0;4796.0
46;Vrachtauto's en trekkers voor oplegger;2009;2022;94.6;88.2;6.3;104.9;88.2;16.7;25012.0;21036.0;3975.0;4194.0
