ID;CostComponents;Periods;InputPriceIndices_1;ChangesComparedToOneYearEarlier_2
0;Total building costs;2018 January;90.5;
1;Total building costs;2018 February;90.6;
2;Total building costs;2018 March;90.4;
3;Total building costs;2018 April;90.6;
4;Total building costs;2018 May;90.7;
5;Total building costs;2018 June;90.9;
6;Total building costs;2018 July;91.5;
7;Total building costs;2018 August;92.0;
8;Total building costs;2018 September;92.3;
9;Total building costs;2018 October;92.1;
10;Total building costs;2018 November;92.0;
11;Total building costs;2018 December;92.3;
12;Total building costs;2018;91.3;
13;Total building costs;2019 January;93.1;2.9
14;Total building costs;2019 February;93.1;2.7
15;Total building costs;2019 March;93.2;3.2
16;Total building costs;2019 April;93.3;2.9
17;Total building costs;2019 May;93.3;2.9
18;Total building costs;2019 June;93.4;2.7
19;Total building costs;2019 July;94.4;3.2
20;Total building costs;2019 August;94.2;2.4
21;Total building costs;2019 September;94.3;2.1
22;Total building costs;2019 October;94.2;2.2
23;Total building costs;2019 November;94.2;2.3
24;Total building costs;2019 December;94.9;2.8
25;Total building costs;2019;93.8;2.7
26;Total building costs;2020 January;95.6;2.6
27;Total building costs;2020 February;95.5;2.6
28;Total building costs;2020 March;95.5;2.4
29;Total building costs;2020 April;95.1;2.0
30;Total building costs;2020 May;95.0;1.8
31;Total building costs;2020 June;95.0;1.7
32;Total building costs;2020 July;95.9;1.5
33;Total building costs;2020 August;96.1;2.0
34;Total building costs;2020 September;96.0;1.8
35;Total building costs;2020 October;95.9;1.8
36;Total building costs;2020 November;95.9;1.9
37;Total building costs;2020 December;96.7;1.9
38;Total building costs;2020;95.7;2.0
39;Total building costs;2021 January;97.4;1.9
40;Total building costs;2021 February;97.5;2.1
41;Total building costs;2021 March;97.7;2.3
42;Total building costs;2021 April;98.6;3.6
43;Total building costs;2021 May;99.2;4.4
44;Total building costs;2021 June;100.0;5.2
45;Total building costs;2021 July;101.2;5.5
46;Total building costs;2021 August;101.0;5.1
47;Total building costs;2021 September;101.1;5.4
48;Total building costs;2021 October;101.9;6.3
49;Total building costs;2021 November;102.1;6.4
50;Total building costs;2021 December;102.3;5.8
51;Total building costs;2021;100.0;4.5
52;Total building costs;2022 January;104.9;7.7
53;Total building costs;2022 February;105.4;8.1
54;Total building costs;2022 March;107.1;9.5
55;Total building costs;2022 April;108.9;10.5
56;Total building costs;2022 May;109.5;10.4
57;Total building costs;2022 June;109.1;9.1
58;Total building costs;2022 July;110.2;8.9
59;Total building costs;2022 August;110.2;9.2
60;Total building costs;2022 September;111.0;9.8
61;Total building costs;2022 October;111.6;9.4
62;Total building costs;2022 November;111.3;9.1
63;Total building costs;2022 December;111.2;8.7
64;Total building costs;2022;109.2;9.2
65;Total building costs;2023 January;114.1;8.7
66;Total building costs;2023 February;114.4;8.5
67;Total building costs;2023 March;115.2;7.6
68;Total building costs;2023 April;115.6;6.2
69;Total building costs;2023 May;115.7;5.7
70;Total building costs;2023 June;115.6;6.0
71;Total building costs;2023 July;115.9;5.2
72;Total building costs;2023 August;115.6;4.9
73;Total building costs;2023 September;115.6;4.1
74;Total building costs;2023 October;115.6;3.6
75;Total building costs;2023 November;115.4;3.6
76;Total building costs;2023 December;115.5;3.9
77;Total building costs;2023;115.4;5.6
78;Total building costs;2024 January;117.3;2.9
79;Total building costs;2024 February;117.3;2.5
80;Total building costs;2024 March;117.3;1.8
81;Total building costs;2024 April;117.1;1.3
82;Total building costs;2024 May;116.9;1.0
83;Total building costs;2024 June;117.1;1.2
84;Total building costs;2024 July;120.3;3.8
85;Total building costs;2024 August;120.3;4.1
86;Total building costs;2024 September;120.2;4.0
87;Total building costs;2024 October;120.0;3.8
88;Total building costs;2024 November;120.1;4.1
89;Total building costs;2024 December;120.2;4.0
90;Total building costs;2024;118.7;2.9
91;Total building costs;2025 January;120.9;3.0
92;Total building costs;2025 February;121.1;3.3
93;Wages;2018 January;91.7;
94;Wages;2018 February;91.7;
95;Wages;2018 March;91.7;
96;Wages;2018 April;91.7;
97;Wages;2018 May;91.7;
98;Wages;2018 June;91.7;
99;Wages;2018 July;92.6;
100;Wages;2018 August;93.6;
101;Wages;2018 September;93.6;
102;Wages;2018 October;93.7;
