ID;CaribbeanNetherlands;Periods;GrossDomesticProductPerCapita_1
0;Caribbean Netherlands;2012;26000
1;Caribbean Netherlands;2013;25900
2;Caribbean Netherlands;2014;25800
3;Caribbean Netherlands;2015;26300
4;Caribbean Netherlands;2016;27200
5;Caribbean Netherlands;2017;27100
6;Caribbean Netherlands;2018;27100
7;Caribbean Netherlands;2019;28200
8;Caribbean Netherlands;2020;24100
9;Caribbean Netherlands;2021;27000
10;Caribbean Netherlands;2022;28000
11;Bonaire;2012;24600
12;Bonaire;2013;24300
13;Bonaire;2014;24200
14;Bonaire;2015;24300
15;Bonaire;2016;25300
16;Bonaire;2017;24800
17;Bonaire;2018;25400
18;Bonaire;2019;27000
19;Bonaire;2020;23700
20;Bonaire;2021;26300
21;Bonaire;2022;28400
22;St. Eustatius;2012;34500
23;St. Eustatius;2013;34600
24;St. Eustatius;2014;33100
25;St. Eustatius;2015;37800
26;St. Eustatius;2016;40600
27;St. Eustatius;2017;43000
28;St. Eustatius;2018;39500
29;St. Eustatius;2019;38400
30;St. Eustatius;2020;28200
31;St. Eustatius;2021;33400
32;St. Eustatius;2022;27300
33;Saba;2012;21600
34;Saba;2013;23800
35;Saba;2014;25400
36;Saba;2015;25100
37;Saba;2016;24500
38;Saba;2017;22900
39;Saba;2018;23500
40;Saba;2019;24300
41;Saba;2020;22800
42;Saba;2021;24000
43;Saba;2022;24700
