ID;RegioS;Perioden;TotaalWegvoertuigen_1;Personenauto_2;TotaalBedrijfsvoertuigen_3;TotaalBedrijfsmotorvoertuigen_4;Bestelauto_5;VrachtautoExclTrekkerVoorOplegger_6;TrekkerVoorOplegger_7;SpeciaalVoertuig_8;Bus_9;TotaalAanhangwagensEnOpleggers_10;Aanhangwagen_11;Oplegger_12;Motorfiets_13;AlleVoertuigenMetBromfietskenteken_14;Snorfiets_15;Bromfiets_16;Brommobiel_17;OverigeVoertuigenMetBromfietskenteken_18;LandsdeelCode_19;ProvincieCode_20;CoropgebiedCode_21;Gemeentecode_22;Naam_23;GemeenteGrootteklasseCode_24;StedelijkheidVanGemeentenCode_25
0;Nederland, totaal;2019;12498078;8442982;2283037;1110651;903005;61652;78788;57693;9513;1172386;1008412;163974;646046;1126013;716917;387331;17691;4074;      ;      ;      ;      ;Nederland                               ;;
1;Nederland, totaal;2020;12705937;8584391;2328425;1135943;927251;61746;80118;57129;9699;1192482;1023980;168502;654387;1138734;728644;388345;17590;4155;      ;      ;      ;      ;Nederland                               ;;
2;Nederland, totaal;2021;12884621;8686419;2351390;1151740;945433;60831;79932;56494;9050;1199650;1029636;170014;666597;1180215;763342;393991;18193;4689;      ;      ;      ;      ;      Nederland                         ;;
3;Nederland, totaal;2022;13126658;8827709;2411637;1182857;974792;60867;82436;56230;8532;1228780;1051486;177294;677787;1209525;781353;404282;18877;5013;      ;      ;      ;      ;Nederland                               ;;
4;Nederland, totaal;2023;13286925;8917107;2456150;1201061;989841;60811;85679;55974;8756;1255089;1069827;185262;690724;1222944;761219;436996;19548;5181;      ;      ;      ;      ;Nederland                               ;;
5;Groningen (PV);2019;416925;274777;84948;37610;31359;1588;1940;2624;99;47338;44354;2984;24861;32339;18807;12433;818;281;  01  ;  20  ;      ;      ;Groningen                               ;;
6;Groningen (PV);2020;424199;279281;86757;38656;32179;1582;1970;2634;291;48101;45012;3089;25055;33106;19336;12636;849;285;  01  ;  20  ;      ;      ;Groningen                               ;;
7;Groningen (PV);2021;433003;284050;88552;39761;33225;1591;1977;2625;343;48791;45677;3114;25665;34736;20484;13100;852;300;      ;  20  ;01    ;      ;      Groningen                         ;;
8;Groningen (PV);2022;442628;289536;90573;40693;34112;1611;2008;2616;346;49880;46662;3218;26277;36242;21459;13584;885;314;     1;    20;      ;      ;Groningen                               ;;
9;Groningen (PV);2023;449169;292582;92384;41382;34680;1660;2105;2565;372;51002;47653;3349;26977;37226;21187;14814;910;315;     1;    20;      ;      ;Groningen                               ;;
10;Fryslân (PV);2019;512120;325142;118935;54886;44037;2803;3211;3369;1466;64049;59499;4550;29893;38150;19025;17841;1112;172;  01  ;  21  ;      ;      ;Friesland                               ;;
11;Fryslân (PV);2020;522325;331325;121611;56222;45373;2848;3270;3336;1395;65389;60681;4708;30229;39160;19810;18083;1085;182;  01  ;  21  ;      ;      ;Friesland                               ;;
12;Fryslân (PV);2021;532732;336818;123619;57263;46593;2769;3252;3287;1362;66356;61454;4902;30702;41593;21701;18644;1047;201;      ;  21  ;01    ;      ;      Fryslân                           ;;
