ID;Detailhandel;Jaren;NettoOmzetExclBTW_1;InkoopwaardeKostprijsVanDeOmzet_2;Brutowinst_3;OverigeOpbrengsten_4;TotaalOpbrengsten_5;Totaal_6;Personeelskosten_7;Afschrijvingen_8;HuisvestingInventarisMachinekosten_9;VerkoopEnAutokosten_10;AlgemeneKosten_11;Bedrijfsresultaat_12;ResultaatVoorBelastingen_13;Investeringen_14;OpbrengstVerkochteVasteActiva_15;AantalBedrijven_16;AantalWerkzPersPerEindSeptember_17;GemiddeldeOpslagduurAktDetailhandel_18;WinkelomzetPerM2Verkoopvloeroppervlak_19
0;Totaal detailhandel;1993;52.0;68.8;31.2;0.5;31.7;25.3;12.3;2.5;4.6;3.7;2.2;6.4;5.5;1.5;0.2;86.7;597.1;70;2
1;Totaal detailhandel;1994;53.0;68.7;31.3;0.5;31.8;26.0;12.5;2.6;4.8;3.8;2.3;5.8;5.1;1.7;0.2;86.5;602.5;68;2
2;Totaal detailhandel;1995;54.0;68.7;31.3;0.8;32.1;26.2;12.4;2.6;5.0;3.8;2.4;5.9;5.3;1.6;0.2;85.8;619.5;69;2
3;Totaal detailhandel;1996;56.0;68.4;31.6;0.8;32.4;26.4;12.3;2.6;5.2;3.9;2.4;6.0;5.3;1.9;0.1;85.3;638.7;68;2
4;Totaal detailhandel;1997;58.5;68.3;31.7;0.6;32.3;26.5;12.2;2.6;5.3;3.9;2.5;5.8;5.3;2.0;0.3;83.7;662.4;65;2
5;Totaal detailhandel;1998;61.7;67.9;32.1;0.6;32.7;26.7;12.3;2.6;5.3;4.0;2.5;6.0;5.3;2.1;0.2;81.4;681.9;64;3
6;Totaal detailhandel;1999;64.2;67.4;32.6;0.7;33.3;27.3;12.6;2.6;5.5;4.1;2.4;6.0;5.5;2.1;0.3;81.2;700.6;65;3
7;Detailhandel in winkel;1993;49.0;68.8;31.2;0.4;31.6;25.5;12.7;2.5;4.7;3.4;2.2;6.1;5.1;1.4;0.1;71.0;567.6;71;3
8;Detailhandel in winkel;1994;50.5;68.7;31.3;0.4;31.7;26.0;12.9;2.5;4.9;3.4;2.3;5.7;4.7;1.5;0.2;71.3;572.8;70;2
9;Detailhandel in winkel;1995;51.2;68.8;31.2;0.7;31.9;26.3;12.7;2.5;5.2;3.5;2.4;5.6;4.8;1.5;0.2;70.2;585.5;71;2
10;Detailhandel in winkel;1996;53.0;68.5;31.5;0.5;32.0;26.4;12.6;2.5;5.3;3.6;2.4;5.6;5.0;1.8;0.1;69.7;604.9;70;2
11;Detailhandel in winkel;1997;55.5;68.6;31.4;0.6;32.0;26.5;12.5;2.5;5.4;3.6;2.5;5.5;5.0;1.9;0.3;68.4;626.2;67;2
12;Detailhandel in winkel;1998;58.7;68.2;31.8;0.6;32.4;26.7;12.6;2.5;5.5;3.7;2.4;5.7;5.2;2.0;0.2;66.8;645.8;65;3
13;Detailhandel in winkel;1999;61.2;67.8;32.2;0.6;32.9;27.1;12.8;2.5;5.7;3.7;2.4;5.8;5.3;2.0;0.3;64.7;667.9;66;3
14;Food in winkel;1993;20.5;75.9;24.1;0.4;24.5;20.3;10.8;2.3;3.5;2.2;1.5;4.2;3.8;0.6;0.0;19.3;232.2;22;5
15;Food in winkel;1994;21.4;76.1;23.9;0.4;24.3;20.2;10.8;2.1;3.6;2.2;1.5;4.1;3.5;0.6;0.1;19.1;235.3;23;5
16;Food in winkel;1995;21.9;76.1;23.9;0.6;24.5;20.5;10.6;2.1;3.9;2.3;1.6;4.0;3.6;0.6;0.1;18.4;239.8;22;5
17;Food in winkel;1996;22.3;75.9;24.1;0.5;24.6;20.6;10.5;2.2;4.1;2.4;1.4;4.0;3.7;0.6;0.1;17.7;248.7;22;5
18;Food in winkel;1997;23.0;75.8;24.2;0.5;24.7;21.0;10.6;2.2;4.1;2.4;1.7;3.7;3.5;0.7;0.1;17.2;254.7;22;5
19;Food in winkel;1998;23.7;75.4;24.6;0.5;25.1;21.3;10.7;2.3;4.1;2.5;1.7;3.8;3.6;0.7;0.0;16.3;259.4;21;5
20;Food in winkel;1999;24.2;75.1;24.9;0.5;25.4;21.7;11.0;2.3;4.3;2.4;1.7;3.7;3.4;0.7;0.0;15.2;269.6;21;5
21;Non-food in winkel;1993;28.5;63.7;36.3;0.5;36.8;29.4;14.0;2.8;5.6;4.2;2.8;7.4;6.0;0.8;0.1;51.7;335.4;117;2
22;Non-food in winkel;1994;29.1;63.3;36.7;0.5;37.2;30.4;14.4;2.8;5.9;4.3;3.0;6.8;5.6;0.9;0.1;52.2;337.5;115;2
23;Non-food in winkel;1995;29.4;63.4;36.6;0.7;37.3;30.6;14.3;2.8;6.1;4.4;3.0;6.7;5.8;0.9;0.1;51.8;345.7;117;2
24;Non-food in winkel;1996;30.8;63.3;36.7;0.6;37.3;30.5;14.0;2.8;6.3;4.4;3.0;6.8;5.9;1.2;0.1;52.0;356.2;114;2
25;Non-food in winkel;1997;32.5;63.4;36.6;0.6;37.2;30.4;13.8;2.8;6.4;4.4;3.0;6.8;6.1;1.2;0.2;51.2;371.5;108;2
26;Non-food in winkel;1998;35.0;63.2;36.8;0.6;37.4;30.4;13.9;2.7;6.4;4.5;2.9;7.0;6.4;1.3;0.1;50.5;386.4;103;2
27;Non-food in winkel;1999;37.0;62.9;37.1;0.7;37.8;30.7;14.0;2.7;6.6;4.6;2.8;7.1;6.4;1.4;0.0;49.5;398.3;104;2
