ID;LeeftijdReferentiepersoon;Perioden;TotaalParen_1;GeenKinderen_2;k_1Kind_3;k_2Kinderen_4;k_3OfMeerKinderen_5;TotaalEenouderhuishoudens_6;k_1Kind_7;k_2Kinderen_8;k_3OfMeerKinderen_9
0;18;2013;4193033;2152667;753566;923532;363268;523649;321010;155031;47608
1;18;2014;4199378;2169169;756058;916674;357477;531349;325629;157805;47915
2;18;2015;4213168;2193990;758546;908728;351904;535565;328346;159339;47880
3;18;2016;4233096;2224822;759442;901677;347155;537020;329234;160124;47662
4;18;2017;4251320;2252063;759818;896462;342977;538437;330058;160861;47518
5;18;2018;4268515;2276391;759877;892881;339366;539634;330675;161619;47340
6;18;2019;4283496;2297520;760046;890054;335876;540628;331163;162275;47190
7;18;2020;4296802;2316320;760803;887284;332395;541252;331609;162686;46957
8;18;2021;4308661;2332521;761242;885225;329673;541677;331869;163067;46741
9;18;2022;4319277;2347330;761006;883746;327195;541547;331872;163188;46487
10;18;2023;4328676;2360225;760093;883068;325290;541233;331809;163191;46233
11;18;2024;4336839;2371820;758472;882669;323878;540600;331450;163106;46044
12;18;2025;4343650;2381059;757672;882315;322604;539865;331141;162867;45857
13;18;2026;4348963;2388572;755214;883091;322086;538902;330430;162742;45730
14;18;2027;4352693;2393898;752326;884717;321752;537813;329655;162581;45577
15;18;2028;4354834;2397075;748850;887122;321787;536672;328711;162500;45461
16;18;2029;4355454;2398173;744711;890464;322106;535566;327633;162533;45400
17;18;2030;4354650;2397304;740093;894607;322646;534514;326554;162579;45381
18;18;2031;4352547;2394368;734754;899809;323616;533726;325461;162842;45423
19;18;2032;4349291;2390041;729595;905000;324655;532975;324474;163091;45410
20;18;2033;4345027;2384418;724506;910217;325886;532432;323551;163441;45440
21;18;2034;4339850;2377583;720319;915027;326921;532138;322907;163743;45488
22;18;2035;4333923;2369922;717208;919084;327709;532064;322558;163974;45532
23;18;2036;4327393;2361271;714405;923213;328504;532430;322457;164389;45584
24;18;2037;4320493;2352460;712226;926685;329122;532757;322324;164839;45594
25;18;2038;4313396;2343397;710983;929458;329558;533335;322395;165338;45602
26;18;2039;4306293;2334555;710352;931721;329665;534031;322640;165790;45601
27;18;2040;4299337;2326092;710301;933481;329463;534801;323025;166189;45587
28;18;2041;4292617;2318381;710288;934807;329141;535519;323381;166575;45563
29;18;2042;4286204;2311457;710368;935674;328705;536178;323681;166979;45518
30;18;2043;4280151;2305364;710967;935726;328094;536740;324005;167272;45463
31;18;2044;4274459;2299977;712312;934910;327260;537213;324426;167395;45392
32;18;2045;4269190;2295363;713846;933713;326268;537553;324796;167453;45304
33;18;2046;4264424;2291458;715373;932367;325226;537748;325047;167488;45213
34;18;2047;4260127;2288088;716791;931056;324192;537777;325144;167512;45121
35;18;2048;4256354;2285271;718207;929741;323135;537660;325167;167457;45036
36;18;2049;4253088;2282898;719660;928398;322132;537405;325193;167277;44935
37;18;2050;4250379;2280947;721014;927172;321246;537032;325114;167074;44844
38;18;2051;4248241;2279427;722265;926080;320469;536558;324948;166864;44746
39;18;2052;4246705;2278391;723395;925087;319832;535976;324655;166655;44666
40;18;2053;4245786;2277846;724450;924181;319309;535327;324335;166386;44606
41;18;2054;4245501;2277805;725324;923386;318986;534581;323962;166079;44540
42;18;2055;4245861;2278255;725824;922841;318941;533794;323469;165827;44498
43;18;2056;4246864;2279198;726159;922472;319035;532948;322934;165560;44454
44;18;2057;4248512;2280646;726276;922304;319286;532091;322326;165329;44436
45;18;2058;4250798;2282587;726183;922370;319658;531172;321632;165089;44451
46;18;2059;4253694;2284987;725907;922673;320127;530260;320936;164863;44461
47;18;2060;4257195;2287828;725252;923339;320776;529396;320171;164728;44497
48;19;2013;60498;51272;7031;1790;405;11168;9034;1858;276
49;19;2014;62542;52858;7342;1913;429;11272;9069;1918;285
50;19;2015;66346;56279;7578;2038;451;11240;8960;1987;293
51;19;2016;69925;59578;7734;2144;469;11144;8801;2045;298
