ID;Gewichtsklassen;Perioden;AantalGedemonteerdeVoertuigen_1;GewichtGedemonteerdeVoertuigen_2
0;1;1996;253357;223196
1;1;1997;259116;227209
2;1;1998;247078;216848
3;1;1999;270865;238460
4;2;1996;8455;5131
5;2;1997;9414;5725
6;2;1998;8999;5480
7;2;1999;9753;5960
8;3;1996;41007;29152
9;3;1997;41008;29071
10;3;1998;38891;27545
11;3;1999;42865;30366
12;4;1996;85564;69168
13;4;1997;88400;71438
14;4;1998;81950;66178
15;4;1999;83245;67176
16;5;1996;49341;44370
17;5;1997;52342;46936
18;5;1998;51748;46330
19;5;1999;61357;54914
20;6;1996;37815;37559
21;6;1997;37859;37636
22;6;1998;36397;36208
23;6;1999;40991;40758
24;7;1996;13055;14330
25;7;1997;13146;14421
26;7;1998;13096;14348
27;7;1999;15062;16486
28;8;1996;8245;9826
29;8;1997;7855;9353
30;8;1998;7477;8906
31;8;1999;8583;10239
32;9;1996;5725;7435
33;9;1997;5201;6756
34;9;1998;4897;6356
35;9;1999;5151;6684
36;Personenauto's >=1 350 kg;1996;4147;6224
37;Personenauto's >=1 350 kg;1997;3890;5872
38;Personenauto's >=1 350 kg;1998;3622;5497
39;Personenauto's >=1 350 kg;1999;3858;5876
40;Totaal bedrijfsauto's;1996;13334;27888
41;Totaal bedrijfsauto's;1997;13914;29345
42;Totaal bedrijfsauto's;1998;13129;23638
43;Totaal bedrijfsauto's;1999;15076;28054
44;Bedrijfsauto's <1 000 kg;1996;6418;5275
45;Bedrijfsauto's <1 000 kg;1997;6798;5564
46;Bedrijfsauto's <1 000 kg;1998;6557;5351
47;Bedrijfsauto's <1 000 kg;1999;7387;6036
48;Bedrijfsauto's 1 000 tot 1 500 kg;1996;3101;3901
49;Bedrijfsauto's 1 000 tot 1 500 kg;1997;3171;3992
50;Bedrijfsauto's 1 000 tot 1 500 kg;1998;3203;4058
51;Bedrijfsauto's 1 000 tot 1 500 kg;1999;3510;4453
52;Bedrijfsauto's 1 500 tot 2 500 kg;1996;1448;2602
53;Bedrijfsauto's 1 500 tot 2 500 kg;1997;1453;2598
54;Bedrijfsauto's 1 500 tot 2 500 kg;1998;1724;3081
55;Bedrijfsauto's 1 500 tot 2 500 kg;1999;2117;3764
56;Bedrijfsauto's 2 500 tot 5 000 kg;1996;649;2419
57;Bedrijfsauto's 2 500 tot 5 000 kg;1997;620;2304
58;Bedrijfsauto's 2 500 tot 5 000 kg;1998;435;1567
59;Bedrijfsauto's 2 500 tot 5 000 kg;1999;553;2020
60;Bedrijfsauto's 5 000 tot 7 000 kg;1996;754;4655
61;Bedrijfsauto's 5 000 tot 7 000 kg;1997;838;5225
62;Bedrijfsauto's 5 000 tot 7 000 kg;1998;545;3371
63;Bedrijfsauto's 5 000 tot 7 000 kg;1999;686;4243
64;Bedrijfsauto's 7 000 tot 10 000 kg;1996;664;5481
65;Bedrijfsauto's 7 000 tot 10 000 kg;1997;730;6016
66;Bedrijfsauto's 7 000 tot 10 000 kg;1998;482;3997
67;Bedrijfsauto's 7 000 tot 10 000 kg;1999;593;4860
68;Bedrijfsauto's >=10 000 kg;1996;300;3554
69;Bedrijfsauto's >=10 000 kg;1997;304;3647
70;Bedrijfsauto's >=10 000 kg;1998;183;2214
71;Bedrijfsauto's >=10 000 kg;1999;230;2677
