ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersInternetomzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;Detailhandel (incl. webwinkels);2014 januari;106.0;9.3
1;Detailhandel (incl. webwinkels);2014 februari;91.9;9.0
2;Detailhandel (incl. webwinkels);2014 maart;104.4;12.3
3;Detailhandel (incl. webwinkels);2014 1e kwartaal;100.8;10.2
4;Detailhandel (incl. webwinkels);2014 april;109.9;21.1
5;Detailhandel (incl. webwinkels);2014 mei;110.4;11.3
6;Detailhandel (incl. webwinkels);2014 juni;110.2;11.5
7;Detailhandel (incl. webwinkels);2014 2e kwartaal;110.2;14.4
8;Detailhandel (incl. webwinkels);2014 juli;106.4;9.8
9;Detailhandel (incl. webwinkels);2014 augustus;105.0;14.7
10;Detailhandel (incl. webwinkels);2014 september;111.0;4.9
11;Detailhandel (incl. webwinkels);2014 3e kwartaal;107.5;9.5
12;Detailhandel (incl. webwinkels);2014 oktober;117.3;11.3
13;Detailhandel (incl. webwinkels);2014 november;126.2;11.9
14;Detailhandel (incl. webwinkels);2014 december;151.4;21.6
15;Detailhandel (incl. webwinkels);2014 4e kwartaal;131.6;15.2
16;Detailhandel (incl. webwinkels);2014;112.5;12.5
17;Detailhandel (incl. webwinkels);2015 januari;125.2;18.1
18;Detailhandel (incl. webwinkels);2015 februari;106.8;16.3
19;Detailhandel (incl. webwinkels);2015 maart;124.8;19.5
20;Detailhandel (incl. webwinkels);2015 1e kwartaal;118.9;18.0
21;Detailhandel (incl. webwinkels);2015 april;128.3;16.7
22;Detailhandel (incl. webwinkels);2015 mei;124.2;12.5
23;Detailhandel (incl. webwinkels);2015 juni;141.6;28.5
24;Detailhandel (incl. webwinkels);2015 2e kwartaal;131.4;19.3
25;Detailhandel (incl. webwinkels);2015 juli;131.9;24.0
26;Detailhandel (incl. webwinkels);2015 augustus;127.2;21.2
27;Detailhandel (incl. webwinkels);2015 september;142.1;28.0
28;Detailhandel (incl. webwinkels);2015 3e kwartaal;133.8;24.5
29;Detailhandel (incl. webwinkels);2015 oktober;144.6;23.2
30;Detailhandel (incl. webwinkels);2015 november;159.8;26.7
31;Detailhandel (incl. webwinkels);2015 december;186.9;23.5
32;Detailhandel (incl. webwinkels);2015 4e kwartaal;163.8;24.4
33;Detailhandel (incl. webwinkels);2015;137.0;21.7
34;Detailhandel (incl. webwinkels);2016 januari;154.6;23.4
35;Detailhandel (incl. webwinkels);2016 februari;134.3;25.7
36;Detailhandel (incl. webwinkels);2016 maart;150.9;20.9
37;Detailhandel (incl. webwinkels);2016 1e kwartaal;146.6;23.3
38;Detailhandel (incl. webwinkels);2016 april;148.1;15.4
39;Detailhandel (incl. webwinkels);2016 mei;159.0;28.1
40;Detailhandel (incl. webwinkels);2016 juni;168.7;19.1
41;Detailhandel (incl. webwinkels);2016 2e kwartaal;158.6;20.7
42;Detailhandel (incl. webwinkels);2016 juli;152.7;15.7
43;Detailhandel (incl. webwinkels);2016 augustus;150.1;18.0
44;Detailhandel (incl. webwinkels);2016 september;159.1;11.9
45;Detailhandel (incl. webwinkels);2016 3e kwartaal;154.0;15.1
46;Detailhandel (incl. webwinkels);2016 oktober;174.5;20.7
47;Detailhandel (incl. webwinkels);2016 november;200.6;25.5
48;Detailhandel (incl. webwinkels);2016 december;211.5;13.1
49;Detailhandel (incl. webwinkels);2016 4e kwartaal;195.5;19.4
50;Detailhandel (incl. webwinkels);2016;163.7;19.5
51;Detailhandel (incl. webwinkels);2017 januari;182.3;17.9
52;Detailhandel (incl. webwinkels);2017 februari;152.7;13.7
53;Detailhandel (incl. webwinkels);2017 maart;170.3;12.8
54;Detailhandel (incl. webwinkels);2017 1e kwartaal;168.4;14.9
55;Detailhandel (incl. webwinkels);2017 april;174.9;18.1
56;Detailhandel (incl. webwinkels);2017 mei;194.5;22.3
57;Detailhandel (incl. webwinkels);2017 juni;198.6;17.8
58;Detailhandel (incl. webwinkels);2017 2e kwartaal;189.3;19.4
59;Detailhandel (incl. webwinkels);2017 juli;182.7;19.7
60;Detailhandel (incl. webwinkels);2017 augustus;175.2;16.7
61;Detailhandel (incl. webwinkels);2017 september;195.3;22.8
62;Detailhandel (incl. webwinkels);2017 3e kwartaal;184.4;19.8
63;Detailhandel (incl. webwinkels);2017 oktober;198.6;13.8
64;Detailhandel (incl. webwinkels);2017 november;243.3;21.3
65;Detailhandel (incl. webwinkels);2017 december;260.3;23.1
66;Detailhandel (incl. webwinkels);2017 4e kwartaal;234.1;19.7
67;Detailhandel (incl. webwinkels);2017;194.1;18.6
68;Detailhandel (incl. webwinkels);2018 januari;223.3;22.5
69;Detailhandel (geen webwinkels);2014 januari;111.8;17.0
70;Detailhandel (geen webwinkels);2014 februari;91.2;17.0
71;Detailhandel (geen webwinkels);2014 maart;110.9;16.5
72;Detailhandel (geen webwinkels);2014 1e kwartaal;104.7;16.8
73;Detailhandel (geen webwinkels);2014 april;120.0;32.3
74;Detailhandel (geen webwinkels);2014 mei;116.2;19.0
75;Detailhandel (geen webwinkels);2014 juni;115.2;15.4
76;Detailhandel (geen webwinkels);2014 2e kwartaal;117.1;21.9
77;Detailhandel (geen webwinkels);2014 juli;109.1;20.9
78;Detailhandel (geen webwinkels);2014 augustus;108.4;25.0
79;Detailhandel (geen webwinkels);2014 september;115.0;5.7
80;Detailhandel (geen webwinkels);2014 3e kwartaal;110.8;16.4
81;Detailhandel (geen webwinkels);2014 oktober;128.5;14.3
82;Detailhandel (geen webwinkels);2014 november;133.4;12.1
83;Detailhandel (geen webwinkels);2014 december;158.8;25.9
84;Detailhandel (geen webwinkels);2014 4e kwartaal;140.2;17.7
85;Detailhandel (geen webwinkels);2014;118.2;18.2
86;Detailhandel (geen webwinkels);2015 januari;139.7;25.0
87;Detailhandel (geen webwinkels);2015 februari;110.2;20.8
88;Detailhandel (geen webwinkels);2015 maart;132.8;19.7
89;Detailhandel (geen webwinkels);2015 1e kwartaal;127.6;21.9
90;Detailhandel (geen webwinkels);2015 april;137.3;14.4
91;Detailhandel (geen webwinkels);2015 mei;130.3;12.2
92;Detailhandel (geen webwinkels);2015 juni;152.5;32.4
93;Detailhandel (geen webwinkels);2015 2e kwartaal;140.0;19.6
94;Detailhandel (geen webwinkels);2015 juli;133.7;22.6
95;Detailhandel (geen webwinkels);2015 augustus;127.5;17.6
96;Detailhandel (geen webwinkels);2015 september;143.9;25.2
97;Detailhandel (geen webwinkels);2015 3e kwartaal;135.1;21.9
98;Detailhandel (geen webwinkels);2015 oktober;160.3;24.8
99;Detailhandel (geen webwinkels);2015 november;162.0;21.4
100;Detailhandel (geen webwinkels);2015 december;183.8;15.8
101;Detailhandel (geen webwinkels);2015 4e kwartaal;168.7;20.3
102;Detailhandel (geen webwinkels);2015;142.8;20.8
103;Detailhandel (geen webwinkels);2016 januari;161.3;15.5
104;Detailhandel (geen webwinkels);2016 februari;134.1;21.7
105;Detailhandel (geen webwinkels);2016 maart;151.2;13.9
106;Detailhandel (geen webwinkels);2016 1e kwartaal;148.8;16.7
107;Detailhandel (geen webwinkels);2016 april;149.6;9.0
108;Detailhandel (geen webwinkels);2016 mei;166.3;27.6
109;Detailhandel (geen webwinkels);2016 juni;173.4;13.7
110;Detailhandel (geen webwinkels);2016 2e kwartaal;163.1;16.5
111;Detailhandel (geen webwinkels);2016 juli;148.9;11.4
112;Detailhandel (geen webwinkels);2016 augustus;143.2;12.3
113;Detailhandel (geen webwinkels);2016 september;156.3;8.6
114;Detailhandel (geen webwinkels);2016 3e kwartaal;149.5;10.7
115;Detailhandel (geen webwinkels);2016 oktober;187.1;16.7
116;Detailhandel (geen webwinkels);2016 november;208.0;28.4
117;Detailhandel (geen webwinkels);2016 december;210.8;14.7
118;Detailhandel (geen webwinkels);2016 4e kwartaal;202.0;19.7
119;Detailhandel (geen webwinkels);2016;165.9;16.1
120;Detailhandel (geen webwinkels);2017 januari;195.5;21.2
121;Detailhandel (geen webwinkels);2017 februari;148.8;11.0
122;Detailhandel (geen webwinkels);2017 maart;175.7;16.3
123;Detailhandel (geen webwinkels);2017 1e kwartaal;173.3;16.5
124;Detailhandel (geen webwinkels);2017 april;188.1;25.7
125;Detailhandel (geen webwinkels);2017 mei;208.8;25.6
126;Detailhandel (geen webwinkels);2017 juni;215.0;24.0
127;Detailhandel (geen webwinkels);2017 2e kwartaal;204.0;25.0
128;Detailhandel (geen webwinkels);2017 juli;180.9;21.5
