ID;OriginOfExports;Periods;ExportsOfGoodsAndServices_1;ExportsOfGoods_2;ExportsOfServices_3;ExportsOfGoodsAndServices_4;ExportsOfGoods_5;ExportsOfServices_6;ExportsOfGoodsAndServices_7;ExportsOfGoods_8;ExportsOfServices_9;ExportsOfGoodsAndServices_10;ExportsOfGoods_11;ExportsOfServices_12
0;A-U All economic activities;2021;459750;271589;188161;459750.0;271589.0;188161.0;;;;100.0;100.0;100.0
1;A-U All economic activities;2022;559653;326256;233397;481076.0;264118.0;216958.0;4.6;-2.8;15.3;116.3;123.5;107.6
2;A-U All economic activities;2023;564549;315850;248699;476317.0;258560.0;218193.0;-1.0;-2.1;0.6;118.5;122.2;114.0
3;A Agriculture, forestry and fishing;2021;14510;14396;114;14510.0;14396.0;114.0;;;;100.0;100.0;100.0
4;A Agriculture, forestry and fishing;2022;14216;14046;170;13142.0;12993.0;149.0;-9.4;-9.7;30.7;108.2;108.1;114.1
5;A Agriculture, forestry and fishing;2023;15187;14994;193;12900.0;12751.0;149.0;-1.8;-1.9;0.0;117.7;117.6;129.5
6;01 Agriculture;2021;13746;13632;114;13746.0;13632.0;114.0;;;;100.0;100.0;100.0
7;01 Agriculture;2022;13579;13411;168;12597.0;12448.0;149.0;-8.4;-8.7;30.7;107.8;107.7;112.8
8;01 Agriculture;2023;14684;14491;193;12425.0;12274.0;151.0;-1.4;-1.4;1.2;118.2;118.1;128.0
9;02 Forestry and logging;2021;238;238;0;238.0;238.0;0.0;;;;100.0;100.0;
10;02 Forestry and logging;2022;152;150;2;109.0;109.0;;-54.2;-54.2;;139.4;137.6;
11;02 Forestry and logging;2023;124;124;0;107.0;108.0;;-2.0;-0.7;-100.0;116.1;114.5;
12;03 Fishing and aquaculture;2021;526;526;0;526.0;526.0;0.0;;;;100.0;100.0;
13;03 Fishing and aquaculture;2022;485;485;0;436.0;436.0;;-17.1;-17.1;;111.2;111.2;
14;03 Fishing and aquaculture;2023;379;379;0;369.0;369.0;;-15.3;-15.3;;102.6;102.6;
15;B-E Industry (no construction), energy;2021;246591;228750;17841;246591.0;228750.0;17841.0;;;;100.0;100.0;100.0
16;B-E Industry (no construction), energy;2022;306729;281822;24907;249219.0;225759.0;23460.0;1.1;-1.3;31.5;123.1;124.8;106.2
17;B-E Industry (no construction), energy;2023;295270;269264;26006;243407.0;220246.0;23205.0;-2.3;-2.4;-1.1;121.3;122.3;112.1
18;B Mining and quarrying;2021;5012;3742;1270;5012.0;3742.0;1270.0;;;;100.0;100.0;100.0
19;B Mining and quarrying;2022;10703;8789;1914;4462.0;2810.0;1652.0;-11.0;-24.9;30.1;239.9;312.8;115.9
20;B Mining and quarrying;2023;6816;4689;2127;3363.0;1918.0;1785.0;-24.6;-31.7;8.0;202.7;244.5;119.2
21;06 Extraction of crude petroleum and gas;2021;3464;3413;51;3464.0;3413.0;51.0;;;;100.0;100.0;100.0
22;06 Extraction of crude petroleum and gas;2022;8501;8451;50;2608.0;2565.0;43.0;-24.7;-24.8;-15.7;326.0;329.5;116.3
23;06 Extraction of crude petroleum and gas;2023;4718;4384;334;1845.0;1729.0;271.0;-29.3;-32.6;530.0;255.8;253.5;123.3
24;08 Mining and quarrying (no oil and gas);2021;356;329;27;356.0;329.0;27.0;;;;100.0;100.0;100.0
25;08 Mining and quarrying (no oil and gas);2022;356;338;18;262.0;245.0;17.0;-26.4;-25.5;-37.0;135.9;138.0;105.9
26;08 Mining and quarrying (no oil and gas);2023;322;305;17;234.0;218.0;16.0;-10.7;-10.9;-5.6;137.6;139.8;105.9
27;09 Mining support activities;2021;1192;0;1192;1192.0;0.0;1192.0;;;;100.0;;100.0
28;09 Mining support activities;2022;1846;0;1846;1592.0;;1592.0;33.6;;33.6;116.0;;116.0
29;09 Mining support activities;2023;1776;0;1776;1497.0;;1497.0;-6.0;;-6.0;118.6;;118.6
30;C Manufacturing;2021;237977;222009;15968;237977.0;222009.0;15968.0;;;;100.0;100.0;100.0
31;C Manufacturing;2022;289985;267708;22277;241242.0;220094.0;21148.0;1.4;-0.9;32.4;120.2;121.6;105.3
32;C Manufacturing;2023;283030;259878;23152;237320.0;216505.0;20818.0;-1.6;-1.6;-1.6;119.3;120.0;111.2
33;10-12 Manufacture of food and beverages;2021;54079;51686;2393;54079.0;51686.0;2393.0;;;;100.0;100.0;100.0
34;10-12 Manufacture of food and beverages;2022;66878;64032;2846;54478.0;51779.0;2699.0;0.7;0.2;12.8;122.8;123.7;105.4
35;10-12 Manufacture of food and beverages;2023;67062;63989;3073;51530.0;48893.0;2652.0;-5.4;-5.6;-1.8;130.1;130.9;115.9
36;10 Manufacture of food products;2021;47622;45439;2183;47622.0;45439.0;2183.0;;;;100.0;100.0;100.0
37;10 Manufacture of food products;2022;59376;56844;2532;48031.0;45636.0;2395.0;0.9;0.4;9.7;123.6;124.6;105.7
38;10 Manufacture of food products;2023;59324;56577;2747;45265.0;42924.0;2356.0;-5.8;-5.9;-1.6;131.1;131.8;116.6
