ID;Geslacht;Leeftijd;Migratieachtergrond;Perioden;TotaalReIntegratievoorzieningen_1;TijdelijkeLoonkostensubsidie_2;WIWIDBaan_3;Participatieplaats_4;LoonkostensubsidieParticipatiewet_5;ForfaitaireLoonkostensubsidie_6;BeschutWerk_7;BegeleidingOpWerkkringJobCoach_8;VervoersvoorzieningWoonWerk_9;AndereVoorzieningVoorArbeidsbeperkten_10;OverigeReIntegratievoorzieningen_11
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 januari;161070;5660;1360;13230;210;;20;350;10;0;144580
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 februari;162630;5510;1330;13340;250;;10;310;10;0;146260
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 maart;164620;5390;1230;12930;300;;10;360;10;0;148760
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 april;165750;5220;1210;12730;400;;10;320;10;0;150330
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 mei;165730;5220;1180;12410;470;;10;310;10;0;150620
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 juni;166180;5120;1170;12330;500;;10;320;10;0;151120
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 juli;164960;4930;1100;12180;580;;0;310;10;10;150350
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 augustus;164340;4830;1090;11930;670;;10;130;0;10;150020
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 september;164660;4700;1050;11870;810;;10;150;0;10;150590
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 oktober;166230;4690;950;11570;920;;10;50;0;10;152400
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 november;167050;4500;900;11660;1100;;10;150;10;40;153240
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015 december;165640;4290;900;11590;1230;;10;170;10;40;152000
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 januari;167690;4290;880;11640;1300;;40;190;10;40;153930
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 februari;168680;3970;880;11670;1440;;60;220;0;40;155230
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 maart;169340;3870;870;11950;1780;;60;250;0;40;155570
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 april;168660;3810;850;11910;1890;;70;270;0;30;154900
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 mei;169420;3820;860;11550;2060;;70;300;0;30;155790
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 juni;170220;3790;840;11480;2280;;100;330;0;40;156470
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 juli;170500;3900;830;11510;2700;;100;380;0;30;156240
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 augustus;168350;3880;850;11390;2940;;100;420;0;30;153890
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 september;169050;3900;780;11200;3160;;150;530;0;50;154650
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 oktober;171230;3820;800;11580;3610;;160;600;0;60;156250
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 november;173350;3810;800;11740;4000;;180;680;0;70;157930
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016 december;173940;3860;790;11600;4450;;200;830;0;80;158260
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 januari;174930;3640;830;11430;4700;120.0;210;880;10;130;159110
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 februari;176920;3610;830;11500;5060;170.0;230;970;10;140;160840
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 maart;179840;3580;830;11630;5380;230.0;250;1050;10;150;163440
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 april;180900;3640;810;11630;5740;360.0;270;1190;10;160;164070
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 mei;183390;3610;800;11410;6110;530.0;320;1360;10;160;166340
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 juni;184700;3650;790;11250;6430;800.0;350;1480;10;160;167400
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 juli;185780;3600;770;10980;6970;920.0;400;1610;10;180;168250
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 augustus;184540;3530;750;10820;7440;960.0;440;1690;20;180;166760
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 september;186800;3380;700;10760;8170;880.0;490;1800;20;190;168790
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 oktober;187510;3320;700;10860;8760;900.0;590;1930;20;220;168720
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 november;190400;3270;690;10980;9300;950.0;650;2070;20;220;171170
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017 december;190370;3230;670;10860;9680;1040.0;720;2180;20;230;170920
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 januari;193570;3060;670;10540;10080;1120.0;810;2360;30;260;174150
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 februari;196290;3000;670;10550;10450;1200.0;860;2490;40;310;176570
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 maart;199470;2920;660;10400;10830;1250.0;960;2670;40;330;179490
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 april;200640;2790;630;10420;11420;1360.0;1130;2860;50;420;180120
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 mei;202150;2780;590;10320;11890;1420.0;1250;2960;50;390;181350
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 juni;199910;2760;590;10150;12370;1500.0;1350;3120;50;380;178840
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 juli;199170;2680;580;10040;12970;1630.0;1430;3240;50;400;177690
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 augustus;198510;2670;570;9790;13340;1690.0;1470;3410;60;390;177040
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 september;198290;2670;560;9750;13740;1830.0;1580;3540;70;360;176480
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 oktober;199840;2630;550;9590;14260;1940.0;1720;3780;70;370;177730
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 november;199560;2630;550;9280;14620;2020.0;1830;3930;70;370;177410
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018 december;197570;2610;540;8790;15020;2040.0;1960;4010;200;390;175510
48;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 januari;74760;2830;770;5770;70;;10;210;10;0;67230
49;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 februari;75490;2770;760;5850;90;;10;180;10;0;67980
50;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 maart;76370;2700;720;5800;110;;10;220;10;0;69000
