ID;EducationLevel;FieldsOfEducation;CaribbeanNetherlands;Periods;MBOstudents_1
0;Total MBO;Total fields of education;Caribbean Netherlands;2009/'10;209.0
1;Total MBO;Total fields of education;Caribbean Netherlands;2010/'11;216.0
2;Total MBO;Total fields of education;Caribbean Netherlands;2011/'12;340.0
3;Total MBO;Total fields of education;Caribbean Netherlands;2012/'13;393.0
4;Total MBO;Total fields of education;Caribbean Netherlands;2013/'14;564.0
5;Total MBO;Total fields of education;Caribbean Netherlands;2014/'15;667.0
6;Total MBO;Total fields of education;Caribbean Netherlands;2015/'16;665.0
7;Total MBO;Total fields of education;Caribbean Netherlands;2016/'17;588.0
8;Total MBO;Total fields of education;Caribbean Netherlands;2017/'18;549.0
9;Total MBO;Total fields of education;Caribbean Netherlands;2018/'19;506.0
10;Total MBO;Total fields of education;Caribbean Netherlands;2019/'20;565.0
11;Total MBO;Total fields of education;Caribbean Netherlands;2020/'21;700.0
12;Total MBO;Total fields of education;Caribbean Netherlands;2021/'22;725.0
13;Total MBO;Total fields of education;Caribbean Netherlands;2022/'23;748.0
14;Total MBO;Total fields of education;Caribbean Netherlands;2023/'24;756.0
15;Total MBO;Total fields of education;Caribbean Netherlands;2024/'25;855.0
16;Total MBO;Total fields of education;Bonaire;2009/'10;209.0
17;Total MBO;Total fields of education;Bonaire;2010/'11;216.0
18;Total MBO;Total fields of education;Bonaire;2011/'12;340.0
19;Total MBO;Total fields of education;Bonaire;2012/'13;350.0
20;Total MBO;Total fields of education;Bonaire;2013/'14;505.0
21;Total MBO;Total fields of education;Bonaire;2014/'15;610.0
22;Total MBO;Total fields of education;Bonaire;2015/'16;624.0
23;Total MBO;Total fields of education;Bonaire;2016/'17;570.0
24;Total MBO;Total fields of education;Bonaire;2017/'18;520.0
25;Total MBO;Total fields of education;Bonaire;2018/'19;493.0
26;Total MBO;Total fields of education;Bonaire;2019/'20;542.0
27;Total MBO;Total fields of education;Bonaire;2020/'21;646.0
28;Total MBO;Total fields of education;Bonaire;2021/'22;725.0
29;Total MBO;Total fields of education;Bonaire;2022/'23;748.0
30;Total MBO;Total fields of education;Bonaire;2023/'24;756.0
31;Total MBO;Total fields of education;Bonaire;2024/'25;855.0
32;Total MBO;Total fields of education;St Eustatius;2009/'10;
33;Total MBO;Total fields of education;St Eustatius;2010/'11;
34;Total MBO;Total fields of education;St Eustatius;2011/'12;
35;Total MBO;Total fields of education;St Eustatius;2012/'13;31.0
36;Total MBO;Total fields of education;St Eustatius;2013/'14;39.0
37;Total MBO;Total fields of education;St Eustatius;2014/'15;43.0
38;Total MBO;Total fields of education;St Eustatius;2015/'16;35.0
39;Total MBO;Total fields of education;St Eustatius;2016/'17;11.0
40;Total MBO;Total fields of education;St Eustatius;2017/'18;23.0
41;Total MBO;Total fields of education;St Eustatius;2018/'19;10.0
42;Total MBO;Total fields of education;St Eustatius;2019/'20;8.0
43;Total MBO;Total fields of education;St Eustatius;2020/'21;25.0
44;Total MBO;Total fields of education;St Eustatius;2021/'22;
45;Total MBO;Total fields of education;St Eustatius;2022/'23;
46;Total MBO;Total fields of education;St Eustatius;2023/'24;
47;Total MBO;Total fields of education;St Eustatius;2024/'25;
48;Total MBO;Total fields of education;Saba;2009/'10;
49;Total MBO;Total fields of education;Saba;2010/'11;
50;Total MBO;Total fields of education;Saba;2011/'12;
51;Total MBO;Total fields of education;Saba;2012/'13;12.0
52;Total MBO;Total fields of education;Saba;2013/'14;20.0
53;Total MBO;Total fields of education;Saba;2014/'15;14.0
54;Total MBO;Total fields of education;Saba;2015/'16;6.0
55;Total MBO;Total fields of education;Saba;2016/'17;7.0
56;Total MBO;Total fields of education;Saba;2017/'18;6.0
57;Total MBO;Total fields of education;Saba;2018/'19;3.0
58;Total MBO;Total fields of education;Saba;2019/'20;15.0
59;Total MBO;Total fields of education;Saba;2020/'21;29.0
60;Total MBO;Total fields of education;Saba;2021/'22;
61;Total MBO;Total fields of education;Saba;2022/'23;
62;Total MBO;Total fields of education;Saba;2023/'24;
63;Total MBO;Total fields of education;Saba;2024/'25;
64;Total MBO;Sector Economics;Caribbean Netherlands;2009/'10;127.0
65;Total MBO;Sector Economics;Caribbean Netherlands;2010/'11;123.0
66;Total MBO;Sector Economics;Caribbean Netherlands;2011/'12;152.0
67;Total MBO;Sector Economics;Caribbean Netherlands;2012/'13;
68;Total MBO;Sector Economics;Caribbean Netherlands;2013/'14;231.0
69;Total MBO;Sector Economics;Caribbean Netherlands;2014/'15;247.0
70;Total MBO;Sector Economics;Caribbean Netherlands;2015/'16;257.0
71;Total MBO;Sector Economics;Caribbean Netherlands;2016/'17;181.0
72;Total MBO;Sector Economics;Caribbean Netherlands;2017/'18;155.0
73;Total MBO;Sector Economics;Caribbean Netherlands;2018/'19;162.0
74;Total MBO;Sector Economics;Caribbean Netherlands;2019/'20;163.0
