ID;Perioden;TegoedOp1Januari_1;TotaalMutaties_2;Inleg_3;Opname_4;OverigeMutatiesInclusiefRente_5;CorrectiesEnStatistischeVerschillen_6;TegoedOp31December_7;AantalRekeningenVerzekeringen_8
0;2006;;896;891;9;13;0;896;213
1;2007;896.0;861;878;55;38;-7;1750;261
2;2008;1750.0;728;823;121;26;-4;2474;269
3;2009;2474.0;776;894;161;43;13;3263;296
4;2010;3263.0;761;905;226;82;96;4120;313
5;2011;4120.0;574;786;271;58;-45;4648;302
6;2012;4626.0;472;710;343;104;-31;5067;264
