ID;Huishoudensgrootte;LeeftijdReferentiepersoon;Perioden;ParticuliereHuishoudens_1
0;Totaal;Totaal;2016;7733845
1;Totaal;Totaal;2017;7812021
2;Totaal;Totaal;2018;7883856
3;Totaal;Totaal;2019;7938592
4;Totaal;Totaal;2020;7982955
5;Totaal;Totaal;2021;8027478
6;Totaal;Totaal;2022;8072071
7;Totaal;Totaal;2023;8115135
8;Totaal;Totaal;2024;8156341
9;Totaal;Totaal;2025;8195622
10;Totaal;Totaal;2026;8232935
11;Totaal;Totaal;2027;8268387
12;Totaal;Totaal;2028;8301880
13;Totaal;Totaal;2029;8333352
14;Totaal;Totaal;2030;8362524
15;Totaal;Totaal;2031;8389043
16;Totaal;Totaal;2032;8412834
17;Totaal;Totaal;2033;8434358
18;Totaal;Totaal;2034;8453604
19;Totaal;Totaal;2035;8470797
20;Totaal;Totaal;2036;8486066
21;Totaal;Totaal;2037;8499487
22;Totaal;Totaal;2038;8511371
23;Totaal;Totaal;2039;8521801
24;Totaal;Totaal;2040;8531151
25;Totaal;Totaal;2041;8539655
26;Totaal;Totaal;2042;8547566
27;Totaal;Totaal;2043;8555052
28;Totaal;Totaal;2044;8562354
29;Totaal;Totaal;2045;8569452
30;Totaal;Totaal;2046;8576301
31;Totaal;Totaal;2047;8583006
32;Totaal;Totaal;2048;8589477
33;Totaal;Totaal;2049;8595615
34;Totaal;Totaal;2050;8601212
35;Totaal;Totaal;2051;8606209
36;Totaal;Totaal;2052;8610559
37;Totaal;Totaal;2053;8614163
38;Totaal;Totaal;2054;8617041
39;Totaal;Totaal;2055;8619208
40;Totaal;Totaal;2056;8620794
41;Totaal;Totaal;2057;8621866
42;Totaal;Totaal;2058;8622529
43;Totaal;Totaal;2059;8622980
44;Totaal;Totaal;2060;8623342
45;Totaal;15 tot 20 jaar;2016;58871
46;Totaal;15 tot 20 jaar;2017;55121
47;Totaal;15 tot 20 jaar;2018;57028
48;Totaal;15 tot 20 jaar;2019;57246
49;Totaal;15 tot 20 jaar;2020;56923
50;Totaal;15 tot 20 jaar;2021;55773
51;Totaal;15 tot 20 jaar;2022;54988
52;Totaal;15 tot 20 jaar;2023;53993
53;Totaal;15 tot 20 jaar;2024;52368
54;Totaal;15 tot 20 jaar;2025;51219
55;Totaal;15 tot 20 jaar;2026;50659
56;Totaal;15 tot 20 jaar;2027;50319
57;Totaal;15 tot 20 jaar;2028;50634
58;Totaal;15 tot 20 jaar;2029;50388
59;Totaal;15 tot 20 jaar;2030;49799
60;Totaal;15 tot 20 jaar;2031;48763
61;Totaal;15 tot 20 jaar;2032;47934
62;Totaal;15 tot 20 jaar;2033;47598
63;Totaal;15 tot 20 jaar;2034;47904
64;Totaal;15 tot 20 jaar;2035;47749
65;Totaal;15 tot 20 jaar;2036;48393
66;Totaal;15 tot 20 jaar;2037;49054
67;Totaal;15 tot 20 jaar;2038;49671
68;Totaal;15 tot 20 jaar;2039;50252
69;Totaal;15 tot 20 jaar;2040;50700
70;Totaal;15 tot 20 jaar;2041;51128
71;Totaal;15 tot 20 jaar;2042;51534
72;Totaal;15 tot 20 jaar;2043;51893
73;Totaal;15 tot 20 jaar;2044;52189
74;Totaal;15 tot 20 jaar;2045;52404
75;Totaal;15 tot 20 jaar;2046;52568
76;Totaal;15 tot 20 jaar;2047;52686
77;Totaal;15 tot 20 jaar;2048;52767
78;Totaal;15 tot 20 jaar;2049;52802
79;Totaal;15 tot 20 jaar;2050;52790
80;Totaal;15 tot 20 jaar;2051;52727
81;Totaal;15 tot 20 jaar;2052;52611
82;Totaal;15 tot 20 jaar;2053;52440
83;Totaal;15 tot 20 jaar;2054;52223
84;Totaal;15 tot 20 jaar;2055;51967
85;Totaal;15 tot 20 jaar;2056;51684
86;Totaal;15 tot 20 jaar;2057;51394
87;Totaal;15 tot 20 jaar;2058;51113
88;Totaal;15 tot 20 jaar;2059;50850
89;Totaal;15 tot 20 jaar;2060;50611
90;Totaal;20 tot 25 jaar;2016;351268
91;Totaal;20 tot 25 jaar;2017;354720
92;Totaal;20 tot 25 jaar;2018;349298
93;Totaal;20 tot 25 jaar;2019;339992
94;Totaal;20 tot 25 jaar;2020;327598
95;Totaal;20 tot 25 jaar;2021;321440
96;Totaal;20 tot 25 jaar;2022;318061
97;Totaal;20 tot 25 jaar;2023;319930
98;Totaal;20 tot 25 jaar;2024;319599
99;Totaal;20 tot 25 jaar;2025;317500
100;Totaal;20 tot 25 jaar;2026;312233
101;Totaal;20 tot 25 jaar;2027;307383
102;Totaal;20 tot 25 jaar;2028;301961
103;Totaal;20 tot 25 jaar;2029;296747
104;Totaal;20 tot 25 jaar;2030;293744
105;Totaal;20 tot 25 jaar;2031;292555
106;Totaal;20 tot 25 jaar;2032;291095
107;Totaal;20 tot 25 jaar;2033;290279
108;Totaal;20 tot 25 jaar;2034;287078
109;Totaal;20 tot 25 jaar;2035;284080
110;Totaal;20 tot 25 jaar;2036;280478
111;Totaal;20 tot 25 jaar;2037;278511
112;Totaal;20 tot 25 jaar;2038;278658
113;Totaal;20 tot 25 jaar;2039;281003
114;Totaal;20 tot 25 jaar;2040;282926
115;Totaal;20 tot 25 jaar;2041;286461
116;Totaal;20 tot 25 jaar;2042;289828
117;Totaal;20 tot 25 jaar;2043;292933
118;Totaal;20 tot 25 jaar;2044;295793
119;Totaal;20 tot 25 jaar;2045;298225
120;Totaal;20 tot 25 jaar;2046;300455
121;Totaal;20 tot 25 jaar;2047;302436
122;Totaal;20 tot 25 jaar;2048;304096
123;Totaal;20 tot 25 jaar;2049;305419
124;Totaal;20 tot 25 jaar;2050;306418
125;Totaal;20 tot 25 jaar;2051;307147
126;Totaal;20 tot 25 jaar;2052;307629
127;Totaal;20 tot 25 jaar;2053;307856
128;Totaal;20 tot 25 jaar;2054;307810
129;Totaal;20 tot 25 jaar;2055;307458
130;Totaal;20 tot 25 jaar;2056;306815
131;Totaal;20 tot 25 jaar;2057;305890
132;Totaal;20 tot 25 jaar;2058;304701
133;Totaal;20 tot 25 jaar;2059;303335
134;Totaal;20 tot 25 jaar;2060;301849
135;Totaal;25 tot 30 jaar;2016;545100
136;Totaal;25 tot 30 jaar;2017;555347
137;Totaal;25 tot 30 jaar;2018;564203
138;Totaal;25 tot 30 jaar;2019;570384
139;Totaal;25 tot 30 jaar;2020;574446
140;Totaal;25 tot 30 jaar;2021;571196
141;Totaal;25 tot 30 jaar;2022;567229
142;Totaal;25 tot 30 jaar;2023;560480
143;Totaal;25 tot 30 jaar;2024;558225
144;Totaal;25 tot 30 jaar;2025;556884
145;Totaal;25 tot 30 jaar;2026;561132
146;Totaal;25 tot 30 jaar;2027;564975
147;Totaal;25 tot 30 jaar;2028;568797
148;Totaal;25 tot 30 jaar;2029;568861
149;Totaal;25 tot 30 jaar;2030;565151
150;Totaal;25 tot 30 jaar;2031;556331
151;Totaal;25 tot 30 jaar;2032;548027
152;Totaal;25 tot 30 jaar;2033;538655
153;Totaal;25 tot 30 jaar;2034;530865
154;Totaal;25 tot 30 jaar;2035;526698
155;Totaal;25 tot 30 jaar;2036;525153
156;Totaal;25 tot 30 jaar;2037;522690
157;Totaal;25 tot 30 jaar;2038;520517
158;Totaal;25 tot 30 jaar;2039;514332
159;Totaal;25 tot 30 jaar;2040;509296
160;Totaal;25 tot 30 jaar;2041;503903
161;Totaal;25 tot 30 jaar;2042;501652
162;Totaal;25 tot 30 jaar;2043;502881
163;Totaal;25 tot 30 jaar;2044;507554
164;Totaal;25 tot 30 jaar;2045;511924
165;Totaal;25 tot 30 jaar;2046;518329
166;Totaal;25 tot 30 jaar;2047;524327
167;Totaal;25 tot 30 jaar;2048;529822
168;Totaal;25 tot 30 jaar;2049;534864
169;Totaal;25 tot 30 jaar;2050;539197
170;Totaal;25 tot 30 jaar;2051;543115
171;Totaal;25 tot 30 jaar;2052;546560
172;Totaal;25 tot 30 jaar;2053;549407
