ID;Sex;Regions;Periods;PopulationOn1January_1;PopulationDensity_2;LiveBornChildren_3;LiveBornChildrenRatio_4;Deaths_5;DeathsRatio_6;NaturalIncrease_7;TotalArrivals_8;TotalArrivalsRatio_9;DueToImmigration_10;DueToIntermunicipalMoves_11;TotalDeparturesIncludingAdministra_12;TotalDeparturesIncludingAdmRatio_13;DueToEmigrationIncludingAdministr_14;NetAdministrativeCorrections_15;DueToIntermunicipalMoves_16;NetMigrationIncludingAdministrative_17;PopulationGrowth_18;PopulationGrowthRatio_19;PopulationOn31December_20
0;Total male and female;The Netherlands;1942;9007722.0;;189975.0;21.0;86040.0;9.5;103935.0;454210.0;50.2;;;489617.0;54.1;;;;-35407.0;68528.0;7.6;9076250.0
1;Total male and female;The Netherlands;1943;9076250.0;;209379.0;23.0;91438.0;10.0;117941.0;493825.0;54.3;;;559446.0;61.5;;;;-65621.0;52320.0;5.8;9128570.0
2;Total male and female;The Netherlands;1944;9128570.0;;219946.0;24.0;108087.0;11.8;111859.0;413070.0;45.0;;;433205.0;47.2;;;;-20135.0;91724.0;10.0;9220294.0
3;Total male and female;The Netherlands;1945;9220294.0;;209607.0;22.6;141398.0;15.3;68209.0;671178.0;72.5;;;655380.0;70.8;;;;15798.0;84007.0;9.1;9304301.0
4;Total male and female;The Netherlands;1946;9304301.0;;284456.0;30.2;80151.0;8.5;204305.0;729268.0;77.4;;;695215.0;73.8;;;;34053.0;238358.0;25.6;9542659.0
5;Total male and female;The Netherlands;1947;9542659.0;;267348.0;27.8;77646.0;8.1;189702.0;541530.0;56.2;;;558001.0;57.9;;;;-16471.0;173231.0;18.2;9715890.0
6;Total male and female;The Netherlands;1948;9715890.0;;247923.0;25.3;72459.0;7.4;175464.0;464489.0;47.4;;;485572.0;49.5;;;;-21083.0;168525.0;17.3;9884415.0
7;Total male and female;The Netherlands;1949;9884415.0;;236177.0;23.7;81077.0;8.1;155100.0;431802.0;43.4;;;454100.0;45.6;;;;-22298.0;142358.0;14.4;10026773.0
8;Total male and female;The Netherlands;1950;10026773.0;;229369.0;22.7;75580.0;7.5;153789.0;481626.0;47.6;;;461908.0;45.7;;;;19718.0;173507.0;17.3;10200280.0
9;Total male and female;The Netherlands;1951;10200280.0;;228631.0;22.3;77194.0;7.5;151437.0;489861.0;47.7;;;513235.0;50.0;;;;-23374.0;128063.0;12.6;10328343.0
10;Total male and female;The Netherlands;1952;10328343.0;;232596.0;22.4;75986.0;7.3;156610.0;472932.0;45.6;;;522254.0;50.3;;;;-49322.0;107288.0;10.4;10435631.0
11;Total male and female;The Netherlands;1953;10435631.0;;228609.0;21.8;80418.0;7.7;148191.0;488017.0;46.5;;;520050.0;49.6;;;;-32033.0;115106.0;11.0;10550737.0
