ID;Opleidingsniveau;Geslacht;Leeftijd;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
0;Totaal opleidingsniveau;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;6996.3;3887.2;17.24;1958.0;26.2;35.5
1;Totaal opleidingsniveau;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;1165.4;429.8;9.42;855.0;10.3;18.4
2;Totaal opleidingsniveau;Totaal mannen en vrouwen;25 tot 35 jaar;2002;1774.3;1108.7;15.61;1914.0;25.4;31.1
3;Totaal opleidingsniveau;Totaal mannen en vrouwen;35 tot 45 jaar;2002;1884.1;1067.4;18.75;2182.0;29.6;38.7
4;Totaal opleidingsniveau;Totaal mannen en vrouwen;45 tot 55 jaar;2002;1537.0;897.1;20.21;2359.0;32.1;41.9
5;Totaal opleidingsniveau;Totaal mannen en vrouwen;55 tot 65 jaar;2002;635.5;384.1;21.66;2462.0;33.2;43.9
6;Totaal opleidingsniveau;Mannen;Totaal 15 tot 65 jaar;2002;3906.5;3063.4;18.55;2399.0;32.4;37.3
7;Totaal opleidingsniveau;Mannen;Jonger dan 25 jaar;2002;590.4;270.9;9.49;929.0;11.2;18.8
8;Totaal opleidingsniveau;Mannen;25 tot 35 jaar;2002;937.8;786.6;16.07;2190.0;29.3;32.0
9;Totaal opleidingsniveau;Mannen;35 tot 45 jaar;2002;1052.6;896.9;19.89;2718.0;37.1;39.7
10;Totaal opleidingsniveau;Mannen;45 tot 55 jaar;2002;899.5;768.2;21.86;2944.0;40.3;43.2
11;Totaal opleidingsniveau;Mannen;55 tot 65 jaar;2002;426.2;340.7;23.06;2956.0;40.1;45.0
12;Totaal opleidingsniveau;Vrouwen;Totaal 15 tot 65 jaar;2002;3089.8;823.8;14.96;1400.0;18.3;28.9
13;Totaal opleidingsniveau;Vrouwen;Jonger dan 25 jaar;2002;575.0;158.9;9.34;780.0;9.3;17.9
14;Totaal opleidingsniveau;Vrouwen;25 tot 35 jaar;2002;836.5;322.1;14.96;1606.0;21.1;28.9
15;Totaal opleidingsniveau;Vrouwen;35 tot 45 jaar;2002;831.5;170.4;16.58;1504.0;20.0;33.2
16;Totaal opleidingsniveau;Vrouwen;45 tot 55 jaar;2002;637.5;128.9;16.8;1534.0;20.4;34.4
17;Totaal opleidingsniveau;Vrouwen;55 tot 65 jaar;2002;209.3;43.4;17.34;1458.0;19.3;35.5
18;Basisonderwijs;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;659.7;317.1;12.66;1292.0;17.1;27.6
19;Basisonderwijs;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;196.2;46.2;5.7;413.0;4.6;11.7
20;Basisonderwijs;Totaal mannen en vrouwen;25 tot 35 jaar;2002;88.2;56.8;14.12;1714.0;22.7;29.6
21;Basisonderwijs;Totaal mannen en vrouwen;35 tot 45 jaar;2002;130.8;60.5;13.77;1424.0;18.7;27.8
22;Basisonderwijs;Totaal mannen en vrouwen;45 tot 55 jaar;2002;165.3;109.0;15.19;1849.0;25.3;32.2
23;Basisonderwijs;Totaal mannen en vrouwen;55 tot 65 jaar;2002;79.2;44.5;14.64;1622.0;22.2;30.0
24;Basisonderwijs;Mannen;Totaal 15 tot 65 jaar;2002;422.4;284.7;13.57;1579.0;21.3;28.4
25;Basisonderwijs;Mannen;Jonger dan 25 jaar;2002;116.8;38.8;5.8;455.0;5.3;11.7
26;Basisonderwijs;Mannen;25 tot 35 jaar;2002;66.4;52.5;14.86;1962.0;26.3;30.3
27;Basisonderwijs;Mannen;35 tot 45 jaar;2002;73.5;53.7;14.54;1834.0;24.5;28.7
28;Basisonderwijs;Mannen;45 tot 55 jaar;2002;107.3;97.3;16.2;2238.0;31.2;33.2
29;Basisonderwijs;Mannen;55 tot 65 jaar;2002;58.4;42.4;15.22;1857.0;25.5;30.1
30;Basisonderwijs;Vrouwen;Totaal 15 tot 65 jaar;2002;237.3;32.4;10.21;783.0;9.6;20.2
31;Basisonderwijs;Vrouwen;Jonger dan 25 jaar;2002;79.4;7.4;5.52;352.0;3.7;11.7
32;Basisonderwijs;Vrouwen;25 tot 35 jaar;2002;21.8;4.4;10.8;958.0;11.6;20.1
33;Basisonderwijs;Vrouwen;35 tot 45 jaar;2002;57.3;6.8;12.1;898.0;11.2;21.5
34;Basisonderwijs;Vrouwen;45 tot 55 jaar;2002;58.0;11.7;12.37;1129.0;14.4;23.8
35;Basisonderwijs;Vrouwen;55 tot 65 jaar;2002;20.8;2.1;12.13;960.0;12.7;26.7
36;Mavo;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;631.1;234.1;12.66;1158.0;15.3;28.1
37;Mavo;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;285.7;68.0;7.8;572.0;6.7;16.9
38;Mavo;Totaal mannen en vrouwen;25 tot 35 jaar;2002;82.0;43.7;13.26;1507.0;20.0;27.8
39;Mavo;Totaal mannen en vrouwen;35 tot 45 jaar;2002;106.3;54.1;15.3;1666.0;23.0;32.1
40;Mavo;Totaal mannen en vrouwen;45 tot 55 jaar;2002;100.5;35.9;15.84;1540.0;21.1;35.5
41;Mavo;Totaal mannen en vrouwen;55 tot 65 jaar;2002;56.6;32.4;18.25;1982.0;26.8;37.0
42;Mavo;Mannen;Totaal 15 tot 65 jaar;2002;301.4;173.5;13.41;1430.0;19.4;29.8
43;Mavo;Mannen;Jonger dan 25 jaar;2002;151.1;44.5;7.91;624.0;7.3;17.6
44;Mavo;Mannen;25 tot 35 jaar;2002;40.6;35.5;13.59;1880.0;26.8;28.5
45;Mavo;Mannen;35 tot 45 jaar;2002;43.9;38.9;16.09;2205.0;32.3;34.1
46;Mavo;Mannen;45 tot 55 jaar;2002;32.7;26.7;19.07;2490.0;34.1;37.9
47;Mavo;Mannen;55 tot 65 jaar;2002;33.0;27.9;19.0;2487.0;33.9;37.2
48;Mavo;Vrouwen;Totaal 15 tot 65 jaar;2002;329.8;60.6;11.72;910.0;11.5;23.1
49;Mavo;Vrouwen;Jonger dan 25 jaar;2002;134.6;23.5;7.66;513.0;6.1;15.4
50;Mavo;Vrouwen;25 tot 35 jaar;2002;41.4;8.1;12.75;1142.0;13.4;24.7
51;Mavo;Vrouwen;35 tot 45 jaar;2002;62.4;15.2;14.45;1287.0;16.4;26.9
52;Mavo;Vrouwen;45 tot 55 jaar;2002;67.8;9.2;13.34;1082.0;14.8;28.5
53;Mavo;Vrouwen;55 tot 65 jaar;2002;23.6;4.6;16.46;1275.0;16.7;36.0
54;Vbo;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;903.9;534.1;13.52;1555.0;21.0;28.5
55;Vbo;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;149.6;70.9;9.1;976.0;11.8;17.7
56;Vbo;Totaal mannen en vrouwen;25 tot 35 jaar;2002;198.5;129.6;13.35;1627.0;21.3;26.8
57;Vbo;Totaal mannen en vrouwen;35 tot 45 jaar;2002;234.1;154.5;14.6;1762.0;23.7;30.0
58;Vbo;Totaal mannen en vrouwen;45 tot 55 jaar;2002;220.8;131.9;14.61;1675.0;23.9;32.1
59;Vbo;Totaal mannen en vrouwen;55 tot 65 jaar;2002;100.9;47.3;15.12;1524.0;21.3;33.9
60;Vbo;Mannen;Totaal 15 tot 65 jaar;2002;572.2;474.1;14.33;1913.0;26.2;29.3
61;Vbo;Mannen;Jonger dan 25 jaar;2002;79.3;54.6;9.62;1200.0;14.4;18.3
62;Vbo;Mannen;25 tot 35 jaar;2002;138.6;115.1;13.66;1838.0;24.5;27.3
63;Vbo;Mannen;35 tot 45 jaar;2002;158.8;142.2;15.26;2129.0;28.9;30.4
64;Vbo;Mannen;45 tot 55 jaar;2002;128.3;116.8;15.78;2177.0;31.6;33.2
65;Vbo;Mannen;55 tot 65 jaar;2002;67.2;45.3;15.86;1894.0;26.8;34.2
66;Vbo;Vrouwen;Totaal 15 tot 65 jaar;2002;331.7;60.0;11.27;937.0;12.0;21.8
67;Vbo;Vrouwen;Jonger dan 25 jaar;2002;70.3;16.3;8.28;725.0;8.7;15.6
68;Vbo;Vrouwen;25 tot 35 jaar;2002;59.9;14.5;12.32;1140.0;13.8;22.9
69;Vbo;Vrouwen;35 tot 45 jaar;2002;75.3;12.2;12.2;987.0;12.8;25.6
70;Vbo;Vrouwen;45 tot 55 jaar;2002;92.5;15.0;11.89;980.0;13.1;23.7
71;Vbo;Vrouwen;55 tot 65 jaar;2002;33.7;2.0;12.34;784.0;10.5;28.5
72;Havo/Vwo;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;480.5;218.1;15.11;1554.0;20.0;30.8
73;Havo/Vwo;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;192.7;65.6;9.52;801.0;9.3;16.8
74;Havo/Vwo;Totaal mannen en vrouwen;25 tot 35 jaar;2002;110.2;60.1;15.1;1740.0;22.2;29.7
75;Havo/Vwo;Totaal mannen en vrouwen;35 tot 45 jaar;2002;116.4;61.7;18.65;2185.0;29.4;38.6
76;Havo/Vwo;Totaal mannen en vrouwen;45 tot 55 jaar;2002;48.9;23.5;20.07;2223.0;30.5;45.8
77;Havo/Vwo;Totaal mannen en vrouwen;55 tot 65 jaar;2002;12.4;7.2;25.7;3020.0;37.7;52.0
78;Havo/Vwo;Mannen;Totaal 15 tot 65 jaar;2002;231.1;146.8;16.92;1980.0;25.5;34.3
79;Havo/Vwo;Mannen;Jonger dan 25 jaar;2002;78.1;31.6;10.39;980.0;11.4;19.6
80;Havo/Vwo;Mannen;25 tot 35 jaar;2002;65.8;42.6;15.79;1903.0;24.2;30.9
81;Havo/Vwo;Mannen;35 tot 45 jaar;2002;57.7;47.6;19.81;2681.0;35.7;39.1
82;Havo/Vwo;Mannen;45 tot 55 jaar;2002;23.1;19.3;23.74;3160.0;43.8;48.5
83;Havo/Vwo;Mannen;55 tot 65 jaar;2002;;5.7;;;;
84;Havo/Vwo;Vrouwen;Totaal 15 tot 65 jaar;2002;249.4;71.3;12.91;1158.0;14.9;23.6
85;Havo/Vwo;Vrouwen;Jonger dan 25 jaar;2002;114.6;34.0;;679.0;7.9;14.2
86;Havo/Vwo;Vrouwen;25 tot 35 jaar;2002;44.3;17.5;13.94;1497.0;19.1;27.0
