ID;OutputPrices;SIC2008;Periods;IndexNumbers_1;YearOnYearDevelopment_2;MonthOnMonthDevelopment_3;WeightFactor_4
0;Total output prices;B Mining and quarrying ;1981 January;53.8;;;0
1;Total output prices;B Mining and quarrying ;1981 February;54.1;;0.6;0
2;Total output prices;B Mining and quarrying ;1981 March ;54.3;;0.4;0
3;Total output prices;B Mining and quarrying ;1981 April;54.3;;0.0;0
4;Total output prices;B Mining and quarrying ;1981 May;54.5;;0.4;0
5;Total output prices;B Mining and quarrying ;1981 June;55.0;;1.0;0
6;Total output prices;B Mining and quarrying ;1981 July;55.6;;1.0;0
7;Total output prices;B Mining and quarrying ;1981 August;55.5;;-0.1;0
8;Total output prices;B Mining and quarrying ;1981 September;55.4;;-0.2;0
9;Total output prices;B Mining and quarrying ;1981 October;55.4;;-0.1;0
10;Total output prices;B Mining and quarrying ;1981 November;55.4;;0.0;0
11;Total output prices;B Mining and quarrying ;1981 December;55.4;;0.0;0
12;Total output prices;B Mining and quarrying ;1981;54.9;;;0
13;Total output prices;B Mining and quarrying ;1982 January;57.9;7.6;4.5;0
14;Total output prices;B Mining and quarrying ;1982 February;58.3;7.8;0.8;0
15;Total output prices;B Mining and quarrying ;1982 March ;58.7;8.1;0.7;0
16;Total output prices;B Mining and quarrying ;1982 April;59.4;9.4;1.2;0
17;Total output prices;B Mining and quarrying ;1982 May;59.6;9.4;0.3;0
18;Total output prices;B Mining and quarrying ;1982 June;59.4;8.0;-0.3;0
19;Total output prices;B Mining and quarrying ;1982 July;59.2;6.5;-0.3;0
20;Total output prices;B Mining and quarrying ;1982 August;58.9;6.2;-0.4;0
21;Total output prices;B Mining and quarrying ;1982 September;58.6;5.7;-0.6;0
22;Total output prices;B Mining and quarrying ;1982 October;58.5;5.7;0.0;0
23;Total output prices;B Mining and quarrying ;1982 November;59.0;6.6;0.8;0
24;Total output prices;B Mining and quarrying ;1982 December;59.1;6.7;0.2;0
25;Total output prices;B Mining and quarrying ;1982;58.9;7.3;;0
26;Total output prices;B Mining and quarrying ;1983 January;59.3;2.5;0.3;0
27;Total output prices;B Mining and quarrying ;1983 February;59.3;1.7;-0.1;0
28;Total output prices;B Mining and quarrying ;1983 March ;59.2;0.9;0.0;0
29;Total output prices;B Mining and quarrying ;1983 April;59.2;-0.3;0.0;0
30;Total output prices;B Mining and quarrying ;1983 May;59.3;-0.4;0.2;0
31;Total output prices;B Mining and quarrying ;1983 June;59.7;0.5;0.5;0
32;Total output prices;B Mining and quarrying ;1983 July;59.8;1.1;0.3;0
33;Total output prices;B Mining and quarrying ;1983 August;60.7;2.9;1.4;0
34;Total output prices;B Mining and quarrying ;1983 September;61.8;5.5;1.8;0
35;Total output prices;B Mining and quarrying ;1983 October;61.8;5.6;0.1;0
36;Total output prices;B Mining and quarrying ;1983 November;62.3;5.5;0.7;0
37;Total output prices;B Mining and quarrying ;1983 December;62.7;6.1;0.7;0
38;Total output prices;B Mining and quarrying ;1983;60.4;2.6;;0
39;Total output prices;B Mining and quarrying ;1984 January;64.4;8.6;2.7;0
40;Total output prices;B Mining and quarrying ;1984 February;66.5;12.1;3.2;0
41;Total output prices;B Mining and quarrying ;1984 March ;66.9;12.9;0.6;0
42;Total output prices;B Mining and quarrying ;1984 April;67.2;13.4;0.4;0
43;Total output prices;B Mining and quarrying ;1984 May;66.9;12.7;-0.5;0
44;Total output prices;B Mining and quarrying ;1984 June;67.1;12.4;0.3;0
45;Total output prices;B Mining and quarrying ;1984 July;67.2;12.4;0.2;0
46;Total output prices;B Mining and quarrying ;1984 August;66.1;8.9;-1.7;0
47;Total output prices;B Mining and quarrying ;1984 September;65.5;6.1;-0.8;0
48;Total output prices;B Mining and quarrying ;1984 October;65.4;5.7;-0.2;0
49;Total output prices;B Mining and quarrying ;1984 November;65.1;4.6;-0.4;0
50;Total output prices;B Mining and quarrying ;1984 December;64.8;3.4;-0.5;0
51;Total output prices;B Mining and quarrying ;1984;66.1;9.4;;0
52;Total output prices;B Mining and quarrying ;1985 January;65.2;1.2;0.6;0
53;Total output prices;B Mining and quarrying ;1985 February;65.6;-1.3;0.7;0
54;Total output prices;B Mining and quarrying ;1985 March ;65.9;-1.5;0.4;0
55;Total output prices;B Mining and quarrying ;1985 April;68.3;1.7;3.6;0
56;Total output prices;B Mining and quarrying ;1985 May;68.8;2.9;0.7;0
57;Total output prices;B Mining and quarrying ;1985 June;67.5;0.7;-1.8;0
58;Total output prices;B Mining and quarrying ;1985 July;67.9;1.0;0.6;0
59;Total output prices;B Mining and quarrying ;1985 August;66.6;0.8;-1.9;0
