ID;Geslacht;Persoonskenmerken;Perioden;TotaalBevolking15Tot65Jaar_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;Beroepsprestige_4;SociaalEconomischeStatus_5;I_6;II_7;III_8;IV_9;V_10;VI_11;VII_12;WerklozeBeroepsbevolking_13;NietBeroepsbevolking_14;BrutoArbeidsparticipatie_15;NettoArbeidsparticipatie_16;GeregistreerdeWerklozen_17;Werkloosheidspercentage_18
0;Mannen en vrouwen;10;1800;;849.0;830.0;;;;;;;;;;19.0;;;;;2.2
1;Mannen en vrouwen;10;1801;;852.0;833.0;;;;;;;;;;19.0;;;;;2.2
2;Mannen en vrouwen;10;1802;;854.0;835.0;;;;;;;;;;20.0;;;;;2.3
3;Mannen en vrouwen;10;1803;;857.0;836.0;;;;;;;;;;20.0;;;;;2.4
4;Mannen en vrouwen;10;1804;;860.0;840.0;;;;;;;;;;21.0;;;;;2.4
5;Mannen en vrouwen;10;1805;;865.0;843.0;;;;;;;;;;21.0;;;;;2.5
6;Mannen en vrouwen;10;1806;;870.0;848.0;;;;;;;;;;22.0;;;;;2.5
7;Mannen en vrouwen;10;1807;;871.0;848.0;;;;;;;;;;23.0;;;;;2.6
8;Mannen en vrouwen;10;1808;;868.0;845.0;;;;;;;;;;23.0;;;;;2.7
9;Mannen en vrouwen;10;1809;;869.0;845.0;;;;;;;;;;23.0;;;;;2.7
10;Mannen en vrouwen;10;1810;;871.0;847.0;;;;;;;;;;24.0;;;;;2.8
11;Mannen en vrouwen;10;1811;;873.0;848.0;;;;;;;;;;25.0;;;;;2.9
12;Mannen en vrouwen;10;1812;;876.0;849.0;;;;;;;;;;26.0;;;;;3.0
13;Mannen en vrouwen;10;1813;;880.0;853.0;;;;;;;;;;27.0;;;;;3.1
14;Mannen en vrouwen;10;1814;;882.0;855.0;;;;;;;;;;27.0;;;;;3.1
15;Mannen en vrouwen;10;1815;;896.0;867.0;;;;;;;;;;28.0;;;;;3.2
16;Mannen en vrouwen;10;1816;;909.0;879.0;;;;;;;;;;30.0;;;;;3.3
17;Mannen en vrouwen;10;1817;;916.0;885.0;;;;;;;;;;31.0;;;;;3.4
18;Mannen en vrouwen;10;1818;;927.0;893.0;;;;;;;;;;33.0;;;;;3.6
19;Mannen en vrouwen;10;1819;;939.0;905.0;;;;;;;;;;34.0;;;;;3.6
20;Mannen en vrouwen;10;1820;;950.0;913.0;;;;;;;;;;37.0;;;;;3.9
21;Mannen en vrouwen;10;1821;;965.0;930.0;;;;;;;;;;36.0;;;;;3.7
22;Mannen en vrouwen;10;1822;;979.0;942.0;;;;;;;;;;37.0;;;;;3.8
23;Mannen en vrouwen;10;1823;;994.0;954.0;;;;;;;;;;41.0;;;;;4.1
24;Mannen en vrouwen;10;1824;;1012.0;965.0;;;;;;;;;;47.0;;;;;4.7
25;Mannen en vrouwen;10;1825;;1028.0;976.0;;;;;;;;;;52.0;;;;;5.1
26;Mannen en vrouwen;10;1826;;1036.0;991.0;;;;;;;;;;45.0;;;;;4.4
27;Mannen en vrouwen;10;1827;;1043.0;995.0;;;;;;;;;;49.0;;;;;4.7
28;Mannen en vrouwen;10;1828;;1056.0;1008.0;;;;;;;;;;48.0;;;;;4.6
29;Mannen en vrouwen;10;1829;;1065.0;1017.0;;;;;;;;;;48.0;;;;;4.5
30;Mannen en vrouwen;10;1830;;1076.0;1031.0;;;;;;;;;;45.0;;;;;4.2
31;Mannen en vrouwen;10;1831;;1082.0;1036.0;;;;;;;;;;46.0;;;;;4.3
32;Mannen en vrouwen;10;1832;;1087.0;1038.0;;;;;;;;;;49.0;;;;;4.5
33;Mannen en vrouwen;10;1833;;1097.0;1046.0;;;;;;;;;;51.0;;;;;4.7
34;Mannen en vrouwen;10;1834;;1107.0;1055.0;;;;;;;;;;52.0;;;;;4.7
35;Mannen en vrouwen;10;1835;;1119.0;1068.0;;;;;;;;;;51.0;;;;;4.6
36;Mannen en vrouwen;10;1836;;1133.0;1082.0;;;;;;;;;;51.0;;;;;4.5
37;Mannen en vrouwen;10;1837;;1144.0;1082.0;;;;;;;;;;61.0;;;;;5.4
38;Mannen en vrouwen;10;1838;;1157.0;1101.0;;;;;;;;;;56.0;;;;;4.9
39;Mannen en vrouwen;10;1839;;1171.0;1116.0;;;;;;;;;;55.0;;;;;4.7
40;Mannen en vrouwen;10;1840;;1185.0;1125.0;;;;;;;;;;60.0;;;;;5.1
41;Mannen en vrouwen;10;1841;;1201.0;1147.0;;;;;;;;;;54.0;;;;;4.5
42;Mannen en vrouwen;10;1842;;1212.0;1158.0;;;;;;;;;;54.0;;;;;4.5
43;Mannen en vrouwen;10;1843;;1226.0;1157.0;;;;;;;;;;68.0;;;;;5.6
44;Mannen en vrouwen;10;1844;;1239.0;1159.0;;;;;;;;;;80.0;;;;;6.5
45;Mannen en vrouwen;10;1845;;1254.0;1184.0;;;;;;;;;;70.0;;;;;5.6
46;Mannen en vrouwen;10;1846;;1259.0;1196.0;;;;;;;;;;63.0;;;;;5.0
47;Mannen en vrouwen;10;1847;;1256.0;1194.0;;;;;;;;;;62.0;;;;;5.0
48;Mannen en vrouwen;10;1848;;1258.0;1183.0;;;;;;;;;;75.0;;;;;6.0
49;Mannen en vrouwen;10;1849;;1263.0;1187.0;;;;;;;;;;77.0;;;;;6.1
50;Mannen en vrouwen;10;1850;;1275.0;1194.0;;;;;;;;;;81.0;;;;;6.4
51;Mannen en vrouwen;10;1851;;1288.0;1203.0;;;;;;;;;;84.0;;;;;6.6
52;Mannen en vrouwen;10;1852;;1299.0;1215.0;;;;;;;;;;84.0;;;;;6.5
53;Mannen en vrouwen;10;1853;;1306.0;1226.0;;;;;;;;;;81.0;;;;;6.2
54;Mannen en vrouwen;10;1854;;1314.0;1243.0;;;;;;;;;;72.0;;;;;5.5
55;Mannen en vrouwen;10;1855;;1316.0;1251.0;;;;;;;;;;65.0;;;;;5.0
56;Mannen en vrouwen;10;1856;;1325.0;1264.0;;;;;;;;;;61.0;;;;;4.6
57;Mannen en vrouwen;10;1857;;1332.0;1268.0;;;;;;;;;;64.0;;;;;4.8
58;Mannen en vrouwen;10;1858;;1335.0;1270.0;;;;;;;;;;65.0;;;;;4.9
59;Mannen en vrouwen;10;1859;;1336.0;1271.0;;;;;;;;;;65.0;;;;;4.9
60;Mannen en vrouwen;10;1860;;1342.0;1279.0;;;;;;;;;;63.0;;;;;4.7
61;Mannen en vrouwen;10;1861;;1351.0;1292.0;;;;;;;;;;59.0;;;;;4.4
62;Mannen en vrouwen;10;1862;;1360.0;1299.0;;;;;;;;;;61.0;;;;;4.5
63;Mannen en vrouwen;10;1863;;1373.0;1304.0;;;;;;;;;;68.0;;;;;5.0
64;Mannen en vrouwen;10;1864;;1383.0;1313.0;;;;;;;;;;70.0;;;;;5.1
65;Mannen en vrouwen;10;1865;;1393.0;1325.0;;;;;;;;;;68.0;;;;;4.9
66;Mannen en vrouwen;10;1866;;1398.0;1333.0;;;;;;;;;;65.0;;;;;4.7
67;Mannen en vrouwen;10;1867;;1410.0;1354.0;;;;;;;;;;56.0;;;;;4.0
68;Mannen en vrouwen;10;1868;;1421.0;1366.0;;;;;;;;;;55.0;;;;;3.9
69;Mannen en vrouwen;10;1869;;1433.0;1374.0;;;;;;;;;;58.0;;;;;4.1
70;Mannen en vrouwen;10;1870;;1445.0;1380.0;;;;;;;;;;65.0;;;;;4.5
71;Mannen en vrouwen;10;1871;;1450.0;1398.0;;;;;;;;;;52.0;;;;;3.6
72;Mannen en vrouwen;10;1872;;1462.0;1413.0;;;;;;;;;;49.0;;;;;3.4
73;Mannen en vrouwen;10;1873;;1477.0;1428.0;;;;;;;;;;48.0;;;;;3.3
74;Mannen en vrouwen;10;1874;;1494.0;1439.0;;;;;;;;;;55.0;;;;;3.7
75;Mannen en vrouwen;10;1875;;1507.0;1459.0;;;;;;;;;;48.0;;;;;3.2
76;Mannen en vrouwen;10;1876;;1525.0;1479.0;;;;;;;;;;45.0;;;;;3.0
77;Mannen en vrouwen;10;1877;;1544.0;1499.0;;;;;;;;;;45.0;;;;;2.9
78;Mannen en vrouwen;10;1878;;1561.0;1515.0;;;;;;;;;;47.0;;;;;3.0
79;Mannen en vrouwen;10;1879;;1581.0;1533.0;;;;;;;;;;47.0;;;;;3.0
80;Mannen en vrouwen;10;1880;;1595.0;1546.0;;;;;;;;;;49.0;;;;;3.1
81;Mannen en vrouwen;10;1881;;1612.0;1562.0;;;;;;;;;;50.0;;;;;3.1
82;Mannen en vrouwen;10;1882;;1631.0;1578.0;;;;;;;;;;54.0;;;;;3.3
83;Mannen en vrouwen;10;1883;;1647.0;1593.0;;;;;;;;;;54.0;;;;;3.3
84;Mannen en vrouwen;10;1884;;1664.0;1606.0;;;;;;;;;;58.0;;;;;3.5
85;Mannen en vrouwen;10;1885;;1682.0;1621.0;;;;;;;;;;60.0;;;;;3.6
86;Mannen en vrouwen;10;1886;;1699.0;1634.0;;;;;;;;;;64.0;;;;;3.8
87;Mannen en vrouwen;10;1887;;1718.0;1651.0;;;;;;;;;;67.0;;;;;3.9
88;Mannen en vrouwen;10;1888;;1737.0;1666.0;;;;;;;;;;71.0;;;;;4.1
89;Mannen en vrouwen;10;1889;;1755.0;1685.0;;;;;;;;;;70.0;;;;;4.0
90;Mannen en vrouwen;10;1890;;1777.0;1709.0;;;;;;;;;;67.0;;;;;3.8
91;Mannen en vrouwen;10;1891;;1800.0;1735.0;;;;;;;;;;64.0;;;;;3.6
92;Mannen en vrouwen;10;1892;;1820.0;1749.0;;;;;;;;;;71.0;;;;;3.9
93;Mannen en vrouwen;10;1893;;1847.0;1771.0;;;;;;;;;;75.0;;;;;4.1
94;Mannen en vrouwen;10;1894;;1873.0;1793.0;;;;;;;;;;80.0;;;;;4.3
95;Mannen en vrouwen;10;1895;;1900.0;1822.0;;;;;;;;;;77.0;;;;;4.1
96;Mannen en vrouwen;10;1896;;1930.0;1851.0;;;;;;;;;;79.0;;;;;4.1
97;Mannen en vrouwen;10;1897;;1961.0;1883.0;;;;;;;;;;78.0;;;;;4.0
98;Mannen en vrouwen;10;1898;;1990.0;1911.0;;;;;;;;;;79.0;;;;;4.0
99;Mannen en vrouwen;10;1899;;2021.0;1938.0;;;;;;;;;;82.0;;;;;4.1
100;Mannen en vrouwen;10;1900;;2048.0;1967.0;;;;;;;;;;81.0;;;;;4.0
101;Mannen en vrouwen;10;1901;;2079.0;2007.0;;;;;;;;;;72.0;;;;;3.5
102;Mannen en vrouwen;10;1902;;2110.0;2037.0;;;;;;;;;;73.0;;;;;3.5
103;Mannen en vrouwen;10;1903;;2141.0;2071.0;;;;;;;;;;70.0;;;;;3.3
104;Mannen en vrouwen;10;1904;;2170.0;2101.0;;;;;;;;;;69.0;;;;;3.2
105;Mannen en vrouwen;10;1905;;2200.0;2137.0;;;;;;;;;;63.0;;;;;2.9
